EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS, FINLAND (STAID: 30)
Blended and updated with sources:94 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    30,    94,19080101,    0,    0
    30,    94,19080102,    0,    0
    30,    94,19080103,   30,    0
    30,    94,19080104,    0,    0
    30,    94,19080105,    0,    0
    30,    94,19080106,   10,    0
    30,    94,19080107,    0,    0
    30,    94,19080108,    0,    0
    30,    94,19080109,    0,    0
    30,    94,19080110,    0,    0
    30,    94,19080111,    0,    0
    30,    94,19080112,   30,    0
    30,    94,19080113,    0,    0
    30,    94,19080114,    0,    0
    30,    94,19080115,    0,    0
    30,    94,19080116,    7,    0
    30,    94,19080117,    0,    0
    30,    94,19080118,    0,    0
    30,    94,19080119,    8,    0
    30,    94,19080120,   43,    0
    30,    94,19080121,    0,    0
    30,    94,19080122,   12,    0
    30,    94,19080123,   37,    0
    30,    94,19080124,    0,    0
    30,    94,19080125,    0,    0
    30,    94,19080126,   20,    0
    30,    94,19080127,    1,    0
    30,    94,19080128,   10,    0
    30,    94,19080129,    0,    0
    30,    94,19080130,   18,    0
    30,    94,19080131,    0,    0
    30,    94,19080201,    6,    0
    30,    94,19080202,    0,    0
    30,    94,19080203,    4,    0
    30,    94,19080204,    0,    0
    30,    94,19080205,    4,    0
    30,    94,19080206,    2,    0
    30,    94,19080207,    0,    0
    30,    94,19080208,    1,    0
    30,    94,19080209,    0,    0
    30,    94,19080210,    4,    0
    30,    94,19080211,    8,    0
    30,    94,19080212,    0,    0
    30,    94,19080213,    0,    0
    30,    94,19080214,    0,    0
    30,    94,19080215,    5,    0
    30,    94,19080216,   48,    0
    30,    94,19080217,    4,    0
    30,    94,19080218,   20,    0
    30,    94,19080219,   35,    0
    30,    94,19080220,   60,    0
    30,    94,19080221,   17,    0
    30,    94,19080222,    2,    0
    30,    94,19080223,    0,    0
    30,    94,19080224,    1,    0
    30,    94,19080225,    3,    0
    30,    94,19080226,    2,    0
    30,    94,19080227,    2,    0
    30,    94,19080228,    1,    0
    30,    94,19080229,    3,    0
    30,    94,19080301,    0,    0
    30,    94,19080302,   15,    0
    30,    94,19080303,    0,    0
    30,    94,19080304,    0,    0
    30,    94,19080305,   13,    0
    30,    94,19080306,    1,    0
    30,    94,19080307,    2,    0
    30,    94,19080308,    5,    0
    30,    94,19080309,    1,    0
    30,    94,19080310,    0,    0
    30,    94,19080311,    0,    0
    30,    94,19080312,    0,    0
    30,    94,19080313,    3,    0
    30,    94,19080314,    7,    0
    30,    94,19080315,    4,    0
    30,    94,19080316,    1,    0
    30,    94,19080317,    8,    0
    30,    94,19080318,    2,    0
    30,    94,19080319,    0,    0
    30,    94,19080320,    0,    0
    30,    94,19080321,    0,    0
    30,    94,19080322,    0,    0
    30,    94,19080323,    0,    0
    30,    94,19080324,    0,    0
    30,    94,19080325,    3,    0
    30,    94,19080326,    0,    0
    30,    94,19080327,    0,    0
    30,    94,19080328,    0,    0
    30,    94,19080329,    0,    0
    30,    94,19080330,    1,    0
    30,    94,19080331,    0,    0
    30,    94,19080401,    0,    0
    30,    94,19080402,    5,    0
    30,    94,19080403,    9,    0
    30,    94,19080404,    0,    0
    30,    94,19080405,    0,    0
    30,    94,19080406,    9,    0
    30,    94,19080407,    0,    0
    30,    94,19080408,    0,    0
    30,    94,19080409,    0,    0
    30,    94,19080410,    0,    0
    30,    94,19080411,    0,    0
    30,    94,19080412,    0,    0
    30,    94,19080413,    0,    0
    30,    94,19080414,    0,    0
    30,    94,19080415,    0,    0
    30,    94,19080416,    0,    0
    30,    94,19080417,    0,    0
    30,    94,19080418,    0,    0
    30,    94,19080419,    0,    0
    30,    94,19080420,   82,    0
    30,    94,19080421,    5,    0
    30,    94,19080422,    0,    0
    30,    94,19080423,    0,    0
    30,    94,19080424,   17,    0
    30,    94,19080425,    0,    0
    30,    94,19080426,   21,    0
    30,    94,19080427,  109,    0
    30,    94,19080428,   10,    0
    30,    94,19080429,    0,    0
    30,    94,19080430,    0,    0
    30,    94,19080501,   23,    0
    30,    94,19080502,    2,    0
    30,    94,19080503,    0,    0
    30,    94,19080504,   33,    0
    30,    94,19080505,    0,    0
    30,    94,19080506,    0,    0
    30,    94,19080507,   20,    0
    30,    94,19080508,    0,    0
    30,    94,19080509,    0,    0
    30,    94,19080510,    0,    0
    30,    94,19080511,   12,    0
    30,    94,19080512,   18,    0
    30,    94,19080513,    0,    0
    30,    94,19080514,    0,    0
    30,    94,19080515,    0,    0
    30,    94,19080516,    0,    0
    30,    94,19080517,    0,    0
    30,    94,19080518,    0,    0
    30,    94,19080519,    0,    0
    30,    94,19080520,    0,    0
    30,    94,19080521,    0,    0
    30,    94,19080522,   42,    0
    30,    94,19080523,   23,    0
    30,    94,19080524,    0,    0
    30,    94,19080525,    0,    0
    30,    94,19080526,    0,    0
    30,    94,19080527,    0,    0
    30,    94,19080528,    0,    0
    30,    94,19080529,    0,    0
    30,    94,19080530,    0,    0
    30,    94,19080531,    0,    0
    30,    94,19080601,    0,    0
    30,    94,19080602,    0,    0
    30,    94,19080603,    3,    0
    30,    94,19080604,   19,    0
    30,    94,19080605,   25,    0
    30,    94,19080606,    0,    0
    30,    94,19080607,    0,    0
    30,    94,19080608,    0,    0
    30,    94,19080609,    0,    0
    30,    94,19080610,    7,    0
    30,    94,19080611,   28,    0
    30,    94,19080612,    0,    0
    30,    94,19080613,    5,    0
    30,    94,19080614,   13,    0
    30,    94,19080615,   80,    0
    30,    94,19080616,    5,    0
    30,    94,19080617,   48,    0
    30,    94,19080618,   12,    0
    30,    94,19080619,    0,    0
    30,    94,19080620,  293,    0
    30,    94,19080621,   11,    0
    30,    94,19080622,    0,    0
    30,    94,19080623,    0,    0
    30,    94,19080624,   81,    0
    30,    94,19080625,   22,    0
    30,    94,19080626,    0,    0
    30,    94,19080627,    0,    0
    30,    94,19080628,    7,    0
    30,    94,19080629,    0,    0
    30,    94,19080630,    0,    0
    30,    94,19080701,    0,    0
    30,    94,19080702,    0,    0
    30,    94,19080703,   52,    0
    30,    94,19080704,    4,    0
    30,    94,19080705,    0,    0
    30,    94,19080706,    0,    0
    30,    94,19080707,    0,    0
    30,    94,19080708,    0,    0
    30,    94,19080709,    0,    0
    30,    94,19080710,    0,    0
    30,    94,19080711,    0,    0
    30,    94,19080712,   32,    0
    30,    94,19080713,  162,    0
    30,    94,19080714,    0,    0
    30,    94,19080715,   25,    0
    30,    94,19080716,    0,    0
    30,    94,19080717,   18,    0
    30,    94,19080718,    0,    0
    30,    94,19080719,  103,    0
    30,    94,19080720,    0,    0
    30,    94,19080721,   34,    0
    30,    94,19080722,    0,    0
    30,    94,19080723,    0,    0
    30,    94,19080724,    3,    0
    30,    94,19080725,    0,    0
    30,    94,19080726,    0,    0
    30,    94,19080727,    0,    0
    30,    94,19080728,    0,    0
    30,    94,19080729,    0,    0
    30,    94,19080730,    0,    0
    30,    94,19080731,   39,    0
    30,    94,19080801,   55,    0
    30,    94,19080802,   22,    0
    30,    94,19080803,    4,    0
    30,    94,19080804,    0,    0
    30,    94,19080805,    0,    0
    30,    94,19080806,    0,    0
    30,    94,19080807,    0,    0
    30,    94,19080808,    0,    0
    30,    94,19080809,    3,    0
    30,    94,19080810,    0,    0
    30,    94,19080811,    0,    0
    30,    94,19080812,    0,    0
    30,    94,19080813,    0,    0
    30,    94,19080814,    0,    0
    30,    94,19080815,    0,    0
    30,    94,19080816,    0,    0
    30,    94,19080817,    0,    0
    30,    94,19080818,   65,    0
    30,    94,19080819,   10,    0
    30,    94,19080820,    0,    0
    30,    94,19080821,    0,    0
    30,    94,19080822,   12,    0
    30,    94,19080823,    0,    0
    30,    94,19080824,   13,    0
    30,    94,19080825,    0,    0
    30,    94,19080826,    0,    0
    30,    94,19080827,    0,    0
    30,    94,19080828,   42,    0
    30,    94,19080829,   15,    0
    30,    94,19080830,    0,    0
    30,    94,19080831,    2,    0
    30,    94,19080901,   66,    0
    30,    94,19080902,   33,    0
    30,    94,19080903,  116,    0
    30,    94,19080904,   64,    0
    30,    94,19080905,  123,    0
    30,    94,19080906,   19,    0
    30,    94,19080907,   23,    0
    30,    94,19080908,    9,    0
    30,    94,19080909,    0,    0
    30,    94,19080910,   56,    0
    30,    94,19080911,   15,    0
    30,    94,19080912,   21,    0
    30,    94,19080913,   54,    0
    30,    94,19080914,    0,    0
    30,    94,19080915,    2,    0
    30,    94,19080916,    0,    0
    30,    94,19080917,    0,    0
    30,    94,19080918,    4,    0
    30,    94,19080919,    3,    0
    30,    94,19080920,    4,    0
    30,    94,19080921,    0,    0
    30,    94,19080922,    7,    0
    30,    94,19080923,    0,    0
    30,    94,19080924,    0,    0
    30,    94,19080925,    0,    0
    30,    94,19080926,    0,    0
    30,    94,19080927,   12,    0
    30,    94,19080928,    0,    0
    30,    94,19080929,    0,    0
    30,    94,19080930,   19,    0
    30,    94,19081001,    0,    0
    30,    94,19081002,    0,    0
    30,    94,19081003,    0,    0
    30,    94,19081004,   35,    0
    30,    94,19081005,    2,    0
    30,    94,19081006,    3,    0
    30,    94,19081007,   12,    0
    30,    94,19081008,    0,    0
    30,    94,19081009,    0,    0
    30,    94,19081010,   36,    0
    30,    94,19081011,   35,    0
    30,    94,19081012,    0,    0
    30,    94,19081013,    0,    0
    30,    94,19081014,    0,    0
    30,    94,19081015,   18,    0
    30,    94,19081016,   17,    0
    30,    94,19081017,    0,    0
    30,    94,19081018,    4,    0
    30,    94,19081019,    0,    0
    30,    94,19081020,    0,    0
    30,    94,19081021,    4,    0
    30,    94,19081022,    0,    0
    30,    94,19081023,    3,    0
    30,    94,19081024,    7,    0
    30,    94,19081025,    0,    0
    30,    94,19081026,    3,    0
    30,    94,19081027,    3,    0
    30,    94,19081028,   11,    0
    30,    94,19081029,    0,    0
    30,    94,19081030,    0,    0
    30,    94,19081031,    3,    0
    30,    94,19081101,    3,    0
    30,    94,19081102,   14,    0
    30,    94,19081103,   23,    0
    30,    94,19081104,    1,    0
    30,    94,19081105,    0,    0
    30,    94,19081106,    6,    0
    30,    94,19081107,   16,    0
    30,    94,19081108,    0,    0
    30,    94,19081109,    0,    0
    30,    94,19081110,    0,    0
    30,    94,19081111,    0,    0
    30,    94,19081112,    0,    0
    30,    94,19081113,    0,    0
    30,    94,19081114,    0,    0
    30,    94,19081115,    1,    0
    30,    94,19081116,    0,    0
    30,    94,19081117,   54,    0
    30,    94,19081118,    0,    0
    30,    94,19081119,    0,    0
    30,    94,19081120,   16,    0
    30,    94,19081121,    0,    0
    30,    94,19081122,    9,    0
    30,    94,19081123,   66,    0
    30,    94,19081124,    1,    0
    30,    94,19081125,   42,    0
    30,    94,19081126,    3,    0
    30,    94,19081127,    7,    0
    30,    94,19081128,    0,    0
    30,    94,19081129,   32,    0
    30,    94,19081130,    4,    0
    30,    94,19081201,    5,    0
    30,    94,19081202,    0,    0
    30,    94,19081203,   22,    0
    30,    94,19081204,    0,    0
    30,    94,19081205,    0,    0
    30,    94,19081206,   15,    0
    30,    94,19081207,    0,    0
    30,    94,19081208,   33,    0
    30,    94,19081209,    0,    0
    30,    94,19081210,   17,    0
    30,    94,19081211,    4,    0
    30,    94,19081212,    0,    0
    30,    94,19081213,   43,    0
    30,    94,19081214,   10,    0
    30,    94,19081215,   33,    0
    30,    94,19081216,   36,    0
    30,    94,19081217,    4,    0
    30,    94,19081218,    1,    0
    30,    94,19081219,    5,    0
    30,    94,19081220,    0,    0
    30,    94,19081221,   10,    0
    30,    94,19081222,   33,    0
    30,    94,19081223,   48,    0
    30,    94,19081224,    0,    0
    30,    94,19081225,    0,    0
    30,    94,19081226,    8,    0
    30,    94,19081227,    2,    0
    30,    94,19081228,    5,    0
    30,    94,19081229,    0,    0
    30,    94,19081230,    0,    0
    30,    94,19081231,    0,    0
    30,    94,19090101,    4,    0
    30,    94,19090102,    6,    0
    30,    94,19090103,   10,    0
    30,    94,19090104,    0,    0
    30,    94,19090105,    4,    0
    30,    94,19090106,   76,    0
    30,    94,19090107,    2,    0
    30,    94,19090108,    0,    0
    30,    94,19090109,    3,    0
    30,    94,19090110,   22,    0
    30,    94,19090111,   10,    0
    30,    94,19090112,   54,    0
    30,    94,19090113,    1,    0
    30,    94,19090114,    1,    0
    30,    94,19090115,    1,    0
    30,    94,19090116,   32,    0
    30,    94,19090117,    6,    0
    30,    94,19090118,   36,    0
    30,    94,19090119,    0,    0
    30,    94,19090120,    0,    0
    30,    94,19090121,    3,    0
    30,    94,19090122,    0,    0
    30,    94,19090123,    0,    0
    30,    94,19090124,   17,    0
    30,    94,19090125,    0,    0
    30,    94,19090126,    0,    0
    30,    94,19090127,    0,    0
    30,    94,19090128,    1,    0
    30,    94,19090129,   10,    0
    30,    94,19090130,    0,    0
    30,    94,19090131,   34,    0
    30,    94,19090201,    7,    0
    30,    94,19090202,    2,    0
    30,    94,19090203,    0,    0
    30,    94,19090204,   37,    0
    30,    94,19090205,    1,    0
    30,    94,19090206,    0,    0
    30,    94,19090207,    0,    0
    30,    94,19090208,    0,    0
    30,    94,19090209,    7,    0
    30,    94,19090210,    0,    0
    30,    94,19090211,   13,    0
    30,    94,19090212,    0,    0
    30,    94,19090213,   11,    0
    30,    94,19090214,    8,    0
    30,    94,19090215,    5,    0
    30,    94,19090216,    0,    0
    30,    94,19090217,    0,    0
    30,    94,19090218,    3,    0
    30,    94,19090219,   13,    0
    30,    94,19090220,    0,    0
    30,    94,19090221,    0,    0
    30,    94,19090222,    0,    0
    30,    94,19090223,    0,    0
    30,    94,19090224,    0,    0
    30,    94,19090225,    9,    0
    30,    94,19090226,   33,    0
    30,    94,19090227,    0,    0
    30,    94,19090228,    5,    0
    30,    94,19090301,   12,    0
    30,    94,19090302,    1,    0
