EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASTRAXAN', RUSSIAN FEDERATION (STAID: 73)
Blended and updated with sources:283 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    73,   283,18810101,    0,    0
    73,   283,18810102,   12,    0
    73,   283,18810103,    0,    0
    73,   283,18810104,    0,    0
    73,   283,18810105,    0,    0
    73,   283,18810106,   47,    0
    73,   283,18810107,   57,    0
    73,   283,18810108,    0,    0
    73,   283,18810109,   14,    0
    73,   283,18810110,    8,    0
    73,   283,18810111,    0,    0
    73,   283,18810112,    0,    0
    73,   283,18810113,    3,    0
    73,   283,18810114,    2,    0
    73,   283,18810115,   12,    0
    73,   283,18810116,    0,    0
    73,   283,18810117,    0,    0
    73,   283,18810118,    2,    0
    73,   283,18810119,    0,    0
    73,   283,18810120,    0,    0
    73,   283,18810121,    0,    0
    73,   283,18810122,    8,    0
    73,   283,18810123,    0,    0
    73,   283,18810124,   94,    0
    73,   283,18810125,   95,    0
    73,   283,18810126,   43,    0
    73,   283,18810127,    0,    0
    73,   283,18810128,    0,    0
    73,   283,18810129,    0,    0
    73,   283,18810130,    0,    0
    73,   283,18810131,    0,    0
    73,   283,18810201,    0,    0
    73,   283,18810202,    0,    0
    73,   283,18810203,    0,    0
    73,   283,18810204,    0,    0
    73,   283,18810205,    0,    0
    73,   283,18810206,    0,    0
    73,   283,18810207,    0,    0
    73,   283,18810208,    6,    0
    73,   283,18810209,    0,    0
    73,   283,18810210,   56,    0
    73,   283,18810211,    0,    0
    73,   283,18810212,    3,    0
