EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORDBY (FANO), DENMARK (STAID: 109)
Blended and updated with sources:414 71533 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   109,   414,18731201,-9999,    9
   109,   414,18731202,-9999,    9
   109,   414,18731203,-9999,    9
   109,   414,18731204,-9999,    9
   109,   414,18731205,-9999,    9
   109,   414,18731206,-9999,    9
   109,   414,18731207,-9999,    9
   109,   414,18731208,-9999,    9
   109,   414,18731209,-9999,    9
   109,   414,18731210,-9999,    9
   109,   414,18731211,-9999,    9
   109,   414,18731212,-9999,    9
   109,   414,18731213,-9999,    9
   109,   414,18731214,-9999,    9
   109,   414,18731215,-9999,    9
   109,   414,18731216,-9999,    9
   109,   414,18731217,-9999,    9
   109,   414,18731218,-9999,    9
   109,   414,18731219,-9999,    9
   109,   414,18731220,-9999,    9
   109,   414,18731221,-9999,    9
   109,   414,18731222,-9999,    9
   109,   414,18731223,-9999,    9
   109,   414,18731224,-9999,    9
   109,   414,18731225,-9999,    9
   109,   414,18731226,-9999,    9
   109,   414,18731227,-9999,    9
   109,   414,18731228,-9999,    9
   109,   414,18731229,-9999,    9
   109,   414,18731230,-9999,    9
   109,   414,18731231,   13,    0
   109,   414,18740101,   10,    0
   109,   414,18740102,   23,    0
   109,   414,18740103,   68,    0
   109,   414,18740104,   37,    0
   109,   414,18740105,   16,    0
   109,   414,18740106,    0,    0
   109,   414,18740107,    8,    0
   109,   414,18740108,    0,    0
   109,   414,18740109,   25,    0
   109,   414,18740110,   85,    0
   109,   414,18740111,   25,    0
   109,   414,18740112,   13,    0
   109,   414,18740113,   15,    0
   109,   414,18740114,    3,    0
   109,   414,18740115,    8,    0
   109,   414,18740116,    3,    0
   109,   414,18740117,    2,    0
   109,   414,18740118,   67,    0
   109,   414,18740119,    0,    0
   109,   414,18740120,   15,    0
   109,   414,18740121,    0,    0
   109,   414,18740122,    2,    0
   109,   414,18740123,   28,    0
   109,   414,18740124,    7,    0
   109,   414,18740125,   20,    0
   109,   414,18740126,    4,    0
   109,   414,18740127,    0,    0
   109,   414,18740128,    0,    0
   109,   414,18740129,    5,    0
   109,   414,18740130,    6,    0
   109,   414,18740131,    9,    0
   109,   414,18740201,    3,    0
   109,   414,18740202,    0,    0
   109,   414,18740203,    0,    0
   109,   414,18740204,    0,    0
   109,   414,18740205,    0,    0
   109,   414,18740206,    0,    0
   109,   414,18740207,   60,    0
   109,   414,18740208,    2,    0
   109,   414,18740209,    0,    0
   109,   414,18740210,    0,    0
   109,   414,18740211,    0,    0
   109,   414,18740212,    0,    0
   109,   414,18740213,    4,    0
   109,   414,18740214,    0,    0
   109,   414,18740215,    8,    0
   109,   414,18740216,    2,    0
   109,   414,18740217,    0,    0
   109,   414,18740218,   22,    0
   109,   414,18740219,    5,    0
   109,   414,18740220,    0,    0
   109,   414,18740221,    0,    0
   109,   414,18740222,    0,    0
   109,   414,18740223,    0,    0
   109,   414,18740224,    0,    0
   109,   414,18740225,    0,    0
   109,   414,18740226,    0,    0
   109,   414,18740227,   24,    0
   109,   414,18740228,    0,    0
   109,   414,18740301,    0,    0
   109,   414,18740302,    0,    0
   109,   414,18740303,    0,    0
   109,   414,18740304,    0,    0
   109,   414,18740305,    9,    0
   109,   414,18740306,    1,    0
   109,   414,18740307,    0,    0
   109,   414,18740308,    0,    0
   109,   414,18740309,   69,    0
   109,   414,18740310,    5,    0
   109,   414,18740311,    0,    0
   109,   414,18740312,    3,    0
   109,   414,18740313,    0,    0
   109,   414,18740314,   47,    0
   109,   414,18740315,    0,    0
   109,   414,18740316,   66,    0
   109,   414,18740317,    5,    0
   109,   414,18740318,    0,    0
   109,   414,18740319,   40,    0
   109,   414,18740320,    2,    0
   109,   414,18740321,    4,    0
   109,   414,18740322,   33,    0
   109,   414,18740323,    0,    0
   109,   414,18740324,   35,    0
   109,   414,18740325,    0,    0
   109,   414,18740326,    0,    0
   109,   414,18740327,   27,    0
   109,   414,18740328,   19,    0
   109,   414,18740329,   52,    0
   109,   414,18740330,   17,    0
   109,   414,18740331,   24,    0
   109,   414,18740401,    3,    0
   109,   414,18740402,   16,    0
   109,   414,18740403,    7,    0
   109,   414,18740404,   42,    0
   109,   414,18740405,  111,    0
   109,   414,18740406,    5,    0
   109,   414,18740407,    0,    0
   109,   414,18740408,    6,    0
   109,   414,18740409,    0,    0
   109,   414,18740410,    0,    0
   109,   414,18740411,   93,    0
   109,   414,18740412,   32,    0
   109,   414,18740413,   12,    0
   109,   414,18740414,    0,    0
   109,   414,18740415,    0,    0
   109,   414,18740416,    0,    0
   109,   414,18740417,   13,    0
   109,   414,18740418,    0,    0
   109,   414,18740419,   12,    0
   109,   414,18740420,    0,    0
   109,   414,18740421,    0,    0
   109,   414,18740422,    0,    0
   109,   414,18740423,    0,    0
   109,   414,18740424,    3,    0
   109,   414,18740425,    0,    0
   109,   414,18740426,    0,    0
   109,   414,18740427,    0,    0
   109,   414,18740428,    0,    0
   109,   414,18740429,    2,    0
   109,   414,18740430,    0,    0
   109,   414,18740501,    5,    0
   109,   414,18740502,    8,    0
   109,   414,18740503,    8,    0
   109,   414,18740504,    0,    0
   109,   414,18740505,   56,    0
   109,   414,18740506,   16,    0
   109,   414,18740507,   56,    0
   109,   414,18740508,   26,    0
   109,   414,18740509,    1,    0
   109,   414,18740510,    0,    0
   109,   414,18740511,    0,    0
   109,   414,18740512,   93,    0
   109,   414,18740513,    0,    0
   109,   414,18740514,   14,    0
   109,   414,18740515,   14,    0
   109,   414,18740516,    4,    0
   109,   414,18740517,    0,    0
   109,   414,18740518,    0,    0
   109,   414,18740519,    0,    0
   109,   414,18740520,    0,    0
   109,   414,18740521,    0,    0
   109,   414,18740522,    0,    0
   109,   414,18740523,    0,    0
   109,   414,18740524,    0,    0
   109,   414,18740525,    0,    0
   109,   414,18740526,    0,    0
   109,   414,18740527,    0,    0
   109,   414,18740528,    8,    0
   109,   414,18740529,    8,    0
   109,   414,18740530,    0,    0
   109,   414,18740531,    0,    0
   109,   414,18740601,    0,    0
   109,   414,18740602,    7,    0
   109,   414,18740603,    0,    0
   109,   414,18740604,    0,    0
   109,   414,18740605,    0,    0
   109,   414,18740606,    0,    0
   109,   414,18740607,    0,    0
   109,   414,18740608,    0,    0
   109,   414,18740609,    0,    0
   109,   414,18740610,   28,    0
   109,   414,18740611,   75,    0
   109,   414,18740612,    4,    0
   109,   414,18740613,    0,    0
   109,   414,18740614,    0,    0
   109,   414,18740615,    0,    0
   109,   414,18740616,    0,    0
   109,   414,18740617,    0,    0
   109,   414,18740618,    0,    0
   109,   414,18740619,    5,    0
   109,   414,18740620,    0,    0
   109,   414,18740621,    0,    0
   109,   414,18740622,    0,    0
   109,   414,18740623,    0,    0
   109,   414,18740624,   37,    0
   109,   414,18740625,   83,    0
   109,   414,18740626,   10,    0
   109,   414,18740627,    0,    0
   109,   414,18740628,   94,    0
   109,   414,18740629,   11,    0
   109,   414,18740630,   96,    0
   109,   414,18740701,    0,    0
   109,   414,18740702,   72,    0
   109,   414,18740703,    0,    0
   109,   414,18740704,    0,    0
   109,   414,18740705,    0,    0
   109,   414,18740706,    0,    0
   109,   414,18740707,    0,    0
   109,   414,18740708,    0,    0
   109,   414,18740709,    0,    0
   109,   414,18740710,    0,    0
   109,   414,18740711,   30,    0
   109,   414,18740712,    4,    0
   109,   414,18740713,    0,    0
   109,   414,18740714,    5,    0
   109,   414,18740715,    0,    0
   109,   414,18740716,    0,    0
   109,   414,18740717,    0,    0
   109,   414,18740718,    0,    0
   109,   414,18740719,    0,    0
   109,   414,18740720,    0,    0
   109,   414,18740721,  289,    0
   109,   414,18740722,  102,    0
   109,   414,18740723,    0,    0
   109,   414,18740724,    0,    0
   109,   414,18740725,   32,    0
   109,   414,18740726,    0,    0
   109,   414,18740727,    0,    0
   109,   414,18740728,   30,    0
   109,   414,18740729,   35,    0
   109,   414,18740730,    0,    0
   109,   414,18740731,   14,    0
   109,   414,18740801,    0,    0
   109,   414,18740802,   24,    0
   109,   414,18740803,   13,    0
   109,   414,18740804,  358,    0
   109,   414,18740805,   68,    0
   109,   414,18740806,   85,    0
   109,   414,18740807,    2,    0
   109,   414,18740808,   37,    0
   109,   414,18740809,    6,    0
   109,   414,18740810,   28,    0
   109,   414,18740811,  129,    0
   109,   414,18740812,   40,    0
   109,   414,18740813,  166,    0
   109,   414,18740814,    9,    0
   109,   414,18740815,    4,    0
   109,   414,18740816,   10,    0
   109,   414,18740817,   97,    0
   109,   414,18740818,    0,    0
   109,   414,18740819,    0,    0
   109,   414,18740820,    7,    0
   109,   414,18740821,    0,    0
   109,   414,18740822,    0,    0
   109,   414,18740823,    0,    0
   109,   414,18740824,    0,    0
   109,   414,18740825,    8,    0
   109,   414,18740826,    1,    0
   109,   414,18740827,    0,    0
   109,   414,18740828,   43,    0
   109,   414,18740829,   95,    0
   109,   414,18740830,   15,    0
   109,   414,18740831,  102,    0
   109,   414,18740901,   75,    0
   109,   414,18740902,    3,    0
   109,   414,18740903,   98,    0
   109,   414,18740904,   80,    0
   109,   414,18740905,   50,    0
   109,   414,18740906,   12,    0
   109,   414,18740907,    0,    0
   109,   414,18740908,    0,    0
   109,   414,18740909,   56,    0
   109,   414,18740910,   70,    0
   109,   414,18740911,  354,    0
