EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KLAIPEDA, LITHUANIA (STAID: 201)
Blended and updated with sources:627 926509 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   201,   627,19230101,-9999,    9
   201,   627,19230102,-9999,    9
   201,   627,19230103,-9999,    9
   201,   627,19230104,-9999,    9
   201,   627,19230105,-9999,    9
   201,   627,19230106,-9999,    9
   201,   627,19230107,-9999,    9
   201,   627,19230108,-9999,    9
   201,   627,19230109,-9999,    9
   201,   627,19230110,-9999,    9
   201,   627,19230111,-9999,    9
   201,   627,19230112,-9999,    9
   201,   627,19230113,-9999,    9
   201,   627,19230114,-9999,    9
   201,   627,19230115,-9999,    9
   201,   627,19230116,-9999,    9
   201,   627,19230117,-9999,    9
   201,   627,19230118,-9999,    9
   201,   627,19230119,-9999,    9
   201,   627,19230120,-9999,    9
   201,   627,19230121,-9999,    9
   201,   627,19230122,-9999,    9
   201,   627,19230123,-9999,    9
   201,   627,19230124,-9999,    9
   201,   627,19230125,-9999,    9
   201,   627,19230126,-9999,    9
   201,   627,19230127,-9999,    9
   201,   627,19230128,-9999,    9
   201,   627,19230129,-9999,    9
   201,   627,19230130,-9999,    9
   201,   627,19230131,-9999,    9
   201,   627,19230201,-9999,    9
   201,   627,19230202,-9999,    9
   201,   627,19230203,-9999,    9
   201,   627,19230204,-9999,    9
   201,   627,19230205,-9999,    9
   201,   627,19230206,-9999,    9
   201,   627,19230207,-9999,    9
   201,   627,19230208,-9999,    9
   201,   627,19230209,-9999,    9
   201,   627,19230210,-9999,    9
   201,   627,19230211,-9999,    9
   201,   627,19230212,-9999,    9
   201,   627,19230213,-9999,    9
   201,   627,19230214,-9999,    9
   201,   627,19230215,-9999,    9
   201,   627,19230216,-9999,    9
   201,   627,19230217,-9999,    9
   201,   627,19230218,-9999,    9
   201,   627,19230219,-9999,    9
   201,   627,19230220,-9999,    9
   201,   627,19230221,-9999,    9
   201,   627,19230222,-9999,    9
   201,   627,19230223,-9999,    9
   201,   627,19230224,-9999,    9
   201,   627,19230225,-9999,    9
   201,   627,19230226,-9999,    9
   201,   627,19230227,-9999,    9
   201,   627,19230228,-9999,    9
   201,   627,19230301,-9999,    9
   201,   627,19230302,-9999,    9
   201,   627,19230303,-9999,    9
   201,   627,19230304,-9999,    9
   201,   627,19230305,-9999,    9
   201,   627,19230306,-9999,    9
   201,   627,19230307,-9999,    9
   201,   627,19230308,-9999,    9
   201,   627,19230309,-9999,    9
   201,   627,19230310,-9999,    9
   201,   627,19230311,-9999,    9
   201,   627,19230312,-9999,    9
   201,   627,19230313,-9999,    9
   201,   627,19230314,-9999,    9
   201,   627,19230315,-9999,    9
   201,   627,19230316,-9999,    9
   201,   627,19230317,-9999,    9
   201,   627,19230318,-9999,    9
   201,   627,19230319,-9999,    9
   201,   627,19230320,-9999,    9
   201,   627,19230321,-9999,    9
   201,   627,19230322,-9999,    9
   201,   627,19230323,-9999,    9
   201,   627,19230324,-9999,    9
   201,   627,19230325,-9999,    9
   201,   627,19230326,-9999,    9
   201,   627,19230327,-9999,    9
   201,   627,19230328,-9999,    9
   201,   627,19230329,-9999,    9
   201,   627,19230330,-9999,    9
   201,   627,19230331,-9999,    9
   201,   627,19230401,-9999,    9
   201,   627,19230402,-9999,    9
   201,   627,19230403,-9999,    9
   201,   627,19230404,-9999,    9
   201,   627,19230405,-9999,    9
   201,   627,19230406,-9999,    9
   201,   627,19230407,-9999,    9
   201,   627,19230408,-9999,    9
   201,   627,19230409,-9999,    9
   201,   627,19230410,-9999,    9
   201,   627,19230411,-9999,    9
   201,   627,19230412,-9999,    9
   201,   627,19230413,-9999,    9
   201,   627,19230414,-9999,    9
   201,   627,19230415,-9999,    9
   201,   627,19230416,-9999,    9
   201,   627,19230417,-9999,    9
   201,   627,19230418,-9999,    9
   201,   627,19230419,-9999,    9
   201,   627,19230420,-9999,    9
   201,   627,19230421,-9999,    9
   201,   627,19230422,-9999,    9
   201,   627,19230423,-9999,    9
   201,   627,19230424,-9999,    9
   201,   627,19230425,-9999,    9
   201,   627,19230426,-9999,    9
   201,   627,19230427,-9999,    9
   201,   627,19230428,-9999,    9
   201,   627,19230429,-9999,    9
   201,   627,19230430,-9999,    9
   201,   627,19230501,-9999,    9
   201,   627,19230502,-9999,    9
   201,   627,19230503,-9999,    9
   201,   627,19230504,-9999,    9
   201,   627,19230505,-9999,    9
   201,   627,19230506,-9999,    9
   201,   627,19230507,-9999,    9
   201,   627,19230508,-9999,    9
   201,   627,19230509,-9999,    9
   201,   627,19230510,-9999,    9
   201,   627,19230511,-9999,    9
   201,   627,19230512,-9999,    9
   201,   627,19230513,-9999,    9
   201,   627,19230514,-9999,    9
   201,   627,19230515,-9999,    9
   201,   627,19230516,-9999,    9
   201,   627,19230517,-9999,    9
   201,   627,19230518,-9999,    9
   201,   627,19230519,-9999,    9
   201,   627,19230520,-9999,    9
   201,   627,19230521,-9999,    9
   201,   627,19230522,-9999,    9
   201,   627,19230523,-9999,    9
   201,   627,19230524,-9999,    9
   201,   627,19230525,-9999,    9
   201,   627,19230526,-9999,    9
   201,   627,19230527,-9999,    9
   201,   627,19230528,-9999,    9
   201,   627,19230529,-9999,    9
   201,   627,19230530,-9999,    9
   201,   627,19230531,-9999,    9
   201,   627,19230601,-9999,    9
   201,   627,19230602,-9999,    9
   201,   627,19230603,-9999,    9
   201,   627,19230604,-9999,    9
   201,   627,19230605,-9999,    9
   201,   627,19230606,-9999,    9
   201,   627,19230607,-9999,    9
   201,   627,19230608,-9999,    9
   201,   627,19230609,-9999,    9
   201,   627,19230610,-9999,    9
   201,   627,19230611,-9999,    9
   201,   627,19230612,-9999,    9
   201,   627,19230613,-9999,    9
   201,   627,19230614,-9999,    9
   201,   627,19230615,-9999,    9
   201,   627,19230616,-9999,    9
   201,   627,19230617,-9999,    9
   201,   627,19230618,-9999,    9
   201,   627,19230619,-9999,    9
   201,   627,19230620,-9999,    9
   201,   627,19230621,-9999,    9
   201,   627,19230622,-9999,    9
   201,   627,19230623,-9999,    9
   201,   627,19230624,-9999,    9
   201,   627,19230625,-9999,    9
   201,   627,19230626,-9999,    9
   201,   627,19230627,-9999,    9
   201,   627,19230628,-9999,    9
   201,   627,19230629,-9999,    9
   201,   627,19230630,-9999,    9
   201,   627,19230701,-9999,    9
   201,   627,19230702,-9999,    9
   201,   627,19230703,-9999,    9
   201,   627,19230704,-9999,    9
   201,   627,19230705,-9999,    9
   201,   627,19230706,-9999,    9
   201,   627,19230707,-9999,    9
   201,   627,19230708,-9999,    9
   201,   627,19230709,-9999,    9
   201,   627,19230710,-9999,    9
   201,   627,19230711,-9999,    9
   201,   627,19230712,-9999,    9
   201,   627,19230713,-9999,    9
   201,   627,19230714,-9999,    9
   201,   627,19230715,-9999,    9
   201,   627,19230716,-9999,    9
   201,   627,19230717,-9999,    9
   201,   627,19230718,-9999,    9
   201,   627,19230719,-9999,    9
   201,   627,19230720,-9999,    9
   201,   627,19230721,-9999,    9
   201,   627,19230722,-9999,    9
   201,   627,19230723,-9999,    9
   201,   627,19230724,-9999,    9
   201,   627,19230725,-9999,    9
   201,   627,19230726,-9999,    9
   201,   627,19230727,-9999,    9
   201,   627,19230728,-9999,    9
   201,   627,19230729,-9999,    9
   201,   627,19230730,-9999,    9
   201,   627,19230731,-9999,    9
   201,   627,19230801,    0,    0
   201,   627,19230802,   92,    0
   201,   627,19230803,  198,    0
   201,   627,19230804,    6,    0
   201,   627,19230805,   45,    0
   201,   627,19230806,    0,    0
   201,   627,19230807,    0,    0
   201,   627,19230808,    0,    0
   201,   627,19230809,   32,    0
   201,   627,19230810,   86,    0
