EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VILNIUS, LITHUANIA (STAID: 202)
Blended and updated with sources:631 926730 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   202,   631,19000101,    0,    0
   202,   631,19000102,    0,    0
   202,   631,19000103,   83,    0
   202,   631,19000104,   56,    0
   202,   631,19000105,    0,    0
   202,   631,19000106,    0,    0
   202,   631,19000107,    0,    0
   202,   631,19000108,    0,    0
   202,   631,19000109,    0,    0
   202,   631,19000110,    0,    0
   202,   631,19000111,    0,    0
   202,   631,19000112,    0,    0
   202,   631,19000113,    0,    0
   202,   631,19000114,   10,    0
   202,   631,19000115,    0,    0
   202,   631,19000116,    0,    0
   202,   631,19000117,   20,    0
   202,   631,19000118,    0,    0
   202,   631,19000119,    0,    0
   202,   631,19000120,   50,    0
   202,   631,19000121,    0,    0
   202,   631,19000122,    0,    0
   202,   631,19000123,   71,    0
   202,   631,19000124,    0,    0
   202,   631,19000125,    0,    0
   202,   631,19000126,   58,    0
   202,   631,19000127,    0,    0
   202,   631,19000128,    0,    0
   202,   631,19000129,   71,    0
   202,   631,19000130,   24,    0
   202,   631,19000131,  120,    0
   202,   631,19000201,    0,    0
   202,   631,19000202,    0,    0
   202,   631,19000203,    0,    0
   202,   631,19000204,    0,    0
   202,   631,19000205,   18,    0
   202,   631,19000206,   28,    0
   202,   631,19000207,   70,    0
   202,   631,19000208,   40,    0
   202,   631,19000209,    0,    0
   202,   631,19000210,   36,    0
   202,   631,19000211,   62,    0
   202,   631,19000212,    0,    0
   202,   631,19000213,    0,    0
   202,   631,19000214,    0,    0
   202,   631,19000215,    0,    0
   202,   631,19000216,    0,    0
   202,   631,19000217,    0,    0
   202,   631,19000218,   19,    0
   202,   631,19000219,   39,    0
   202,   631,19000220,   10,    0
   202,   631,19000221,   71,    0
   202,   631,19000222,   31,    0
   202,   631,19000223,    0,    0
   202,   631,19000224,    0,    0
   202,   631,19000225,    0,    0
   202,   631,19000226,    0,    0
   202,   631,19000227,    0,    0
   202,   631,19000228,   30,    0
   202,   631,19000301,    0,    0
   202,   631,19000302,   16,    0
   202,   631,19000303,    0,    0
   202,   631,19000304,   15,    0
   202,   631,19000305,    0,    0
   202,   631,19000306,   14,    0
   202,   631,19000307,   12,    0
   202,   631,19000308,   14,    0
   202,   631,19000309,    0,    0
   202,   631,19000310,    0,    0
   202,   631,19000311,    0,    0
   202,   631,19000312,    0,    0
   202,   631,19000313,   34,    0
   202,   631,19000314,    0,    0
   202,   631,19000315,    0,    0
   202,   631,19000316,    0,    0
   202,   631,19000317,    0,    0
   202,   631,19000318,    0,    0
   202,   631,19000319,    0,    0
   202,   631,19000320,    0,    0
