EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOERICH_1, LUXEMBOURG (STAID: 287)
Blended and updated with sources:121148 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   287,121148,19490101,   75,    0
   287,121148,19490102,   29,    0
   287,121148,19490103,   20,    0
   287,121148,19490104,   26,    0
   287,121148,19490105,    7,    0
   287,121148,19490106,    0,    0
   287,121148,19490107,    0,    0
   287,121148,19490108,    6,    0
   287,121148,19490109,    3,    0
   287,121148,19490110,    3,    0
   287,121148,19490111,   34,    0
   287,121148,19490112,    9,    0
   287,121148,19490113,    8,    0
   287,121148,19490114,   37,    0
   287,121148,19490115,   21,    0
   287,121148,19490116,    8,    0
   287,121148,19490117,   39,    0
   287,121148,19490118,   15,    0
   287,121148,19490119,    2,    0
   287,121148,19490120,   34,    0
   287,121148,19490121,    8,    0
   287,121148,19490122,    0,    0
   287,121148,19490123,    0,    0
   287,121148,19490124,    0,    0
   287,121148,19490125,    0,    0
   287,121148,19490126,    0,    0
   287,121148,19490127,    0,    0
   287,121148,19490128,    0,    0
   287,121148,19490129,    0,    0
   287,121148,19490130,    0,    0
   287,121148,19490131,    5,    0
   287,121148,19490201,    0,    0
   287,121148,19490202,    0,    0
   287,121148,19490203,    0,    0
   287,121148,19490204,    0,    0
   287,121148,19490205,    0,    0
   287,121148,19490206,    0,    0
   287,121148,19490207,    0,    0
   287,121148,19490208,   21,    0
   287,121148,19490209,  116,    0
   287,121148,19490210,    0,    0
   287,121148,19490211,    0,    0
   287,121148,19490212,   42,    0
   287,121148,19490213,    0,    0
   287,121148,19490214,    3,    0
   287,121148,19490215,    1,    0
   287,121148,19490216,    0,    0
   287,121148,19490217,    0,    0
   287,121148,19490218,    0,    0
   287,121148,19490219,    7,    0
   287,121148,19490220,    0,    0
   287,121148,19490221,   42,    0
   287,121148,19490222,    0,    0
   287,121148,19490223,   10,    0
   287,121148,19490224,   41,    0
   287,121148,19490225,    0,    0
   287,121148,19490226,    6,    0
   287,121148,19490227,   22,    0
   287,121148,19490228,   19,    0
   287,121148,19490301,   81,    0
   287,121148,19490302,   14,    0
   287,121148,19490303,    1,    0
   287,121148,19490304,    0,    0
   287,121148,19490305,    0,    0
   287,121148,19490306,    0,    0
   287,121148,19490307,    0,    0
   287,121148,19490308,    0,    0
   287,121148,19490309,    2,    0
   287,121148,19490310,   47,    0
   287,121148,19490311,    0,    0
   287,121148,19490312,    1,    0
   287,121148,19490313,   37,    0
   287,121148,19490314,  128,    0
   287,121148,19490315,    4,    0
   287,121148,19490316,   56,    0
   287,121148,19490317,   24,    0
   287,121148,19490318,   22,    0
   287,121148,19490319,    1,    0
   287,121148,19490320,    0,    0
   287,121148,19490321,    0,    0
   287,121148,19490322,    0,    0
   287,121148,19490323,    0,    0
   287,121148,19490324,    0,    0
   287,121148,19490325,    0,    0
   287,121148,19490326,    0,    0
   287,121148,19490327,    0,    0
   287,121148,19490328,    0,    0
   287,121148,19490329,    0,    0
   287,121148,19490330,    0,    0
   287,121148,19490331,    0,    0
   287,121148,19490401,    0,    0
   287,121148,19490402,    1,    0
   287,121148,19490403,    4,    0
   287,121148,19490404,    0,    0
   287,121148,19490405,    0,    0
   287,121148,19490406,  111,    0
   287,121148,19490407,   83,    0
   287,121148,19490408,   31,    0
   287,121148,19490409,   17,    0
   287,121148,19490410,    0,    0
   287,121148,19490411,    0,    0
   287,121148,19490412,   33,    0
   287,121148,19490413,    0,    0
   287,121148,19490414,    0,    0
   287,121148,19490415,    0,    0
   287,121148,19490416,    0,    0
   287,121148,19490417,   19,    0
   287,121148,19490418,    0,    0
   287,121148,19490419,    0,    0
   287,121148,19490420,    0,    0
   287,121148,19490421,    0,    0
   287,121148,19490422,    0,    0
   287,121148,19490423,    0,    0
   287,121148,19490424,   67,    0
   287,121148,19490425,   67,    0
   287,121148,19490426,    7,    0
   287,121148,19490427,    0,    0
   287,121148,19490428,    0,    0
   287,121148,19490429,    2,    0
   287,121148,19490430,    0,    0
   287,121148,19490501,    0,    0
   287,121148,19490502,    0,    0
   287,121148,19490503,    0,    0
   287,121148,19490504,    0,    0
   287,121148,19490505,  102,    0
   287,121148,19490506,    5,    0
   287,121148,19490507,    2,    0
   287,121148,19490508,    0,    0
   287,121148,19490509,    0,    0
   287,121148,19490510,    0,    0
   287,121148,19490511,    0,    0
   287,121148,19490512,    0,    0
   287,121148,19490513,    7,    0
   287,121148,19490514,    0,    0
   287,121148,19490515,   62,    0
   287,121148,19490516,    4,    0
   287,121148,19490517,   32,    0
   287,121148,19490518,    2,    0
   287,121148,19490519,  149,    0
   287,121148,19490520,    9,    0
   287,121148,19490521,    0,    0
   287,121148,19490522,    0,    0
   287,121148,19490523,    3,    0
   287,121148,19490524,   48,    0
   287,121148,19490525,   10,    0
   287,121148,19490526,   76,    0
   287,121148,19490527,    0,    0
   287,121148,19490528,   44,    0
   287,121148,19490529,  183,    0
   287,121148,19490530,  106,    0
   287,121148,19490531,    2,    0
   287,121148,19490601,    2,    0
   287,121148,19490602,   31,    0
   287,121148,19490603,  107,    0
   287,121148,19490604,   49,    0
   287,121148,19490605,    0,    0
   287,121148,19490606,    0,    0
   287,121148,19490607,  126,    0
   287,121148,19490608,  114,    0
   287,121148,19490609,   54,    0
   287,121148,19490610,    1,    0
   287,121148,19490611,   15,    0
   287,121148,19490612,    0,    0
   287,121148,19490613,    0,    0
   287,121148,19490614,    1,    0
   287,121148,19490615,    0,    0
   287,121148,19490616,    0,    0
   287,121148,19490617,    0,    0
   287,121148,19490618,    0,    0
   287,121148,19490619,    0,    0
   287,121148,19490620,    0,    0
   287,121148,19490621,    0,    0
   287,121148,19490622,    0,    0
   287,121148,19490623,    0,    0
   287,121148,19490624,    0,    0
   287,121148,19490625,    0,    0
   287,121148,19490626,    0,    0
   287,121148,19490627,    0,    0
   287,121148,19490628,    0,    0
   287,121148,19490629,    0,    0
   287,121148,19490630,    0,    0
   287,121148,19490701,    0,    0
   287,121148,19490702,    0,    0
   287,121148,19490703,    0,    0
   287,121148,19490704,    3,    0
   287,121148,19490705,    6,    0
   287,121148,19490706,    0,    0
   287,121148,19490707,    0,    0
   287,121148,19490708,    0,    0
   287,121148,19490709,    0,    0
   287,121148,19490710,    0,    0
   287,121148,19490711,    0,    0
   287,121148,19490712,    0,    0
   287,121148,19490713,   29,    0
   287,121148,19490714,    0,    0
   287,121148,19490715,    2,    0
   287,121148,19490716,    5,    0
   287,121148,19490717,    3,    0
   287,121148,19490718,   10,    0
   287,121148,19490719,    5,    0
   287,121148,19490720,    0,    0
   287,121148,19490721,    0,    0
   287,121148,19490722,    0,    0
   287,121148,19490723,    0,    0
   287,121148,19490724,    0,    0
   287,121148,19490725,    0,    0
   287,121148,19490726,   17,    0
   287,121148,19490727,    0,    0
   287,121148,19490728,    1,    0
   287,121148,19490729,    0,    0
   287,121148,19490730,    0,    0
   287,121148,19490731,    0,    0
   287,121148,19490801,    0,    0
   287,121148,19490802,  193,    0
   287,121148,19490803,   30,    0
   287,121148,19490804,    0,    0
   287,121148,19490805,    0,    0
   287,121148,19490806,    0,    0
   287,121148,19490807,    0,    0
   287,121148,19490808,   27,    0
   287,121148,19490809,   76,    0
   287,121148,19490810,   24,    0
   287,121148,19490811,   60,    0
   287,121148,19490812,    0,    0
   287,121148,19490813,    0,    0
   287,121148,19490814,    0,    0
   287,121148,19490815,    0,    0
   287,121148,19490816,    0,    0
   287,121148,19490817,    0,    0
   287,121148,19490818,    2,    0
   287,121148,19490819,    0,    0
   287,121148,19490820,    0,    0
   287,121148,19490821,    0,    0
   287,121148,19490822,    0,    0
   287,121148,19490823,   10,    0
   287,121148,19490824,    9,    0
   287,121148,19490825,    4,    0
   287,121148,19490826,    0,    0
   287,121148,19490827,  189,    0
   287,121148,19490828,  233,    0
   287,121148,19490829,  122,    0
   287,121148,19490830,    5,    0
   287,121148,19490831,   69,    0
   287,121148,19490901,   10,    0
   287,121148,19490902,    5,    0
   287,121148,19490903,    0,    0
   287,121148,19490904,    0,    0
   287,121148,19490905,    0,    0
   287,121148,19490906,   13,    0
   287,121148,19490907,  211,    0
   287,121148,19490908,    0,    0
   287,121148,19490909,    0,    0
   287,121148,19490910,    0,    0
   287,121148,19490911,    0,    0
   287,121148,19490912,   43,    0
   287,121148,19490913,   85,    0
   287,121148,19490914,  205,    0
   287,121148,19490915,   63,    0
   287,121148,19490916,   45,    0
   287,121148,19490917,    8,    0
   287,121148,19490918,    2,    0
   287,121148,19490919,    1,    0
   287,121148,19490920,   27,    0
   287,121148,19490921,   39,    0
   287,121148,19490922,   71,    0
   287,121148,19490923,    7,    0
   287,121148,19490924,    0,    0
