EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MITILINI, GREECE (STAID: 837)
Blended and updated with sources:55853 916667 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   837,916667,19980101,    0,    1
   837,916667,19980102,    0,    1
   837,916667,19980103,    0,    1
   837,916667,19980104,    0,    1
   837,916667,19980105,    0,    1
   837,916667,19980106,    0,    1
   837,916667,19980107,    0,    1
   837,916667,19980108,-9999,    9
   837,916667,19980109,    0,    0
   837,916667,19980110,    7,    1
   837,916667,19980111,    0,    1
   837,916667,19980112,    0,    1
   837,916667,19980113,-9999,    9
   837,916667,19980114,    0,    1
   837,916667,19980115,    0,    1
   837,916667,19980116,    0,    1
   837,916667,19980117,    0,    1
   837,916667,19980118,    0,    1
   837,916667,19980119,    0,    1
   837, 55853,19980120,  130,    0
   837, 55853,19980121,  181,    0
   837, 55853,19980122,  643,    0
   837, 55853,19980123,   34,    1
   837,916667,19980124,    0,    1
   837,916667,19980125,    0,    1
   837,916667,19980126,    0,    1
   837,916667,19980127,-9999,    9
   837,916667,19980128,    0,    1
   837,916667,19980129,    0,    1
   837,916667,19980130,    0,    1
   837,916667,19980131,    8,    0
   837, 55853,19980201,   28,    0
   837,916667,19980202,-9999,    9
   837,916667,19980203,-9999,    9
   837, 55853,19980204,    9,    0
   837, 55853,19980205,  426,    1
   837,916667,19980206,    0,    1
   837,916667,19980207,    0,    1
   837,916667,19980208,    0,    1
   837,916667,19980209,    0,    1
   837,916667,19980210,    0,    1
   837,916667,19980211,-9999,    9
   837,916667,19980212,    0,    1
   837,916667,19980213,    0,    1
   837,916667,19980214,    0,    1
   837,916667,19980215,    0,    1
   837,916667,19980216,    0,    1
   837,916667,19980217,   90,    1
   837,916667,19980218,    0,    1
   837,916667,19980219,    0,    1
   837,916667,19980220,    0,    1
