EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUKSTAS, LITHUANIA (STAID: 1010)
Blended and updated with sources:3370 926547 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1010,  3370,19761101,   96,    0
  1010,  3370,19761102,   18,    0
  1010,  3370,19761103,    0,    0
  1010,  3370,19761104,   16,    0
  1010,  3370,19761105,   23,    0
  1010,  3370,19761106,    5,    0
  1010,  3370,19761107,   10,    0
  1010,  3370,19761108,    0,    0
  1010,  3370,19761109,    0,    0
  1010,  3370,19761110,    0,    0
  1010,  3370,19761111,    0,    0
  1010,  3370,19761112,    0,    0
  1010,  3370,19761113,   74,    0
  1010,  3370,19761114,    0,    0
  1010,  3370,19761115,   25,    0
  1010,  3370,19761116,    0,    0
  1010,  3370,19761117,    0,    0
  1010,  3370,19761118,    0,    0
  1010,  3370,19761119,    0,    0
  1010,  3370,19761120,    0,    0
  1010,  3370,19761121,    0,    0
  1010,  3370,19761122,   35,    0
  1010,  3370,19761123,   49,    0
  1010,  3370,19761124,   12,    0
  1010,  3370,19761125,    0,    0
  1010,  3370,19761126,    0,    0
  1010,  3370,19761127,    0,    0
  1010,  3370,19761128,   17,    0
  1010,  3370,19761129,    7,    0
  1010,  3370,19761130,   16,    0
  1010,  3370,19761201,    0,    0
  1010,  3370,19761202,   28,    0
  1010,  3370,19761203,   60,    0
  1010,  3370,19761204,   55,    0
  1010,  3370,19761205,    0,    0
  1010,  3370,19761206,   13,    0
  1010,  3370,19761207,    0,    0
  1010,  3370,19761208,    0,    0
  1010,  3370,19761209,   71,    0
  1010,  3370,19761210,   32,    0
  1010,  3370,19761211,   18,    0
  1010,  3370,19761212,   33,    0
  1010,  3370,19761213,    0,    0
  1010,  3370,19761214,   49,    0
  1010,  3370,19761215,   15,    0
  1010,  3370,19761216,    3,    0
  1010,  3370,19761217,    3,    0
  1010,  3370,19761218,    4,    0
  1010,  3370,19761219,    0,    0
  1010,  3370,19761220,   53,    0
  1010,  3370,19761221,    0,    0
  1010,  3370,19761222,    0,    0
  1010,  3370,19761223,   16,    0
  1010,  3370,19761224,    4,    0
  1010,  3370,19761225,   67,    0
  1010,  3370,19761226,   56,    0
  1010,  3370,19761227,    4,    0
  1010,  3370,19761228,    6,    0
  1010,  3370,19761229,    9,    0
  1010,  3370,19761230,    3,    0
  1010,  3370,19761231,    9,    0
  1010,  3370,19770101,    0,    0
  1010,  3370,19770102,    0,    0
  1010,  3370,19770103,    0,    0
  1010,  3370,19770104,    0,    0
  1010,  3370,19770105,    0,    0
  1010,  3370,19770106,    0,    0
  1010,  3370,19770107,    3,    0
  1010,  3370,19770108,    6,    0
  1010,  3370,19770109,    3,    0
  1010,  3370,19770110,    5,    0
  1010,  3370,19770111,    5,    1
  1010,  3370,19770112,    0,    1
  1010,  3370,19770113,    0,    1
  1010,  3370,19770114,    0,    1
  1010,  3370,19770115,    0,    1
  1010,  3370,19770116,    0,    1
  1010,  3370,19770117,    0,    1
  1010,  3370,19770118,    0,    1
  1010,  3370,19770119,    0,    1
  1010,  3370,19770120,    0,    1
  1010,  3370,19770121,    0,    1
  1010,  3370,19770122,    0,    1
  1010,  3370,19770123,    0,    1
  1010,  3370,19770124,   41,    0
  1010,  3370,19770125,    0,    0
  1010,  3370,19770126,   14,    0
  1010,  3370,19770127,   38,    0
  1010,  3370,19770128,    0,    0
  1010,  3370,19770129,    0,    0
  1010,  3370,19770130,    0,    0
  1010,  3370,19770131,   16,    0
  1010,  3370,19770201,   26,    0
  1010,  3370,19770202,   12,    0
  1010,  3370,19770203,    0,    0
  1010,  3370,19770204,    0,    0
  1010,  3370,19770205,    0,    0
  1010,  3370,19770206,    3,    0
  1010,  3370,19770207,    7,    0
  1010,  3370,19770208,   45,    0
  1010,  3370,19770209,   63,    0
  1010,  3370,19770210,    5,    0
  1010,  3370,19770211,    0,    0
  1010,  3370,19770212,    0,    0
  1010,  3370,19770213,    0,    0
  1010,  3370,19770214,    0,    0
  1010,  3370,19770215,   40,    0
  1010,  3370,19770216,   18,    0
  1010,  3370,19770217,    7,    0
  1010,  3370,19770218,    0,    0
  1010,  3370,19770219,    0,    0
  1010,  3370,19770220,   67,    0
  1010,  3370,19770221,   93,    0
  1010,  3370,19770222,   18,    0
  1010,  3370,19770223,    0,    0
  1010,  3370,19770224,    0,    0
  1010,  3370,19770225,   20,    0
  1010,  3370,19770226,   62,    0
  1010,  3370,19770227,    4,    0
  1010,  3370,19770228,    3,    0
  1010,  3370,19770301,    0,    0
  1010,  3370,19770302,    6,    0
  1010,  3370,19770303,    0,    0
  1010,  3370,19770304,    6,    0
  1010,  3370,19770305,   16,    0
  1010,  3370,19770306,    3,    1
  1010,  3370,19770307,    0,    1
  1010,  3370,19770308,    0,    1
  1010,  3370,19770309,    0,    1
  1010,  3370,19770310,    0,    1
  1010,  3370,19770311,    0,    1
  1010,  3370,19770312,    0,    1
  1010,  3370,19770313,    0,    1
  1010,  3370,19770314,    0,    1
  1010,  3370,19770315,    0,    1
  1010,  3370,19770316,   18,    0
  1010,  3370,19770317,    0,    0
  1010,  3370,19770318,    0,    0
  1010,  3370,19770319,    0,    0
  1010,  3370,19770320,    0,    0
  1010,  3370,19770321,    0,    0
  1010,  3370,19770322,    9,    0
  1010,  3370,19770323,    0,    0
  1010,  3370,19770324,    0,    0
  1010,  3370,19770325,    0,    0
  1010,  3370,19770326,   13,    0
  1010,  3370,19770327,   37,    0
  1010,  3370,19770328,   85,    0
  1010,  3370,19770329,   15,    0
  1010,  3370,19770330,    0,    0
  1010,  3370,19770331,    3,    0
  1010,  3370,19770401,   41,    0
  1010,  3370,19770402,    0,    0
  1010,  3370,19770403,    0,    0
  1010,  3370,19770404,   61,    0
  1010,  3370,19770405,    7,    0
  1010,  3370,19770406,    6,    0
  1010,  3370,19770407,   31,    0
  1010,  3370,19770408,   15,    0
  1010,  3370,19770409,   91,    0
  1010,  3370,19770410,    0,    0
  1010,  3370,19770411,  139,    0
  1010,  3370,19770412,  161,    0
  1010,  3370,19770413,   53,    0
  1010,  3370,19770414,    0,    0
  1010,  3370,19770415,    3,    0
  1010,  3370,19770416,    0,    0
  1010,  3370,19770417,    0,    0
  1010,  3370,19770418,    0,    0
  1010,  3370,19770419,    5,    0
  1010,  3370,19770420,   15,    0
  1010,  3370,19770421,   10,    0
  1010,  3370,19770422,   62,    0
  1010,  3370,19770423,   41,    0
  1010,  3370,19770424,   41,    0
  1010,  3370,19770425,   27,    0
  1010,  3370,19770426,    4,    0
  1010,  3370,19770427,    0,    0
  1010,  3370,19770428,   37,    0
  1010,  3370,19770429,    0,    0
  1010,  3370,19770430,    0,    0
  1010,  3370,19770501,    0,    0
  1010,  3370,19770502,    0,    0
  1010,  3370,19770503,    4,    0
  1010,  3370,19770504,    0,    0
  1010,  3370,19770505,    0,    0
  1010,  3370,19770506,    0,    0
  1010,  3370,19770507,    0,    0
  1010,  3370,19770508,   79,    0
  1010,  3370,19770509,    0,    0
  1010,  3370,19770510,    0,    0
  1010,  3370,19770511,    0,    0
  1010,  3370,19770512,    0,    0
  1010,  3370,19770513,    0,    0
  1010,  3370,19770514,   29,    0
  1010,  3370,19770515,    0,    0
  1010,  3370,19770516,  109,    0
  1010,  3370,19770517,   63,    0
  1010,  3370,19770518,   44,    0
  1010,  3370,19770519,    0,    0
  1010,  3370,19770520,    0,    0
  1010,  3370,19770521,    0,    0
  1010,  3370,19770522,    0,    0
  1010,  3370,19770523,    0,    0
  1010,  3370,19770524,    0,    0
  1010,  3370,19770525,   62,    0
  1010,  3370,19770526,    0,    0
  1010,  3370,19770527,    0,    0
  1010,  3370,19770528,    3,    0
  1010,  3370,19770529,    0,    0
  1010,  3370,19770530,    0,    0
  1010,  3370,19770531,    0,    0
  1010,  3370,19770601,    0,    0
  1010,  3370,19770602,    4,    0
  1010,  3370,19770603,  176,    0
  1010,  3370,19770604,    0,    0
  1010,  3370,19770605,    0,    0
  1010,  3370,19770606,    3,    0
  1010,  3370,19770607,   30,    0
  1010,  3370,19770608,    0,    0
  1010,  3370,19770609,    0,    0
  1010,  3370,19770610,    0,    0
  1010,  3370,19770611,    0,    0
  1010,  3370,19770612,   19,    0
  1010,  3370,19770613,    0,    0
  1010,  3370,19770614,  189,    0
  1010,  3370,19770615,   86,    0
  1010,  3370,19770616,    0,    0
  1010,  3370,19770617,   80,    0
  1010,  3370,19770618,    0,    0
  1010,  3370,19770619,    4,    1
  1010,  3370,19770620,    0,    1
  1010,  3370,19770621,    0,    1
  1010,  3370,19770622,    0,    1
  1010,  3370,19770623,    0,    1
  1010,  3370,19770624,    0,    1
  1010,  3370,19770625,    0,    1
  1010,  3370,19770626,    0,    1
  1010,  3370,19770627,    0,    1
  1010,  3370,19770628,    0,    1
  1010,  3370,19770629,    0,    1
  1010,  3370,19770630,    0,    1
  1010,  3370,19770701,   32,    0
  1010,  3370,19770702,   50,    0
  1010,  3370,19770703,   65,    0
  1010,  3370,19770704,   93,    0
  1010,  3370,19770705,   92,    0
  1010,  3370,19770706,  124,    0
  1010,  3370,19770707,   38,    0
  1010,  3370,19770708,   16,    0
  1010,  3370,19770709,   20,    0
  1010,  3370,19770710,    0,    0
  1010,  3370,19770711,    0,    0
  1010,  3370,19770712,    0,    0
  1010,  3370,19770713,    0,    0
  1010,  3370,19770714,    0,    0
  1010,  3370,19770715,    5,    0
  1010,  3370,19770716,    5,    0
  1010,  3370,19770717,   36,    0
  1010,  3370,19770718,    0,    0
  1010,  3370,19770719,    9,    0
  1010,  3370,19770720,   21,    0
  1010,  3370,19770721,    0,    0
  1010,  3370,19770722,   30,    0
  1010,  3370,19770723,   21,    0
  1010,  3370,19770724,   27,    0
  1010,  3370,19770725,   29,    0
  1010,  3370,19770726,   71,    0
  1010,  3370,19770727,  282,    0
  1010,  3370,19770728,    0,    0
  1010,  3370,19770729,  235,    0
  1010,  3370,19770730,   47,    0
  1010,  3370,19770731,    0,    0
  1010,  3370,19770801,    9,    0
  1010,  3370,19770802,   66,    0
  1010,  3370,19770803,  437,    0
  1010,  3370,19770804,   15,    0
  1010,  3370,19770805,   29,    0
  1010,  3370,19770806,   20,    0
  1010,  3370,19770807,    0,    0
  1010,  3370,19770808,    0,    0
  1010,  3370,19770809,    6,    0
  1010,  3370,19770810,    0,    0
  1010,  3370,19770811,   11,    0
  1010,  3370,19770812,    0,    0
  1010,  3370,19770813,    0,    0
  1010,  3370,19770814,    8,    0
  1010,  3370,19770815,    0,    0
  1010,  3370,19770816,    0,    0
  1010,  3370,19770817,   16,    0
  1010,  3370,19770818,    0,    0
  1010,  3370,19770819,   46,    0
  1010,  3370,19770820,    0,    0
  1010,  3370,19770821,    0,    0
  1010,  3370,19770822,    0,    0
  1010,  3370,19770823,    0,    0
  1010,  3370,19770824,    0,    0
  1010,  3370,19770825,    0,    0
  1010,  3370,19770826,    0,    0
  1010,  3370,19770827,    0,    0
  1010,  3370,19770828,   35,    0
  1010,  3370,19770829,    8,    0
  1010,  3370,19770830,    0,    0
  1010,  3370,19770831,    0,    0
  1010,  3370,19770901,    0,    0
  1010,  3370,19770902,    0,    0
  1010,  3370,19770903,    0,    0
  1010,  3370,19770904,    0,    0
  1010,  3370,19770905,   19,    0
  1010,  3370,19770906,    0,    0
  1010,  3370,19770907,   13,    0
  1010,  3370,19770908,   11,    0
  1010,  3370,19770909,   22,    0
  1010,  3370,19770910,   51,    0
  1010,  3370,19770911,    3,    0
  1010,  3370,19770912,  136,    0
  1010,  3370,19770913,   27,    0
  1010,  3370,19770914,   36,    0
  1010,  3370,19770915,   77,    0
  1010,  3370,19770916,    3,    0
  1010,  3370,19770917,    6,    1
  1010,  3370,19770918,    0,    1
  1010,  3370,19770919,    0,    1
  1010,  3370,19770920,    0,    1
  1010,  3370,19770921,    0,    1
  1010,  3370,19770922,    0,    1
  1010,  3370,19770923,    0,    1
  1010,  3370,19770924,    0,    1
  1010,  3370,19770925,    0,    1
  1010,  3370,19770926,    0,    1
  1010,  3370,19770927,    0,    1
  1010,  3370,19770928,    0,    1
  1010,  3370,19770929,    4,    0
  1010,  3370,19770930,   66,    0
  1010,  3370,19771001,   41,    0
  1010,  3370,19771002,   61,    0
  1010,  3370,19771003,    7,    0
  1010,  3370,19771004,    0,    0
  1010,  3370,19771005,   42,    0
  1010,  3370,19771006,   11,    0
  1010,  3370,19771007,    2,    0
  1010,  3370,19771008,   34,    0
  1010,  3370,19771009,    0,    0
  1010,  3370,19771010,    0,    0
  1010,  3370,19771011,    0,    0
  1010,  3370,19771012,    0,    0
  1010,  3370,19771013,    0,    0
  1010,  3370,19771014,   10,    1
  1010,  3370,19771015,    0,    1
  1010,  3370,19771016,    0,    1
  1010,  3370,19771017,    0,    1
  1010,  3370,19771018,    0,    1
  1010,  3370,19771019,    0,    1
  1010,  3370,19771020,    0,    1
  1010,  3370,19771021,    0,    1
  1010,  3370,19771022,    0,    1
  1010,  3370,19771023,    0,    1
  1010,  3370,19771024,   28,    0
  1010,  3370,19771025,    0,    0
  1010,  3370,19771026,    5,    0
  1010,  3370,19771027,    0,    0
  1010,  3370,19771028,    0,    0
  1010,  3370,19771029,    0,    0
  1010,  3370,19771030,    0,    0
  1010,  3370,19771031,    0,    0
  1010,  3370,19771101,-9999,    9
  1010,  3370,19771102,-9999,    9
  1010,  3370,19771103,-9999,    9
  1010,  3370,19771104,-9999,    9
  1010,  3370,19771105,-9999,    9
  1010,  3370,19771106,-9999,    9
  1010,  3370,19771107,-9999,    9
  1010,  3370,19771108,-9999,    9
  1010,  3370,19771109,-9999,    9
  1010,  3370,19771110,-9999,    9
