EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INCY, RUSSIAN FEDERATION (STAID: 1092)
Blended and updated with sources:2596 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1092,  2596,19360101,    0,    0
  1092,  2596,19360102,    6,    0
  1092,  2596,19360103,    2,    0
  1092,  2596,19360104,   29,    0
  1092,  2596,19360105,   17,    0
  1092,  2596,19360106,    4,    0
  1092,  2596,19360107,    0,    0
  1092,  2596,19360108,    0,    0
  1092,  2596,19360109,    0,    0
  1092,  2596,19360110,    4,    0
  1092,  2596,19360111,    0,    0
  1092,  2596,19360112,    2,    0
  1092,  2596,19360113,    3,    0
  1092,  2596,19360114,    1,    0
  1092,  2596,19360115,    1,    0
  1092,  2596,19360116,    5,    0
  1092,  2596,19360117,    2,    0
  1092,  2596,19360118,   26,    0
  1092,  2596,19360119,    0,    0
  1092,  2596,19360120,   10,    0
  1092,  2596,19360121,   19,    0
  1092,  2596,19360122,    2,    0
  1092,  2596,19360123,   10,    0
  1092,  2596,19360124,    6,    0
  1092,  2596,19360125,    2,    0
  1092,  2596,19360126,    1,    0
  1092,  2596,19360127,    1,    0
  1092,  2596,19360128,    0,    0
  1092,  2596,19360129,    3,    0
  1092,  2596,19360130,    3,    0
  1092,  2596,19360131,   14,    0
  1092,  2596,19360201,    7,    0
  1092,  2596,19360202,    5,    0
  1092,  2596,19360203,    4,    0
  1092,  2596,19360204,    0,    0
  1092,  2596,19360205,   10,    0
  1092,  2596,19360206,    9,    0
  1092,  2596,19360207,    1,    0
  1092,  2596,19360208,    1,    0
  1092,  2596,19360209,   10,    0
  1092,  2596,19360210,    3,    0
  1092,  2596,19360211,    0,    0
  1092,  2596,19360212,    3,    0
  1092,  2596,19360213,    1,    0
  1092,  2596,19360214,    0,    0
  1092,  2596,19360215,    0,    0
  1092,  2596,19360216,   32,    0
  1092,  2596,19360217,    0,    0
  1092,  2596,19360218,    1,    0
  1092,  2596,19360219,    0,    0
  1092,  2596,19360220,    1,    0
  1092,  2596,19360221,    0,    0
  1092,  2596,19360222,    1,    0
  1092,  2596,19360223,    3,    0
  1092,  2596,19360224,    5,    0
  1092,  2596,19360225,    9,    0
  1092,  2596,19360226,    4,    0
  1092,  2596,19360227,    4,    0
  1092,  2596,19360228,    2,    0
  1092,  2596,19360229,    0,    0
  1092,  2596,19360301,    9,    0
  1092,  2596,19360302,   19,    0
  1092,  2596,19360303,    5,    0
  1092,  2596,19360304,    0,    0
  1092,  2596,19360305,    0,    0
  1092,  2596,19360306,    0,    0
  1092,  2596,19360307,    0,    0
  1092,  2596,19360308,   18,    0
  1092,  2596,19360309,    4,    0
  1092,  2596,19360310,    0,    0
  1092,  2596,19360311,    1,    0
  1092,  2596,19360312,    0,    0
  1092,  2596,19360313,    0,    0
  1092,  2596,19360314,    0,    0
  1092,  2596,19360315,    0,    0
  1092,  2596,19360316,    4,    0
  1092,  2596,19360317,   16,    0
  1092,  2596,19360318,    8,    0
  1092,  2596,19360319,   12,    0
  1092,  2596,19360320,    0,    0
  1092,  2596,19360321,    0,    0
  1092,  2596,19360322,   41,    0
  1092,  2596,19360323,    2,    0
  1092,  2596,19360324,    0,    0
  1092,  2596,19360325,    0,    0
  1092,  2596,19360326,-9999,    9
  1092,  2596,19360327,    8,    0
  1092,  2596,19360328,    0,    0
  1092,  2596,19360329,    1,    0
  1092,  2596,19360330,    0,    0
  1092,  2596,19360331,    0,    0
  1092,  2596,19360401,    0,    0
  1092,  2596,19360402,    3,    0
  1092,  2596,19360403,   18,    0
  1092,  2596,19360404,    0,    0
  1092,  2596,19360405,    0,    0
  1092,  2596,19360406,    1,    0
  1092,  2596,19360407,    0,    0
  1092,  2596,19360408,    0,    0
  1092,  2596,19360409,    0,    0
  1092,  2596,19360410,    0,    0
  1092,  2596,19360411,    0,    0
  1092,  2596,19360412,    0,    0
  1092,  2596,19360413,    1,    0
  1092,  2596,19360414,    0,    0
  1092,  2596,19360415,    0,    0
  1092,  2596,19360416,    0,    0
  1092,  2596,19360417,    0,    0
  1092,  2596,19360418,    6,    0
  1092,  2596,19360419,    2,    0
  1092,  2596,19360420,    0,    0
  1092,  2596,19360421,    0,    0
  1092,  2596,19360422,    0,    0
  1092,  2596,19360423,    0,    0
  1092,  2596,19360424,    0,    0
  1092,  2596,19360425,    0,    0
  1092,  2596,19360426,-9999,    9
  1092,  2596,19360427,    0,    0
  1092,  2596,19360428,    0,    0
  1092,  2596,19360429,    2,    0
  1092,  2596,19360430,    1,    0
  1092,  2596,19360501,    0,    0
  1092,  2596,19360502,    0,    0
  1092,  2596,19360503,    0,    0
  1092,  2596,19360504,    0,    0
  1092,  2596,19360505,    0,    0
  1092,  2596,19360506,    0,    0
  1092,  2596,19360507,    0,    0
  1092,  2596,19360508,    3,    0
  1092,  2596,19360509,    0,    0
  1092,  2596,19360510,    0,    0
  1092,  2596,19360511,    0,    0
  1092,  2596,19360512,    0,    0
  1092,  2596,19360513,    0,    0
  1092,  2596,19360514,    0,    0
  1092,  2596,19360515,    0,    0
  1092,  2596,19360516,   10,    0
  1092,  2596,19360517,   27,    0
  1092,  2596,19360518,    0,    0
  1092,  2596,19360519,    0,    0
  1092,  2596,19360520,    0,    0
  1092,  2596,19360521,    0,    0
  1092,  2596,19360522,   20,    0
  1092,  2596,19360523,   16,    0
  1092,  2596,19360524,-9999,    9
  1092,  2596,19360525,    0,    0
  1092,  2596,19360526,    0,    0
  1092,  2596,19360527,   11,    0
  1092,  2596,19360528,   46,    0
  1092,  2596,19360529,   42,    0
  1092,  2596,19360530,    6,    0
  1092,  2596,19360531,   26,    0
  1092,  2596,19360601,   20,    0
  1092,  2596,19360602,    6,    0
  1092,  2596,19360603,    0,    0
  1092,  2596,19360604,    0,    0
  1092,  2596,19360605,    0,    0
  1092,  2596,19360606,    0,    0
  1092,  2596,19360607,    0,    0
  1092,  2596,19360608,    0,    0
  1092,  2596,19360609,    0,    0
  1092,  2596,19360610,    0,    0
  1092,  2596,19360611,    0,    0
  1092,  2596,19360612,  153,    0
  1092,  2596,19360613,   19,    0
  1092,  2596,19360614,    0,    0
  1092,  2596,19360615,    0,    0
  1092,  2596,19360616,    0,    0
  1092,  2596,19360617,    0,    0
  1092,  2596,19360618,    0,    0
  1092,  2596,19360619,    0,    0
  1092,  2596,19360620,   16,    0
  1092,  2596,19360621,    0,    0
  1092,  2596,19360622,    6,    0
  1092,  2596,19360623,    2,    0
  1092,  2596,19360624,   57,    0
  1092,  2596,19360625,   63,    0
  1092,  2596,19360626,-9999,    9
  1092,  2596,19360627,    3,    0
  1092,  2596,19360628,   68,    0
  1092,  2596,19360629,   11,    0
  1092,  2596,19360630,    0,    0
  1092,  2596,19360701,    3,    0
  1092,  2596,19360702,    0,    0
  1092,  2596,19360703,    0,    0
  1092,  2596,19360704,   37,    0
  1092,  2596,19360705,    0,    0
  1092,  2596,19360706,  262,    0
  1092,  2596,19360707,    0,    0
  1092,  2596,19360708,    0,    0
  1092,  2596,19360709,    0,    0
  1092,  2596,19360710,   80,    0
  1092,  2596,19360711,   50,    0
  1092,  2596,19360712,  142,    0
  1092,  2596,19360713,    0,    0
  1092,  2596,19360714,    0,    0
  1092,  2596,19360715,   24,    0
  1092,  2596,19360716,   10,    0
  1092,  2596,19360717,    8,    0
  1092,  2596,19360718,  105,    0
  1092,  2596,19360719,    0,    0
  1092,  2596,19360720,    0,    0
  1092,  2596,19360721,   25,    0
  1092,  2596,19360722,    0,    0
  1092,  2596,19360723,    0,    0
  1092,  2596,19360724,    0,    0
  1092,  2596,19360725,    0,    0
  1092,  2596,19360726,    0,    0
  1092,  2596,19360727,    0,    0
  1092,  2596,19360728,    0,    0
  1092,  2596,19360729,    0,    0
  1092,  2596,19360730,    0,    0
  1092,  2596,19360731,    4,    0
  1092,  2596,19360801,    0,    0
  1092,  2596,19360802,    0,    0
  1092,  2596,19360803,    0,    0
  1092,  2596,19360804,    0,    0
  1092,  2596,19360805,    3,    0
  1092,  2596,19360806,    0,    0
  1092,  2596,19360807,    0,    0
  1092,  2596,19360808,    4,    0
  1092,  2596,19360809,  205,    0
  1092,  2596,19360810,   51,    0
  1092,  2596,19360811,    0,    0
  1092,  2596,19360812,    0,    0
  1092,  2596,19360813,    3,    0
  1092,  2596,19360814,    0,    0
  1092,  2596,19360815,    0,    0
  1092,  2596,19360816,   14,    0
  1092,  2596,19360817,    0,    0
  1092,  2596,19360818,    0,    0
  1092,  2596,19360819,    0,    0
  1092,  2596,19360820,    0,    0
  1092,  2596,19360821,    0,    0
  1092,  2596,19360822,    0,    0
  1092,  2596,19360823,    0,    0
  1092,  2596,19360824,    0,    0
  1092,  2596,19360825,    0,    0
  1092,  2596,19360826,    0,    0
  1092,  2596,19360827,    0,    0
  1092,  2596,19360828,    0,    0
  1092,  2596,19360829,   51,    0
  1092,  2596,19360830,    0,    0
  1092,  2596,19360831,    0,    0
  1092,  2596,19360901,    0,    0
  1092,  2596,19360902,    0,    0
  1092,  2596,19360903,    1,    0
  1092,  2596,19360904,    0,    0
  1092,  2596,19360905,    0,    0
  1092,  2596,19360906,    1,    0
  1092,  2596,19360907,   27,    0
  1092,  2596,19360908,    5,    0
  1092,  2596,19360909,  187,    0
  1092,  2596,19360910,   27,    0
  1092,  2596,19360911,-9999,    9
  1092,  2596,19360912,    0,    0
  1092,  2596,19360913,    0,    0
  1092,  2596,19360914,    0,    0
  1092,  2596,19360915,    0,    0
  1092,  2596,19360916,   30,    0
  1092,  2596,19360917,   12,    0
  1092,  2596,19360918,    0,    0
  1092,  2596,19360919,    0,    0
  1092,  2596,19360920,    6,    0
  1092,  2596,19360921,   13,    0
  1092,  2596,19360922,    0,    0
  1092,  2596,19360923,    0,    0
  1092,  2596,19360924,    5,    0
  1092,  2596,19360925,    0,    0
  1092,  2596,19360926,   18,    0
  1092,  2596,19360927,    3,    0
  1092,  2596,19360928,   29,    0
  1092,  2596,19360929,    3,    0
  1092,  2596,19360930,    4,    0
  1092,  2596,19361001,   79,    0
  1092,  2596,19361002,   31,    0
  1092,  2596,19361003,    0,    0
  1092,  2596,19361004,   29,    0
  1092,  2596,19361005,   26,    0
  1092,  2596,19361006,   23,    0
  1092,  2596,19361007,    0,    0
