EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DANILOVO, RUSSIAN FEDERATION (STAID: 1114)
Blended and updated with sources:2646 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1114,  2646,19660101,    2,    0
  1114,  2646,19660102,    9,    0
  1114,  2646,19660103,    2,    0
  1114,  2646,19660104,    0,    0
  1114,  2646,19660105,    2,    0
  1114,  2646,19660106,    0,    0
  1114,  2646,19660107,    0,    0
  1114,  2646,19660108,    0,    0
  1114,  2646,19660109,    0,    0
  1114,  2646,19660110,    2,    0
  1114,  2646,19660111,    5,    0
  1114,  2646,19660112,   10,    0
  1114,  2646,19660113,    2,    0
  1114,  2646,19660114,    0,    0
  1114,  2646,19660115,    0,    0
  1114,  2646,19660116,    4,    0
  1114,  2646,19660117,   33,    0
  1114,  2646,19660118,   18,    0
  1114,  2646,19660119,    8,    0
  1114,  2646,19660120,    2,    0
  1114,  2646,19660121,    0,    0
  1114,  2646,19660122,    0,    0
  1114,  2646,19660123,   29,    0
  1114,  2646,19660124,   20,    0
  1114,  2646,19660125,   43,    0
  1114,  2646,19660126,   48,    0
  1114,  2646,19660127,    6,    0
  1114,  2646,19660128,    8,    0
  1114,  2646,19660129,    4,    0
  1114,  2646,19660130,    0,    0
  1114,  2646,19660131,   43,    0
  1114,  2646,19660201,    0,    0
  1114,  2646,19660202,    0,    0
  1114,  2646,19660203,    0,    0
  1114,  2646,19660204,    0,    0
  1114,  2646,19660205,   12,    0
  1114,  2646,19660206,   14,    0
  1114,  2646,19660207,    7,    0
  1114,  2646,19660208,   21,    0
  1114,  2646,19660209,   13,    0
  1114,  2646,19660210,   10,    0
  1114,  2646,19660211,    2,    0
  1114,  2646,19660212,    0,    0
  1114,  2646,19660213,    0,    0
  1114,  2646,19660214,    0,    0
  1114,  2646,19660215,-9999,    9
  1114,  2646,19660216,    2,    0
  1114,  2646,19660217,   26,    0
  1114,  2646,19660218,-9999,    9
  1114,  2646,19660219,-9999,    9
  1114,  2646,19660220,    8,    0
  1114,  2646,19660221,    5,    0
  1114,  2646,19660222,    5,    0
  1114,  2646,19660223,   58,    0
  1114,  2646,19660224,   43,    0
  1114,  2646,19660225,   31,    0
  1114,  2646,19660226,    0,    0
  1114,  2646,19660227,    0,    0
  1114,  2646,19660228,   25,    0
  1114,  2646,19660301,    5,    0
  1114,  2646,19660302,    6,    0
  1114,  2646,19660303,   15,    0
  1114,  2646,19660304,    6,    0
  1114,  2646,19660305,    0,    0
  1114,  2646,19660306,    0,    0
  1114,  2646,19660307,   20,    0
  1114,  2646,19660308,    9,    0
  1114,  2646,19660309,   37,    0
  1114,  2646,19660310,    2,    0
  1114,  2646,19660311,    3,    0
  1114,  2646,19660312,    0,    0
  1114,  2646,19660313,    0,    0
  1114,  2646,19660314,   11,    0
  1114,  2646,19660315,   24,    0
  1114,  2646,19660316,    8,    0
  1114,  2646,19660317,    8,    0
  1114,  2646,19660318,    7,    0
  1114,  2646,19660319,    2,    0
  1114,  2646,19660320,   64,    0
  1114,  2646,19660321,   52,    0
  1114,  2646,19660322,-9999,    9
  1114,  2646,19660323,   10,    0
  1114,  2646,19660324,    2,    0
  1114,  2646,19660325,   32,    0
  1114,  2646,19660326,   19,    0
  1114,  2646,19660327,-9999,    9
  1114,  2646,19660328,    0,    0
  1114,  2646,19660329,    6,    0
  1114,  2646,19660330,   45,    0
  1114,  2646,19660331,   29,    0
  1114,  2646,19660401,   62,    0
  1114,  2646,19660402,    6,    0
  1114,  2646,19660403,    2,    0
  1114,  2646,19660404,    0,    0
  1114,  2646,19660405,    0,    0
  1114,  2646,19660406,   20,    0
  1114,  2646,19660407,   39,    0
  1114,  2646,19660408,   34,    0
  1114,  2646,19660409,  111,    0
  1114,  2646,19660410,   18,    0
  1114,  2646,19660411,   38,    0
  1114,  2646,19660412,    0,    0
  1114,  2646,19660413,   18,    0
  1114,  2646,19660414,   44,    0
  1114,  2646,19660415,   16,    0
  1114,  2646,19660416,   48,    0
  1114,  2646,19660417,    0,    0
  1114,  2646,19660418,    2,    0
  1114,  2646,19660419,  182,    0
  1114,  2646,19660420,    0,    0
  1114,  2646,19660421,    0,    0
  1114,  2646,19660422,   77,    0
  1114,  2646,19660423,    0,    0
  1114,  2646,19660424,    0,    0
  1114,  2646,19660425,    0,    0
  1114,  2646,19660426,   82,    0
  1114,  2646,19660427,   32,    0
  1114,  2646,19660428,    2,    0
  1114,  2646,19660429,    0,    0
  1114,  2646,19660430,    3,    0
  1114,  2646,19660501,   16,    0
  1114,  2646,19660502,    3,    0
  1114,  2646,19660503,   40,    0
  1114,  2646,19660504,    2,    0
  1114,  2646,19660505,   14,    0
  1114,  2646,19660506,    0,    0
  1114,  2646,19660507,    0,    0
  1114,  2646,19660508,    0,    0
  1114,  2646,19660509,    4,    0
  1114,  2646,19660510,    0,    0
  1114,  2646,19660511,    0,    0
  1114,  2646,19660512,    0,    0
  1114,  2646,19660513,    0,    0
  1114,  2646,19660514,    0,    0
  1114,  2646,19660515,    0,    0
  1114,  2646,19660516,    6,    0
  1114,  2646,19660517,    0,    0
  1114,  2646,19660518,    0,    0
  1114,  2646,19660519,    0,    0
  1114,  2646,19660520,    0,    0
  1114,  2646,19660521,    6,    0
  1114,  2646,19660522,    2,    0
  1114,  2646,19660523,    0,    0
  1114,  2646,19660524,    0,    0
  1114,  2646,19660525,   64,    0
  1114,  2646,19660526,    0,    0
  1114,  2646,19660527,    8,    0
  1114,  2646,19660528,   77,    0
  1114,  2646,19660529,   18,    0
  1114,  2646,19660530,    0,    0
  1114,  2646,19660531,   53,    0
  1114,  2646,19660601,    2,    0
  1114,  2646,19660602,    0,    0
  1114,  2646,19660603,    2,    0
  1114,  2646,19660604,   36,    0
  1114,  2646,19660605,    9,    0
  1114,  2646,19660606,    6,    0
  1114,  2646,19660607,   31,    0
  1114,  2646,19660608,    0,    0
  1114,  2646,19660609,    0,    0
  1114,  2646,19660610,    0,    0
  1114,  2646,19660611,    0,    0
  1114,  2646,19660612,   63,    0
  1114,  2646,19660613,    0,    0
  1114,  2646,19660614,    4,    0
  1114,  2646,19660615,    0,    0
  1114,  2646,19660616,    0,    0
  1114,  2646,19660617,    0,    0
  1114,  2646,19660618,   12,    0
  1114,  2646,19660619,    0,    0
  1114,  2646,19660620,    0,    0
  1114,  2646,19660621,    4,    0
  1114,  2646,19660622,    9,    0
  1114,  2646,19660623,   15,    0
  1114,  2646,19660624,   97,    0
  1114,  2646,19660625,    2,    0
  1114,  2646,19660626,    0,    0
  1114,  2646,19660627,   10,    0
  1114,  2646,19660628,   46,    0
  1114,  2646,19660629,  155,    0
  1114,  2646,19660630,  123,    0
  1114,  2646,19660701,   68,    0
  1114,  2646,19660702,   17,    0
  1114,  2646,19660703,    0,    0
  1114,  2646,19660704,   98,    0
  1114,  2646,19660705,   14,    0
  1114,  2646,19660706,    2,    0
  1114,  2646,19660707,  114,    0
  1114,  2646,19660708,    0,    0
  1114,  2646,19660709,  231,    0
  1114,  2646,19660710,    2,    0
  1114,  2646,19660711,   45,    0
  1114,  2646,19660712,  169,    0
  1114,  2646,19660713,    0,    0
  1114,  2646,19660714,    3,    0
  1114,  2646,19660715,    0,    0
  1114,  2646,19660716,    0,    0
  1114,  2646,19660717,    0,    0
  1114,  2646,19660718,    0,    0
  1114,  2646,19660719,    2,    0
  1114,  2646,19660720,    0,    0
  1114,  2646,19660721,    0,    0
  1114,  2646,19660722,   17,    0
  1114,  2646,19660723,    4,    0
  1114,  2646,19660724,    0,    0
  1114,  2646,19660725,    0,    0
  1114,  2646,19660726,    0,    0
  1114,  2646,19660727,    0,    0
  1114,  2646,19660728,   16,    0
  1114,  2646,19660729,   25,    0
  1114,  2646,19660730,    0,    0
  1114,  2646,19660731,   63,    0
  1114,  2646,19660801,    0,    0
  1114,  2646,19660802,   34,    0
  1114,  2646,19660803,   94,    0
  1114,  2646,19660804,   21,    0
  1114,  2646,19660805,  266,    0
  1114,  2646,19660806,    2,    0
  1114,  2646,19660807,    0,    0
  1114,  2646,19660808,  217,    0
  1114,  2646,19660809,   16,    0
  1114,  2646,19660810,    0,    0
  1114,  2646,19660811,   37,    0
  1114,  2646,19660812,   37,    0
  1114,  2646,19660813,   85,    0
  1114,  2646,19660814,    9,    0
  1114,  2646,19660815,   51,    0
  1114,  2646,19660816,   33,    0
  1114,  2646,19660817,    3,    0
  1114,  2646,19660818,    5,    0
  1114,  2646,19660819,    0,    0
  1114,  2646,19660820,   31,    0
  1114,  2646,19660821,   37,    0
  1114,  2646,19660822,    0,    0
  1114,  2646,19660823,    0,    0
  1114,  2646,19660824,    2,    0
  1114,  2646,19660825,   14,    0
  1114,  2646,19660826,    2,    0
  1114,  2646,19660827,   42,    0
  1114,  2646,19660828,    3,    0
  1114,  2646,19660829,    3,    0
  1114,  2646,19660830,    2,    0
  1114,  2646,19660831,    0,    0
  1114,  2646,19660901,    0,    0
  1114,  2646,19660902,    2,    0
  1114,  2646,19660903,   38,    0
  1114,  2646,19660904,    0,    0
  1114,  2646,19660905,    2,    0
  1114,  2646,19660906,    2,    0
  1114,  2646,19660907,   31,    0
  1114,  2646,19660908,   68,    0
  1114,  2646,19660909,    0,    0
  1114,  2646,19660910,    0,    0
  1114,  2646,19660911,    0,    0
  1114,  2646,19660912,    0,    0
  1114,  2646,19660913,    2,    0
  1114,  2646,19660914,   52,    0
  1114,  2646,19660915,   73,    0
  1114,  2646,19660916,   83,    0
  1114,  2646,19660917,   40,    0
  1114,  2646,19660918,   10,    0
  1114,  2646,19660919,    0,    0
  1114,  2646,19660920,  119,    0
  1114,  2646,19660921,    0,    0
  1114,  2646,19660922,    3,    0
  1114,  2646,19660923,   41,    0
  1114,  2646,19660924,    8,    0
  1114,  2646,19660925,   13,    0
  1114,  2646,19660926,    0,    0
  1114,  2646,19660927,   92,    0
  1114,  2646,19660928,   53,    0
  1114,  2646,19660929,   25,    0
  1114,  2646,19660930,   28,    0
  1114,  2646,19661001,    0,    0
  1114,  2646,19661002,    3,    0
  1114,  2646,19661003,   19,    0
  1114,  2646,19661004,  115,    0
  1114,  2646,19661005,   62,    0
  1114,  2646,19661006,    9,    0
  1114,  2646,19661007,    0,    0
  1114,  2646,19661008,  107,    0
  1114,  2646,19661009,  185,    0
  1114,  2646,19661010,   24,    0
  1114,  2646,19661011,    2,    0
  1114,  2646,19661012,    0,    0
  1114,  2646,19661013,    0,    0
  1114,  2646,19661014,    2,    0
  1114,  2646,19661015,    2,    0
  1114,  2646,19661016,   75,    0
  1114,  2646,19661017,   32,    0
  1114,  2646,19661018,   10,    0
  1114,  2646,19661019,   11,    0
  1114,  2646,19661020,    8,    0
  1114,  2646,19661021,    0,    0
  1114,  2646,19661022,    3,    0
  1114,  2646,19661023,   57,    0
  1114,  2646,19661024,  121,    0
  1114,  2646,19661025,   24,    0
  1114,  2646,19661026,   32,    0
  1114,  2646,19661027,    7,    0
  1114,  2646,19661028,    6,    0
  1114,  2646,19661029,    6,    0
  1114,  2646,19661030,    2,    0
  1114,  2646,19661031,    2,    0
  1114,  2646,19661101,   43,    0
  1114,  2646,19661102,   72,    0
  1114,  2646,19661103,    2,    0
  1114,  2646,19661104,    2,    0
  1114,  2646,19661105,   21,    0
  1114,  2646,19661106,    0,    0
  1114,  2646,19661107,    0,    0
  1114,  2646,19661108,    9,    0
  1114,  2646,19661109,    6,    0
  1114,  2646,19661110,    5,    0
  1114,  2646,19661111,   47,    0
  1114,  2646,19661112,   46,    0
  1114,  2646,19661113,    0,    0
  1114,  2646,19661114,    3,    0
  1114,  2646,19661115,    4,    0
