EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUS-HRUSTAL-NYJ, RUSSIAN FEDERATION (STAID: 1219)
Blended and updated with sources:2841 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1219,  2841,19590701,    0,    0
  1219,  2841,19590702,    0,    0
  1219,  2841,19590703,    0,    0
  1219,  2841,19590704,    0,    0
  1219,  2841,19590705,  101,    0
  1219,  2841,19590706,    0,    0
  1219,  2841,19590707,   31,    0
  1219,  2841,19590708,  164,    0
  1219,  2841,19590709,  151,    0
  1219,  2841,19590710,    0,    0
  1219,  2841,19590711,   31,    0
  1219,  2841,19590712,    0,    0
  1219,  2841,19590713,    0,    0
  1219,  2841,19590714,    0,    0
  1219,  2841,19590715,    0,    0
  1219,  2841,19590716,    7,    0
  1219,  2841,19590717,    0,    0
  1219,  2841,19590718,    0,    0
  1219,  2841,19590719,    0,    0
  1219,  2841,19590720,    0,    0
  1219,  2841,19590721,    0,    0
  1219,  2841,19590722,    0,    0
  1219,  2841,19590723,    0,    0
  1219,  2841,19590724,   25,    0
  1219,  2841,19590725,    8,    0
  1219,  2841,19590726,    0,    0
  1219,  2841,19590727,    0,    0
  1219,  2841,19590728,    6,    0
  1219,  2841,19590729,   21,    0
  1219,  2841,19590730,    0,    0
  1219,  2841,19590731,   75,    0
  1219,  2841,19590801,    0,    0
  1219,  2841,19590802,    0,    0
  1219,  2841,19590803,    0,    0
  1219,  2841,19590804,    0,    0
  1219,  2841,19590805,    0,    0
  1219,  2841,19590806,    0,    0
  1219,  2841,19590807,    0,    0
  1219,  2841,19590808,   18,    0
  1219,  2841,19590809,    0,    0
  1219,  2841,19590810,    0,    0
  1219,  2841,19590811,    0,    0
  1219,  2841,19590812,    0,    0
  1219,  2841,19590813,    0,    0
  1219,  2841,19590814,    1,    0
  1219,  2841,19590815,    0,    0
  1219,  2841,19590816,    0,    0
  1219,  2841,19590817,    0,    0
  1219,  2841,19590818,    0,    0
  1219,  2841,19590819,    0,    0
  1219,  2841,19590820,   14,    0
  1219,  2841,19590821,    2,    0
  1219,  2841,19590822,    1,    0
  1219,  2841,19590823,    0,    0
  1219,  2841,19590824,    0,    0
  1219,  2841,19590825,    0,    0
  1219,  2841,19590826,  212,    0
  1219,  2841,19590827,   19,    0
  1219,  2841,19590828,   12,    0
  1219,  2841,19590829,   28,    0
  1219,  2841,19590830,    0,    0
  1219,  2841,19590831,    0,    0
  1219,  2841,19590901,    0,    0
  1219,  2841,19590902,    0,    0
  1219,  2841,19590903,   22,    0
  1219,  2841,19590904,    0,    0
  1219,  2841,19590905,    0,    0
  1219,  2841,19590906,    0,    0
  1219,  2841,19590907,    0,    0
  1219,  2841,19590908,    0,    0
  1219,  2841,19590909,   18,    0
  1219,  2841,19590910,   34,    0
  1219,  2841,19590911,    0,    0
  1219,  2841,19590912,    0,    0
  1219,  2841,19590913,    0,    0
  1219,  2841,19590914,    8,    0
  1219,  2841,19590915,    7,    0
