EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TORBEEVO, RUSSIAN FEDERATION (STAID: 1243)
Blended and updated with sources:2873 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1243,  2873,19590701,-9999,    9
  1243,  2873,19590702,    0,    0
  1243,  2873,19590703,    1,    0
  1243,  2873,19590704,    8,    0
  1243,  2873,19590705,    0,    0
  1243,  2873,19590706,    0,    0
  1243,  2873,19590707,    1,    0
  1243,  2873,19590708,    0,    0
  1243,  2873,19590709,  243,    0
  1243,  2873,19590710,    0,    0
  1243,  2873,19590711,    0,    0
  1243,  2873,19590712,    0,    0
  1243,  2873,19590713,    0,    0
  1243,  2873,19590714,    0,    0
  1243,  2873,19590715,    0,    0
  1243,  2873,19590716,   80,    0
  1243,  2873,19590717,    1,    0
  1243,  2873,19590718,-9999,    9
  1243,  2873,19590719,    0,    0
  1243,  2873,19590720,    0,    0
  1243,  2873,19590721,    0,    0
  1243,  2873,19590722,    0,    0
  1243,  2873,19590723,    0,    0
  1243,  2873,19590724,-9999,    9
  1243,  2873,19590725,-9999,    9
  1243,  2873,19590726,   10,    0
  1243,  2873,19590727,   15,    0
  1243,  2873,19590728,    0,    0
  1243,  2873,19590729,    0,    0
  1243,  2873,19590730,    0,    0
  1243,  2873,19590731,    0,    0
  1243,  2873,19590801,    0,    0
  1243,  2873,19590802,    0,    0
  1243,  2873,19590803,    0,    0
  1243,  2873,19590804,    0,    0
  1243,  2873,19590805,    0,    0
  1243,  2873,19590806,    0,    0
  1243,  2873,19590807,    0,    0
  1243,  2873,19590808,   18,    0
  1243,  2873,19590809,    1,    0
  1243,  2873,19590810,    0,    0
  1243,  2873,19590811,    0,    0
  1243,  2873,19590812,    1,    0
  1243,  2873,19590813,   12,    0
  1243,  2873,19590814,   92,    0
  1243,  2873,19590815,    1,    0
  1243,  2873,19590816,    3,    0
  1243,  2873,19590817,   27,    0
  1243,  2873,19590818,    0,    0
  1243,  2873,19590819,    0,    0
  1243,  2873,19590820,    0,    0
  1243,  2873,19590821,    9,    0
  1243,  2873,19590822,    0,    0
  1243,  2873,19590823,    0,    0
  1243,  2873,19590824,    6,    0
  1243,  2873,19590825,   13,    0
  1243,  2873,19590826,  161,    0
  1243,  2873,19590827,   71,    0
  1243,  2873,19590828,   17,    0
  1243,  2873,19590829,   25,    0
  1243,  2873,19590830,    0,    0
  1243,  2873,19590831,    0,    0
  1243,  2873,19590901,    0,    0
  1243,  2873,19590902,   25,    0
  1243,  2873,19590903,  123,    0
  1243,  2873,19590904,   23,    0
  1243,  2873,19590905,    0,    0
  1243,  2873,19590906,    0,    0
  1243,  2873,19590907,-9999,    9
  1243,  2873,19590908,   10,    0
  1243,  2873,19590909,   15,    0
  1243,  2873,19590910,   66,    0
  1243,  2873,19590911,-9999,    9
  1243,  2873,19590912,-9999,    9
  1243,  2873,19590913,    0,    0
  1243,  2873,19590914,    0,    0
  1243,  2873,19590915,-9999,    9
  1243,  2873,19590916,-9999,    9
  1243,  2873,19590917,-9999,    9
  1243,  2873,19590918,    0,    0
  1243,  2873,19590919,    0,    0
  1243,  2873,19590920,    0,    0
  1243,  2873,19590921,   57,    0
  1243,  2873,19590922,    8,    0
  1243,  2873,19590923,-9999,    9
  1243,  2873,19590924,   13,    0
  1243,  2873,19590925,    2,    0
  1243,  2873,19590926,-9999,    9
  1243,  2873,19590927,    2,    0
  1243,  2873,19590928,-9999,    9
  1243,  2873,19590929,   94,    0
  1243,  2873,19590930,   60,    0
  1243,  2873,19591001,   18,    0
  1243,  2873,19591002,   28,    0
  1243,  2873,19591003,   57,    0
  1243,  2873,19591004,   11,    0
  1243,  2873,19591005,    0,    0
  1243,  2873,19591006,   40,    0
  1243,  2873,19591007,   44,    0
  1243,  2873,19591008,   26,    0
  1243,  2873,19591009,    2,    0
  1243,  2873,19591010,    1,    0
  1243,  2873,19591011,   12,    0
  1243,  2873,19591012,   69,    0
  1243,  2873,19591013,    1,    0
  1243,  2873,19591014,    7,    0
  1243,  2873,19591015,   10,    0
  1243,  2873,19591016,    2,    0
  1243,  2873,19591017,    1,    0
  1243,  2873,19591018,-9999,    9
  1243,  2873,19591019,    0,    0
  1243,  2873,19591020,    0,    0
  1243,  2873,19591021,    0,    0
  1243,  2873,19591022,    3,    0
  1243,  2873,19591023,   38,    0
  1243,  2873,19591024,   36,    0
  1243,  2873,19591025,    0,    0
  1243,  2873,19591026,    2,    0
  1243,  2873,19591027,-9999,    9
  1243,  2873,19591028,    0,    0
  1243,  2873,19591029,    0,    0
  1243,  2873,19591030,    0,    0
  1243,  2873,19591031,    0,    0
  1243,  2873,19591101,    0,    0
  1243,  2873,19591102,-9999,    9
  1243,  2873,19591103,    8,    0
  1243,  2873,19591104,    1,    0
  1243,  2873,19591105,-9999,    9
  1243,  2873,19591106,-9999,    9
  1243,  2873,19591107,-9999,    9
  1243,  2873,19591108,    0,    0
  1243,  2873,19591109,    0,    0
  1243,  2873,19591110,    0,    0
  1243,  2873,19591111,    0,    0
  1243,  2873,19591112,    0,    0
  1243,  2873,19591113,    0,    0
  1243,  2873,19591114,-9999,    9
  1243,  2873,19591115,    1,    0
  1243,  2873,19591116,    0,    0
  1243,  2873,19591117,    0,    0
  1243,  2873,19591118,    0,    0
  1243,  2873,19591119,    0,    0
  1243,  2873,19591120,    0,    0
  1243,  2873,19591121,    2,    0
  1243,  2873,19591122,    1,    0
  1243,  2873,19591123,    0,    0
  1243,  2873,19591124,   10,    0
  1243,  2873,19591125,    1,    0
  1243,  2873,19591126,    3,    0
  1243,  2873,19591127,    0,    0
  1243,  2873,19591128,    0,    0
  1243,  2873,19591129,    0,    0
  1243,  2873,19591130,    0,    0
  1243,  2873,19591201,    0,    0
  1243,  2873,19591202,    0,    0
  1243,  2873,19591203,   74,    0
  1243,  2873,19591204,    2,    0
  1243,  2873,19591205,    0,    0
  1243,  2873,19591206,    0,    0
  1243,  2873,19591207,    0,    0
  1243,  2873,19591208,    0,    0
  1243,  2873,19591209,    0,    0
  1243,  2873,19591210,    4,    0
  1243,  2873,19591211,    2,    0
  1243,  2873,19591212,-9999,    9
  1243,  2873,19591213,    0,    0
  1243,  2873,19591214,    1,    0
  1243,  2873,19591215,   17,    0
  1243,  2873,19591216,    8,    0
  1243,  2873,19591217,-9999,    9
  1243,  2873,19591218,    3,    0
  1243,  2873,19591219,    0,    0
  1243,  2873,19591220,    2,    0
  1243,  2873,19591221,    0,    0
  1243,  2873,19591222,    4,    0
  1243,  2873,19591223,   46,    0
  1243,  2873,19591224,    4,    0
  1243,  2873,19591225,    2,    0
  1243,  2873,19591226,    0,    0
  1243,  2873,19591227,   10,    0
  1243,  2873,19591228,   15,    0
  1243,  2873,19591229,   31,    0
  1243,  2873,19591230,   39,    0
  1243,  2873,19591231,    0,    0
  1243,  2873,19600101,    0,    0
  1243,  2873,19600102,    0,    0
  1243,  2873,19600103,    0,    0
  1243,  2873,19600104,    0,    0
  1243,  2873,19600105,    1,    0
  1243,  2873,19600106,    0,    0
  1243,  2873,19600107,    0,    0
  1243,  2873,19600108,    4,    0
  1243,  2873,19600109,    0,    0
  1243,  2873,19600110,    3,    0
  1243,  2873,19600111,   15,    0
  1243,  2873,19600112,    0,    0
  1243,  2873,19600113,    0,    0
  1243,  2873,19600114,   40,    0
  1243,  2873,19600115,   10,    0
  1243,  2873,19600116,   13,    0
  1243,  2873,19600117,   21,    0
  1243,  2873,19600118,    2,    0
  1243,  2873,19600119,   23,    0
  1243,  2873,19600120,   23,    0
  1243,  2873,19600121,   32,    0
  1243,  2873,19600122,    8,    0
  1243,  2873,19600123,    3,    0
  1243,  2873,19600124,    0,    0
  1243,  2873,19600125,   19,    0
  1243,  2873,19600126,    2,    0
  1243,  2873,19600127,    1,    0
  1243,  2873,19600128,   14,    0
  1243,  2873,19600129,   24,    0
  1243,  2873,19600130,   23,    0
  1243,  2873,19600131,   23,    0
  1243,  2873,19600201,   20,    0
  1243,  2873,19600202,    0,    0
  1243,  2873,19600203,    0,    0
  1243,  2873,19600204,    0,    0
  1243,  2873,19600205,    0,    0
  1243,  2873,19600206,    0,    0
