EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZERDEVKA, RUSSIAN FEDERATION (STAID: 1271)
Blended and updated with sources:2915 934047 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1271,  2915,19590701,    0,    0
  1271,  2915,19590702,    0,    0
  1271,  2915,19590703,    0,    0
  1271,  2915,19590704,    0,    0
  1271,  2915,19590705,    0,    0
  1271,  2915,19590706,    3,    0
  1271,  2915,19590707,    1,    0
  1271,  2915,19590708,    0,    0
  1271,  2915,19590709,   14,    0
  1271,  2915,19590710,   19,    0
  1271,  2915,19590711,    0,    0
  1271,  2915,19590712,    0,    0
  1271,  2915,19590713,    0,    0
  1271,  2915,19590714,    0,    0
  1271,  2915,19590715,    0,    0
  1271,  2915,19590716,   35,    0
  1271,  2915,19590717,    0,    0
  1271,  2915,19590718,    0,    0
  1271,  2915,19590719,    0,    0
  1271,  2915,19590720,    0,    0
  1271,  2915,19590721,    0,    0
  1271,  2915,19590722,    0,    0
  1271,  2915,19590723,    0,    0
  1271,  2915,19590724,    7,    0
  1271,  2915,19590725,    0,    0
  1271,  2915,19590726,    0,    0
  1271,  2915,19590727,    0,    0
  1271,  2915,19590728,    0,    0
  1271,  2915,19590729,    0,    0
  1271,  2915,19590730,    0,    0
  1271,  2915,19590731,   23,    0
  1271,  2915,19590801,    0,    0
  1271,  2915,19590802,    0,    0
  1271,  2915,19590803,    0,    0
  1271,  2915,19590804,    0,    0
  1271,  2915,19590805,    0,    0
  1271,  2915,19590806,    0,    0
  1271,  2915,19590807,    0,    0
  1271,  2915,19590808,    0,    0
  1271,  2915,19590809,    0,    0
  1271,  2915,19590810,   77,    0
  1271,  2915,19590811,   74,    0
  1271,  2915,19590812,    0,    0
  1271,  2915,19590813,    0,    0
  1271,  2915,19590814,    0,    0
  1271,  2915,19590815,    0,    0
  1271,  2915,19590816,    0,    0
  1271,  2915,19590817,   17,    0
  1271,  2915,19590818,    0,    0
  1271,  2915,19590819,    0,    0
  1271,  2915,19590820,    0,    0
  1271,  2915,19590821,    0,    0
  1271,  2915,19590822,    0,    0
  1271,  2915,19590823,    0,    0
  1271,  2915,19590824,    0,    0
  1271,  2915,19590825,   32,    0
  1271,  2915,19590826,   81,    0
  1271,  2915,19590827,   23,    0
  1271,  2915,19590828,    0,    0
  1271,  2915,19590829,    0,    0
  1271,  2915,19590830,    0,    0
  1271,  2915,19590831,    0,    0
  1271,  2915,19590901,    0,    0
  1271,  2915,19590902,  292,    0
  1271,  2915,19590903,   29,    0
  1271,  2915,19590904,    2,    0
  1271,  2915,19590905,   39,    0
  1271,  2915,19590906,    0,    0
  1271,  2915,19590907,    0,    0
  1271,  2915,19590908,    0,    0
  1271,  2915,19590909,    0,    0
  1271,  2915,19590910,    4,    0
  1271,  2915,19590911,    0,    0
  1271,  2915,19590912,    0,    0
  1271,  2915,19590913,    0,    0
  1271,  2915,19590914,    0,    0
  1271,  2915,19590915,   21,    0
  1271,  2915,19590916,    0,    0
  1271,  2915,19590917,   63,    0
  1271,  2915,19590918,    0,    0
  1271,  2915,19590919,    0,    0
  1271,  2915,19590920,    0,    0
  1271,  2915,19590921,    0,    0
  1271,  2915,19590922,    0,    0
