EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAMENSK-SCHAKHTINSKIY, RUSSIAN FEDERATION (STAID: 1313)
Blended and updated with sources:2989 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1313,  2989,19360101,    0,    0
  1313,  2989,19360102,    0,    0
  1313,  2989,19360103,    0,    0
  1313,  2989,19360104,    0,    0
  1313,  2989,19360105,    0,    0
  1313,  2989,19360106,    0,    0
  1313,  2989,19360107,    0,    0
  1313,  2989,19360108,    0,    0
  1313,  2989,19360109,    0,    0
  1313,  2989,19360110,   20,    0
  1313,  2989,19360111,   11,    0
  1313,  2989,19360112,   45,    0
  1313,  2989,19360113,   32,    0
  1313,  2989,19360114,   26,    0
  1313,  2989,19360115,    4,    0
  1313,  2989,19360116,    8,    0
  1313,  2989,19360117,    0,    0
  1313,  2989,19360118,    0,    0
  1313,  2989,19360119,    0,    0
  1313,  2989,19360120,    0,    0
  1313,  2989,19360121,    2,    0
  1313,  2989,19360122,   18,    0
  1313,  2989,19360123,   47,    0
  1313,  2989,19360124,   29,    0
  1313,  2989,19360125,    6,    0
  1313,  2989,19360126,    0,    0
  1313,  2989,19360127,   12,    0
  1313,  2989,19360128,   37,    0
  1313,  2989,19360129,   39,    0
  1313,  2989,19360130,  121,    0
  1313,  2989,19360131,    0,    0
  1313,  2989,19360201,    0,    0
  1313,  2989,19360202,    0,    0
  1313,  2989,19360203,    0,    0
  1313,  2989,19360204,    0,    0
  1313,  2989,19360205,    0,    0
  1313,  2989,19360206,    2,    0
  1313,  2989,19360207,    0,    0
  1313,  2989,19360208,    0,    0
  1313,  2989,19360209,    0,    0
  1313,  2989,19360210,    4,    0
  1313,  2989,19360211,   11,    0
  1313,  2989,19360212,   58,    0
  1313,  2989,19360213,  104,    0
  1313,  2989,19360214,    0,    0
  1313,  2989,19360215,    0,    0
  1313,  2989,19360216,    5,    0
  1313,  2989,19360217,    2,    0
  1313,  2989,19360218,    0,    0
  1313,  2989,19360219,    0,    0
  1313,  2989,19360220,   19,    0
  1313,  2989,19360221,    0,    0
  1313,  2989,19360222,    0,    0
  1313,  2989,19360223,    0,    0
  1313,  2989,19360224,    0,    0
  1313,  2989,19360225,    0,    0
  1313,  2989,19360226,    0,    0
  1313,  2989,19360227,    0,    0
  1313,  2989,19360228,    0,    0
  1313,  2989,19360229,    0,    0
  1313,  2989,19360301,    0,    0
  1313,  2989,19360302,    0,    0
  1313,  2989,19360303,    0,    0
  1313,  2989,19360304,    0,    0
  1313,  2989,19360305,    0,    0
  1313,  2989,19360306,    0,    0
  1313,  2989,19360307,    0,    0
  1313,  2989,19360308,    0,    0
  1313,  2989,19360309,    0,    0
  1313,  2989,19360310,    0,    0
  1313,  2989,19360311,    0,    0
  1313,  2989,19360312,    0,    0
  1313,  2989,19360313,    0,    0
  1313,  2989,19360314,    0,    0
  1313,  2989,19360315,    0,    0
  1313,  2989,19360316,    9,    0
  1313,  2989,19360317,    0,    0
  1313,  2989,19360318,   37,    0
  1313,  2989,19360319,    0,    0
  1313,  2989,19360320,    0,    0
  1313,  2989,19360321,    0,    0
  1313,  2989,19360322,   10,    0
  1313,  2989,19360323,    0,    0
  1313,  2989,19360324,    0,    0
  1313,  2989,19360325,   16,    0
  1313,  2989,19360326,    0,    0
  1313,  2989,19360327,    0,    0
  1313,  2989,19360328,   52,    0
  1313,  2989,19360329,    1,    0
  1313,  2989,19360330,    0,    0
  1313,  2989,19360331,    0,    0
  1313,  2989,19360401,    0,    0
  1313,  2989,19360402,    0,    0
  1313,  2989,19360403,    0,    0
  1313,  2989,19360404,    0,    0
  1313,  2989,19360405,  158,    0
  1313,  2989,19360406,  133,    0
  1313,  2989,19360407,    0,    0
  1313,  2989,19360408,    0,    0
  1313,  2989,19360409,   77,    0
  1313,  2989,19360410,    0,    0
  1313,  2989,19360411,    0,    0
  1313,  2989,19360412,   69,    0
  1313,  2989,19360413,  201,    0
  1313,  2989,19360414,   20,    0
  1313,  2989,19360415,    0,    0
  1313,  2989,19360416,    0,    0
  1313,  2989,19360417,    0,    0
  1313,  2989,19360418,    0,    0
  1313,  2989,19360419,    0,    0
  1313,  2989,19360420,   34,    0
  1313,  2989,19360421,    0,    0
  1313,  2989,19360422,    0,    0
  1313,  2989,19360423,    4,    0
  1313,  2989,19360424,   19,    0
  1313,  2989,19360425,   27,    0
  1313,  2989,19360426,    0,    0
  1313,  2989,19360427,    0,    0
  1313,  2989,19360428,    0,    0
  1313,  2989,19360429,    0,    0
  1313,  2989,19360430,    0,    0
  1313,  2989,19360501,    0,    0
  1313,  2989,19360502,    0,    0
  1313,  2989,19360503,    0,    0
  1313,  2989,19360504,    0,    0
  1313,  2989,19360505,    0,    0
  1313,  2989,19360506,    0,    0
  1313,  2989,19360507,    0,    0
  1313,  2989,19360508,    0,    0
  1313,  2989,19360509,    0,    0
  1313,  2989,19360510,    0,    0
  1313,  2989,19360511,    0,    0
  1313,  2989,19360512,    0,    0
  1313,  2989,19360513,    0,    0
  1313,  2989,19360514,    0,    0
  1313,  2989,19360515,    0,    0
  1313,  2989,19360516,    0,    0
  1313,  2989,19360517,    0,    0
  1313,  2989,19360518,    0,    0
  1313,  2989,19360519,    0,    0
  1313,  2989,19360520,    0,    0
  1313,  2989,19360521,    0,    0
  1313,  2989,19360522,    0,    0
  1313,  2989,19360523,    0,    0
  1313,  2989,19360524,    0,    0
  1313,  2989,19360525,    0,    0
  1313,  2989,19360526,    0,    0
  1313,  2989,19360527,    0,    0
  1313,  2989,19360528,    0,    0
  1313,  2989,19360529,    0,    0
  1313,  2989,19360530,    0,    0
  1313,  2989,19360531,    0,    0
  1313,  2989,19360601,    7,    0
  1313,  2989,19360602,    0,    0
  1313,  2989,19360603,   17,    0
  1313,  2989,19360604,   86,    0
  1313,  2989,19360605,    0,    0
  1313,  2989,19360606,    0,    0
  1313,  2989,19360607,  107,    0
  1313,  2989,19360608,    0,    0
  1313,  2989,19360609,    5,    0
  1313,  2989,19360610,  286,    0
  1313,  2989,19360611,    0,    0
  1313,  2989,19360612,    0,    0
  1313,  2989,19360613,    0,    0
  1313,  2989,19360614,    1,    0
  1313,  2989,19360615,    0,    0
  1313,  2989,19360616,  251,    0
  1313,  2989,19360617,    0,    0
  1313,  2989,19360618,   20,    0
  1313,  2989,19360619,    0,    0
  1313,  2989,19360620,   12,    0
  1313,  2989,19360621,    0,    0
  1313,  2989,19360622,   76,    0
  1313,  2989,19360623,    0,    0
  1313,  2989,19360624,  113,    0
  1313,  2989,19360625,    0,    0
  1313,  2989,19360626,    0,    0
  1313,  2989,19360627,    2,    0
  1313,  2989,19360628,    0,    0
  1313,  2989,19360629,    0,    0
  1313,  2989,19360630,    0,    0
  1313,  2989,19360701,    0,    0
  1313,  2989,19360702,    0,    0
  1313,  2989,19360703,    0,    0
  1313,  2989,19360704,    0,    0
  1313,  2989,19360705,    0,    0
  1313,  2989,19360706,    0,    0
  1313,  2989,19360707,    0,    0
  1313,  2989,19360708,   42,    0
  1313,  2989,19360709,   22,    0
  1313,  2989,19360710,    0,    0
  1313,  2989,19360711,    0,    0
  1313,  2989,19360712,   12,    0
  1313,  2989,19360713,    0,    0
  1313,  2989,19360714,    1,    0
  1313,  2989,19360715,   11,    0
  1313,  2989,19360716,   25,    0
  1313,  2989,19360717,    0,    0
  1313,  2989,19360718,    0,    0
  1313,  2989,19360719,    0,    0
  1313,  2989,19360720,    0,    0
  1313,  2989,19360721,    0,    0
  1313,  2989,19360722,    0,    0
  1313,  2989,19360723,    0,    0
  1313,  2989,19360724,    0,    0
  1313,  2989,19360725,    0,    0
  1313,  2989,19360726,    0,    0
  1313,  2989,19360727,    0,    0
  1313,  2989,19360728,    0,    0
  1313,  2989,19360729,    0,    0
  1313,  2989,19360730,    0,    0
  1313,  2989,19360731,    0,    0
  1313,  2989,19360801,    0,    0
  1313,  2989,19360802,    0,    0
  1313,  2989,19360803,    0,    0
  1313,  2989,19360804,    0,    0
  1313,  2989,19360805,    0,    0
  1313,  2989,19360806,    0,    0
  1313,  2989,19360807,   60,    0
  1313,  2989,19360808,    0,    0
  1313,  2989,19360809,    0,    0
  1313,  2989,19360810,    0,    0
  1313,  2989,19360811,    0,    0
  1313,  2989,19360812,   57,    0
  1313,  2989,19360813,    0,    0
  1313,  2989,19360814,    0,    0
  1313,  2989,19360815,    0,    0
  1313,  2989,19360816,    0,    0
  1313,  2989,19360817,    0,    0
  1313,  2989,19360818,    0,    0
  1313,  2989,19360819,    0,    0
  1313,  2989,19360820,    0,    0
  1313,  2989,19360821,    0,    0
  1313,  2989,19360822,    0,    0
  1313,  2989,19360823,    0,    0
  1313,  2989,19360824,    0,    0
  1313,  2989,19360825,    4,    0
  1313,  2989,19360826,    0,    0
  1313,  2989,19360827,    9,    0
  1313,  2989,19360828,    0,    0
  1313,  2989,19360829,  139,    0
  1313,  2989,19360830,    0,    0
  1313,  2989,19360831,    0,    0
  1313,  2989,19360901,    0,    0
  1313,  2989,19360902,   37,    0
  1313,  2989,19360903,    0,    0
  1313,  2989,19360904,    9,    0
  1313,  2989,19360905,    0,    0
  1313,  2989,19360906,    0,    0
  1313,  2989,19360907,    0,    0
  1313,  2989,19360908,    0,    0
  1313,  2989,19360909,    0,    0
  1313,  2989,19360910,    0,    0
  1313,  2989,19360911,    3,    0
  1313,  2989,19360912,    3,    0
  1313,  2989,19360913,    0,    0
  1313,  2989,19360914,    0,    0
  1313,  2989,19360915,   14,    0
  1313,  2989,19360916,    0,    0
  1313,  2989,19360917,    0,    0
  1313,  2989,19360918,   65,    0
  1313,  2989,19360919,    0,    0
  1313,  2989,19360920,    0,    0
  1313,  2989,19360921,    0,    0
  1313,  2989,19360922,    0,    0
  1313,  2989,19360923,    0,    0
  1313,  2989,19360924,    0,    0
  1313,  2989,19360925,    0,    0
  1313,  2989,19360926,    0,    0
  1313,  2989,19360927,    0,    0
  1313,  2989,19360928,    0,    0
  1313,  2989,19360929,    0,    0
  1313,  2989,19360930,    0,    0
  1313,  2989,19361001,    0,    0
  1313,  2989,19361002,    0,    0
  1313,  2989,19361003,   17,    0
  1313,  2989,19361004,   77,    0
  1313,  2989,19361005,    0,    0
  1313,  2989,19361006,    4,    0
  1313,  2989,19361007,    0,    0
  1313,  2989,19361008,    9,    0
  1313,  2989,19361009,    3,    0
  1313,  2989,19361010,    2,    0
  1313,  2989,19361011,    0,    0
  1313,  2989,19361012,   47,    0
  1313,  2989,19361013,   45,    0
  1313,  2989,19361014,    0,    0
  1313,  2989,19361015,    0,    0
  1313,  2989,19361016,    0,    0
  1313,  2989,19361017,   57,    0
  1313,  2989,19361018,   20,    0
  1313,  2989,19361019,    1,    0
  1313,  2989,19361020,    0,    0
  1313,  2989,19361021,    8,    0
  1313,  2989,19361022,    7,    0
  1313,  2989,19361023,    0,    0
  1313,  2989,19361024,    0,    0
  1313,  2989,19361025,    0,    0
  1313,  2989,19361026,    0,    0
  1313,  2989,19361027,    0,    0
  1313,  2989,19361028,    0,    0
  1313,  2989,19361029,    0,    0
  1313,  2989,19361030,    0,    0
  1313,  2989,19361031,    0,    0
  1313,  2989,19361101,    0,    0
  1313,  2989,19361102,    3,    0
  1313,  2989,19361103,    0,    0
  1313,  2989,19361104,    8,    0
  1313,  2989,19361105,    0,    0
  1313,  2989,19361106,    0,    0
  1313,  2989,19361107,    0,    0
  1313,  2989,19361108,    1,    0
  1313,  2989,19361109,    0,    0
  1313,  2989,19361110,    0,    0
