EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TIMASHEVSK, RUSSIAN FEDERATION (STAID: 1346)
Blended and updated with sources:3074 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1346,  3074,19360201,    0,    0
  1346,  3074,19360202,    4,    0
  1346,  3074,19360203,    0,    0
  1346,  3074,19360204,    0,    0
  1346,  3074,19360205,    0,    0
  1346,  3074,19360206,    0,    0
  1346,  3074,19360207,   55,    0
  1346,  3074,19360208,    5,    0
  1346,  3074,19360209,  131,    0
  1346,  3074,19360210,   11,    0
  1346,  3074,19360211,   70,    0
  1346,  3074,19360212,    1,    0
  1346,  3074,19360213,   43,    0
  1346,  3074,19360214,    8,    0
  1346,  3074,19360215,   22,    0
  1346,  3074,19360216,    1,    0
  1346,  3074,19360217,    0,    0
  1346,  3074,19360218,    0,    0
  1346,  3074,19360219,    9,    0
  1346,  3074,19360220,    0,    0
  1346,  3074,19360221,    0,    0
  1346,  3074,19360222,    0,    0
  1346,  3074,19360223,    0,    0
  1346,  3074,19360224,    2,    0
  1346,  3074,19360225,    0,    0
  1346,  3074,19360226,    0,    0
  1346,  3074,19360227,    0,    0
  1346,  3074,19360228,    0,    0
  1346,  3074,19360229,    0,    0
  1346,  3074,19360301,    0,    0
  1346,  3074,19360302,    0,    0
  1346,  3074,19360303,    0,    0
  1346,  3074,19360304,    0,    0
  1346,  3074,19360305,    0,    0
  1346,  3074,19360306,    0,    0
  1346,  3074,19360307,    0,    0
  1346,  3074,19360308,    0,    0
  1346,  3074,19360309,    0,    0
  1346,  3074,19360310,    0,    0
  1346,  3074,19360311,   10,    0
  1346,  3074,19360312,    0,    0
  1346,  3074,19360313,    0,    0
  1346,  3074,19360314,    0,    0
  1346,  3074,19360315,   18,    0
  1346,  3074,19360316,   49,    0
  1346,  3074,19360317,    0,    0
  1346,  3074,19360318,    0,    0
  1346,  3074,19360319,    0,    0
  1346,  3074,19360320,    0,    0
  1346,  3074,19360321,    0,    0
  1346,  3074,19360322,    0,    0
  1346,  3074,19360323,    0,    0
