EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STRELKOVOE, UKRAINE (STAID: 1581)
Blended and updated with sources:3726 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1581,  3726,19360101,    0,    0
  1581,  3726,19360102,    0,    0
  1581,  3726,19360103,    0,    0
  1581,  3726,19360104,    0,    0
  1581,  3726,19360105,    0,    0
  1581,  3726,19360106,    0,    0
  1581,  3726,19360107,    0,    0
  1581,  3726,19360108,    0,    0
  1581,  3726,19360109,    0,    0
  1581,  3726,19360110,    0,    0
  1581,  3726,19360111,  103,    0
  1581,  3726,19360112,   50,    0
  1581,  3726,19360113,    0,    0
  1581,  3726,19360114,    0,    0
  1581,  3726,19360115,    0,    0
  1581,  3726,19360116,    0,    0
  1581,  3726,19360117,    0,    0
  1581,  3726,19360118,    0,    0
  1581,  3726,19360119,    0,    0
  1581,  3726,19360120,    0,    0
  1581,  3726,19360121,    0,    0
  1581,  3726,19360122,    7,    0
  1581,  3726,19360123,    0,    0
  1581,  3726,19360124,   24,    0
  1581,  3726,19360125,   15,    0
  1581,  3726,19360126,    0,    0
  1581,  3726,19360127,    0,    0
  1581,  3726,19360128,    0,    0
  1581,  3726,19360129,    0,    0
  1581,  3726,19360130,    0,    0
  1581,  3726,19360131,    0,    0
  1581,  3726,19360201,    0,    0
  1581,  3726,19360202,    0,    0
  1581,  3726,19360203,   11,    0
  1581,  3726,19360204,    0,    0
  1581,  3726,19360205,   34,    0
  1581,  3726,19360206,    0,    0
  1581,  3726,19360207,   25,    0
  1581,  3726,19360208,-9999,    9
  1581,  3726,19360209,    0,    0
  1581,  3726,19360210,   60,    0
  1581,  3726,19360211,    5,    0
  1581,  3726,19360212,    0,    0
  1581,  3726,19360213,    0,    0
  1581,  3726,19360214,    7,    0
  1581,  3726,19360215,    0,    0
  1581,  3726,19360216,    0,    0
  1581,  3726,19360217,    0,    0
  1581,  3726,19360218,    0,    0
  1581,  3726,19360219,    0,    0
  1581,  3726,19360220,    0,    0
  1581,  3726,19360221,    0,    0
  1581,  3726,19360222,-9999,    9
