EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAPPOQUIN (MT.MELLERAY), IRELAND (STAID: 1773)
Blended and updated with sources:7707 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1773,  7707,19440101,    3,    0
  1773,  7707,19440102,    3,    0
  1773,  7707,19440103,    0,    0
  1773,  7707,19440104,    3,    0
  1773,  7707,19440105,    0,    0
  1773,  7707,19440106,    0,    0
  1773,  7707,19440107,    0,    0
  1773,  7707,19440108,   20,    0
  1773,  7707,19440109,   51,    0
  1773,  7707,19440110,   64,    0
  1773,  7707,19440111,   61,    0
  1773,  7707,19440112,   76,    0
  1773,  7707,19440113,    3,    0
  1773,  7707,19440114,   15,    0
  1773,  7707,19440115,   25,    0
  1773,  7707,19440116,  127,    0
  1773,  7707,19440117,   13,    0
  1773,  7707,19440118,   20,    0
  1773,  7707,19440119,   15,    0
  1773,  7707,19440120,    8,    0
  1773,  7707,19440121,   13,    0
  1773,  7707,19440122,   66,    0
  1773,  7707,19440123,  107,    0
  1773,  7707,19440124,    5,    0
  1773,  7707,19440125,  132,    0
  1773,  7707,19440126,    5,    0
  1773,  7707,19440127,    0,    0
  1773,  7707,19440128,    0,    0
  1773,  7707,19440129,    5,    0
  1773,  7707,19440130,    0,    0
  1773,  7707,19440131,    0,    0
  1773,  7707,19440201,   18,    0
  1773,  7707,19440202,    0,    0
  1773,  7707,19440203,    3,    0
  1773,  7707,19440204,  122,    0
  1773,  7707,19440205,   10,    0
  1773,  7707,19440206,  114,    0
  1773,  7707,19440207,    0,    0
  1773,  7707,19440208,    5,    0
  1773,  7707,19440209,    0,    0
  1773,  7707,19440210,    0,    0
  1773,  7707,19440211,    0,    0
  1773,  7707,19440212,    0,    0
  1773,  7707,19440213,    5,    0
  1773,  7707,19440214,   25,    0
  1773,  7707,19440215,   56,    0
  1773,  7707,19440216,  130,    0
  1773,  7707,19440217,   53,    0
  1773,  7707,19440218,   10,    0
  1773,  7707,19440219,    0,    0
  1773,  7707,19440220,    3,    0
  1773,  7707,19440221,   10,    0
  1773,  7707,19440222,    0,    0
  1773,  7707,19440223,    5,    0
  1773,  7707,19440224,    3,    0
  1773,  7707,19440225,   33,    0
  1773,  7707,19440226,    0,    0
  1773,  7707,19440227,    0,    0
  1773,  7707,19440228,    5,    0
  1773,  7707,19440229,    0,    0
  1773,  7707,19440301,    5,    0
  1773,  7707,19440302,    3,    0
  1773,  7707,19440303,    0,    0
  1773,  7707,19440304,    0,    0
  1773,  7707,19440305,    0,    0
  1773,  7707,19440306,    0,    0
  1773,  7707,19440307,    0,    0
  1773,  7707,19440308,    0,    0
  1773,  7707,19440309,    5,    0
  1773,  7707,19440310,    0,    0
  1773,  7707,19440311,    0,    0
  1773,  7707,19440312,    3,    0
  1773,  7707,19440313,    3,    0
  1773,  7707,19440314,    3,    0
  1773,  7707,19440315,   51,    0
  1773,  7707,19440316,    0,    0
  1773,  7707,19440317,    3,    0
  1773,  7707,19440318,    5,    0
  1773,  7707,19440319,    3,    0
  1773,  7707,19440320,    0,    0
  1773,  7707,19440321,    0,    0
  1773,  7707,19440322,    3,    0
  1773,  7707,19440323,    3,    0
  1773,  7707,19440324,    0,    0
  1773,  7707,19440325,    0,    0
  1773,  7707,19440326,    0,    0
  1773,  7707,19440327,    0,    0
  1773,  7707,19440328,    0,    0
  1773,  7707,19440329,    0,    0
  1773,  7707,19440330,    0,    0
  1773,  7707,19440331,   58,    0
  1773,  7707,19440401,  292,    0
  1773,  7707,19440402,  183,    0
  1773,  7707,19440403,   69,    0
  1773,  7707,19440404,   13,    0
  1773,  7707,19440405,    0,    0
  1773,  7707,19440406,    0,    0
  1773,  7707,19440407,    8,    0
  1773,  7707,19440408,   46,    0
  1773,  7707,19440409,    5,    0
  1773,  7707,19440410,    3,    0
  1773,  7707,19440411,   38,    0
  1773,  7707,19440412,   30,    0
  1773,  7707,19440413,  292,    0
  1773,  7707,19440414,  257,    0
  1773,  7707,19440415,    0,    0
  1773,  7707,19440416,    8,    0
  1773,  7707,19440417,    0,    0
  1773,  7707,19440418,   23,    0
  1773,  7707,19440419,   15,    0
  1773,  7707,19440420,    5,    0
  1773,  7707,19440421,    0,    0
  1773,  7707,19440422,    0,    0
  1773,  7707,19440423,    0,    0
  1773,  7707,19440424,    0,    0
  1773,  7707,19440425,    0,    0
  1773,  7707,19440426,    0,    0
  1773,  7707,19440427,    0,    0
  1773,  7707,19440428,    0,    0
  1773,  7707,19440429,    0,    0
  1773,  7707,19440430,    0,    0
  1773,  7707,19440501,    0,    0
  1773,  7707,19440502,    8,    0
  1773,  7707,19440503,   30,    0
  1773,  7707,19440504,   18,    0
  1773,  7707,19440505,   30,    0
  1773,  7707,19440506,    0,    0
  1773,  7707,19440507,    0,    0
  1773,  7707,19440508,    0,    0
  1773,  7707,19440509,    0,    0
  1773,  7707,19440510,    0,    0
  1773,  7707,19440511,    0,    0
  1773,  7707,19440512,    0,    0
  1773,  7707,19440513,    0,    0
  1773,  7707,19440514,    0,    0
  1773,  7707,19440515,    0,    0
  1773,  7707,19440516,    0,    0
  1773,  7707,19440517,    0,    0
  1773,  7707,19440518,    8,    0
  1773,  7707,19440519,    3,    0
  1773,  7707,19440520,    0,    0
  1773,  7707,19440521,    0,    0
  1773,  7707,19440522,    0,    0
  1773,  7707,19440523,    0,    0
  1773,  7707,19440524,   38,    0
  1773,  7707,19440525,    3,    0
  1773,  7707,19440526,   28,    0
  1773,  7707,19440527,   15,    0
  1773,  7707,19440528,    0,    0
  1773,  7707,19440529,    0,    0
  1773,  7707,19440530,    0,    0
  1773,  7707,19440531,  102,    0
  1773,  7707,19440601,    0,    0
  1773,  7707,19440602,    0,    0
  1773,  7707,19440603,    0,    0
  1773,  7707,19440604,    0,    0
  1773,  7707,19440605,    3,    0
  1773,  7707,19440606,    0,    0
  1773,  7707,19440607,    0,    0
  1773,  7707,19440608,    3,    0
  1773,  7707,19440609,   10,    0
  1773,  7707,19440610,   64,    0
  1773,  7707,19440611,    8,    0
  1773,  7707,19440612,    0,    0
  1773,  7707,19440613,    8,    0
  1773,  7707,19440614,   25,    0
  1773,  7707,19440615,   64,    0
  1773,  7707,19440616,    0,    0
  1773,  7707,19440617,    0,    0
  1773,  7707,19440618,   43,    0
  1773,  7707,19440619,    0,    0
  1773,  7707,19440620,    0,    0
  1773,  7707,19440621,    0,    0
  1773,  7707,19440622,    0,    0
  1773,  7707,19440623,    0,    0
  1773,  7707,19440624,    0,    0
  1773,  7707,19440625,   10,    0
  1773,  7707,19440626,    8,    0
  1773,  7707,19440627,    3,    0
  1773,  7707,19440628,   25,    0
  1773,  7707,19440629,   51,    0
  1773,  7707,19440630,   91,    0
  1773,  7707,19440701,-9999,    9
  1773,  7707,19440702,-9999,    9
  1773,  7707,19440703,-9999,    9
  1773,  7707,19440704,-9999,    9
  1773,  7707,19440705,-9999,    9
  1773,  7707,19440706,-9999,    9
  1773,  7707,19440707,-9999,    9
  1773,  7707,19440708,-9999,    9
  1773,  7707,19440709,-9999,    9
  1773,  7707,19440710,-9999,    9
  1773,  7707,19440711,-9999,    9
  1773,  7707,19440712,-9999,    9
  1773,  7707,19440713,-9999,    9
  1773,  7707,19440714,-9999,    9
  1773,  7707,19440715,-9999,    9
  1773,  7707,19440716,-9999,    9
  1773,  7707,19440717,-9999,    9
  1773,  7707,19440718,-9999,    9
  1773,  7707,19440719,-9999,    9
  1773,  7707,19440720,-9999,    9
  1773,  7707,19440721,-9999,    9
  1773,  7707,19440722,-9999,    9
  1773,  7707,19440723,-9999,    9
  1773,  7707,19440724,-9999,    9
  1773,  7707,19440725,-9999,    9
  1773,  7707,19440726,-9999,    9
  1773,  7707,19440727,-9999,    9
  1773,  7707,19440728,-9999,    9
  1773,  7707,19440729,-9999,    9
  1773,  7707,19440730,-9999,    9
  1773,  7707,19440731,-9999,    9
  1773,  7707,19440801,-9999,    9
  1773,  7707,19440802,-9999,    9
  1773,  7707,19440803,-9999,    9
  1773,  7707,19440804,-9999,    9
  1773,  7707,19440805,-9999,    9
  1773,  7707,19440806,-9999,    9
  1773,  7707,19440807,-9999,    9
  1773,  7707,19440808,-9999,    9
  1773,  7707,19440809,-9999,    9
  1773,  7707,19440810,-9999,    9
  1773,  7707,19440811,-9999,    9
  1773,  7707,19440812,-9999,    9
  1773,  7707,19440813,-9999,    9
  1773,  7707,19440814,-9999,    9
  1773,  7707,19440815,-9999,    9
  1773,  7707,19440816,-9999,    9
  1773,  7707,19440817,-9999,    9
  1773,  7707,19440818,-9999,    9
  1773,  7707,19440819,-9999,    9
  1773,  7707,19440820,-9999,    9
  1773,  7707,19440821,-9999,    9
  1773,  7707,19440822,-9999,    9
  1773,  7707,19440823,-9999,    9
  1773,  7707,19440824,-9999,    9
  1773,  7707,19440825,-9999,    9
  1773,  7707,19440826,-9999,    9
  1773,  7707,19440827,-9999,    9
  1773,  7707,19440828,-9999,    9
  1773,  7707,19440829,-9999,    9
  1773,  7707,19440830,-9999,    9
  1773,  7707,19440831,-9999,    9
  1773,  7707,19440901,-9999,    9
  1773,  7707,19440902,-9999,    9
  1773,  7707,19440903,-9999,    9
  1773,  7707,19440904,-9999,    9
  1773,  7707,19440905,-9999,    9
  1773,  7707,19440906,-9999,    9
  1773,  7707,19440907,-9999,    9
  1773,  7707,19440908,-9999,    9
  1773,  7707,19440909,-9999,    9
  1773,  7707,19440910,-9999,    9
  1773,  7707,19440911,-9999,    9
  1773,  7707,19440912,-9999,    9
  1773,  7707,19440913,-9999,    9
  1773,  7707,19440914,-9999,    9
  1773,  7707,19440915,-9999,    9
  1773,  7707,19440916,-9999,    9
  1773,  7707,19440917,-9999,    9
  1773,  7707,19440918,-9999,    9
  1773,  7707,19440919,-9999,    9
  1773,  7707,19440920,-9999,    9
  1773,  7707,19440921,-9999,    9
  1773,  7707,19440922,-9999,    9
  1773,  7707,19440923,-9999,    9
  1773,  7707,19440924,-9999,    9
  1773,  7707,19440925,-9999,    9
  1773,  7707,19440926,-9999,    9
  1773,  7707,19440927,-9999,    9
  1773,  7707,19440928,-9999,    9
  1773,  7707,19440929,-9999,    9
  1773,  7707,19440930,-9999,    9
  1773,  7707,19441001,    0,    0
  1773,  7707,19441002,   38,    0
  1773,  7707,19441003,    0,    0
  1773,  7707,19441004,   25,    0
  1773,  7707,19441005,   23,    0
  1773,  7707,19441006,    0,    0
  1773,  7707,19441007,    5,    0
  1773,  7707,19441008,    8,    0
  1773,  7707,19441009,   18,    0
  1773,  7707,19441010,  198,    0
  1773,  7707,19441011,  323,    0
  1773,  7707,19441012,  109,    0
  1773,  7707,19441013,   46,    0
  1773,  7707,19441014,    0,    0
  1773,  7707,19441015,  198,    0
  1773,  7707,19441016,   28,    0
  1773,  7707,19441017,   28,    0
  1773,  7707,19441018,   66,    0
  1773,  7707,19441019,  472,    0
  1773,  7707,19441020,   81,    0
  1773,  7707,19441021,    0,    0
  1773,  7707,19441022,   25,    0
  1773,  7707,19441023,    0,    0
  1773,  7707,19441024,-9999,    9
  1773,  7707,19441025,   30,    0
  1773,  7707,19441026,   76,    0
  1773,  7707,19441027,   48,    0
  1773,  7707,19441028,   38,    0
  1773,  7707,19441029,   69,    0
  1773,  7707,19441030,    3,    0
  1773,  7707,19441031,    8,    0
  1773,  7707,19441101,    3,    0
  1773,  7707,19441102,-9999,    9
  1773,  7707,19441103,    8,    0
  1773,  7707,19441104,   86,    0
  1773,  7707,19441105,-9999,    9
  1773,  7707,19441106,  213,    0
  1773,  7707,19441107,   76,    0
  1773,  7707,19441108,-9999,    9
  1773,  7707,19441109,-9999,    9
  1773,  7707,19441110,    5,    0
  1773,  7707,19441111,   13,    0
  1773,  7707,19441112,   15,    0
  1773,  7707,19441113,   56,    0
  1773,  7707,19441114,   51,    0
  1773,  7707,19441115,    0,    0
  1773,  7707,19441116,  371,    0
  1773,  7707,19441117,   33,    0
  1773,  7707,19441118,  533,    0
  1773,  7707,19441119,  279,    0
  1773,  7707,19441120,    0,    0
  1773,  7707,19441121,  259,    0
  1773,  7707,19441122,   23,    0
  1773,  7707,19441123,   64,    0
  1773,  7707,19441124,   23,    0
  1773,  7707,19441125,    8,    0
  1773,  7707,19441126,    8,    0
  1773,  7707,19441127,  503,    0
  1773,  7707,19441128,    3,    0
  1773,  7707,19441129,   15,    0
  1773,  7707,19441130,    8,    0
  1773,  7707,19441201,  157,    0
  1773,  7707,19441202,   30,    0
  1773,  7707,19441203,   61,    0
  1773,  7707,19441204,   38,    0
  1773,  7707,19441205,   53,    0
  1773,  7707,19441206,   61,    0
  1773,  7707,19441207,  107,    0
  1773,  7707,19441208,   10,    0
  1773,  7707,19441209,   81,    0
  1773,  7707,19441210,   15,    0
  1773,  7707,19441211,    0,    0
  1773,  7707,19441212,    0,    0
  1773,  7707,19441213,  117,    0
  1773,  7707,19441214,   23,    0
  1773,  7707,19441215,   18,    0
  1773,  7707,19441216,   94,    0
  1773,  7707,19441217,   48,    0
  1773,  7707,19441218,   10,    0
  1773,  7707,19441219,   66,    0
  1773,  7707,19441220,    8,    0
  1773,  7707,19441221,    8,    0
  1773,  7707,19441222,    3,    0
  1773,  7707,19441223,    5,    0
  1773,  7707,19441224,    0,    0
  1773,  7707,19441225,    0,    0
  1773,  7707,19441226,   15,    0
  1773,  7707,19441227,   10,    0
  1773,  7707,19441228,    0,    0
  1773,  7707,19441229,    0,    0
  1773,  7707,19441230,    5,    0
  1773,  7707,19441231,   10,    0
  1773,  7707,19450101,    0,    0
  1773,  7707,19450102,    3,    0
  1773,  7707,19450103,   61,    0
  1773,  7707,19450104,    0,    0
  1773,  7707,19450105,   30,    0
  1773,  7707,19450106,   18,    0
  1773,  7707,19450107,    0,    0
  1773,  7707,19450108,    3,    0
  1773,  7707,19450109,   25,    0
  1773,  7707,19450110,    8,    0
  1773,  7707,19450111,    0,    0
  1773,  7707,19450112,    0,    0
  1773,  7707,19450113,    3,    0
  1773,  7707,19450114,    0,    0
  1773,  7707,19450115,    0,    0
  1773,  7707,19450116,    0,    0
  1773,  7707,19450117,  132,    0
  1773,  7707,19450118,   66,    0
  1773,  7707,19450119,   51,    0
  1773,  7707,19450120,-9999,    9
  1773,  7707,19450121,-9999,    9
  1773,  7707,19450122,-9999,    9
  1773,  7707,19450123,-9999,    9
  1773,  7707,19450124,-9999,    9
  1773,  7707,19450125,-9999,    9
  1773,  7707,19450126,-9999,    9
  1773,  7707,19450127,-9999,    9
  1773,  7707,19450128,-9999,    9
  1773,  7707,19450129,  432,    0
  1773,  7707,19450130,   76,    0
  1773,  7707,19450131,   13,    0
  1773,  7707,19450201,  254,    0
  1773,  7707,19450202,    0,    0
  1773,  7707,19450203,  203,    0
  1773,  7707,19450204,   41,    0
  1773,  7707,19450205,  102,    0
  1773,  7707,19450206,   23,    0
  1773,  7707,19450207,   46,    0
  1773,  7707,19450208,   15,    0
  1773,  7707,19450209,  107,    0
  1773,  7707,19450210,  137,    0
  1773,  7707,19450211,   79,    0
  1773,  7707,19450212,   25,    0
  1773,  7707,19450213,    0,    0
  1773,  7707,19450214,    0,    0
  1773,  7707,19450215,   64,    0
  1773,  7707,19450216,  117,    0
  1773,  7707,19450217,   25,    0
  1773,  7707,19450218,   46,    0
  1773,  7707,19450219,   43,    0
  1773,  7707,19450220,    0,    0
  1773,  7707,19450221,   10,    0
  1773,  7707,19450222,   23,    0
  1773,  7707,19450223,    0,    0
  1773,  7707,19450224,    0,    0
  1773,  7707,19450225,    0,    0
  1773,  7707,19450226,    5,    0
  1773,  7707,19450227,    0,    0
  1773,  7707,19450228,   69,    0
  1773,  7707,19450301,    0,    0
  1773,  7707,19450302,    0,    0
  1773,  7707,19450303,    0,    0
  1773,  7707,19450304,    0,    0
  1773,  7707,19450305,    0,    0
  1773,  7707,19450306,    0,    0
  1773,  7707,19450307,    0,    0
  1773,  7707,19450308,    0,    0
  1773,  7707,19450309,    0,    0
  1773,  7707,19450310,    0,    0
  1773,  7707,19450311,    0,    0
  1773,  7707,19450312,    0,    0
  1773,  7707,19450313,    0,    0
  1773,  7707,19450314,   18,    0
  1773,  7707,19450315,    0,    0
  1773,  7707,19450316,    0,    0
  1773,  7707,19450317,    0,    0
  1773,  7707,19450318,  157,    0
  1773,  7707,19450319,   56,    0
  1773,  7707,19450320,    0,    0
  1773,  7707,19450321,   38,    0
  1773,  7707,19450322,    0,    0
  1773,  7707,19450323,    0,    0
  1773,  7707,19450324,   69,    0
  1773,  7707,19450325,    0,    0
  1773,  7707,19450326,   20,    0
  1773,  7707,19450327,   46,    0
  1773,  7707,19450328,   25,    0
  1773,  7707,19450329,   36,    0
  1773,  7707,19450330,   25,    0
  1773,  7707,19450331,   46,    0
  1773,  7707,19450401,   89,    0
  1773,  7707,19450402,    0,    0
  1773,  7707,19450403,    5,    0
  1773,  7707,19450404,   36,    0
  1773,  7707,19450405,    8,    0
  1773,  7707,19450406,    0,    0
  1773,  7707,19450407,    0,    0
  1773,  7707,19450408,    0,    0
  1773,  7707,19450409,    0,    0
  1773,  7707,19450410,   28,    0
  1773,  7707,19450411,   20,    0
  1773,  7707,19450412,    0,    0
  1773,  7707,19450413,   94,    0
  1773,  7707,19450414,   25,    0
  1773,  7707,19450415,    8,    0
  1773,  7707,19450416,    0,    0
  1773,  7707,19450417,    0,    0
  1773,  7707,19450418,    0,    0
  1773,  7707,19450419,    0,    0
  1773,  7707,19450420,    0,    0
  1773,  7707,19450421,    0,    0
  1773,  7707,19450422,    0,    0
  1773,  7707,19450423,    0,    0
  1773,  7707,19450424,    0,    0
  1773,  7707,19450425,    0,    0
  1773,  7707,19450426,    0,    0
  1773,  7707,19450427,    0,    0
  1773,  7707,19450428,    0,    0
  1773,  7707,19450429,   20,    0
  1773,  7707,19450430,    0,    0
