EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OOLAGH (CARAGH RIVER AREA), IRELAND (STAID: 1794)
Blended and updated with sources:7729 7754 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1794,  7729,19490601,-9999,    9
  1794,  7729,19490602,-9999,    9
  1794,  7729,19490603,-9999,    9
  1794,  7729,19490604,-9999,    9
  1794,  7729,19490605,-9999,    9
  1794,  7729,19490606,-9999,    9
  1794,  7729,19490607,-9999,    9
  1794,  7729,19490608,-9999,    9
  1794,  7729,19490609,    0,    0
  1794,  7729,19490610,    7,    0
  1794,  7729,19490611,-9999,    9
  1794,  7729,19490612,-9999,    9
  1794,  7729,19490613,    0,    0
  1794,  7729,19490614,    0,    0
  1794,  7754,19490615,    3,    0
  1794,  7729,19490616,    0,    0
  1794,  7754,19490617,    0,    0
  1794,  7754,19490618,    0,    0
  1794,  7754,19490619,    0,    0
  1794,  7754,19490620,    0,    0
  1794,  7754,19490621,    0,    0
  1794,  7754,19490622,    0,    0
  1794,  7729,19490623,    0,    0
  1794,  7729,19490624,    0,    0
  1794,  7729,19490625,    0,    0
  1794,  7729,19490626,    2,    0
  1794,  7729,19490627,   13,    0
  1794,  7729,19490628,    0,    0
  1794,  7729,19490629,    2,    0
  1794,  7729,19490630,    0,    0
  1794,  7729,19490701,    0,    0
  1794,  7729,19490702,    0,    0
  1794,  7729,19490703,    1,    0
  1794,  7729,19490704,   18,    0
  1794,  7729,19490705,    0,    0
  1794,  7729,19490706,    0,    0
  1794,  7729,19490707,    0,    0
  1794,  7729,19490708,    0,    0
  1794,  7754,19490709,    0,    0
  1794,  7754,19490710,    0,    0
  1794,  7729,19490711,    0,    0
  1794,  7729,19490712,   27,    0
  1794,  7729,19490713,   63,    0
  1794,  7729,19490714,   59,    0
  1794,  7729,19490715,   19,    0
  1794,  7729,19490716,    9,    0
  1794,  7754,19490717,    0,    0
  1794,  7729,19490718,    9,    0
  1794,  7729,19490719,  107,    0
  1794,  7729,19490720,    9,    0
  1794,  7729,19490721,    3,    0
  1794,  7729,19490722,    2,    0
  1794,  7754,19490723,    0,    0
  1794,  7729,19490724,    0,    0
  1794,  7729,19490725,    6,    0
  1794,  7754,19490726,    5,    0
  1794,  7754,19490727,    4,    0
  1794,  7729,19490728,   13,    0
  1794,  7729,19490729,   47,    0
  1794,  7729,19490730,   86,    0
  1794,  7729,19490731,   31,    0
  1794,  7729,19490801,  121,    0
  1794,  7729,19490802,   24,    0
  1794,  7729,19490803,    4,    0
  1794,  7729,19490804,  196,    0
  1794,  7729,19490805,   14,    0
  1794,  7729,19490806,   66,    0
  1794,  7729,19490807,  180,    0
  1794,  7729,19490808,   18,    0
  1794,  7729,19490809,   31,    0
  1794,  7729,19490810,   78,    0
  1794,  7729,19490811,-9999,    9
  1794,  7729,19490812,-9999,    9
  1794,  7754,19490813,    0,    0
  1794,  7729,19490814,    0,    0
  1794,  7729,19490815,   15,    0
  1794,  7754,19490816,    0,    0
  1794,  7729,19490817,    0,    0
  1794,  7754,19490818,    3,    0
  1794,  7729,19490819,    0,    0
  1794,  7754,19490820,    0,    0
  1794,  7754,19490821,    0,    0
  1794,  7729,19490822,   35,    0
  1794,  7754,19490823,    0,    0
  1794,  7754,19490824,    0,    0
  1794,  7754,19490825,    3,    0
  1794,  7729,19490826,    4,    0
  1794,  7729,19490827,   17,    0
  1794,  7729,19490828,   21,    0
  1794,  7729,19490829,    2,    0
  1794,  7729,19490830,  222,    0
  1794,  7729,19490831,   14,    0
  1794,  7729,19490901,  236,    0
  1794,  7729,19490902,   66,    0
  1794,  7729,19490903,   19,    0
  1794,  7729,19490904,  158,    0
  1794,  7729,19490905,   71,    0
  1794,  7729,19490906,    7,    0
  1794,  7754,19490907,    5,    0
  1794,  7729,19490908,    8,    0
  1794,  7729,19490909,   64,    0
  1794,  7729,19490910,  115,    0
  1794,  7754,19490911,    0,    0
  1794,  7754,19490912,    0,    0
  1794,  7729,19490913,   59,    0
  1794,  7754,19490914,    0,    0
  1794,  7754,19490915,    0,    0
  1794,  7754,19490916,    0,    0
  1794,  7754,19490917,    3,    0
  1794,  7729,19490918,  163,    0
  1794,  7729,19490919,   56,    0
  1794,  7729,19490920,    1,    0
  1794,  7729,19490921,   41,    0
  1794,  7729,19490922,   37,    0
  1794,  7729,19490923,   26,    0
  1794,  7729,19490924,   14,    0
  1794,  7754,19490925,    0,    0
  1794,  7754,19490926,    0,    0
  1794,  7754,19490927,    0,    0
  1794,  7754,19490928,    0,    0
  1794,  7729,19490929,    5,    0
  1794,  7754,19490930,    0,    0
  1794,  7754,19491001,    0,    0
  1794,  7729,19491002,    4,    0
  1794,  7729,19491003,    2,    0
  1794,  7754,19491004,   23,    0
  1794,  7729,19491005,   91,    0
  1794,  7729,19491006,   51,    0
  1794,  7729,19491007,   60,    0
  1794,  7729,19491008,   27,    0
  1794,  7754,19491009,    7,    0
  1794,  7729,19491010,   78,    0
  1794,  7729,19491011,   21,    0
  1794,  7729,19491012,   28,    0
  1794,  7729,19491013,   49,    0
  1794,  7729,19491014,  101,    0
  1794,  7729,19491015,  189,    0
  1794,  7729,19491016,  116,    0
  1794,  7729,19491017,  448,    0
  1794,  7729,19491018,  117,    0
  1794,  7729,19491019,  100,    0
  1794,  7729,19491020,   83,    0
  1794,  7729,19491021,  153,    0
  1794,  7729,19491022,   63,    0
  1794,  7729,19491023,   88,    0
  1794,  7729,19491024,  408,    0
  1794,  7729,19491025,  238,    0
  1794,  7729,19491026,   36,    0
  1794,  7729,19491027,  184,    0
  1794,  7729,19491028,   42,    0
  1794,  7729,19491029,  188,    0
  1794,  7729,19491030,  178,    0
