EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KANTURK (VOC.SCH.), IRELAND (STAID: 1795)
Blended and updated with sources:7730 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1795,  7730,19440601,-9999,    9
  1795,  7730,19440602,-9999,    9
  1795,  7730,19440603,-9999,    9
  1795,  7730,19440604,-9999,    9
  1795,  7730,19440605,-9999,    9
  1795,  7730,19440606,    2,    0
  1795,  7730,19440607,    4,    0
  1795,  7730,19440608,    2,    0
  1795,  7730,19440609,    0,    0
  1795,  7730,19440610,   39,    0
  1795,  7730,19440611,-9999,    9
  1795,  7730,19440612,   13,    0
  1795,  7730,19440613,   39,    0
  1795,  7730,19440614,   32,    0
  1795,  7730,19440615,   18,    0
  1795,  7730,19440616,    0,    0
  1795,  7730,19440617,    0,    0
  1795,  7730,19440618,-9999,    9
  1795,  7730,19440619,    0,    0
  1795,  7730,19440620,    0,    0
  1795,  7730,19440621,    0,    0
  1795,  7730,19440622,    0,    0
  1795,  7730,19440623,    0,    0
  1795,  7730,19440624,    2,    0
  1795,  7730,19440625,    5,    0
  1795,  7730,19440626,  100,    0
  1795,  7730,19440627,    6,    0
  1795,  7730,19440628,    0,    0
  1795,  7730,19440629,    6,    0
  1795,  7730,19440630,  113,    0
  1795,  7730,19440701,   23,    0
  1795,  7730,19440702,    3,    0
  1795,  7730,19440703,    2,    0
  1795,  7730,19440704,    9,    0
  1795,  7730,19440705,    9,    0
  1795,  7730,19440706,  118,    0
  1795,  7730,19440707,   35,    0
  1795,  7730,19440708,   76,    0
  1795,  7730,19440709,   27,    0
  1795,  7730,19440710,-9999,    9
  1795,  7730,19440711,    3,    0
  1795,  7730,19440712,    7,    0
  1795,  7730,19440713,-9999,    9
  1795,  7730,19440714,    5,    0
  1795,  7730,19440715,-9999,    9
  1795,  7730,19440716,-9999,    9
  1795,  7730,19440717,   85,    0
  1795,  7730,19440718,    9,    0
  1795,  7730,19440719,    1,    0
  1795,  7730,19440720,   35,    0
  1795,  7730,19440721,-9999,    9
  1795,  7730,19440722,-9999,    9
  1795,  7730,19440723,-9999,    9
  1795,  7730,19440724,    7,    0
  1795,  7730,19440725,   89,    0
  1795,  7730,19440726,   65,    0
  1795,  7730,19440727,-9999,    9
  1795,  7730,19440728,   12,    0
  1795,  7730,19440729,-9999,    9
  1795,  7730,19440730,    1,    0
  1795,  7730,19440731,   74,    0
  1795,  7730,19440801,-9999,    9
  1795,  7730,19440802,    1,    0
  1795,  7730,19440803,    0,    0
  1795,  7730,19440804,    0,    0
  1795,  7730,19440805,    8,    0
  1795,  7730,19440806,-9999,    9
  1795,  7730,19440807,   51,    0
  1795,  7730,19440808,    7,    0
  1795,  7730,19440809,-9999,    9
  1795,  7730,19440810,   30,    0
