EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TARELTON G.S., IRELAND (STAID: 1903)
Blended and updated with sources:7761 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1903,  7761,19421001,-9999,    9
  1903,  7761,19421002,-9999,    9
  1903,  7761,19421003,-9999,    9
  1903,  7761,19421004,-9999,    9
  1903,  7761,19421005,-9999,    9
  1903,  7761,19421006,-9999,    9
  1903,  7761,19421007,-9999,    9
  1903,  7761,19421008,-9999,    9
  1903,  7761,19421009,-9999,    9
  1903,  7761,19421010,-9999,    9
  1903,  7761,19421011,-9999,    9
  1903,  7761,19421012,-9999,    9
  1903,  7761,19421013,-9999,    9
  1903,  7761,19421014,-9999,    9
  1903,  7761,19421015,-9999,    9
  1903,  7761,19421016,-9999,    9
  1903,  7761,19421017,-9999,    9
  1903,  7761,19421018,-9999,    9
  1903,  7761,19421019,-9999,    9
  1903,  7761,19421020,-9999,    9
  1903,  7761,19421021,-9999,    9
  1903,  7761,19421022,-9999,    9
  1903,  7761,19421023,-9999,    9
  1903,  7761,19421024,-9999,    9
  1903,  7761,19421025,-9999,    9
  1903,  7761,19421026,-9999,    9
  1903,  7761,19421027,-9999,    9
  1903,  7761,19421028,-9999,    9
  1903,  7761,19421029,    0,    0
  1903,  7761,19421030,    0,    0
  1903,  7761,19421031,    0,    0
  1903,  7761,19421101,    0,    0
  1903,  7761,19421102,    0,    0
  1903,  7761,19421103,    0,    0
  1903,  7761,19421104,    9,    0
  1903,  7761,19421105,   21,    0
  1903,  7761,19421106,  148,    0
  1903,  7761,19421107,   11,    0
  1903,  7761,19421108,    0,    0
  1903,  7761,19421109,   20,    0
  1903,  7761,19421110,   48,    0
  1903,  7761,19421111,   15,    0
  1903,  7761,19421112,    4,    0
  1903,  7761,19421113,    2,    0
  1903,  7761,19421114,    1,    0
  1903,  7761,19421115,    0,    0
  1903,  7761,19421116,    0,    0
  1903,  7761,19421117,    0,    0
  1903,  7761,19421118,    0,    0
  1903,  7761,19421119,    0,    0
  1903,  7761,19421120,    0,    0
  1903,  7761,19421121,    0,    0
  1903,  7761,19421122,    0,    0
  1903,  7761,19421123,    0,    0
  1903,  7761,19421124,    0,    0
  1903,  7761,19421125,    0,    0
  1903,  7761,19421126,    0,    0
  1903,  7761,19421127,    0,    0
  1903,  7761,19421128,    0,    0
  1903,  7761,19421129,    0,    0
  1903,  7761,19421130,    0,    0
  1903,  7761,19421201,    4,    0
  1903,  7761,19421202,   11,    0
  1903,  7761,19421203,   49,    0
  1903,  7761,19421204,   99,    0
  1903,  7761,19421205,   10,    0
  1903,  7761,19421206,   32,    0
  1903,  7761,19421207,   54,    0
  1903,  7761,19421208,  175,    0
  1903,  7761,19421209,  315,    0
  1903,  7761,19421210,  141,    0
  1903,  7761,19421211,-9999,    9
  1903,  7761,19421212,  212,    0
  1903,  7761,19421213,    5,    0
  1903,  7761,19421214,   23,    0
  1903,  7761,19421215,  454,    0
  1903,  7761,19421216,   14,    0
  1903,  7761,19421217,   68,    0
  1903,  7761,19421218,  122,    0
  1903,  7761,19421219,   38,    0
  1903,  7761,19421220,  215,    0
  1903,  7761,19421221,   80,    0
  1903,  7761,19421222,    6,    0
  1903,  7761,19421223,   51,    0
  1903,  7761,19421224,    0,    0
  1903,  7761,19421225,   72,    0
  1903,  7761,19421226,   29,    0
  1903,  7761,19421227,    6,    0
  1903,  7761,19421228,   33,    0
  1903,  7761,19421229,    1,    0
  1903,  7761,19421230,   34,    0
  1903,  7761,19421231,    5,    0
  1903,  7761,19430101,    3,    0
  1903,  7761,19430102,    9,    0
  1903,  7761,19430103,   84,    0
  1903,  7761,19430104,   32,    0
  1903,  7761,19430105,   78,    0
  1903,  7761,19430106,-9999,    9
  1903,  7761,19430107,   35,    0
  1903,  7761,19430108,   81,    0
  1903,  7761,19430109,   89,    0
  1903,  7761,19430110,  205,    0
  1903,  7761,19430111,  243,    0
  1903,  7761,19430112,   26,    0
  1903,  7761,19430113,    2,    0
  1903,  7761,19430114,   47,    0
  1903,  7761,19430115,  124,    0
  1903,  7761,19430116,  268,    0
  1903,  7761,19430117,    2,    0
  1903,  7761,19430118,   80,    0
  1903,  7761,19430119,  327,    0
  1903,  7761,19430120,   10,    0
  1903,  7761,19430121,   92,    0
  1903,  7761,19430122,-9999,    9
  1903,  7761,19430123,   15,    0
  1903,  7761,19430124,  241,    0
  1903,  7761,19430125,    3,    0
  1903,  7761,19430126,   36,    0
  1903,  7761,19430127,  122,    0
  1903,  7761,19430128,   64,    0
  1903,  7761,19430129,  157,    0
  1903,  7761,19430130,  207,    0
  1903,  7761,19430131,  113,    0
  1903,  7761,19430201,   85,    0
  1903,  7761,19430202,   32,    0
  1903,  7761,19430203,   21,    0
  1903,  7761,19430204,   78,    0
  1903,  7761,19430205,   81,    0
  1903,  7761,19430206,   37,    0
  1903,  7761,19430207,   20,    0
  1903,  7761,19430208,  292,    0
  1903,  7761,19430209,   30,    0
  1903,  7761,19430210,    4,    0
  1903,  7761,19430211,    8,    0
  1903,  7761,19430212,    6,    0
  1903,  7761,19430213,-9999,    9
  1903,  7761,19430214,    6,    0
  1903,  7761,19430215,   13,    0
  1903,  7761,19430216,    3,    0
  1903,  7761,19430217,    0,    0
  1903,  7761,19430218,    0,    0
  1903,  7761,19430219,    0,    0
  1903,  7761,19430220,    0,    0
  1903,  7761,19430221,    0,    0
  1903,  7761,19430222,    0,    0
  1903,  7761,19430223,    7,    0
  1903,  7761,19430224,   63,    0
  1903,  7761,19430225,    6,    0
  1903,  7761,19430226,    0,    0
  1903,  7761,19430227,    0,    0
  1903,  7761,19430228,    0,    0
  1903,  7761,19430301,-9999,    9
  1903,  7761,19430302,    0,    0
  1903,  7761,19430303,   13,    0
  1903,  7761,19430304,-9999,    9
  1903,  7761,19430305,-9999,    9
  1903,  7761,19430306,-9999,    9
  1903,  7761,19430307,    3,    0
  1903,  7761,19430308,-9999,    9
  1903,  7761,19430309,-9999,    9
  1903,  7761,19430310,    0,    0
  1903,  7761,19430311,    0,    0
  1903,  7761,19430312,    0,    0
  1903,  7761,19430313,    0,    0
  1903,  7761,19430314,    0,    0
  1903,  7761,19430315,   20,    0
  1903,  7761,19430316,    7,    0
  1903,  7761,19430317,   52,    0
  1903,  7761,19430318,-9999,    9
  1903,  7761,19430319,    0,    0
  1903,  7761,19430320,    0,    0
  1903,  7761,19430321,   29,    0
  1903,  7761,19430322,    0,    0
  1903,  7761,19430323,   49,    0
  1903,  7761,19430324,   81,    0
  1903,  7761,19430325,-9999,    9
  1903,  7761,19430326,   13,    0
  1903,  7761,19430327,-9999,    9
  1903,  7761,19430328,   57,    0
  1903,  7761,19430329,   33,    0
  1903,  7761,19430330,-9999,    9
  1903,  7761,19430331,    2,    0
  1903,  7761,19430401,    0,    0
  1903,  7761,19430402,    0,    0
  1903,  7761,19430403,    0,    0
  1903,  7761,19430404,    0,    0
  1903,  7761,19430405,    0,    0
  1903,  7761,19430406,    0,    0
  1903,  7761,19430407,    0,    0
  1903,  7761,19430408,-9999,    9
  1903,  7761,19430409,    0,    0
  1903,  7761,19430410,    5,    0
  1903,  7761,19430411,   18,    0
  1903,  7761,19430412,  158,    0
  1903,  7761,19430413,-9999,    9
  1903,  7761,19430414,-9999,    9
  1903,  7761,19430415,    0,    0
  1903,  7761,19430416,    0,    0
  1903,  7761,19430417,-9999,    9
  1903,  7761,19430418,    8,    0
  1903,  7761,19430419,    0,    0
  1903,  7761,19430420,    0,    0
  1903,  7761,19430421,    0,    0
  1903,  7761,19430422,  143,    0
  1903,  7761,19430423,   44,    0
  1903,  7761,19430424,  263,    0
  1903,  7761,19430425,   24,    0
  1903,  7761,19430426,-9999,    9
  1903,  7761,19430427,   31,    0
  1903,  7761,19430428,-9999,    9
  1903,  7761,19430429,   16,    0
  1903,  7761,19430430,    0,    0
  1903,  7761,19430501,    0,    0
  1903,  7761,19430502,    0,    0
  1903,  7761,19430503,    0,    0
  1903,  7761,19430504,    0,    0
  1903,  7761,19430505,   18,    0
  1903,  7761,19430506,    5,    0
  1903,  7761,19430507,  209,    0
  1903,  7761,19430508,   14,    0
  1903,  7761,19430509,  297,    0
  1903,  7761,19430510,   21,    0
  1903,  7761,19430511,  264,    0
  1903,  7761,19430512,  199,    0
  1903,  7761,19430513,   17,    0
  1903,  7761,19430514,    0,    0
  1903,  7761,19430515,    0,    0
  1903,  7761,19430516,    0,    0
  1903,  7761,19430517,    0,    0
  1903,  7761,19430518,    0,    0
  1903,  7761,19430519,-9999,    9
  1903,  7761,19430520,   19,    0
  1903,  7761,19430521,   85,    0
  1903,  7761,19430522,    7,    0
  1903,  7761,19430523,   30,    0
  1903,  7761,19430524,-9999,    9
  1903,  7761,19430525,   42,    0
  1903,  7761,19430526,   34,    0
  1903,  7761,19430527,    0,    0
  1903,  7761,19430528,    0,    0
  1903,  7761,19430529,   79,    0
  1903,  7761,19430530,  146,    0
  1903,  7761,19430531,   93,    0
  1903,  7761,19430601,   74,    0
  1903,  7761,19430602,   31,    0
  1903,  7761,19430603,   75,    0
  1903,  7761,19430604,   59,    0
  1903,  7761,19430605,-9999,    9
  1903,  7761,19430606,  216,    0
  1903,  7761,19430607,   20,    0
  1903,  7761,19430608,   40,    0
  1903,  7761,19430609,   56,    0
  1903,  7761,19430610,    0,    0
  1903,  7761,19430611,   23,    0
  1903,  7761,19430612,   23,    0
  1903,  7761,19430613,   10,    0
  1903,  7761,19430614,-9999,    9
  1903,  7761,19430615,-9999,    9
  1903,  7761,19430616,   14,    0
  1903,  7761,19430617,   25,    0
  1903,  7761,19430618,  111,    0
  1903,  7761,19430619,  109,    0
  1903,  7761,19430620,   23,    0
  1903,  7761,19430621,   79,    0
  1903,  7761,19430622,-9999,    9
  1903,  7761,19430623,    0,    0
  1903,  7761,19430624,-9999,    9
  1903,  7761,19430625,    0,    0
  1903,  7761,19430626,    0,    0
  1903,  7761,19430627,    0,    0
  1903,  7761,19430628,    0,    0
  1903,  7761,19430629,    0,    0
  1903,  7761,19430630,    0,    0
  1903,  7761,19430701,    0,    0
  1903,  7761,19430702,    0,    0
  1903,  7761,19430703,    0,    0
  1903,  7761,19430704,    0,    0
  1903,  7761,19430705,-9999,    9
  1903,  7761,19430706,    4,    0
  1903,  7761,19430707,    4,    0
  1903,  7761,19430708,    6,    0
  1903,  7761,19430709,   75,    0
  1903,  7761,19430710,   48,    0
  1903,  7761,19430711,   30,    0
  1903,  7761,19430712,    7,    0
  1903,  7761,19430713,  115,    0
  1903,  7761,19430714,  154,    0
  1903,  7761,19430715,-9999,    9
  1903,  7761,19430716,    0,    0
  1903,  7761,19430717,   66,    0
  1903,  7761,19430718,   14,    0
  1903,  7761,19430719,-9999,    9
  1903,  7761,19430720,    0,    0
  1903,  7761,19430721,    0,    0
  1903,  7761,19430722,    0,    0
  1903,  7761,19430723,    0,    0
  1903,  7761,19430724,    0,    0
  1903,  7761,19430725,   27,    0
  1903,  7761,19430726,    0,    0
  1903,  7761,19430727,   63,    0
  1903,  7761,19430728,    4,    0
  1903,  7761,19430729,    0,    0
  1903,  7761,19430730,    2,    0
  1903,  7761,19430731,  243,    0
  1903,  7761,19430801,   22,    0
  1903,  7761,19430802,-9999,    9
  1903,  7761,19430803,  132,    0
  1903,  7761,19430804,  137,    0
  1903,  7761,19430805,   11,    0
  1903,  7761,19430806,   23,    0
  1903,  7761,19430807,    0,    0
  1903,  7761,19430808,    0,    0
  1903,  7761,19430809,    0,    0
  1903,  7761,19430810,    0,    0
  1903,  7761,19430811,    0,    0
  1903,  7761,19430812,   21,    0
