EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESKERAGH, IRELAND (STAID: 1948)
Blended and updated with sources:7813 7819 7831 7939 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1948,  7813,19440801,-9999,    9
  1948,  7813,19440802,-9999,    9
  1948,  7813,19440803,-9999,    9
  1948,  7813,19440804,-9999,    9
  1948,  7813,19440805,-9999,    9
  1948,  7813,19440806,-9999,    9
  1948,  7813,19440807,-9999,    9
  1948,  7813,19440808,-9999,    9
  1948,  7813,19440809,-9999,    9
  1948,  7813,19440810,-9999,    9
  1948,  7813,19440811,-9999,    9
  1948,  7813,19440812,-9999,    9
  1948,  7813,19440813,-9999,    9
  1948,  7813,19440814,-9999,    9
  1948,  7813,19440815,   12,    0
  1948,  7813,19440816,   14,    0
  1948,  7813,19440817,   57,    0
  1948,  7813,19440818,    1,    0
  1948,  7813,19440819,   38,    0
  1948,  7813,19440820,    0,    0
  1948,  7813,19440821,    0,    0
  1948,  7813,19440822,   12,    0
  1948,  7813,19440823,   61,    0
  1948,  7813,19440824,    6,    0
  1948,  7813,19440825,    0,    0
  1948,  7813,19440826,   66,    0
  1948,  7813,19440827,  189,    0
  1948,  7813,19440828,    9,    0
  1948,  7813,19440829,   53,    0
  1948,  7813,19440830,  100,    0
  1948,  7813,19440831,   47,    0
  1948,  7831,19440901,    0,    0
  1948,  7813,19440902,   52,    0
  1948,  7813,19440903,  195,    0
  1948,  7813,19440904,  119,    0
  1948,  7813,19440905,  152,    0
  1948,  7813,19440906,   15,    0
  1948,  7813,19440907,   24,    0
  1948,  7813,19440908,   27,    0
  1948,  7813,19440909,    0,    0
  1948,  7813,19440910,    0,    0
  1948,  7813,19440911,    0,    0
  1948,  7813,19440912,    0,    0
  1948,  7813,19440913,    1,    0
  1948,  7813,19440914,  176,    0
  1948,  7813,19440915,   12,    0
  1948,  7831,19440916,    0,    0
  1948,  7813,19440917,    0,    0
  1948,  7813,19440918,    0,    0
  1948,  7813,19440919,   12,    0
  1948,  7813,19440920,    0,    0
  1948,  7813,19440921,   39,    0
  1948,  7813,19440922,   34,    0
  1948,  7813,19440923,   78,    0
  1948,  7813,19440924,   25,    0
  1948,  7813,19440925,   31,    0
  1948,  7813,19440926,   13,    0
  1948,  7813,19440927,    4,    0
  1948,  7813,19440928,   36,    0
  1948,  7813,19440929,    2,    0
  1948,  7813,19440930,   25,    0
  1948,  7813,19441001,    9,    0
  1948,  7813,19441002,   41,    0
  1948,  7813,19441003,    1,    0
  1948,  7813,19441004,   53,    0
  1948,  7813,19441005,   36,    0
  1948,  7813,19441006,    9,    0
  1948,  7813,19441007,    2,    0
  1948,  7813,19441008,    1,    0
  1948,  7813,19441009,   32,    0
  1948,  7813,19441010,    8,    0
  1948,  7813,19441011,   45,    0
  1948,  7813,19441012,   68,    0
  1948,  7813,19441013,   67,    0
  1948,  7813,19441014,    2,    0
  1948,  7813,19441015,   86,    0
  1948,  7813,19441016,   68,    0
  1948,  7813,19441017,  109,    0
  1948,  7813,19441018,   54,    0
  1948,  7813,19441019,   96,    0
  1948,  7813,19441020,   18,    0
  1948,  7813,19441021,    1,    0
  1948,  7813,19441022,  111,    0
  1948,  7813,19441023,   20,    0
  1948,  7813,19441024,   81,    0
  1948,  7813,19441025,   18,    0
  1948,  7813,19441026,   48,    0
  1948,  7813,19441027,  157,    0
  1948,  7813,19441028,   60,    0
  1948,  7813,19441029,   42,    0
  1948,  7813,19441030,   18,    0
  1948,  7813,19441031,   17,    0
  1948,  7813,19441101,   40,    0
  1948,  7813,19441102,   18,    0
  1948,  7813,19441103,   59,    0
  1948,  7813,19441104,  365,    0
  1948,  7813,19441105,   67,    0
  1948,  7813,19441106,   99,    0
  1948,  7813,19441107,   21,    0
  1948,  7813,19441108,   38,    0
  1948,  7813,19441109,   22,    0
  1948,  7813,19441110,    6,    0
  1948,  7813,19441111,   18,    0
  1948,  7813,19441112,   17,    0
  1948,  7813,19441113,   73,    0
  1948,  7813,19441114,   22,    0
  1948,  7819,19441115,    1,    0
  1948,  7813,19441116,   86,    0
  1948,  7813,19441117,   33,    0
  1948,  7813,19441118,    4,    0
  1948,  7813,19441119,    8,    0
  1948,  7813,19441120,   13,    0
  1948,  7813,19441121,  146,    0
  1948,  7813,19441122,   64,    0
  1948,  7813,19441123,   49,    0
  1948,  7813,19441124,   35,    0
  1948,  7813,19441125,   95,    0
  1948,  7813,19441126,   21,    0
  1948,  7813,19441127,  160,    0
  1948,  7813,19441128,   75,    0
  1948,  7813,19441129,    3,    0
  1948,  7813,19441130,  140,    0
  1948,  7813,19441201,  139,    0
  1948,  7813,19441202,  132,    0
  1948,  7813,19441203,   98,    0
  1948,  7813,19441204,  111,    0
  1948,  7813,19441205,   96,    0
  1948,  7813,19441206,   46,    0
  1948,  7813,19441207,  159,    0
  1948,  7813,19441208,   89,    0
  1948,  7813,19441209,   21,    0
  1948,  7813,19441210,   63,    0
  1948,  7813,19441211,   37,    0
  1948,  7813,19441212,    1,    0
  1948,  7813,19441213,  163,    0
  1948,  7813,19441214,   52,    0
  1948,  7813,19441215,   58,    0
  1948,  7813,19441216,  204,    0
  1948,  7813,19441217,    4,    0
  1948,  7813,19441218,    2,    0
  1948,  7813,19441219,   75,    0
  1948,  7813,19441220,    3,    0
  1948,  7813,19441221,    2,    0
  1948,  7813,19441222,    0,    0
  1948,  7813,19441223,    4,    0
  1948,  7813,19441224,   21,    0
  1948,  7813,19441225,    0,    0
  1948,  7813,19441226,   85,    0
  1948,  7813,19441227,    1,    0
  1948,  7813,19441228,    0,    0
  1948,  7813,19441229,   30,    0
  1948,  7813,19441230,   15,    0
  1948,  7813,19441231,    7,    0
  1948,  7813,19450101,    0,    0
  1948,  7813,19450102,  211,    0
  1948,  7813,19450103,   85,    0
  1948,  7813,19450104,   54,    0
  1948,  7813,19450105,   21,    0
  1948,  7813,19450106,   30,    0
  1948,  7813,19450107,   79,    0
  1948,  7813,19450108,   22,    0
  1948,  7813,19450109,   24,    0
  1948,  7813,19450110,    7,    0
  1948,  7813,19450111,    0,    0
  1948,  7813,19450112,    0,    0
  1948,  7813,19450113,    0,    0
  1948,  7813,19450114,    3,    0
  1948,  7813,19450115,    2,    0
  1948,  7813,19450116,   12,    0
  1948,  7813,19450117,  148,    0
  1948,  7813,19450118,   70,    0
  1948,  7813,19450119,   63,    0
  1948,  7813,19450120,   93,    0
  1948,  7813,19450121,   31,    0
  1948,  7813,19450122,    3,    0
  1948,  7813,19450123,   26,    0
  1948,  7813,19450124,   24,    0
  1948,  7813,19450125,    0,    0
  1948,  7813,19450126,    3,    0
  1948,  7813,19450127,    0,    0
  1948,  7813,19450128,   66,    0
  1948,  7813,19450129,   52,    0
  1948,  7813,19450130,   28,    0
  1948,  7813,19450131,  141,    0
  1948,  7813,19450201,   41,    0
  1948,  7813,19450202,    7,    0
  1948,  7813,19450203,  137,    0
  1948,  7813,19450204,   13,    0
  1948,  7813,19450205,  129,    0
  1948,  7813,19450206,  109,    0
  1948,  7813,19450207,   31,    0
  1948,  7813,19450208,   70,    0
  1948,  7813,19450209,  105,    0
  1948,  7813,19450210,   53,    0
  1948,  7813,19450211,   38,    0
  1948,  7813,19450212,  122,    0
  1948,  7813,19450213,   20,    0
  1948,  7813,19450214,    2,    0
  1948,  7813,19450215,   43,    0
  1948,  7813,19450216,   59,    0
  1948,  7813,19450217,    3,    0
  1948,  7813,19450218,    2,    0
  1948,  7813,19450219,   51,    0
  1948,  7813,19450220,    0,    0
  1948,  7813,19450221,   33,    0
  1948,  7813,19450222,   32,    0
  1948,  7813,19450223,    4,    0
  1948,  7813,19450224,   81,    0
  1948,  7813,19450225,   16,    0
  1948,  7813,19450226,    9,    0
  1948,  7813,19450227,    5,    0
  1948,  7813,19450228,   37,    0
  1948,  7813,19450301,    0,    0
