EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEENAGH BEG, IRELAND (STAID: 1954)
Blended and updated with sources:7813 7819 7831 7939 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1954,  7819,19440801,-9999,    9
  1954,  7819,19440802,-9999,    9
  1954,  7819,19440803,-9999,    9
  1954,  7819,19440804,-9999,    9
  1954,  7819,19440805,-9999,    9
  1954,  7819,19440806,-9999,    9
  1954,  7819,19440807,-9999,    9
  1954,  7819,19440808,-9999,    9
  1954,  7819,19440809,-9999,    9
  1954,  7819,19440810,-9999,    9
  1954,  7819,19440811,-9999,    9
  1954,  7819,19440812,-9999,    9
  1954,  7819,19440813,-9999,    9
  1954,  7819,19440814,-9999,    9
  1954,  7819,19440815,   10,    0
  1954,  7819,19440816,   19,    0
  1954,  7819,19440817,   88,    0
  1954,  7819,19440818,    3,    0
  1954,  7819,19440819,  251,    0
  1954,  7831,19440820,    0,    0
  1954,  7831,19440821,    0,    0
  1954,  7819,19440822,   12,    0
  1954,  7819,19440823,   93,    0
  1954,  7819,19440824,   16,    0
  1954,  7831,19440825,    0,    0
  1954,  7819,19440826,   78,    0
  1954,  7819,19440827,  197,    0
  1954,  7831,19440828,    1,    0
  1954,  7819,19440829,   50,    0
  1954,  7819,19440830,  125,    0
  1954,  7819,19440831,   43,    0
  1954,  7831,19440901,    0,    0
  1954,  7819,19440902,  147,    0
  1954,  7819,19440903,  258,    0
  1954,  7819,19440904,   65,    0
  1954,  7819,19440905,  171,    0
  1954,  7819,19440906,   10,    0
  1954,  7819,19440907,   16,    0
  1954,  7819,19440908,    2,    0
  1954,  7831,19440909,    0,    0
  1954,  7831,19440910,    0,    0
  1954,  7819,19440911,    0,    0
  1954,  7819,19440912,    0,    0
  1954,  7819,19440913,    2,    0
  1954,  7819,19440914,  256,    0
  1954,  7819,19440915,   36,    0
  1954,  7831,19440916,    0,    0
  1954,  7831,19440917,    0,    0
  1954,  7819,19440918,    0,    0
  1954,  7819,19440919,   38,    0
  1954,  7819,19440920,    1,    0
  1954,  7819,19440921,   45,    0
  1954,  7819,19440922,   32,    0
  1954,  7819,19440923,   81,    0
  1954,  7819,19440924,   19,    0
  1954,  7819,19440925,   42,    0
  1954,  7819,19440926,    1,    0
  1954,  7819,19440927,    2,    0
  1954,  7819,19440928,   58,    0
  1954,  7819,19440929,    4,    0
  1954,  7819,19440930,   22,    0
  1954,  7819,19441001,   16,    0
  1954,  7819,19441002,   70,    0
  1954,  7819,19441003,    3,    0
  1954,  7819,19441004,   59,    0
  1954,  7819,19441005,   18,    0
  1954,  7819,19441006,   10,    0
  1954,  7819,19441007,    7,    0
  1954,  7819,19441008,    1,    0
  1954,  7819,19441009,   78,    0
  1954,  7819,19441010,    9,    0
  1954,  7819,19441011,   55,    0
  1954,  7819,19441012,  184,    0
  1954,  7819,19441013,   42,    0
  1954,  7819,19441014,   56,    0
  1954,  7819,19441015,  189,    0
  1954,  7819,19441016,  176,    0
  1954,  7819,19441017,  205,    0
  1954,  7819,19441018,   24,    0
  1954,  7819,19441019,  241,    0
  1954,  7819,19441020,   23,    0
  1954,  7819,19441021,    2,    0
  1954,  7819,19441022,  119,    0
  1954,  7819,19441023,   23,    0
  1954,  7819,19441024,   97,    0
  1954,  7819,19441025,   21,    0
  1954,  7819,19441026,   60,    0
  1954,  7819,19441027,   91,    0
  1954,  7819,19441028,   56,    0
  1954,  7819,19441029,   39,    0
