EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KILBRITTAIN G.S., IRELAND (STAID: 1955)
Blended and updated with sources:7795 7821 7840 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1955,  7795,19491101,    1,    0
  1955,  7795,19491102,    0,    0
  1955,  7795,19491103,   24,    0
  1955,  7795,19491104,   71,    0
  1955,  7795,19491105,    2,    0
  1955,  7795,19491106,   11,    0
  1955,  7795,19491107,-9999,    9
  1955,  7795,19491108,  146,    0
  1955,  7795,19491109,   14,    0
  1955,  7795,19491110,   60,    0
  1955,  7795,19491111,    7,    0
  1955,  7795,19491112,   51,    0
  1955,  7795,19491113,   34,    0
  1955,  7795,19491114,   23,    0
  1955,  7795,19491115,   86,    0
  1955,  7795,19491116,   91,    0
  1955,  7795,19491117,    1,    0
  1955,  7795,19491118,    3,    0
  1955,  7795,19491119,   39,    0
  1955,  7795,19491120,  198,    0
  1955,  7795,19491121,   49,    0
  1955,  7795,19491122,    0,    0
  1955,  7795,19491123,-9999,    9
  1955,  7795,19491124,    0,    0
  1955,  7795,19491125,    1,    0
  1955,  7795,19491126,    0,    0
  1955,  7795,19491127,    0,    0
  1955,  7795,19491128,    0,    0
  1955,  7795,19491129,    9,    0
  1955,  7795,19491130,   13,    0
  1955,  7795,19491201,-9999,    9
  1955,  7795,19491202,-9999,    9
  1955,  7795,19491203,    8,    0
  1955,  7795,19491204,    0,    0
  1955,  7795,19491205,    7,    0
  1955,  7795,19491206,   24,    0
  1955,  7795,19491207,   26,    0
  1955,  7795,19491208,   62,    0
  1955,  7795,19491209,    7,    0
  1955,  7795,19491210,    0,    0
  1955,  7795,19491211,    5,    0
  1955,  7795,19491212,   21,    0
  1955,  7795,19491213,   16,    0
  1955,  7795,19491214,   73,    0
  1955,  7795,19491215,   35,    0
  1955,  7795,19491216,    5,    0
  1955,  7795,19491217,   33,    0
  1955,  7795,19491218,   87,    0
  1955,  7795,19491219,   39,    0
  1955,  7795,19491220,   14,    0
  1955,  7795,19491221,   53,    0
  1955,  7795,19491222,    5,    0
  1955,  7795,19491223,-9999,    9
  1955,  7795,19491224,    2,    0
  1955,  7795,19491225,   11,    0
  1955,  7795,19491226,    1,    0
  1955,  7795,19491227,    0,    0
  1955,  7795,19491228,    0,    0
  1955,  7795,19491229,    9,    0
  1955,  7795,19491230,   23,    0
  1955,  7795,19491231,-9999,    9
  1955,  7795,19500101,    3,    0
  1955,  7795,19500102,    0,    0
  1955,  7795,19500103,    0,    0
  1955,  7795,19500104,   33,    0
  1955,  7795,19500105,   78,    0
  1955,  7795,19500106,   26,    0
  1955,  7795,19500107,   43,    0
  1955,  7795,19500108,    4,    0
  1955,  7795,19500109,   19,    0
  1955,  7795,19500110,    6,    0
  1955,  7795,19500111,   15,    0
  1955,  7795,19500112,   16,    0
  1955,  7795,19500113,    5,    0
  1955,  7795,19500114,   28,    0
  1955,  7795,19500115,   17,    0
  1955,  7795,19500116,    1,    0
  1955,  7795,19500117,    0,    0
  1955,  7795,19500118,-9999,    9
  1955,  7795,19500119,    0,    0
  1955,  7795,19500120,    0,    0
  1955,  7795,19500121,    0,    0
  1955,  7795,19500122,    0,    0
  1955,  7795,19500123,    0,    0
  1955,  7795,19500124,    0,    0
  1955,  7795,19500125,    0,    0
  1955,  7795,19500126,    0,    0
  1955,  7795,19500127,    0,    0
  1955,  7795,19500128,  148,    0
  1955,  7795,19500129,    5,    0
  1955,  7795,19500130,   53,    0
  1955,  7795,19500131,   98,    0
  1955,  7795,19500201,   91,    0
  1955,  7795,19500202,  139,    0
  1955,  7795,19500203,   10,    0
  1955,  7795,19500204,    4,    0
  1955,  7795,19500205,   97,    0
  1955,  7795,19500206,   18,    0
  1955,  7795,19500207,   56,    0
  1955,  7795,19500208,  161,    0
  1955,  7795,19500209,   76,    0
  1955,  7795,19500210,   28,    0
  1955,  7795,19500211,  156,    0
  1955,  7795,19500212,  109,    0
  1955,  7795,19500213,   13,    0
  1955,  7795,19500214,   85,    0
  1955,  7795,19500215,    1,    0
  1955,  7795,19500216,    0,    0
  1955,  7795,19500217,   17,    0
  1955,  7795,19500218,    1,    0
  1955,  7795,19500219,  160,    0
  1955,  7795,19500220,    0,    0
  1955,  7795,19500221,   70,    0
  1955,  7795,19500222,  108,    0
  1955,  7795,19500223,   67,    0
  1955,  7795,19500224,   24,    0
  1955,  7795,19500225,    0,    0
  1955,  7795,19500226,   52,    0
  1955,  7795,19500227,  134,    0
  1955,  7795,19500228,    2,    0
  1955,  7795,19500301,   23,    0
  1955,  7795,19500302,   10,    0
  1955,  7795,19500303,    3,    0
  1955,  7795,19500304,    0,    0
  1955,  7795,19500305,    0,    0
  1955,  7795,19500306,    0,    0
  1955,  7795,19500307,    0,    0
  1955,  7795,19500308,    0,    0
  1955,  7795,19500309,    0,    0
  1955,  7795,19500310,    0,    0
  1955,  7795,19500311,    0,    0
  1955,  7795,19500312,    0,    0
  1955,  7795,19500313,    7,    0
  1955,  7795,19500314,   38,    0
  1955,  7795,19500315,   42,    0
  1955,  7795,19500316,   99,    0
  1955,  7795,19500317,   57,    0
  1955,  7795,19500318,   64,    0
  1955,  7795,19500319,  147,    0
  1955,  7795,19500320,   34,    0
  1955,  7795,19500321,   37,    0
  1955,  7795,19500322,   26,    0
  1955,  7795,19500323,    0,    0
  1955,  7795,19500324,    0,    0
  1955,  7795,19500325,    0,    0
  1955,  7795,19500326,    0,    0
  1955,  7795,19500327,    0,    0
  1955,  7795,19500328,    0,    0
  1955,  7795,19500329,    0,    0
  1955,  7795,19500330,    0,    0
  1955,  7795,19500331,    0,    0
  1955,  7795,19500401,   20,    0
  1955,  7795,19500402,    3,    0
  1955,  7795,19500403,   23,    0
  1955,  7795,19500404,    0,    0
  1955,  7795,19500405,   21,    0
  1955,  7795,19500406,   15,    0
  1955,  7795,19500407,   30,    0
  1955,  7795,19500408,    8,    0
  1955,  7795,19500409,    9,    0
  1955,  7795,19500410,    0,    0
  1955,  7795,19500411,    0,    0
  1955,  7795,19500412,   12,    0
  1955,  7795,19500413,   11,    0
  1955,  7795,19500414,    2,    0
  1955,  7795,19500415,   17,    0
  1955,  7795,19500416,  111,    0
  1955,  7795,19500417,   42,    0
  1955,  7795,19500418,    6,    0
  1955,  7795,19500419,    0,    0
  1955,  7795,19500420,    9,    0
  1955,  7795,19500421,    0,    0
  1955,  7795,19500422,    1,    0
  1955,  7795,19500423,    0,    0
  1955,  7795,19500424,    0,    0
  1955,  7795,19500425,    0,    0
  1955,  7795,19500426,    5,    0
  1955,  7795,19500427,   11,    0
  1955,  7795,19500428,   36,    0
  1955,  7795,19500429,   86,    0
  1955,  7795,19500430,   18,    0
  1955,  7795,19500501,-9999,    9
  1955,  7795,19500502,    1,    0
  1955,  7795,19500503,    0,    0
  1955,  7795,19500504,    0,    0
  1955,  7795,19500505,    2,    0
  1955,  7795,19500506,    0,    0
  1955,  7795,19500507,    0,    0
  1955,  7795,19500508,    0,    0
  1955,  7795,19500509,    3,    0
  1955,  7795,19500510,    0,    0
  1955,  7795,19500511,    0,    0
  1955,  7795,19500512,    0,    0
  1955,  7795,19500513,    0,    0
  1955,  7795,19500514,    0,    0
  1955,  7795,19500515,    0,    0
  1955,  7795,19500516,    0,    0
  1955,  7795,19500517,    0,    0
  1955,  7795,19500518,   17,    0
  1955,  7795,19500519,    0,    0
  1955,  7795,19500520,   53,    0
  1955,  7795,19500521,   47,    0
  1955,  7795,19500522,    7,    0
  1955,  7795,19500523,   34,    0
  1955,  7795,19500524,   37,    0
  1955,  7795,19500525,    0,    0
  1955,  7795,19500526,    0,    0
  1955,  7795,19500527,    7,    0
  1955,  7795,19500528,    0,    0
  1955,  7795,19500529,    0,    0
  1955,  7795,19500530,    0,    0
  1955,  7795,19500531,    0,    0
  1955,  7795,19500601,    0,    0
  1955,  7795,19500602,    0,    0
  1955,  7795,19500603,   29,    0
  1955,  7795,19500604,-9999,    9
  1955,  7795,19500605,    0,    0
  1955,  7795,19500606,    4,    0
  1955,  7795,19500607,    0,    0
  1955,  7795,19500608,    0,    0
  1955,  7795,19500609,    0,    0
  1955,  7795,19500610,    0,    0
  1955,  7795,19500611,    0,    0
  1955,  7795,19500612,    0,    0
  1955,  7795,19500613,    0,    0
  1955,  7795,19500614,    0,    0
  1955,  7795,19500615,    0,    0
  1955,  7795,19500616,    5,    0
  1955,  7795,19500617,   14,    0
  1955,  7795,19500618,  112,    0
  1955,  7795,19500619,    0,    0
  1955,  7795,19500620,   32,    0
  1955,  7795,19500621,    2,    0
  1955,  7795,19500622,   24,    0
  1955,  7795,19500623,    7,    0
  1955,  7795,19500624,   28,    0
  1955,  7795,19500625,   18,    0
  1955,  7795,19500626,   36,    0
  1955,  7795,19500627,    0,    0
  1955,  7795,19500628,   32,    0
  1955,  7795,19500629,   15,    0
  1955,  7795,19500630,    0,    0
  1955,  7795,19500701,   44,    0
  1955,  7795,19500702,    0,    0
  1955,  7795,19500703,   32,    0
  1955,  7795,19500704,   10,    0
  1955,  7795,19500705,   41,    0
  1955,  7795,19500706,   31,    0
  1955,  7795,19500707,   24,    0
  1955,  7795,19500708,   51,    0
  1955,  7795,19500709,   15,    0
  1955,  7795,19500710,   31,    0
  1955,  7821,19500711,-9999,    9
  1955,  7795,19500712,   55,    0
  1955,  7821,19500713,-9999,    9
  1955,  7795,19500714,  145,    0
  1955,  7795,19500715,   13,    0
  1955,  7795,19500716,   29,    0
  1955,  7795,19500717,   59,    0
  1955,  7821,19500718,   18,    0
  1955,  7821,19500719,   37,    0
  1955,  7821,19500720,   13,    0
  1955,  7821,19500721,   11,    0
  1955,  7821,19500722,   77,    0
  1955,  7821,19500723,    6,    0
  1955,  7821,19500724,    7,    0
  1955,  7821,19500725,    1,    0
  1955,  7821,19500726,-9999,    9
  1955,  7821,19500727,    8,    0
  1955,  7795,19500728,    0,    0
  1955,  7821,19500729,  202,    0
  1955,  7821,19500730,   28,    0
  1955,  7821,19500731,    5,    0
  1955,  7821,19500801,   26,    0
  1955,  7821,19500802,   15,    0
  1955,  7821,19500803,    6,    0
  1955,  7821,19500804,  285,    0
  1955,  7821,19500805,    4,    0
  1955,  7821,19500806,    0,    0
  1955,  7821,19500807,  304,    0
  1955,  7821,19500808,   94,    0
  1955,  7821,19500809,    1,    0
  1955,  7821,19500810,    6,    0
  1955,  7821,19500811,   83,    0
  1955,  7795,19500812,    0,    0
  1955,  7821,19500813,    4,    0
  1955,  7821,19500814,   40,    0
  1955,  7821,19500815,   27,    0
  1955,  7821,19500816,   81,    0
  1955,  7821,19500817,    1,    0
  1955,  7821,19500818,    0,    0
  1955,  7821,19500819,  105,    0
  1955,  7821,19500820,    6,    0
  1955,  7821,19500821,    5,    0
  1955,  7821,19500822,   45,    0
  1955,  7821,19500823,   43,    0
  1955,  7821,19500824,   12,    0
  1955,  7821,19500825,  206,    0
  1955,  7821,19500826,   26,    0
  1955,  7821,19500827,   12,    0
  1955,  7821,19500828,    5,    0
  1955,  7821,19500829,  103,    0
  1955,  7821,19500830,    9,    0
  1955,  7821,19500831,    0,    0
  1955,  7821,19500901,   76,    0
  1955,  7821,19500902,   81,    0
  1955,  7821,19500903,    1,    0
  1955,  7821,19500904,   31,    0
  1955,  7821,19500905,   62,    0
  1955,  7821,19500906,  305,    0
  1955,  7821,19500907,   17,    0
  1955,  7821,19500908,  202,    0
  1955,  7821,19500909,    5,    0
  1955,  7821,19500910,  113,    0
  1955,  7795,19500911,    0,    0
  1955,  7821,19500912,   18,    0
  1955,  7821,19500913,   98,    0
  1955,  7821,19500914,   14,    0
  1955,  7821,19500915,  136,    0
  1955,  7821,19500916,  244,    0
  1955,  7821,19500917,    0,    0
  1955,  7821,19500918,    7,    0
  1955,  7821,19500919,    9,    0
  1955,  7821,19500920,   23,    0
  1955,  7821,19500921,    2,    0
  1955,  7821,19500922,   22,    0
  1955,  7821,19500923,   85,    0
  1955,  7821,19500924,    6,    0
  1955,  7821,19500925,    0,    0
  1955,  7821,19500926,   21,    0
  1955,  7821,19500927,    2,    0
  1955,  7821,19500928,    0,    0
  1955,  7821,19500929,  149,    0
  1955,  7821,19500930,    2,    0
  1955,  7821,19501001,   18,    0
  1955,  7795,19501002,    0,    0
  1955,  7795,19501003,    0,    0
  1955,  7821,19501004,   25,    0
  1955,  7821,19501005,   12,    0
  1955,  7821,19501006,    4,    0
  1955,  7821,19501007,   28,    0
  1955,  7821,19501008,    4,    0
  1955,  7821,19501009,   37,    0
  1955,  7821,19501010,    0,    0
  1955,  7795,19501011,    1,    0
  1955,  7821,19501012,   81,    0
  1955,  7795,19501013,    0,    0
  1955,  7821,19501014,   37,    0
  1955,  7821,19501015,    0,    0
  1955,  7821,19501016,    7,    0
  1955,  7795,19501017,    0,    0
  1955,  7795,19501018,    6,    0
  1955,  7821,19501019,    6,    0
  1955,  7821,19501020,    5,    0
  1955,  7821,19501021,   38,    0
  1955,  7795,19501022,    0,    0
  1955,  7821,19501023,    0,    0
  1955,  7795,19501024,    0,    0
  1955,  7821,19501025,   21,    0
  1955,  7821,19501026,   83,    0
  1955,  7821,19501027,    6,    0
  1955,  7821,19501028,    0,    0
  1955,  7821,19501029,  181,    0
  1955,  7795,19501030,    0,    0
  1955,  7821,19501031,   82,    0
  1955,  7821,19501101,  105,    0
  1955,  7821,19501102,   23,    0
  1955,  7795,19501103,    0,    0
  1955,  7821,19501104,    0,    0
  1955,  7795,19501105,    0,    0
  1955,  7795,19501106,    0,    0
  1955,  7821,19501107,    5,    0
  1955,  7821,19501108,   11,    0
  1955,  7821,19501109,   36,    0
  1955,  7821,19501110,   84,    0
  1955,  7821,19501111,   13,    0
  1955,  7821,19501112,   41,    0
  1955,  7821,19501113,   75,    0
  1955,  7821,19501114,    1,    0
  1955,  7821,19501115,   86,    0
  1955,  7821,19501116,   18,    0
  1955,  7821,19501117,   58,    0
  1955,  7821,19501118,  199,    0
