EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CLOGHANE, IRELAND (STAID: 2090)
Blended and updated with sources:7890 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2090,  7890,19501001,-9999,    9
  2090,  7890,19501002,-9999,    9
  2090,  7890,19501003,-9999,    9
  2090,  7890,19501004,-9999,    9
  2090,  7890,19501005,-9999,    9
  2090,  7890,19501006,-9999,    9
  2090,  7890,19501007,-9999,    9
  2090,  7890,19501008,-9999,    9
  2090,  7890,19501009,-9999,    9
  2090,  7890,19501010,-9999,    9
  2090,  7890,19501011,-9999,    9
  2090,  7890,19501012,-9999,    9
  2090,  7890,19501013,-9999,    9
  2090,  7890,19501014,-9999,    9
  2090,  7890,19501015,-9999,    9
  2090,  7890,19501016,-9999,    9
  2090,  7890,19501017,-9999,    9
  2090,  7890,19501018,    1,    0
  2090,  7890,19501019,    1,    0
  2090,  7890,19501020,    1,    0
  2090,  7890,19501021,  100,    0
  2090,  7890,19501022,-9999,    9
  2090,  7890,19501023,    1,    0
  2090,  7890,19501024,    2,    0
  2090,  7890,19501025,   47,    0
  2090,  7890,19501026,  148,    0
  2090,  7890,19501027,    5,    0
  2090,  7890,19501028,    5,    0
  2090,  7890,19501029,   95,    0
  2090,  7890,19501030,    5,    0
  2090,  7890,19501031,  116,    0
  2090,  7890,19501101,  385,    0
  2090,  7890,19501102,   65,    0
  2090,  7890,19501103,    5,    0
  2090,  7890,19501104,    3,    0
  2090,  7890,19501105,    1,    0
  2090,  7890,19501106,-9999,    9
  2090,  7890,19501107,   99,    0
  2090,  7890,19501108,   57,    0
  2090,  7890,19501109,   19,    0
  2090,  7890,19501110,  181,    0
  2090,  7890,19501111,  191,    0
  2090,  7890,19501112,   45,    0
  2090,  7890,19501113,  140,    0
  2090,  7890,19501114,   20,    0
  2090,  7890,19501115,   17,    0
  2090,  7890,19501116,   83,    0
  2090,  7890,19501117,  234,    0
  2090,  7890,19501118,  220,    0
  2090,  7890,19501119,  234,    0
  2090,  7890,19501120,  170,    0
  2090,  7890,19501121,   61,    0
  2090,  7890,19501122,   20,    0
  2090,  7890,19501123,   28,    0
  2090,  7890,19501124,   29,    0
  2090,  7890,19501125,    5,    0
  2090,  7890,19501126,-9999,    9
  2090,  7890,19501127,  111,    0
  2090,  7890,19501128,   84,    0
  2090,  7890,19501129,   17,    0
  2090,  7890,19501130,   71,    0
  2090,  7890,19501201,   99,    0
  2090,  7890,19501202,   88,    0
  2090,  7890,19501203,   69,    0
  2090,  7890,19501204,   38,    0
  2090,  7890,19501205,   11,    0
  2090,  7890,19501206,   25,    0
  2090,  7890,19501207,   38,    0
  2090,  7890,19501208,   54,    0
  2090,  7890,19501209,  250,    0
  2090,  7890,19501210,  110,    0
  2090,  7890,19501211,  133,    0
  2090,  7890,19501212,   73,    0
  2090,  7890,19501213,  263,    0
  2090,  7890,19501214,  246,    0
  2090,  7890,19501215,  100,    0
  2090,  7890,19501216,   49,    0
  2090,  7890,19501217,  127,    0
  2090,  7890,19501218,   13,    0
  2090,  7890,19501219,  165,    0
  2090,  7890,19501220,   84,    0
  2090,  7890,19501221,  118,    0
  2090,  7890,19501222,   13,    0
  2090,  7890,19501223,   42,    0
  2090,  7890,19501224,   32,    0
  2090,  7890,19501225,    5,    0
  2090,  7890,19501226,-9999,    9
  2090,  7890,19501227,-9999,    9
  2090,  7890,19501228,    5,    0
  2090,  7890,19501229,  139,    0
  2090,  7890,19501230,  103,    0
  2090,  7890,19501231,  109,    0
  2090,  7890,19510101,   55,    0
  2090,  7890,19510102,   71,    0
  2090,  7890,19510103,   84,    0
  2090,  7890,19510104,   82,    0
  2090,  7890,19510105,   22,    0
  2090,  7890,19510106,   41,    0
  2090,  7890,19510107,   52,    0
  2090,  7890,19510108,   49,    0
  2090,  7890,19510109,    6,    0
  2090,  7890,19510110,  399,    0
  2090,  7890,19510111,  278,    0
  2090,  7890,19510112,   55,    0
  2090,  7890,19510113,  146,    0
  2090,  7890,19510114,   31,    0
  2090,  7890,19510115,   80,    0
  2090,  7890,19510116,   99,    0
  2090,  7890,19510117,   96,    0
  2090,  7890,19510118,   62,    0
  2090,  7890,19510119,    6,    0
  2090,  7890,19510120,   52,    0
  2090,  7890,19510121,    6,    0
  2090,  7890,19510122,   48,    0
