EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALLOW (HAZELWOOD), IRELAND (STAID: 2299)
Blended and updated with sources:7745 7910 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2299,  7910,19410101,    0,    0
  2299,  7910,19410102,    0,    0
  2299,  7910,19410103,    0,    0
  2299,  7910,19410104,    0,    0
  2299,  7910,19410105,    0,    0
  2299,  7910,19410106,    0,    0
  2299,  7910,19410107,    0,    0
  2299,  7910,19410108,    0,    0
  2299,  7910,19410109,    0,    0
  2299,  7910,19410110,    0,    0
  2299,  7910,19410111,    0,    0
  2299,  7910,19410112,    0,    0
  2299,  7910,19410113,    0,    0
  2299,  7910,19410114,    0,    0
  2299,  7910,19410115,    0,    0
  2299,  7910,19410116,    0,    0
  2299,  7910,19410117,   38,    0
  2299,  7910,19410118,  165,    0
  2299,  7910,19410119,  117,    0
  2299,  7910,19410120,   10,    0
  2299,  7910,19410121,   15,    0
  2299,  7910,19410122,   20,    0
  2299,  7910,19410123,    0,    0
  2299,  7910,19410124,   91,    0
  2299,  7910,19410125,   10,    0
  2299,  7910,19410126,   89,    0
  2299,  7910,19410127,   56,    0
  2299,  7910,19410128,   30,    0
  2299,  7910,19410129,   51,    0
  2299,  7910,19410130,  107,    0
  2299,  7910,19410131,    5,    0
  2299,  7910,19410201,    0,    0
  2299,  7910,19410202,  104,    0
  2299,  7910,19410203,    0,    0
  2299,  7910,19410204,   91,    0
  2299,  7910,19410205,   25,    0
  2299,  7910,19410206,   48,    0
  2299,  7910,19410207,   13,    0
  2299,  7910,19410208,   66,    0
  2299,  7910,19410209,    0,    0
  2299,  7910,19410210,    0,    0
  2299,  7910,19410211,   69,    0
  2299,  7910,19410212,   18,    0
  2299,  7910,19410213,   46,    0
  2299,  7910,19410214,    3,    0
  2299,  7910,19410215,    0,    0
  2299,  7910,19410216,   25,    0
  2299,  7910,19410217,   10,    0
  2299,  7910,19410218,    0,    0
  2299,  7910,19410219,   23,    0
  2299,  7910,19410220,   25,    0
  2299,  7910,19410221,   43,    0
  2299,  7910,19410222,  104,    0
  2299,  7910,19410223,    0,    0
  2299,  7910,19410224,    0,    0
  2299,  7910,19410225,    0,    0
  2299,  7910,19410226,  107,    0
  2299,  7910,19410227,  124,    0
  2299,  7910,19410228,   58,    0
  2299,  7910,19410301,  117,    0
  2299,  7910,19410302,   20,    0
  2299,  7910,19410303,   46,    0
  2299,  7910,19410304,    0,    0
  2299,  7910,19410305,    0,    0
  2299,  7910,19410306,    0,    0
  2299,  7910,19410307,    0,    0
  2299,  7910,19410308,   28,    0
  2299,  7910,19410309,    0,    0
  2299,  7910,19410310,   23,    0
  2299,  7910,19410311,   25,    0
  2299,  7910,19410312,    5,    0
  2299,  7910,19410313,    0,    0
  2299,  7910,19410314,    0,    0
  2299,  7910,19410315,    0,    0
  2299,  7910,19410316,    0,    0
  2299,  7910,19410317,   48,    0
  2299,  7910,19410318,    5,    0
  2299,  7910,19410319,    0,    0
  2299,  7910,19410320,    0,    0
  2299,  7910,19410321,    0,    0
  2299,  7910,19410322,    0,    0
  2299,  7910,19410323,   61,    0
  2299,  7910,19410324,    0,    0
  2299,  7910,19410325,   48,    0
  2299,  7910,19410326,   56,    0
  2299,  7910,19410327,   15,    0
  2299,  7910,19410328,    5,    0
  2299,  7910,19410329,    0,    0
  2299,  7910,19410330,   15,    0
  2299,  7910,19410331,  226,    0
  2299,  7910,19410401,   64,    0
  2299,  7910,19410402,    0,    0
  2299,  7910,19410403,   13,    0
  2299,  7910,19410404,   28,    0
  2299,  7910,19410405,    0,    0
  2299,  7910,19410406,    0,    0
  2299,  7910,19410407,    0,    0
  2299,  7910,19410408,   10,    0
  2299,  7910,19410409,   64,    0
  2299,  7910,19410410,    0,    0
  2299,  7910,19410411,    0,    0
  2299,  7910,19410412,   53,    0
  2299,  7910,19410413,    0,    0
  2299,  7910,19410414,    0,    0
  2299,  7910,19410415,    0,    0
  2299,  7910,19410416,   36,    0
  2299,  7910,19410417,  127,    0
  2299,  7910,19410418,    3,    0
  2299,  7910,19410419,   38,    0
  2299,  7910,19410420,   13,    0
  2299,  7910,19410421,    0,    0
  2299,  7910,19410422,   13,    0
  2299,  7910,19410423,    0,    0
  2299,  7910,19410424,    0,    0
  2299,  7910,19410425,    0,    0
  2299,  7910,19410426,    0,    0
  2299,  7910,19410427,    5,    0
  2299,  7910,19410428,    0,    0
  2299,  7910,19410429,    0,    0
