EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BELLE LAKE (FILTER STN.), IRELAND (STAID: 2300)
Blended and updated with sources:7762 7911 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2300,  7762,19410101,    0,    0
  2300,  7762,19410102,    0,    0
  2300,  7762,19410103,    0,    0
  2300,  7762,19410104,    0,    0
  2300,  7762,19410105,    0,    0
  2300,  7762,19410106,    0,    0
  2300,  7762,19410107,    0,    0
  2300,  7762,19410108,   13,    0
  2300,  7762,19410109,    0,    0
  2300,  7762,19410110,    0,    0
  2300,  7762,19410111,    0,    0
  2300,  7762,19410112,    5,    0
  2300,  7762,19410113,    3,    0
  2300,  7762,19410114,    5,    0
  2300,  7762,19410115,    0,    0
  2300,  7762,19410116,    0,    0
  2300,  7762,19410117,  157,    0
  2300,  7762,19410118,   41,    0
  2300,  7762,19410119,  340,    0
  2300,  7762,19410120,  188,    0
  2300,  7762,19410121,   13,    0
  2300,  7762,19410122,    5,    0
  2300,  7762,19410123,   48,    0
  2300,  7762,19410124,  193,    0
  2300,  7762,19410125,    8,    0
  2300,  7762,19410126,  168,    0
  2300,  7762,19410127,   97,    0
  2300,  7762,19410128,   69,    0
  2300,  7762,19410129,  104,    0
  2300,  7762,19410130,  150,    0
  2300,  7762,19410131,    0,    0
  2300,  7762,19410201,    0,    0
  2300,  7762,19410202,   25,    0
  2300,  7762,19410203,    0,    0
  2300,  7762,19410204,  130,    0
  2300,  7762,19410205,   38,    0
  2300,  7762,19410206,   15,    0
  2300,  7762,19410207,    5,    0
  2300,  7762,19410208,   10,    0
  2300,  7762,19410209,   38,    0
  2300,  7762,19410210,    0,    0
  2300,  7762,19410211,   30,    0
  2300,  7762,19410212,   81,    0
  2300,  7762,19410213,  140,    0
  2300,  7762,19410214,    5,    0
  2300,  7762,19410215,    5,    0
  2300,  7762,19410216,  132,    0
  2300,  7762,19410217,   13,    0
  2300,  7762,19410218,    0,    0
  2300,  7762,19410219,    0,    0
  2300,  7762,19410220,    0,    0
  2300,  7762,19410221,    0,    0
  2300,  7762,19410222,   58,    0
  2300,  7762,19410223,    0,    0
  2300,  7762,19410224,    0,    0
  2300,  7762,19410225,    0,    0
