EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEEL G.S., IRELAND (STAID: 2310)
Blended and updated with sources:7922 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2310,  7922,19420301,-9999,    9
  2310,  7922,19420302,-9999,    9
  2310,  7922,19420303,-9999,    9
  2310,  7922,19420304,-9999,    9
  2310,  7922,19420305,-9999,    9
  2310,  7922,19420306,-9999,    9
  2310,  7922,19420307,-9999,    9
  2310,  7922,19420308,-9999,    9
  2310,  7922,19420309,-9999,    9
  2310,  7922,19420310,-9999,    9
  2310,  7922,19420311,-9999,    9
  2310,  7922,19420312,-9999,    9
  2310,  7922,19420313,    4,    0
  2310,  7922,19420314,   10,    0
  2310,  7922,19420315,   47,    0
  2310,  7922,19420316,   24,    0
  2310,  7922,19420317,    0,    0
  2310,  7922,19420318,   75,    0
  2310,  7922,19420319,   30,    0
  2310,  7922,19420320,   16,    0
  2310,  7922,19420321,    0,    0
  2310,  7922,19420322,    0,    0
  2310,  7922,19420323,    0,    0
  2310,  7922,19420324,    0,    0
  2310,  7922,19420325,    0,    0
  2310,  7922,19420326,    0,    0
  2310,  7922,19420327,    0,    0
  2310,  7922,19420328,    0,    0
  2310,  7922,19420329,  175,    0
  2310,  7922,19420330,   32,    0
  2310,  7922,19420331,   87,    0
  2310,  7922,19420401,   63,    0
  2310,  7922,19420402,  108,    0
  2310,  7922,19420403,   19,    0
  2310,  7922,19420404,  189,    0
  2310,  7922,19420405,   73,    0
  2310,  7922,19420406,   67,    0
  2310,  7922,19420407,   74,    0
  2310,  7922,19420408,   83,    0
  2310,  7922,19420409,   18,    0
  2310,  7922,19420410,-9999,    9
  2310,  7922,19420411,    0,    0
  2310,  7922,19420412,   24,    0
  2310,  7922,19420413,    0,    0
  2310,  7922,19420414,    0,    0
  2310,  7922,19420415,    0,    0
  2310,  7922,19420416,    0,    0
  2310,  7922,19420417,    0,    0
  2310,  7922,19420418,    0,    0
  2310,  7922,19420419,    0,    0
  2310,  7922,19420420,-9999,    9
  2310,  7922,19420421,    0,    0
  2310,  7922,19420422,    0,    0
  2310,  7922,19420423,    0,    0
  2310,  7922,19420424,    0,    0
  2310,  7922,19420425,    0,    0
  2310,  7922,19420426,    0,    0
  2310,  7922,19420427,    0,    0
  2310,  7922,19420428,    0,    0
  2310,  7922,19420429,    0,    0
  2310,  7922,19420430,    0,    0
  2310,  7922,19420501,    0,    0
  2310,  7922,19420502,    0,    0
  2310,  7922,19420503,    0,    0
  2310,  7922,19420504,-9999,    9
  2310,  7922,19420505,    0,    0
  2310,  7922,19420506,-9999,    9
  2310,  7922,19420507,   46,    0
  2310,  7922,19420508,    7,    0
  2310,  7922,19420509,    0,    0
  2310,  7922,19420510,   33,    0
  2310,  7922,19420511,   12,    0
  2310,  7922,19420512,    0,    0
  2310,  7922,19420513,    0,    0
  2310,  7922,19420514,   36,    0
  2310,  7922,19420515,  337,    0
  2310,  7922,19420516,   93,    0
  2310,  7922,19420517,    0,    0
  2310,  7922,19420518,    0,    0
  2310,  7922,19420519,   22,    0
  2310,  7922,19420520,    9,    0
  2310,  7922,19420521,   18,    0
  2310,  7922,19420522,   81,    0
  2310,  7922,19420523,   21,    0
  2310,  7922,19420524,  136,    0
  2310,  7922,19420525,   77,    0
  2310,  7922,19420526,   69,    0
  2310,  7922,19420527,   82,    0
  2310,  7922,19420528,   64,    0
  2310,  7922,19420529,   18,    0
  2310,  7922,19420530,    0,    0
  2310,  7922,19420531,   43,    0
  2310,  7922,19420601,    7,    0
  2310,  7922,19420602,    3,    0
