EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRESKENS, NETHERLANDS (STAID: 2377)
Blended and updated with sources:2039 2059 9012 52471 109315 109359 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2377,  2039,18541201,-9999,    9
  2377,  2039,18541202,-9999,    9
  2377,  2039,18541203,-9999,    9
  2377,  2039,18541204,-9999,    9
  2377,  2039,18541205,-9999,    9
  2377,  2039,18541206,-9999,    9
  2377,  2039,18541207,-9999,    9
  2377,  2039,18541208,-9999,    9
  2377,  2039,18541209,-9999,    9
  2377,  2039,18541210,-9999,    9
  2377,  2039,18541211,-9999,    9
  2377,  2039,18541212,-9999,    9
  2377,  2039,18541213,-9999,    9
  2377,  2039,18541214,-9999,    9
  2377,  2039,18541215,-9999,    9
  2377,  2039,18541216,-9999,    9
  2377,  2039,18541217,-9999,    9
  2377,  2039,18541218,-9999,    9
  2377,  2039,18541219,-9999,    9
  2377,  2039,18541220,-9999,    9
  2377,  2039,18541221,-9999,    9
  2377,  2039,18541222,-9999,    9
  2377,  2039,18541223,-9999,    9
  2377,  2039,18541224,-9999,    9
  2377,  2039,18541225,-9999,    9
  2377,  2039,18541226,-9999,    9
  2377,  2039,18541227,-9999,    9
  2377,  2039,18541228,-9999,    9
  2377,  2039,18541229,-9999,    9
  2377,  2039,18541230,-9999,    9
  2377,  2039,18541231,    0,    0
  2377,  2039,18550101,   42,    0
  2377,  2039,18550102,   10,    0
  2377,  2039,18550103,    2,    0
  2377,  2039,18550104,    0,    0
  2377,  2039,18550105,   29,    0
  2377,  2039,18550106,    7,    0
