EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GIETERVEEN, NETHERLANDS (STAID: 2418)
Blended and updated with sources:9094 9218 9328 109286 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2418,109286,19231201,-9999,    9
  2418,109286,19231202,-9999,    9
  2418,109286,19231203,-9999,    9
  2418,109286,19231204,-9999,    9
  2418,109286,19231205,-9999,    9
  2418,109286,19231206,-9999,    9
  2418,109286,19231207,-9999,    9
  2418,109286,19231208,-9999,    9
  2418,109286,19231209,-9999,    9
  2418,109286,19231210,-9999,    9
  2418,109286,19231211,-9999,    9
  2418,109286,19231212,-9999,    9
  2418,109286,19231213,-9999,    9
  2418,109286,19231214,   13,    0
  2418,109286,19231215,    6,    0
  2418,109286,19231216,   15,    0
  2418,109286,19231217,    7,    0
  2418,109286,19231218,    7,    0
  2418,109286,19231219,    0,    0
  2418,109286,19231220,   75,    0
  2418,109286,19231221,   28,    0
  2418,109286,19231222,   32,    0
  2418,109286,19231223,   30,    0
  2418,109286,19231224,   38,    0
  2418,109286,19231225,   32,    0
  2418,109286,19231226,    0,    0
  2418,109286,19231227,   12,    0
  2418,109286,19231228,    0,    0
  2418,109286,19231229,   27,    0
  2418,109286,19231230,    0,    0
  2418,109286,19231231,    0,    0
  2418,109286,19240101,    0,    0
  2418,109286,19240102,    0,    0
  2418,109286,19240103,   23,    0
  2418,109286,19240104,    0,    0
  2418,109286,19240105,    0,    0
  2418,109286,19240106,    0,    0
  2418,109286,19240107,    0,    0
  2418,109286,19240108,    0,    0
  2418,109286,19240109,    4,    0
  2418,109286,19240110,    7,    0
  2418,109286,19240111,    0,    0
  2418,109286,19240112,    0,    0
  2418,109286,19240113,    0,    0
  2418,109286,19240114,    0,    0
  2418,109286,19240115,    0,    0
  2418,109286,19240116,    0,    0
  2418,109286,19240117,    0,    0
  2418,109286,19240118,   95,    0
  2418,109286,19240119,   27,    0
  2418,109286,19240120,    0,    0
  2418,109286,19240121,    0,    0
  2418,109286,19240122,    0,    0
  2418,109286,19240123,    0,    0
  2418,109286,19240124,    0,    0
  2418,109286,19240125,    8,    0
  2418,109286,19240126,    1,    0
  2418,109286,19240127,    0,    0
  2418,109286,19240128,    9,    0
  2418,109286,19240129,    1,    0
  2418,109286,19240130,    1,    0
  2418,109286,19240131,    2,    0
  2418,109286,19240201,    2,    0
  2418,109286,19240202,    3,    0
  2418,109286,19240203,    2,    0
  2418,109286,19240204,    0,    0
  2418,109286,19240205,   45,    0
  2418,109286,19240206,   25,    0
  2418,109286,19240207,   13,    0
  2418,109286,19240208,    0,    0
  2418,109286,19240209,    9,    0
  2418,109286,19240210,    0,    0
  2418,109286,19240211,    0,    0
  2418,109286,19240212,    0,    0
  2418,109286,19240213,    0,    0
  2418,109286,19240214,    0,    0
  2418,109286,19240215,    0,    0
  2418,109286,19240216,    0,    0
  2418,109286,19240217,    0,    0
  2418,109286,19240218,   15,    0
  2418,109286,19240219,    0,    0
  2418,109286,19240220,    0,    0
  2418,109286,19240221,    6,    0
  2418,109286,19240222,    0,    0
  2418,109286,19240223,   30,    0
  2418,109286,19240224,   54,    0
  2418,109286,19240225,    0,    0
  2418,109286,19240226,    0,    0
  2418,109286,19240227,    0,    0
  2418,109286,19240228,    0,    0
  2418,109286,19240229,   15,    0
  2418,109286,19240301,   48,    0
  2418,109286,19240302,   40,    0
  2418,109286,19240303,   13,    0
  2418,109286,19240304,   10,    0
  2418,109286,19240305,    1,    0
  2418,109286,19240306,    0,    0
  2418,109286,19240307,    0,    0
  2418,109286,19240308,    2,    0
  2418,109286,19240309,    0,    0
  2418,109286,19240310,    0,    0
  2418,109286,19240311,    0,    0
  2418,109286,19240312,    0,    0
  2418,109286,19240313,    0,    0
  2418,109286,19240314,    0,    0
  2418,109286,19240315,    0,    0
  2418,109286,19240316,    2,    0
  2418,109286,19240317,    0,    0
  2418,109286,19240318,   22,    0
  2418,109286,19240319,    0,    0
