EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WOOLD, NETHERLANDS (STAID: 2554)
Blended and updated with sources:505 9366 31182 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2554,   505,18791201,-9999,    9
  2554,   505,18791202,-9999,    9
  2554,   505,18791203,-9999,    9
  2554,   505,18791204,-9999,    9
  2554,   505,18791205,-9999,    9
  2554,   505,18791206,-9999,    9
  2554,   505,18791207,-9999,    9
  2554,   505,18791208,-9999,    9
  2554,   505,18791209,-9999,    9
  2554,   505,18791210,-9999,    9
  2554,   505,18791211,-9999,    9
  2554,   505,18791212,-9999,    9
  2554,   505,18791213,-9999,    9
  2554,   505,18791214,-9999,    9
  2554,   505,18791215,-9999,    9
  2554,   505,18791216,-9999,    9
  2554,   505,18791217,-9999,    9
  2554,   505,18791218,-9999,    9
  2554,   505,18791219,-9999,    9
  2554,   505,18791220,-9999,    9
  2554,   505,18791221,-9999,    9
  2554,   505,18791222,-9999,    9
  2554,   505,18791223,-9999,    9
  2554,   505,18791224,-9999,    9
  2554,   505,18791225,-9999,    9
  2554,   505,18791226,-9999,    9
  2554,   505,18791227,-9999,    9
  2554,   505,18791228,-9999,    9
  2554,   505,18791229,-9999,    9
  2554,   505,18791230,-9999,    9
  2554,   505,18791231,-9999,    9
  2554,   505,18800101,-9999,    9
  2554,   505,18800102,-9999,    9
  2554,   505,18800103,-9999,    9
  2554,   505,18800104,-9999,    9
  2554,   505,18800105,-9999,    9
  2554,   505,18800106,-9999,    9
  2554,   505,18800107,-9999,    9
  2554,   505,18800108,-9999,    9
  2554,   505,18800109,-9999,    9
