EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESPEDALEN, NORWAY (STAID: 2613)
Blended and updated with sources:10056 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2613, 10056,19561101,-9999,    9
  2613, 10056,19561102,-9999,    9
  2613, 10056,19561103,-9999,    9
  2613, 10056,19561104,-9999,    9
  2613, 10056,19561105,-9999,    9
  2613, 10056,19561106,-9999,    9
  2613, 10056,19561107,-9999,    9
  2613, 10056,19561108,-9999,    9
  2613, 10056,19561109,-9999,    9
  2613, 10056,19561110,-9999,    9
  2613, 10056,19561111,-9999,    9
  2613, 10056,19561112,-9999,    9
  2613, 10056,19561113,-9999,    9
  2613, 10056,19561114,-9999,    9
  2613, 10056,19561115,-9999,    9
  2613, 10056,19561116,-9999,    9
  2613, 10056,19561117,-9999,    9
  2613, 10056,19561118,-9999,    9
  2613, 10056,19561119,-9999,    9
  2613, 10056,19561120,-9999,    9
  2613, 10056,19561121,-9999,    9
  2613, 10056,19561122,-9999,    9
  2613, 10056,19561123,-9999,    9
  2613, 10056,19561124,-9999,    9
  2613, 10056,19561125,-9999,    9
  2613, 10056,19561126,-9999,    9
  2613, 10056,19561127,-9999,    9
  2613, 10056,19561128,-9999,    9
  2613, 10056,19561129,-9999,    9
  2613, 10056,19561130,-9999,    9
  2613, 10056,19561201,-9999,    9
  2613, 10056,19561202,-9999,    9
  2613, 10056,19561203,-9999,    9
  2613, 10056,19561204,-9999,    9
  2613, 10056,19561205,-9999,    9
  2613, 10056,19561206,-9999,    9
  2613, 10056,19561207,-9999,    9
  2613, 10056,19561208,-9999,    9
  2613, 10056,19561209,-9999,    9
  2613, 10056,19561210,-9999,    9
  2613, 10056,19561211,-9999,    9
  2613, 10056,19561212,-9999,    9
  2613, 10056,19561213,-9999,    9
  2613, 10056,19561214,-9999,    9
  2613, 10056,19561215,-9999,    9
  2613, 10056,19561216,-9999,    9
  2613, 10056,19561217,-9999,    9
  2613, 10056,19561218,-9999,    9
  2613, 10056,19561219,-9999,    9
  2613, 10056,19561220,-9999,    9
  2613, 10056,19561221,-9999,    9
  2613, 10056,19561222,-9999,    9
  2613, 10056,19561223,-9999,    9
  2613, 10056,19561224,-9999,    9
  2613, 10056,19561225,-9999,    9
  2613, 10056,19561226,-9999,    9
  2613, 10056,19561227,-9999,    9
  2613, 10056,19561228,-9999,    9
  2613, 10056,19561229,-9999,    9
  2613, 10056,19561230,    0,    0
  2613, 10056,19561231,    0,    0
  2613, 10056,19570101,    0,    0
  2613, 10056,19570102,    0,    0
  2613, 10056,19570103,   12,    0
  2613, 10056,19570104,   65,    0
  2613, 10056,19570105,    0,    0
  2613, 10056,19570106,    0,    0
  2613, 10056,19570107,    0,    0
  2613, 10056,19570108,    0,    0
  2613, 10056,19570109,    5,    0
  2613, 10056,19570110,    0,    0
  2613, 10056,19570111,    6,    0
  2613, 10056,19570112,   60,    0
  2613, 10056,19570113,    6,    0
  2613, 10056,19570114,    0,    0
  2613, 10056,19570115,    0,    0
  2613, 10056,19570116,    0,    0
  2613, 10056,19570117,    0,    0
  2613, 10056,19570118,    0,    0
  2613, 10056,19570119,    0,    0
  2613, 10056,19570120,  130,    0
  2613, 10056,19570121,    0,    0
  2613, 10056,19570122,    0,    0
  2613, 10056,19570123,    0,    0
  2613, 10056,19570124,    0,    0
  2613, 10056,19570125,    0,    0
  2613, 10056,19570126,   50,    0
  2613, 10056,19570127,    0,    0
  2613, 10056,19570128,    0,    0
  2613, 10056,19570129,    0,    0
  2613, 10056,19570130,    0,    0
  2613, 10056,19570131,   50,    0
  2613, 10056,19570201,    0,    0
  2613, 10056,19570202,    0,    0
  2613, 10056,19570203,    0,    0
  2613, 10056,19570204,    9,    0
  2613, 10056,19570205,    0,    0
  2613, 10056,19570206,    0,    0
  2613, 10056,19570207,    0,    0
  2613, 10056,19570208,   32,    0
  2613, 10056,19570209,   20,    0
  2613, 10056,19570210,    0,    0
  2613, 10056,19570211,    0,    0
  2613, 10056,19570212,   24,    0
  2613, 10056,19570213,   13,    0
  2613, 10056,19570214,   30,    0
  2613, 10056,19570215,   13,    0
  2613, 10056,19570216,   14,    0
  2613, 10056,19570217,    6,    0
  2613, 10056,19570218,   12,    0
  2613, 10056,19570219,    7,    0
  2613, 10056,19570220,    0,    0
  2613, 10056,19570221,    0,    0
  2613, 10056,19570222,    0,    0
  2613, 10056,19570223,    0,    0
  2613, 10056,19570224,    0,    0
  2613, 10056,19570225,    4,    0
  2613, 10056,19570226,   12,    0
  2613, 10056,19570227,    0,    0
  2613, 10056,19570228,    0,    0
  2613, 10056,19570301,    0,    0
  2613, 10056,19570302,    0,    0
  2613, 10056,19570303,    0,    0
  2613, 10056,19570304,    0,    0
  2613, 10056,19570305,    0,    0
  2613, 10056,19570306,    0,    0
  2613, 10056,19570307,    0,    0
  2613, 10056,19570308,    0,    0
  2613, 10056,19570309,    0,    0
  2613, 10056,19570310,    0,    0
  2613, 10056,19570311,    0,    0
  2613, 10056,19570312,   12,    0
  2613, 10056,19570313,   20,    0
  2613, 10056,19570314,    0,    0
  2613, 10056,19570315,    0,    0
  2613, 10056,19570316,    0,    0
  2613, 10056,19570317,   25,    0
  2613, 10056,19570318,   20,    0
  2613, 10056,19570319,   45,    0
  2613, 10056,19570320,   72,    0
  2613, 10056,19570321,    0,    0
  2613, 10056,19570322,    0,    0
  2613, 10056,19570323,    0,    0
  2613, 10056,19570324,    0,    0
  2613, 10056,19570325,    0,    0
  2613, 10056,19570326,    0,    0
  2613, 10056,19570327,    0,    0
  2613, 10056,19570328,    0,    0
  2613, 10056,19570329,    0,    0
  2613, 10056,19570330,    0,    0
  2613, 10056,19570331,    0,    0
  2613, 10056,19570401,    0,    0
  2613, 10056,19570402,    0,    0
  2613, 10056,19570403,    0,    0
  2613, 10056,19570404,    0,    0
  2613, 10056,19570405,    0,    0
  2613, 10056,19570406,    0,    0
  2613, 10056,19570407,    0,    0
  2613, 10056,19570408,    0,    0
  2613, 10056,19570409,    3,    0
  2613, 10056,19570410,    4,    0
  2613, 10056,19570411,   12,    0
  2613, 10056,19570412,    0,    0
  2613, 10056,19570413,    0,    0
  2613, 10056,19570414,    0,    0
  2613, 10056,19570415,   23,    0
  2613, 10056,19570416,    0,    0
  2613, 10056,19570417,    0,    0
  2613, 10056,19570418,   45,    0
  2613, 10056,19570419,    0,    0
  2613, 10056,19570420,    0,    0
  2613, 10056,19570421,    0,    0
  2613, 10056,19570422,    0,    0
  2613, 10056,19570423,    0,    0
  2613, 10056,19570424,    0,    0
  2613, 10056,19570425,    0,    0
  2613, 10056,19570426,    0,    0
  2613, 10056,19570427,    0,    0
  2613, 10056,19570428,    0,    0
  2613, 10056,19570429,    0,    0
  2613, 10056,19570430,    0,    0
  2613, 10056,19570501,    0,    0
  2613, 10056,19570502,    2,    0
  2613, 10056,19570503,    0,    0
  2613, 10056,19570504,    0,    0
  2613, 10056,19570505,    0,    0
  2613, 10056,19570506,    0,    0
  2613, 10056,19570507,    0,    0
  2613, 10056,19570508,    0,    0
  2613, 10056,19570509,   50,    0
  2613, 10056,19570510,   70,    0
  2613, 10056,19570511,    0,    0
  2613, 10056,19570512,    3,    0
  2613, 10056,19570513,   50,    0
  2613, 10056,19570514,    2,    0
  2613, 10056,19570515,   25,    0
  2613, 10056,19570516,  170,    0
  2613, 10056,19570517,   15,    0
  2613, 10056,19570518,   62,    0
  2613, 10056,19570519,  130,    0
  2613, 10056,19570520,    0,    0
  2613, 10056,19570521,    0,    0
  2613, 10056,19570522,    0,    0
  2613, 10056,19570523,    0,    0
  2613, 10056,19570524,    0,    0
  2613, 10056,19570525,    0,    0
  2613, 10056,19570526,    0,    0
  2613, 10056,19570527,    0,    0
  2613, 10056,19570528,    0,    0
  2613, 10056,19570529,    0,    0
  2613, 10056,19570530,    0,    0
  2613, 10056,19570531,    0,    0
  2613, 10056,19570601,    0,    0
  2613, 10056,19570602,    0,    0
  2613, 10056,19570603,    0,    0
  2613, 10056,19570604,   13,    0
  2613, 10056,19570605,   40,    0
  2613, 10056,19570606,   30,    0
  2613, 10056,19570607,  105,    0
  2613, 10056,19570608,   55,    0
  2613, 10056,19570609,    0,    0
  2613, 10056,19570610,    0,    0
  2613, 10056,19570611,  135,    0
  2613, 10056,19570612,    5,    0
  2613, 10056,19570613,    0,    0
  2613, 10056,19570614,    0,    0
  2613, 10056,19570615,    0,    0
  2613, 10056,19570616,    0,    0
  2613, 10056,19570617,    0,    0
  2613, 10056,19570618,    0,    0
  2613, 10056,19570619,    0,    0
  2613, 10056,19570620,    8,    0
  2613, 10056,19570621,   49,    0
  2613, 10056,19570622,   34,    0
  2613, 10056,19570623,  140,    0
  2613, 10056,19570624,   42,    0
  2613, 10056,19570625,    0,    0
  2613, 10056,19570626,    0,    0
  2613, 10056,19570627,    0,    0
  2613, 10056,19570628,    0,    0
  2613, 10056,19570629,    0,    0
  2613, 10056,19570630,    0,    0
  2613, 10056,19570701,   21,    0
  2613, 10056,19570702,    0,    0
  2613, 10056,19570703,    0,    0
  2613, 10056,19570704,   90,    0
  2613, 10056,19570705,    5,    0
  2613, 10056,19570706,    6,    0
  2613, 10056,19570707,  220,    0
  2613, 10056,19570708,   43,    0
  2613, 10056,19570709,    0,    0
  2613, 10056,19570710,   12,    0
  2613, 10056,19570711,   13,    0
  2613, 10056,19570712,   67,    0
  2613, 10056,19570713,   30,    0
  2613, 10056,19570714,   28,    0
  2613, 10056,19570715,  155,    0
  2613, 10056,19570716,   40,    0
  2613, 10056,19570717,   13,    0
  2613, 10056,19570718,   60,    0
  2613, 10056,19570719,   96,    0
  2613, 10056,19570720,  110,    0
  2613, 10056,19570721,    0,    0
  2613, 10056,19570722,   13,    0
  2613, 10056,19570723,   48,    0
  2613, 10056,19570724,   19,    0
  2613, 10056,19570725,  120,    0
  2613, 10056,19570726,   62,    0
  2613, 10056,19570727,   13,    0
  2613, 10056,19570728,   63,    0
  2613, 10056,19570729,   22,    0
  2613, 10056,19570730,    0,    0
  2613, 10056,19570731,    0,    0
  2613, 10056,19570801,   65,    0
  2613, 10056,19570802,    0,    0
  2613, 10056,19570803,    0,    0
  2613, 10056,19570804,    0,    0
  2613, 10056,19570805,    0,    0
  2613, 10056,19570806,    0,    0
  2613, 10056,19570807,   10,    0
  2613, 10056,19570808,   12,    0
  2613, 10056,19570809,    3,    0
  2613, 10056,19570810,  125,    0
  2613, 10056,19570811,   70,    0
  2613, 10056,19570812,  155,    0
  2613, 10056,19570813,   70,    0
  2613, 10056,19570814,    0,    0
  2613, 10056,19570815,    0,    0
  2613, 10056,19570816,    0,    0
  2613, 10056,19570817,    0,    0
  2613, 10056,19570818,    0,    0
  2613, 10056,19570819,   10,    0
  2613, 10056,19570820,    0,    0
  2613, 10056,19570821,   20,    0
  2613, 10056,19570822,    3,    0
  2613, 10056,19570823,    0,    0
  2613, 10056,19570824,  120,    0
  2613, 10056,19570825,   21,    0
  2613, 10056,19570826,   28,    0
  2613, 10056,19570827,   52,    0
  2613, 10056,19570828,   30,    0
  2613, 10056,19570829,   75,    0
  2613, 10056,19570830,   40,    0
  2613, 10056,19570831,    9,    0
  2613, 10056,19570901,    5,    0
  2613, 10056,19570902,    7,    0
  2613, 10056,19570903,    0,    0
  2613, 10056,19570904,    0,    0
  2613, 10056,19570905,   70,    0
  2613, 10056,19570906,    0,    0
  2613, 10056,19570907,  181,    0
  2613, 10056,19570908,    0,    0
  2613, 10056,19570909,    1,    0
  2613, 10056,19570910,    0,    0
  2613, 10056,19570911,  217,    0
  2613, 10056,19570912,  100,    0
  2613, 10056,19570913,  105,    0
  2613, 10056,19570914,  100,    0
  2613, 10056,19570915,   90,    0
  2613, 10056,19570916,   12,    0
  2613, 10056,19570917,    0,    0
  2613, 10056,19570918,    0,    0
  2613, 10056,19570919,    0,    0
  2613, 10056,19570920,    0,    0
  2613, 10056,19570921,    0,    0
  2613, 10056,19570922,    0,    0
  2613, 10056,19570923,    2,    0
  2613, 10056,19570924,    0,    0
  2613, 10056,19570925,    0,    0
  2613, 10056,19570926,    0,    0
  2613, 10056,19570927,    0,    0
  2613, 10056,19570928,    0,    0
  2613, 10056,19570929,    0,    0
  2613, 10056,19570930,    0,    0
  2613, 10056,19571001,    0,    0
  2613, 10056,19571002,    8,    0
  2613, 10056,19571003,    0,    0
  2613, 10056,19571004,    0,    0
  2613, 10056,19571005,    0,    0
  2613, 10056,19571006,    0,    0
  2613, 10056,19571007,    0,    0
  2613, 10056,19571008,    0,    0
  2613, 10056,19571009,    3,    0
  2613, 10056,19571010,    0,    0
  2613, 10056,19571011,    0,    0
  2613, 10056,19571012,    0,    0
  2613, 10056,19571013,    0,    0
  2613, 10056,19571014,    2,    0
  2613, 10056,19571015,    0,    0
  2613, 10056,19571016,   18,    0
  2613, 10056,19571017,    2,    0
  2613, 10056,19571018,    4,    0
  2613, 10056,19571019,   35,    0
  2613, 10056,19571020,   20,    0
  2613, 10056,19571021,   32,    0
  2613, 10056,19571022,    0,    0
  2613, 10056,19571023,   50,    0
  2613, 10056,19571024,    0,    0
  2613, 10056,19571025,    0,    0
  2613, 10056,19571026,    0,    0
  2613, 10056,19571027,    4,    0
  2613, 10056,19571028,    0,    0
  2613, 10056,19571029,    0,    0
  2613, 10056,19571030,    0,    0
  2613, 10056,19571031,    0,    0
  2613, 10056,19571101,   15,    0
  2613, 10056,19571102,    0,    0
  2613, 10056,19571103,   40,    0
  2613, 10056,19571104,  125,    0
  2613, 10056,19571105,   78,    0
  2613, 10056,19571106,   34,    0
  2613, 10056,19571107,    0,    0
  2613, 10056,19571108,    0,    0
  2613, 10056,19571109,    0,    0
  2613, 10056,19571110,    0,    0
  2613, 10056,19571111,    0,    0
  2613, 10056,19571112,    0,    0
  2613, 10056,19571113,    0,    0
  2613, 10056,19571114,    0,    0
  2613, 10056,19571115,    0,    0
  2613, 10056,19571116,    0,    0
  2613, 10056,19571117,    0,    0
  2613, 10056,19571118,    0,    0
  2613, 10056,19571119,    0,    0
  2613, 10056,19571120,    0,    0
  2613, 10056,19571121,    0,    0
  2613, 10056,19571122,    0,    0
  2613, 10056,19571123,    3,    0
  2613, 10056,19571124,   67,    0
  2613, 10056,19571125,    0,    0
  2613, 10056,19571126,    0,    0
  2613, 10056,19571127,    6,    0
  2613, 10056,19571128,    0,    0
  2613, 10056,19571129,   30,    0
  2613, 10056,19571130,    0,    0
  2613, 10056,19571201,    0,    0
  2613, 10056,19571202,    0,    0
  2613, 10056,19571203,    0,    0
  2613, 10056,19571204,    0,    0
  2613, 10056,19571205,    0,    0
  2613, 10056,19571206,    0,    0
  2613, 10056,19571207,    0,    0
  2613, 10056,19571208,    0,    0
  2613, 10056,19571209,    0,    0
  2613, 10056,19571210,    0,    0
  2613, 10056,19571211,    0,    0
  2613, 10056,19571212,    0,    0
  2613, 10056,19571213,    0,    0
  2613, 10056,19571214,    0,    0
  2613, 10056,19571215,    0,    0
  2613, 10056,19571216,    0,    0
  2613, 10056,19571217,    0,    0
  2613, 10056,19571218,    0,    0
  2613, 10056,19571219,    0,    0
  2613, 10056,19571220,    3,    0
  2613, 10056,19571221,  100,    0
  2613, 10056,19571222,    0,    0
  2613, 10056,19571223,    0,    0
  2613, 10056,19571224,    0,    0
  2613, 10056,19571225,    0,    0
  2613, 10056,19571226,   40,    0
  2613, 10056,19571227,  100,    0
  2613, 10056,19571228,    0,    0
  2613, 10056,19571229,    0,    0
  2613, 10056,19571230,    0,    0
  2613, 10056,19571231,    2,    0
  2613, 10056,19580101,    0,    0
  2613, 10056,19580102,    0,    0
  2613, 10056,19580103,    3,    0
  2613, 10056,19580104,    4,    0
  2613, 10056,19580105,   70,    0
  2613, 10056,19580106,  100,    0
  2613, 10056,19580107,    0,    0
  2613, 10056,19580108,    3,    0
  2613, 10056,19580109,   20,    0
  2613, 10056,19580110,    0,    0
  2613, 10056,19580111,    0,    0
  2613, 10056,19580112,    0,    0
  2613, 10056,19580113,    0,    0
  2613, 10056,19580114,    0,    0
  2613, 10056,19580115,    0,    0
  2613, 10056,19580116,   10,    0
  2613, 10056,19580117,   19,    0
  2613, 10056,19580118,    0,    0
  2613, 10056,19580119,    0,    0
  2613, 10056,19580120,    0,    0
  2613, 10056,19580121,    0,    0
  2613, 10056,19580122,    0,    0
  2613, 10056,19580123,    0,    0
  2613, 10056,19580124,    8,    0
  2613, 10056,19580125,   19,    0
  2613, 10056,19580126,    0,    0
  2613, 10056,19580127,    0,    0
  2613, 10056,19580128,    0,    0
