EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEGGMOEN VED BODOE, NORWAY (STAID: 2734)
Blended and updated with sources:11174 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2734, 11174,19561201,-9999,    9
  2734, 11174,19561202,-9999,    9
  2734, 11174,19561203,-9999,    9
  2734, 11174,19561204,-9999,    9
  2734, 11174,19561205,-9999,    9
  2734, 11174,19561206,-9999,    9
  2734, 11174,19561207,-9999,    9
  2734, 11174,19561208,-9999,    9
  2734, 11174,19561209,-9999,    9
  2734, 11174,19561210,-9999,    9
  2734, 11174,19561211,-9999,    9
  2734, 11174,19561212,-9999,    9
  2734, 11174,19561213,-9999,    9
  2734, 11174,19561214,-9999,    9
  2734, 11174,19561215,-9999,    9
  2734, 11174,19561216,-9999,    9
  2734, 11174,19561217,-9999,    9
  2734, 11174,19561218,-9999,    9
  2734, 11174,19561219,-9999,    9
  2734, 11174,19561220,-9999,    9
  2734, 11174,19561221,-9999,    9
  2734, 11174,19561222,-9999,    9
  2734, 11174,19561223,-9999,    9
  2734, 11174,19561224,-9999,    9
  2734, 11174,19561225,-9999,    9
  2734, 11174,19561226,-9999,    9
  2734, 11174,19561227,-9999,    9
  2734, 11174,19561228,-9999,    9
  2734, 11174,19561229,-9999,    9
  2734, 11174,19561230,-9999,    9
  2734, 11174,19561231,  -10,    1
  2734, 11174,19570101,  -10,    1
  2734, 11174,19570102,  -10,    1
  2734, 11174,19570103,  -10,    1
  2734, 11174,19570104,   15,    0
  2734, 11174,19570105,    8,    0
  2734, 11174,19570106,   48,    0
  2734, 11174,19570107,   97,    0
  2734, 11174,19570108,   57,    0
  2734, 11174,19570109,   57,    0
  2734, 11174,19570110,   26,    0
  2734, 11174,19570111,    3,    0
  2734, 11174,19570112,  -10,    1
  2734, 11174,19570113,  -10,    1
  2734, 11174,19570114,  106,    0
  2734, 11174,19570115,   61,    0
  2734, 11174,19570116,  170,    0
  2734, 11174,19570117,   80,    0
  2734, 11174,19570118,  158,    0
  2734, 11174,19570119,  465,    0
  2734, 11174,19570120,  220,    0
  2734, 11174,19570121,   75,    0
  2734, 11174,19570122,   64,    0
  2734, 11174,19570123,   65,    0
  2734, 11174,19570124,  -10,    1
  2734, 11174,19570125,  -10,    1
  2734, 11174,19570126,  -10,    1
  2734, 11174,19570127,    7,    0
  2734, 11174,19570128,  110,    0
  2734, 11174,19570129,  100,    0
  2734, 11174,19570130,   26,    0
  2734, 11174,19570131,  -10,    1
  2734, 11174,19570201,   14,    0
  2734, 11174,19570202,  102,    0
  2734, 11174,19570203,   41,    0
  2734, 11174,19570204,   72,    0
  2734, 11174,19570205,  -10,    1
  2734, 11174,19570206,   25,    0
  2734, 11174,19570207,    5,    0
  2734, 11174,19570208,    8,    0
  2734, 11174,19570209,  -10,    1
  2734, 11174,19570210,  -10,    1
  2734, 11174,19570211,    1,    0
  2734, 11174,19570212,  -10,    1
  2734, 11174,19570213,  -10,    1
  2734, 11174,19570214,  -10,    1
  2734, 11174,19570215,  -10,    1
  2734, 11174,19570216,  -10,    1
  2734, 11174,19570217,  -10,    1
  2734, 11174,19570218,  -10,    1
  2734, 11174,19570219,  -10,    1
