EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DIGA DI QUARTO, ITALY (STAID: 2808)
Blended and updated with sources:95171 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2808, 95171,20051201,-9999,    9
  2808, 95171,20051202,-9999,    9
  2808, 95171,20051203,-9999,    9
  2808, 95171,20051204,-9999,    9
  2808, 95171,20051205,-9999,    9
  2808, 95171,20051206,-9999,    9
  2808, 95171,20051207,-9999,    9
  2808, 95171,20051208,-9999,    9
  2808, 95171,20051209,-9999,    9
  2808, 95171,20051210,-9999,    9
  2808, 95171,20051211,-9999,    9
  2808, 95171,20051212,-9999,    9
  2808, 95171,20051213,-9999,    9
  2808, 95171,20051214,-9999,    9
  2808, 95171,20051215,-9999,    9
  2808, 95171,20051216,-9999,    9
  2808, 95171,20051217,-9999,    9
  2808, 95171,20051218,-9999,    9
  2808, 95171,20051219,-9999,    9
  2808, 95171,20051220,-9999,    9
  2808, 95171,20051221,-9999,    9
  2808, 95171,20051222,-9999,    9
  2808, 95171,20051223,-9999,    9
  2808, 95171,20051224,-9999,    9
  2808, 95171,20051225,-9999,    9
  2808, 95171,20051226,-9999,    9
  2808, 95171,20051227,-9999,    9
  2808, 95171,20051228,-9999,    9
  2808, 95171,20051229,-9999,    9
  2808, 95171,20051230,-9999,    9
  2808, 95171,20051231,    0,    0
  2808, 95171,20060101,    0,    0
  2808, 95171,20060102,    4,    0
  2808, 95171,20060103,   36,    0
  2808, 95171,20060104,    6,    0
  2808, 95171,20060105,    2,    0
  2808, 95171,20060106,    0,    0
  2808, 95171,20060107,    0,    0
  2808, 95171,20060108,   28,    0
  2808, 95171,20060109,    0,    0
  2808, 95171,20060110,    4,    0
  2808, 95171,20060111,    0,    0
  2808, 95171,20060112,    0,    0
  2808, 95171,20060113,    0,    0
  2808, 95171,20060114,    0,    0
  2808, 95171,20060115,    0,    0
  2808, 95171,20060116,    4,    0
  2808, 95171,20060117,   18,    0
  2808, 95171,20060118,    6,    0
  2808, 95171,20060119,    0,    0
  2808, 95171,20060120,    0,    0
  2808, 95171,20060121,    0,    0
  2808, 95171,20060122,    0,    0
  2808, 95171,20060123,    0,    0
  2808, 95171,20060124,    0,    0
  2808, 95171,20060125,    0,    0
  2808, 95171,20060126,    0,    0
  2808, 95171,20060127,    4,    0
  2808, 95171,20060128,    0,    0
  2808, 95171,20060129,   10,    0
  2808, 95171,20060130,   16,    0
  2808, 95171,20060131,    0,    0
  2808, 95171,20060201,    0,    0
  2808, 95171,20060202,    4,    0
  2808, 95171,20060203,    0,    0
  2808, 95171,20060204,    0,    0
  2808, 95171,20060205,    0,    0
  2808, 95171,20060206,    0,    0
  2808, 95171,20060207,    0,    0
  2808, 95171,20060208,    0,    0
  2808, 95171,20060209,    0,    0
  2808, 95171,20060210,    0,    0
  2808, 95171,20060211,    0,    0
  2808, 95171,20060212,    0,    0
  2808, 95171,20060213,    0,    0
  2808, 95171,20060214,    0,    0
  2808, 95171,20060215,    0,    0
  2808, 95171,20060216,    0,    0
  2808, 95171,20060217,   10,    0
  2808, 95171,20060218,    4,    0
  2808, 95171,20060219,    0,    0
  2808, 95171,20060220,   92,    0
  2808, 95171,20060221,   42,    0
  2808, 95171,20060222,    4,    0
  2808, 95171,20060223,  156,    0
  2808, 95171,20060224,  220,    0
  2808, 95171,20060225,   36,    0
  2808, 95171,20060226,    0,    0
  2808, 95171,20060227,   78,    0
  2808, 95171,20060228,   16,    0
  2808, 95171,20060301,   18,    0
  2808, 95171,20060302,   84,    0
  2808, 95171,20060303,    0,    0
  2808, 95171,20060304,    2,    0
  2808, 95171,20060305,  138,    0
  2808, 95171,20060306,   38,    0
  2808, 95171,20060307,    0,    0
  2808, 95171,20060308,    0,    0
  2808, 95171,20060309,    0,    0
  2808, 95171,20060310,   76,    0
  2808, 95171,20060311,   60,    0
  2808, 95171,20060312,   96,    0
  2808, 95171,20060313,    0,    0
  2808, 95171,20060314,    0,    0
  2808, 95171,20060315,    0,    0
  2808, 95171,20060316,   68,    0
  2808, 95171,20060317,   12,    0
  2808, 95171,20060318,    0,    0
  2808, 95171,20060319,    0,    0
  2808, 95171,20060320,    0,    0
  2808, 95171,20060321,    0,    0
  2808, 95171,20060322,  132,    0
  2808, 95171,20060323,   66,    0
  2808, 95171,20060324,    8,    0
  2808, 95171,20060325,    0,    0
  2808, 95171,20060326,    0,    0
  2808, 95171,20060327,    0,    0
  2808, 95171,20060328,    0,    0
  2808, 95171,20060329,    0,    0
  2808, 95171,20060330,    0,    0
  2808, 95171,20060331,    0,    0
  2808, 95171,20060401,    0,    0
  2808, 95171,20060402,    0,    0
  2808, 95171,20060403,   10,    0
  2808, 95171,20060404,    4,    0
  2808, 95171,20060405,    0,    0
  2808, 95171,20060406,  102,    0
  2808, 95171,20060407,    0,    0
  2808, 95171,20060408,    0,    0
  2808, 95171,20060409,    0,    0
  2808, 95171,20060410,    0,    0
  2808, 95171,20060411,   44,    0
  2808, 95171,20060412,   36,    0
  2808, 95171,20060413,    0,    0
  2808, 95171,20060414,    0,    0
  2808, 95171,20060415,    0,    0
  2808, 95171,20060416,    0,    0
  2808, 95171,20060417,    0,    0
  2808, 95171,20060418,  268,    0
  2808, 95171,20060419,   54,    0
  2808, 95171,20060420,    4,    0
  2808, 95171,20060421,    0,    0
  2808, 95171,20060422,    0,    0
  2808, 95171,20060423,    0,    0
  2808, 95171,20060424,    0,    0
  2808, 95171,20060425,   58,    0
  2808, 95171,20060426,    2,    0
  2808, 95171,20060427,   68,    0
  2808, 95171,20060428,   70,    0
  2808, 95171,20060429,   70,    0
  2808, 95171,20060430,   24,    0
  2808, 95171,20060501,    0,    0
  2808, 95171,20060502,   20,    0
  2808, 95171,20060503,    0,    0
  2808, 95171,20060504,    0,    0
  2808, 95171,20060505,    0,    0
  2808, 95171,20060506,    0,    0
  2808, 95171,20060507,    0,    0
  2808, 95171,20060508,   36,    0
  2808, 95171,20060509,  178,    0
  2808, 95171,20060510,    8,    0
  2808, 95171,20060511,    0,    0
  2808, 95171,20060512,    0,    0
  2808, 95171,20060513,    0,    0
  2808, 95171,20060514,   60,    0
  2808, 95171,20060515,    0,    0
  2808, 95171,20060516,    0,    0
  2808, 95171,20060517,    0,    0
  2808, 95171,20060518,    0,    0
  2808, 95171,20060519,    0,    0
  2808, 95171,20060520,    0,    0
  2808, 95171,20060521,    0,    0
  2808, 95171,20060522,    0,    0
  2808, 95171,20060523,    0,    0
  2808, 95171,20060524,   74,    0
  2808, 95171,20060525,    0,    0
  2808, 95171,20060526,    0,    0
  2808, 95171,20060527,    0,    0
  2808, 95171,20060528,    0,    0
  2808, 95171,20060529,    0,    0
  2808, 95171,20060530,  212,    0
  2808, 95171,20060531,   10,    0
  2808, 95171,20060601,   16,    0
  2808, 95171,20060602,  166,    0
  2808, 95171,20060603,   16,    0
  2808, 95171,20060604,    4,    0
  2808, 95171,20060605,   16,    0
  2808, 95171,20060606,  158,    0
  2808, 95171,20060607,   22,    0
  2808, 95171,20060608,    0,    0
  2808, 95171,20060609,    0,    0
  2808, 95171,20060610,    0,    0
  2808, 95171,20060611,    0,    0
  2808, 95171,20060612,    0,    0
  2808, 95171,20060613,    0,    0
  2808, 95171,20060614,    0,    0
  2808, 95171,20060615,    0,    0
  2808, 95171,20060616,    0,    0
  2808, 95171,20060617,    0,    0
  2808, 95171,20060618,    0,    0
  2808, 95171,20060619,    0,    0
  2808, 95171,20060620,    0,    0
  2808, 95171,20060621,    0,    0
  2808, 95171,20060622,    0,    0
  2808, 95171,20060623,    0,    0
  2808, 95171,20060624,    0,    0
  2808, 95171,20060625,    0,    0
  2808, 95171,20060626,    0,    0
  2808, 95171,20060627,    0,    0
  2808, 95171,20060628,    0,    0
  2808, 95171,20060629,    0,    0
  2808, 95171,20060630,    0,    0
  2808, 95171,20060701,    0,    0
  2808, 95171,20060702,    0,    0
  2808, 95171,20060703,    0,    0
  2808, 95171,20060704,    0,    0
  2808, 95171,20060705,    0,    0
  2808, 95171,20060706,   10,    0
  2808, 95171,20060707,  218,    0
  2808, 95171,20060708,   24,    0
  2808, 95171,20060709,    0,    0
  2808, 95171,20060710,    0,    0
  2808, 95171,20060711,    0,    0
  2808, 95171,20060712,    0,    0
  2808, 95171,20060713,    0,    0
  2808, 95171,20060714,    0,    0
  2808, 95171,20060715,    0,    0
  2808, 95171,20060716,    0,    0
  2808, 95171,20060717,    0,    0
  2808, 95171,20060718,    0,    0
  2808, 95171,20060719,    0,    0
  2808, 95171,20060720,    0,    0
  2808, 95171,20060721,    0,    0
  2808, 95171,20060722,    0,    0
  2808, 95171,20060723,    0,    0
  2808, 95171,20060724,    0,    0
  2808, 95171,20060725,    0,    0
  2808, 95171,20060726,    0,    0
  2808, 95171,20060727,   46,    0
  2808, 95171,20060728,    0,    0
  2808, 95171,20060729,    4,    0
  2808, 95171,20060730,    0,    0
  2808, 95171,20060731,    0,    0
  2808, 95171,20060801,    0,    0
  2808, 95171,20060802,   42,    0
  2808, 95171,20060803,   20,    0
  2808, 95171,20060804,   22,    0
  2808, 95171,20060805,    0,    0
  2808, 95171,20060806,  102,    0
  2808, 95171,20060807,    0,    0
  2808, 95171,20060808,   14,    0
  2808, 95171,20060809,   44,    0
  2808, 95171,20060810,    4,    0
  2808, 95171,20060811,    6,    0
  2808, 95171,20060812,   98,    0
  2808, 95171,20060813,   14,    0
  2808, 95171,20060814,    0,    0
  2808, 95171,20060815,    0,    0
  2808, 95171,20060816,    0,    0
  2808, 95171,20060817,    0,    0
  2808, 95171,20060818,    6,    0
  2808, 95171,20060819,    0,    0
  2808, 95171,20060820,    0,    0
  2808, 95171,20060821,    6,    0
  2808, 95171,20060822,    0,    0
  2808, 95171,20060823,    0,    0
  2808, 95171,20060824,    0,    0
  2808, 95171,20060825,    0,    0
  2808, 95171,20060826,  206,    0
  2808, 95171,20060827,    8,    0
  2808, 95171,20060828,    4,    0
  2808, 95171,20060829,    0,    0
  2808, 95171,20060830,  134,    0
  2808, 95171,20060831,    0,    0
  2808, 95171,20060901,    0,    0
  2808, 95171,20060902,    0,    0
  2808, 95171,20060903,    0,    0
  2808, 95171,20060904,    0,    0
  2808, 95171,20060905,    0,    0
  2808, 95171,20060906,    0,    0
  2808, 95171,20060907,    0,    0
  2808, 95171,20060908,   10,    0
  2808, 95171,20060909,    6,    0
  2808, 95171,20060910,    0,    0
  2808, 95171,20060911,    0,    0
  2808, 95171,20060912,    0,    0
  2808, 95171,20060913,    0,    0
  2808, 95171,20060914,    2,    0
  2808, 95171,20060915,  116,    0
  2808, 95171,20060916,  406,    0
  2808, 95171,20060917,   58,    0
  2808, 95171,20060918,   42,    0
  2808, 95171,20060919,    0,    0
  2808, 95171,20060920,    0,    0
  2808, 95171,20060921,    0,    0
  2808, 95171,20060922,    0,    0
  2808, 95171,20060923,    0,    0
