EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MELDOLA, ITALY (STAID: 2834)
Blended and updated with sources:94835 95339 95355 95907 916147 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2834,916147,20051201,   30,    0
  2834,916147,20051202,    0,    0
  2834,916147,20051203,   50,    0
  2834,916147,20051204,   10,    0
  2834,916147,20051205,   90,    0
  2834, 95907,20051206,-9999,    9
  2834, 95907,20051207,-9999,    9
  2834,916147,20051208,  120,    0
  2834,916147,20051209,   80,    0
  2834,916147,20051210,    0,    0
  2834,916147,20051211,    0,    0
  2834,916147,20051212,   70,    0
  2834,916147,20051213,    0,    0
  2834,916147,20051214,   22,    0
  2834,916147,20051215,    0,    0
  2834,916147,20051216,    0,    0
  2834,916147,20051217,   12,    0
  2834,916147,20051218,    0,    0
  2834,916147,20051219,    0,    0
  2834,916147,20051220,    0,    0
  2834, 95907,20051221,-9999,    9
  2834, 95907,20051222,-9999,    9
  2834,916147,20051223,    0,    0
  2834,916147,20051224,    0,    0
  2834,916147,20051225,   28,    0
  2834,916147,20051226,   40,    0
  2834,916147,20051227,    0,    0
  2834,916147,20051228,    0,    0
  2834,916147,20051229,    0,    0
  2834,916147,20051230,    0,    0
  2834, 95907,20051231,    0,    0
  2834, 95907,20060101,   86,    0
  2834, 95907,20060102,   18,    0
  2834, 95907,20060103,    0,    0
  2834, 95907,20060104,   10,    0
  2834, 95907,20060105,    2,    0
  2834, 95907,20060106,    0,    0
  2834, 95907,20060107,    2,    0
  2834, 95907,20060108,   58,    0
  2834, 95907,20060109,    0,    0
  2834, 95907,20060110,    0,    0
  2834, 95907,20060111,    0,    0
  2834, 95907,20060112,    0,    0
  2834, 95907,20060113,    0,    0
  2834, 95907,20060114,    0,    0
  2834, 95907,20060115,    6,    0
  2834, 95907,20060116,    6,    0
  2834, 95907,20060117,    6,    0
  2834, 95907,20060118,    4,    0
  2834, 95907,20060119,    4,    0
  2834, 95907,20060120,    0,    0
  2834, 95907,20060121,    4,    0
  2834, 95907,20060122,    0,    0
  2834, 95907,20060123,    0,    0
  2834, 95907,20060124,    0,    0
  2834, 95907,20060125,    0,    0
  2834, 95907,20060126,    0,    0
  2834, 95907,20060127,    4,    0
  2834, 95907,20060128,    4,    0
  2834, 95907,20060129,   42,    0
  2834, 95907,20060130,   38,    0
  2834, 95907,20060131,    0,    0
  2834, 95907,20060201,    0,    0
  2834, 95907,20060202,    0,    0
  2834, 95907,20060203,    0,    0
  2834, 95907,20060204,    0,    0
  2834, 95907,20060205,    6,    0
  2834, 95907,20060206,    0,    0
  2834, 95907,20060207,    0,    0
  2834, 95907,20060208,    0,    0
  2834, 95907,20060209,    0,    0
  2834, 95907,20060210,    0,    0
  2834, 95907,20060211,    0,    0
  2834, 95907,20060212,    0,    0
  2834, 95907,20060213,    0,    0
  2834, 95907,20060214,    0,    0
  2834, 95907,20060215,    0,    0
  2834, 95907,20060216,    0,    0
  2834, 95907,20060217,    0,    0
  2834, 95907,20060218,    0,    0
  2834, 95907,20060219,    0,    0
  2834, 95907,20060220,   26,    0
  2834, 95907,20060221,   42,    0
  2834, 95907,20060222,   70,    0
  2834, 95907,20060223,   84,    0
  2834, 95907,20060224,  206,    0
  2834, 95907,20060225,   62,    0
  2834, 95907,20060226,    0,    0
  2834, 95907,20060227,   84,    0
  2834, 95907,20060228,   12,    0
  2834, 95907,20060301,    0,    0
  2834, 95907,20060302,   14,    0
  2834, 95907,20060303,    0,    0
  2834, 95907,20060304,    0,    0
  2834, 95907,20060305,  104,    0
  2834, 95907,20060306,   10,    0
  2834, 95907,20060307,    0,    0
  2834, 95907,20060308,    0,    0
  2834, 95907,20060309,    0,    0
  2834, 95907,20060310,   56,    0
  2834, 95907,20060311,   24,    0
  2834, 95907,20060312,   14,    0
  2834, 95907,20060313,    0,    0
  2834, 95907,20060314,    0,    0
  2834, 95907,20060315,    0,    0
  2834, 95907,20060316,   56,    0
  2834, 95907,20060317,    4,    0
  2834, 95907,20060318,    0,    0
  2834, 95907,20060319,    0,    0
  2834, 95907,20060320,    0,    0
  2834, 95907,20060321,    2,    0
  2834, 95907,20060322,  176,    0
  2834, 95907,20060323,  122,    0
  2834, 95907,20060324,    2,    0
  2834, 95907,20060325,    0,    0
  2834, 95907,20060326,    0,    0
  2834, 95907,20060327,    0,    0
  2834, 95907,20060328,    0,    0
  2834, 95907,20060329,    0,    0
  2834, 95907,20060330,    0,    0
  2834, 95907,20060331,    0,    0
  2834, 95907,20060401,   22,    0
  2834, 95907,20060402,    6,    0
  2834, 95907,20060403,   54,    0
  2834, 95907,20060404,    0,    0
  2834, 95907,20060405,    0,    0
  2834, 95907,20060406,  118,    0
  2834, 95907,20060407,    0,    0
  2834, 95907,20060408,    0,    0
  2834, 95907,20060409,    0,    0
  2834, 95907,20060410,    0,    0
  2834, 95907,20060411,    4,    0
  2834, 95907,20060412,    0,    0
  2834, 95907,20060413,    0,    0
  2834, 95907,20060414,    0,    0
  2834, 95907,20060415,   16,    0
  2834, 95907,20060416,    4,    0
  2834, 95907,20060417,    0,    0
  2834, 95907,20060418,  176,    0
  2834, 95907,20060419,   16,    0
  2834, 95907,20060420,    0,    0
  2834, 95907,20060421,    0,    0
  2834, 95907,20060422,    0,    0
  2834, 95907,20060423,    0,    0
  2834, 95907,20060424,    0,    0
  2834, 95907,20060425,    0,    0
  2834, 95907,20060426,    4,    0
  2834, 95907,20060427,  104,    0
  2834, 95907,20060428,  318,    0
