EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEWPORT FURNACE, IRELAND (STAID: 3546)
Blended and updated with sources:55933 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3546, 55933,20130101,   83,    0
  3546, 55933,20130102,   85,    0
  3546, 55933,20130103,    2,    0
  3546, 55933,20130104,    0,    0
  3546, 55933,20130105,  113,    0
  3546, 55933,20130106,  287,    0
  3546, 55933,20130107,  139,    0
  3546, 55933,20130108,    1,    0
  3546, 55933,20130109,    1,    0
  3546, 55933,20130110,   12,    0
  3546, 55933,20130111,    0,    0
  3546, 55933,20130112,   11,    0
  3546, 55933,20130113,   62,    0
  3546, 55933,20130114,   25,    0
  3546, 55933,20130115,   69,    0
  3546, 55933,20130116,    8,    0
  3546, 55933,20130117,  255,    0
  3546, 55933,20130118,   41,    0
  3546, 55933,20130119,    1,    0
  3546, 55933,20130120,    0,    0
  3546, 55933,20130121,   12,    0
  3546, 55933,20130122,   30,    0
  3546, 55933,20130123,    0,    0
  3546, 55933,20130124,  115,    0
  3546, 55933,20130125,   25,    0
  3546, 55933,20130126,  181,    0
  3546, 55933,20130127,   97,    0
  3546, 55933,20130128,   53,    0
  3546, 55933,20130129,   54,    0
  3546, 55933,20130130,  111,    0
  3546, 55933,20130131,   38,    0
  3546, 55933,20130201,   18,    0
  3546, 55933,20130202,  142,    0
  3546, 55933,20130203,   19,    0
  3546, 55933,20130204,  106,    0
  3546, 55933,20130205,   76,    0
  3546, 55933,20130206,   78,    0
  3546, 55933,20130207,   46,    0
  3546, 55933,20130208,    6,    0
  3546, 55933,20130209,   52,    0
  3546, 55933,20130210,   48,    0
  3546, 55933,20130211,   42,    0
  3546, 55933,20130212,   96,    0
  3546, 55933,20130213,   88,    0
  3546, 55933,20130214,    8,    0
  3546, 55933,20130215,   10,    0
  3546, 55933,20130216,    0,    0
  3546, 55933,20130217,    0,    0
  3546, 55933,20130218,    0,    0
  3546, 55933,20130219,    0,    0
  3546, 55933,20130220,    0,    0
  3546, 55933,20130221,    0,    0
  3546, 55933,20130222,    0,    0
  3546, 55933,20130223,    0,    0
  3546, 55933,20130224,    0,    0
  3546, 55933,20130225,    0,    0
  3546, 55933,20130226,    0,    0
  3546, 55933,20130227,    0,    0
  3546, 55933,20130228,    0,    0
  3546, 55933,20130301,    0,    0
  3546, 55933,20130302,    0,    0
  3546, 55933,20130303,    0,    0
  3546, 55933,20130304,    0,    0
  3546, 55933,20130305,   16,    0
  3546, 55933,20130306,    6,    0
  3546, 55933,20130307,   30,    0
  3546, 55933,20130308,   26,    0
  3546, 55933,20130309,    0,    0
  3546, 55933,20130310,    2,    0
  3546, 55933,20130311,    0,    0
  3546, 55933,20130312,   14,    0
  3546, 55933,20130313,   24,    0
  3546, 55933,20130314,   90,    0
  3546, 55933,20130315,   32,    0
  3546, 55933,20130316,   40,    0
  3546, 55933,20130317,   44,    0
  3546, 55933,20130318,    4,    0
  3546, 55933,20130319,    2,    0
  3546, 55933,20130320,    0,    0
  3546, 55933,20130321,  160,    0
  3546, 55933,20130322,   46,    0
  3546, 55933,20130323,    0,    0
  3546, 55933,20130324,    0,    0
  3546, 55933,20130325,    0,    0
  3546, 55933,20130326,    0,    0
  3546, 55933,20130327,    0,    0
  3546, 55933,20130328,    0,    0
  3546, 55933,20130329,    0,    0
  3546, 55933,20130330,    0,    0
  3546, 55933,20130331,    0,    0
  3546, 55933,20130401,    0,    0
  3546, 55933,20130402,    0,    0
  3546, 55933,20130403,    0,    0
  3546, 55933,20130404,    0,    0
  3546, 55933,20130405,    0,    0
  3546, 55933,20130406,    0,    0
  3546, 55933,20130407,    0,    0
  3546, 55933,20130408,    0,    0
  3546, 55933,20130409,    2,    0
  3546, 55933,20130410,   47,    0
  3546, 55933,20130411,   20,    0
  3546, 55933,20130412,    9,    0
  3546, 55933,20130413,   66,    0
  3546, 55933,20130414,   35,    0
  3546, 55933,20130415,   72,    0
  3546, 55933,20130416,  147,    0
  3546, 55933,20130417,  150,    0
  3546, 55933,20130418,   81,    0
  3546, 55933,20130419,    0,    0
  3546, 55933,20130420,  217,    0
  3546, 55933,20130421,   91,    0
  3546, 55933,20130422,    0,    0
  3546, 55933,20130423,   93,    0
  3546, 55933,20130424,   30,    0
  3546, 55933,20130425,   32,    0
  3546, 55933,20130426,   25,    0
  3546, 55933,20130427,   26,    0
  3546, 55933,20130428,   66,    0
  3546, 55933,20130429,   21,    0
  3546, 55933,20130430,   45,    0
  3546, 55933,20130501,    1,    0
  3546, 55933,20130502,   74,    0
  3546, 55933,20130503,   72,    0
  3546, 55933,20130504,   21,    0
  3546, 55933,20130505,  170,    0
  3546, 55933,20130506,    6,    0
  3546, 55933,20130507,  120,    0
  3546, 55933,20130508,   83,    0
  3546, 55933,20130509,   59,    0
  3546, 55933,20130510,   56,    0
  3546, 55933,20130511,  119,    0
  3546, 55933,20130512,   66,    0
  3546, 55933,20130513,  112,    0
  3546, 55933,20130514,   89,    0
  3546, 55933,20130515,   31,    0
  3546, 55933,20130516,   73,    0
  3546, 55933,20130517,    6,    0
  3546, 55933,20130518,  140,    0
  3546, 55933,20130519,    0,    0
  3546, 55933,20130520,    0,    0
  3546, 55933,20130521,    0,    0
  3546, 55933,20130522,    0,    0
  3546, 55933,20130523,    0,    0
  3546, 55933,20130524,    1,    0
  3546, 55933,20130525,   85,    0
  3546, 55933,20130526,   45,    0
  3546, 55933,20130527,  111,    0
  3546, 55933,20130528,   24,    0
  3546, 55933,20130529,    0,    0
  3546, 55933,20130530,    1,    0
  3546, 55933,20130531,    5,    0
  3546, 55933,20130601,    9,    0
  3546, 55933,20130602,    8,    0
  3546, 55933,20130603,    0,    0
  3546, 55933,20130604,    0,    0
  3546, 55933,20130605,    0,    0
  3546, 55933,20130606,    0,    0
  3546, 55933,20130607,    0,    0
  3546, 55933,20130608,    0,    0
  3546, 55933,20130609,    0,    0
  3546, 55933,20130610,   41,    0
  3546, 55933,20130611,   35,    0
  3546, 55933,20130612,   16,    0
  3546, 55933,20130613,   65,    0
  3546, 55933,20130614,  133,    0
  3546, 55933,20130615,    1,    0
  3546, 55933,20130616,    0,    0
  3546, 55933,20130617,    0,    0
  3546, 55933,20130618,    0,    0
  3546, 55933,20130619,   16,    0
  3546, 55933,20130620,   18,    0
  3546, 55933,20130621,   65,    0
  3546, 55933,20130622,   94,    0
  3546, 55933,20130623,    9,    0
  3546, 55933,20130624,    1,    0
  3546, 55933,20130625,    8,    0
