EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CELNO-VERSINY, RUSSIAN FEDERATION (STAID: 3806)
Blended and updated with sources:18881 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3806, 18881,19750101,   18,    0
  3806, 18881,19750102,    9,    1
  3806, 18881,19750103,    0,    1
  3806, 18881,19750104,    0,    1
  3806, 18881,19750105,    2,    0
  3806, 18881,19750106,   19,    0
  3806, 18881,19750107,   21,    0
  3806, 18881,19750108,    7,    0
  3806, 18881,19750109,    5,    1
  3806, 18881,19750110,    0,    1
  3806, 18881,19750111,    0,    1
  3806, 18881,19750112,   16,    0
  3806, 18881,19750113,    3,    0
  3806, 18881,19750114,    8,    0
  3806, 18881,19750115,   30,    0
  3806, 18881,19750116,    7,    1
  3806, 18881,19750117,    0,    1
  3806, 18881,19750118,    0,    1
  3806, 18881,19750119,    0,    1
  3806, 18881,19750120,    0,    1
  3806, 18881,19750121,    0,    1
  3806, 18881,19750122,    0,    1
  3806, 18881,19750123,    2,    0
  3806, 18881,19750124,    2,    0
  3806, 18881,19750125,    2,    1
  3806, 18881,19750126,    0,    1
  3806, 18881,19750127,    7,    0
  3806, 18881,19750128,   10,    0
  3806, 18881,19750129,    4,    0
  3806, 18881,19750130,   13,    0
  3806, 18881,19750131,-9999,    9
  3806, 18881,19750201,    0,    1
  3806, 18881,19750202,    0,    1
  3806, 18881,19750203,    6,    0
  3806, 18881,19750204,    8,    0
  3806, 18881,19750205,   16,    0
  3806, 18881,19750206,   11,    0
  3806, 18881,19750207,   14,    1
  3806, 18881,19750208,    0,    1
  3806, 18881,19750209,    0,    1
  3806, 18881,19750210,    2,    1
  3806, 18881,19750211,    0,    1
  3806, 18881,19750212,    4,    0
  3806, 18881,19750213,   10,    0
  3806, 18881,19750214,   17,    0
  3806, 18881,19750215,   11,    0
  3806, 18881,19750216,   22,    0
  3806, 18881,19750217,   21,    0
  3806, 18881,19750218,    7,    0
  3806, 18881,19750219,   19,    0
  3806, 18881,19750220,   25,    1
  3806, 18881,19750221,    0,    1
  3806, 18881,19750222,   12,    1
  3806, 18881,19750223,    0,    1
  3806, 18881,19750224,    0,    1
  3806, 18881,19750225,    0,    1
  3806, 18881,19750226,    8,    0
  3806, 18881,19750227,    8,    1
  3806, 18881,19750228,    0,    1
  3806, 18881,19750301,    0,    1
  3806, 18881,19750302,   19,    0
  3806, 18881,19750303,    2,    1
