EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERSTDORF, GERMANY (STAID: 4002)
Blended and updated with sources:21114 910948 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4002, 21114,19100101,   20,    0
  4002, 21114,19100102,    0,    0
  4002, 21114,19100103,    0,    0
  4002, 21114,19100104,    0,    0
  4002, 21114,19100105,    0,    0
  4002, 21114,19100106,    0,    0
  4002, 21114,19100107,    0,    0
  4002, 21114,19100108,    0,    0
  4002, 21114,19100109,    0,    0
  4002, 21114,19100110,    0,    0
  4002, 21114,19100111,    0,    0
  4002, 21114,19100112,   97,    0
  4002, 21114,19100113,   13,    0
  4002, 21114,19100114,  100,    0
  4002, 21114,19100115,  125,    0
  4002, 21114,19100116,    6,    0
  4002, 21114,19100117,   34,    0
  4002, 21114,19100118,  325,    0
  4002, 21114,19100119,  675,    0
  4002, 21114,19100120,  182,    0
  4002, 21114,19100121,   86,    0
  4002, 21114,19100122,   85,    0
  4002, 21114,19100123,   16,    0
  4002, 21114,19100124,   31,    0
  4002, 21114,19100125,   40,    0
  4002, 21114,19100126,    0,    0
  4002, 21114,19100127,   16,    0
  4002, 21114,19100128,    7,    0
  4002, 21114,19100129,   49,    0
  4002, 21114,19100130,   29,    0
  4002, 21114,19100131,    0,    0
  4002, 21114,19100201,    0,    0
  4002, 21114,19100202,    0,    0
  4002, 21114,19100203,   64,    0
  4002, 21114,19100204,   77,    0
  4002, 21114,19100205,   60,    0
  4002, 21114,19100206,  310,    0
  4002, 21114,19100207,  230,    0
  4002, 21114,19100208,   14,    0
  4002, 21114,19100209,   60,    0
  4002, 21114,19100210,    0,    0
  4002, 21114,19100211,   28,    0
  4002, 21114,19100212,   38,    0
  4002, 21114,19100213,    0,    0
  4002, 21114,19100214,    0,    0
  4002, 21114,19100215,    0,    0
  4002, 21114,19100216,   61,    0
  4002, 21114,19100217,    0,    0
  4002, 21114,19100218,    0,    0
  4002, 21114,19100219,    0,    0
  4002, 21114,19100220,    0,    0
  4002, 21114,19100221,    0,    0
  4002, 21114,19100222,    0,    0
  4002, 21114,19100223,   21,    0
  4002, 21114,19100224,    3,    0
  4002, 21114,19100225,   48,    0
  4002, 21114,19100226,   65,    0
  4002, 21114,19100227,  170,    0
  4002, 21114,19100228,    0,    0
  4002, 21114,19100301,   37,    0
  4002, 21114,19100302,   68,    0
  4002, 21114,19100303,    0,    0
  4002, 21114,19100304,    0,    0
  4002, 21114,19100305,    0,    0
  4002, 21114,19100306,    0,    0
  4002, 21114,19100307,    0,    0
  4002, 21114,19100308,    0,    0
  4002, 21114,19100309,    0,    0
  4002, 21114,19100310,    0,    0
  4002, 21114,19100311,    0,    0
  4002, 21114,19100312,    0,    0
  4002, 21114,19100313,    0,    0
  4002, 21114,19100314,    0,    0
  4002, 21114,19100315,    0,    0
  4002, 21114,19100316,   48,    0
  4002, 21114,19100317,   11,    0
  4002, 21114,19100318,   45,    0
  4002, 21114,19100319,   80,    0
  4002, 21114,19100320,   10,    0
  4002, 21114,19100321,    0,    0
  4002, 21114,19100322,    0,    0
  4002, 21114,19100323,   13,    0
  4002, 21114,19100324,   30,    0
  4002, 21114,19100325,    0,    0
  4002, 21114,19100326,    0,    0
  4002, 21114,19100327,    0,    0
  4002, 21114,19100328,    0,    0
  4002, 21114,19100329,   40,    0
  4002, 21114,19100330,  147,    0
  4002, 21114,19100331,    8,    0
  4002, 21114,19100401,    0,    0
  4002, 21114,19100402,    0,    0
  4002, 21114,19100403,   50,    0
  4002, 21114,19100404,    0,    0
  4002, 21114,19100405,    0,    0
  4002, 21114,19100406,   74,    0
  4002, 21114,19100407,   88,    0
  4002, 21114,19100408,   23,    0
  4002, 21114,19100409,   50,    0
  4002, 21114,19100410,   45,    0
  4002, 21114,19100411,    0,    0
  4002, 21114,19100412,    0,    0
  4002, 21114,19100413,    0,    0
  4002, 21114,19100414,   23,    0
  4002, 21114,19100415,    2,    0
  4002, 21114,19100416,   46,    0
  4002, 21114,19100417,  185,    0
  4002, 21114,19100418,    3,    0
  4002, 21114,19100419,  116,    0
  4002, 21114,19100420,  260,    0
  4002, 21114,19100421,  311,    0
  4002, 21114,19100422,  395,    0
  4002, 21114,19100423,   28,    0
  4002, 21114,19100424,   33,    0
  4002, 21114,19100425,  103,    0
  4002, 21114,19100426,   99,    0
  4002, 21114,19100427,    3,    0
