EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ELPERSBUTTEL, GERMANY (STAID: 4048)
Blended and updated with sources:21666 23610 82513 85431 86095 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4048, 86095,19310101,   42,    0
  4048, 86095,19310102,  125,    0
  4048, 86095,19310103,   58,    0
  4048, 86095,19310104,    0,    0
  4048, 86095,19310105,    0,    0
  4048, 86095,19310106,    0,    0
  4048, 86095,19310107,    0,    0
  4048, 86095,19310108,    1,    0
  4048, 86095,19310109,    0,    0
  4048, 86095,19310110,    0,    0
  4048, 86095,19310111,   74,    0
  4048, 86095,19310112,   46,    0
  4048, 86095,19310113,    3,    0
  4048, 86095,19310114,    0,    0
  4048, 86095,19310115,   83,    0
  4048, 86095,19310116,   98,    0
  4048, 86095,19310117,    9,    0
  4048, 86095,19310118,   26,    0
  4048, 86095,19310119,    0,    0
  4048, 86095,19310120,   22,    0
  4048, 86095,19310121,    0,    0
  4048, 86095,19310122,    5,    0
  4048, 86095,19310123,   55,    0
  4048, 86095,19310124,   23,    0
  4048, 86095,19310125,   89,    0
  4048, 86095,19310126,    5,    0
  4048, 86095,19310127,   15,    0
  4048, 86095,19310128,   41,    0
  4048, 86095,19310129,    0,    0
  4048, 86095,19310130,    2,    0
  4048, 86095,19310131,    0,    0
  4048, 86095,19310201,    0,    0
  4048, 86095,19310202,   16,    0
  4048, 86095,19310203,    0,    0
  4048, 86095,19310204,    2,    0
  4048, 86095,19310205,   19,    0
  4048, 86095,19310206,    2,    0
  4048, 86095,19310207,    0,    0
  4048, 86095,19310208,    0,    0
  4048, 86095,19310209,   15,    0
  4048, 86095,19310210,    0,    0
  4048, 86095,19310211,   75,    0
  4048, 86095,19310212,  128,    0
  4048, 86095,19310213,    1,    0
  4048, 86095,19310214,    0,    0
  4048, 86095,19310215,   30,    0
  4048, 86095,19310216,   16,    0
  4048, 86095,19310217,    2,    0
  4048, 86095,19310218,   13,    0
  4048, 86095,19310219,    0,    0
  4048, 86095,19310220,   18,    0
  4048, 86095,19310221,   32,    0
  4048, 86095,19310222,    0,    0
  4048, 86095,19310223,   23,    0
  4048, 86095,19310224,    9,    0
  4048, 86095,19310225,  176,    0
  4048, 86095,19310226,  179,    0
  4048, 86095,19310227,   83,    0
  4048, 86095,19310228,   22,    0
  4048, 86095,19310301,    6,    0
  4048, 86095,19310302,    3,    0
  4048, 86095,19310303,   39,    0
  4048, 86095,19310304,    0,    0
  4048, 86095,19310305,    0,    0
  4048, 86095,19310306,    2,    0
  4048, 86095,19310307,   49,    0
  4048, 86095,19310308,    0,    0
  4048, 86095,19310309,    0,    0
  4048, 86095,19310310,   11,    0
  4048, 86095,19310311,    9,    0
  4048, 86095,19310312,    0,    0
  4048, 86095,19310313,    0,    0
  4048, 86095,19310314,    0,    0
  4048, 86095,19310315,    0,    0
  4048, 86095,19310316,    0,    0
  4048, 86095,19310317,    0,    0
  4048, 86095,19310318,    0,    0
  4048, 86095,19310319,    0,    0
  4048, 86095,19310320,    0,    0
  4048, 86095,19310321,   16,    0
  4048, 86095,19310322,    0,    0
  4048, 86095,19310323,    0,    0
  4048, 86095,19310324,   14,    0
  4048, 86095,19310325,    0,    0
  4048, 86095,19310326,    0,    0
  4048, 86095,19310327,    0,    0
  4048, 86095,19310328,    0,    0
  4048, 86095,19310329,    0,    0
  4048, 86095,19310330,    0,    0
  4048, 86095,19310331,    0,    0
  4048, 86095,19310401,    0,    0
  4048, 86095,19310402,    0,    0
  4048, 86095,19310403,    0,    0
  4048, 86095,19310404,   14,    0
  4048, 86095,19310405,   33,    0
  4048, 86095,19310406,    0,    0
  4048, 86095,19310407,    0,    0
  4048, 86095,19310408,    0,    0
  4048, 86095,19310409,   92,    0
  4048, 86095,19310410,   56,    0
  4048, 86095,19310411,   63,    0
  4048, 86095,19310412,    0,    0
  4048, 86095,19310413,    6,    0
  4048, 86095,19310414,    0,    0
  4048, 86095,19310415,    0,    0
  4048, 86095,19310416,   43,    0
  4048, 86095,19310417,   93,    0
  4048, 86095,19310418,   52,    0
  4048, 86095,19310419,   16,    0
  4048, 86095,19310420,    0,    0
  4048, 86095,19310421,    0,    0
  4048, 86095,19310422,    0,    0
  4048, 86095,19310423,    0,    0
  4048, 86095,19310424,    0,    0
  4048, 86095,19310425,   83,    0
  4048, 86095,19310426,    8,    0
  4048, 86095,19310427,    0,    0
  4048, 86095,19310428,   29,    0
  4048, 86095,19310429,   74,    0
  4048, 86095,19310430,    2,    0
  4048, 86095,19310501,    8,    0
  4048, 86095,19310502,    3,    0
  4048, 86095,19310503,    5,    0
  4048, 86095,19310504,   66,    0
  4048, 86095,19310505,    0,    0
  4048, 86095,19310506,   47,    0
  4048, 86095,19310507,    3,    0
  4048, 86095,19310508,    3,    0
  4048, 86095,19310509,    0,    0
  4048, 86095,19310510,    0,    0
  4048, 86095,19310511,    3,    0
  4048, 86095,19310512,    0,    0
  4048, 86095,19310513,    0,    0
  4048, 86095,19310514,   12,    0
  4048, 86095,19310515,    8,    0
  4048, 86095,19310516,    0,    0
  4048, 86095,19310517,   19,    0
  4048, 86095,19310518,   62,    0
  4048, 86095,19310519,    0,    0
  4048, 86095,19310520,    0,    0
  4048, 86095,19310521,    0,    0
  4048, 86095,19310522,  158,    0
  4048, 86095,19310523,    0,    0
  4048, 86095,19310524,    0,    0
  4048, 86095,19310525,    0,    0
  4048, 86095,19310526,    0,    0
  4048, 86095,19310527,   11,    0
  4048, 86095,19310528,    0,    0
  4048, 86095,19310529,    0,    0
  4048, 86095,19310530,   42,    0
  4048, 86095,19310531,    0,    0
  4048, 86095,19310601,    0,    0
  4048, 86095,19310602,    0,    0
  4048, 86095,19310603,   54,    0
  4048, 86095,19310604,    0,    0
  4048, 86095,19310605,    0,    0
  4048, 86095,19310606,   47,    0
  4048, 86095,19310607,   29,    0
  4048, 86095,19310608,   35,    0
  4048, 86095,19310609,    3,    0
  4048, 86095,19310610,   38,    0
  4048, 86095,19310611,    0,    0
