EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESSEN-BREDENEY, GERMANY (STAID: 4074)
Blended and updated with sources:21978 910410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4074, 21978,19350101,   62,    0
  4074, 21978,19350102,    1,    0
  4074, 21978,19350103,   29,    0
  4074, 21978,19350104,   62,    0
  4074, 21978,19350105,   48,    0
  4074, 21978,19350106,   22,    0
  4074, 21978,19350107,   10,    0
  4074, 21978,19350108,    0,    0
  4074, 21978,19350109,    0,    0
  4074, 21978,19350110,    0,    0
  4074, 21978,19350111,    0,    0
  4074, 21978,19350112,    5,    0
  4074, 21978,19350113,   10,    0
  4074, 21978,19350114,   19,    0
  4074, 21978,19350115,   13,    0
  4074, 21978,19350116,   12,    0
  4074, 21978,19350117,   10,    0
  4074, 21978,19350118,    0,    0
  4074, 21978,19350119,    0,    0
  4074, 21978,19350120,   12,    0
  4074, 21978,19350121,   36,    0
  4074, 21978,19350122,    9,    0
  4074, 21978,19350123,    0,    0
  4074, 21978,19350124,   17,    0
  4074, 21978,19350125,  143,    0
  4074, 21978,19350126,   24,    0
  4074, 21978,19350127,    0,    0
  4074, 21978,19350128,    0,    0
  4074, 21978,19350129,    0,    0
  4074, 21978,19350130,   16,    0
  4074, 21978,19350131,   17,    0
  4074, 21978,19350201,  104,    0
  4074, 21978,19350202,   38,    0
  4074, 21978,19350203,  125,    0
  4074, 21978,19350204,   51,    0
  4074, 21978,19350205,   23,    0
  4074, 21978,19350206,    0,    0
  4074, 21978,19350207,    2,    0
  4074, 21978,19350208,    0,    0
  4074, 21978,19350209,    0,    0
  4074, 21978,19350210,    5,    0
  4074, 21978,19350211,    1,    0
  4074, 21978,19350212,   19,    0
  4074, 21978,19350213,   99,    0
  4074, 21978,19350214,    0,    0
  4074, 21978,19350215,   78,    0
  4074, 21978,19350216,   81,    0
  4074, 21978,19350217,    0,    0
  4074, 21978,19350218,    0,    0
  4074, 21978,19350219,    0,    0
  4074, 21978,19350220,   13,    0
  4074, 21978,19350221,   32,    0
  4074, 21978,19350222,   73,    0
  4074, 21978,19350223,    7,    0
  4074, 21978,19350224,   59,    0
  4074, 21978,19350225,    5,    0
  4074, 21978,19350226,    0,    0
  4074, 21978,19350227,    6,    0
  4074, 21978,19350228,    0,    0
  4074, 21978,19350301,    3,    0
  4074, 21978,19350302,    0,    0
  4074, 21978,19350303,    2,    0
  4074, 21978,19350304,    7,    0
  4074, 21978,19350305,  122,    0
  4074, 21978,19350306,   14,    0
  4074, 21978,19350307,    0,    0
  4074, 21978,19350308,    0,    0
  4074, 21978,19350309,    0,    0
  4074, 21978,19350310,    0,    0
  4074, 21978,19350311,    0,    0
  4074, 21978,19350312,    0,    0
  4074, 21978,19350313,    0,    0
  4074, 21978,19350314,    0,    0
  4074, 21978,19350315,    0,    0
  4074, 21978,19350316,    0,    0
  4074, 21978,19350317,    2,    0
  4074, 21978,19350318,    0,    0
  4074, 21978,19350319,    0,    0
  4074, 21978,19350320,    0,    0
  4074, 21978,19350321,    0,    0
  4074, 21978,19350322,   22,    0
  4074, 21978,19350323,  161,    0
  4074, 21978,19350324,    1,    0
  4074, 21978,19350325,    2,    0
  4074, 21978,19350326,    0,    0
  4074, 21978,19350327,    0,    0
  4074, 21978,19350328,    0,    0
  4074, 21978,19350329,    2,    0
  4074, 21978,19350330,   22,    0
  4074, 21978,19350331,   60,    0
  4074, 21978,19350401,   22,    0
  4074, 21978,19350402,   43,    0
  4074, 21978,19350403,   20,    0
  4074, 21978,19350404,   60,    0
  4074, 21978,19350405,   53,    0
  4074, 21978,19350406,   35,    0
  4074, 21978,19350407,  110,    0
  4074, 21978,19350408,   36,    0
  4074, 21978,19350409,  106,    0
  4074, 21978,19350410,    5,    0
  4074, 21978,19350411,   11,    0
  4074, 21978,19350412,  136,    0
  4074, 21978,19350413,    0,    0
  4074, 21978,19350414,    0,    0
  4074, 21978,19350415,    0,    0
  4074, 21978,19350416,  131,    0
  4074, 21978,19350417,    7,    0
  4074, 21978,19350418,    6,    0
  4074, 21978,19350419,   15,    0
  4074, 21978,19350420,    0,    0
  4074, 21978,19350421,  116,    0
  4074, 21978,19350422,   57,    0
  4074, 21978,19350423,   41,    0
  4074, 21978,19350424,   52,    0
  4074, 21978,19350425,   30,    0
  4074, 21978,19350426,    8,    0
  4074, 21978,19350427,    0,    0
  4074, 21978,19350428,   12,    0
  4074, 21978,19350429,    0,    0
  4074, 21978,19350430,    2,    0
  4074, 21978,19350501,    0,    0
  4074, 21978,19350502,    0,    0
  4074, 21978,19350503,    0,    0
  4074, 21978,19350504,    0,    0
  4074, 21978,19350505,    0,    0
  4074, 21978,19350506,    0,    0
  4074, 21978,19350507,    0,    0
  4074, 21978,19350508,    0,    0
  4074, 21978,19350509,    0,    0
