EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WAIBSTADT, GERMANY (STAID: 4085)
Blended and updated with sources:22110 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4085, 22110,20070801,    0,    0
  4085, 22110,20070802,    0,    0
  4085, 22110,20070803,    0,    0
  4085, 22110,20070804,    0,    0
  4085, 22110,20070805,    0,    0
  4085, 22110,20070806,    0,    0
  4085, 22110,20070807,  187,    0
  4085, 22110,20070808,   83,    0
  4085, 22110,20070809,   79,    0
  4085, 22110,20070810,   41,    0
  4085, 22110,20070811,    0,    0
  4085, 22110,20070812,  110,    0
  4085, 22110,20070813,    0,    0
  4085, 22110,20070814,    0,    0
  4085, 22110,20070815,    2,    0
  4085, 22110,20070816,    0,    0
  4085, 22110,20070817,    0,    0
  4085, 22110,20070818,    0,    0
  4085, 22110,20070819,   61,    0
  4085, 22110,20070820,    0,    0
  4085, 22110,20070821,    0,    0
  4085, 22110,20070822,    0,    0
  4085, 22110,20070823,    2,    0
  4085, 22110,20070824,    0,    0
  4085, 22110,20070825,   13,    0
  4085, 22110,20070826,    0,    0
  4085, 22110,20070827,    0,    0
  4085, 22110,20070828,    0,    0
  4085, 22110,20070829,    0,    0
  4085, 22110,20070830,    0,    0
  4085, 22110,20070831,    6,    0
  4085, 22110,20070901,    2,    0
  4085, 22110,20070902,    0,    0
  4085, 22110,20070903,  150,    0
  4085, 22110,20070904,    0,    0
  4085, 22110,20070905,    0,    0
  4085, 22110,20070906,    2,    0
  4085, 22110,20070907,    2,    0
  4085, 22110,20070908,    2,    0
  4085, 22110,20070909,    0,    0
  4085, 22110,20070910,   53,    0
  4085, 22110,20070911,    0,    0
  4085, 22110,20070912,    0,    0
  4085, 22110,20070913,    0,    0
  4085, 22110,20070914,    6,    0
  4085, 22110,20070915,    0,    0
  4085, 22110,20070916,    0,    0
  4085, 22110,20070917,   88,    0
  4085, 22110,20070918,   15,    0
  4085, 22110,20070919,    0,    0
  4085, 22110,20070920,    0,    0
  4085, 22110,20070921,    0,    0
  4085, 22110,20070922,    0,    0
  4085, 22110,20070923,    0,    0
  4085, 22110,20070924,   26,    0
  4085, 22110,20070925,    0,    0
  4085, 22110,20070926,    9,    0
  4085, 22110,20070927,  137,    0
  4085, 22110,20070928,   11,    0
  4085, 22110,20070929,    0,    0
  4085, 22110,20070930,    0,    0
  4085, 22110,20071001,    0,    0
  4085, 22110,20071002,   38,    0
  4085, 22110,20071003,   24,    0
  4085, 22110,20071004,    0,    0
  4085, 22110,20071005,    0,    0
  4085, 22110,20071006,    0,    0
  4085, 22110,20071007,    0,    0
  4085, 22110,20071008,    0,    0
  4085, 22110,20071009,    0,    0
  4085, 22110,20071010,    0,    0
  4085, 22110,20071011,    0,    0
  4085, 22110,20071012,    0,    0
  4085, 22110,20071013,    0,    0
  4085, 22110,20071014,    0,    0
  4085, 22110,20071015,    0,    0
  4085, 22110,20071016,    0,    0
  4085, 22110,20071017,   17,    0
  4085, 22110,20071018,    0,    0
  4085, 22110,20071019,    3,    0
  4085, 22110,20071020,    0,    0
  4085, 22110,20071021,    3,    0
  4085, 22110,20071022,    0,    0
  4085, 22110,20071023,    0,    0
  4085, 22110,20071024,    0,    0
  4085, 22110,20071025,    0,    0
  4085, 22110,20071026,    0,    0
  4085, 22110,20071027,    0,    0
  4085, 22110,20071028,    0,    0
  4085, 22110,20071029,   34,    0
  4085, 22110,20071030,    6,    0
  4085, 22110,20071031,    0,    0
  4085, 22110,20071101,    0,    0
  4085, 22110,20071102,    0,    0
  4085, 22110,20071103,    0,    0
  4085, 22110,20071104,    0,    0
  4085, 22110,20071105,   22,    0
  4085, 22110,20071106,    2,    0
  4085, 22110,20071107,   82,    0
  4085, 22110,20071108,  107,    0
  4085, 22110,20071109,   24,    0
  4085, 22110,20071110,  228,    0
  4085, 22110,20071111,   65,    0
  4085, 22110,20071112,    0,    0
  4085, 22110,20071113,  223,    0
  4085, 22110,20071114,    2,    0
  4085, 22110,20071115,    0,    0
  4085, 22110,20071116,    0,    0
  4085, 22110,20071117,    0,    0
  4085, 22110,20071118,    0,    0
  4085, 22110,20071119,    0,    0
  4085, 22110,20071120,    0,    0
  4085, 22110,20071121,   17,    0
  4085, 22110,20071122,   58,    0
