EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FLENSBURG, GERMANY (STAID: 4095)
Blended and updated with sources:22230 22242 22854 910033 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4095, 22242,19570101,    0,    0
  4095, 22242,19570102,   30,    0
  4095, 22242,19570103,    4,    0
  4095, 22242,19570104,   59,    0
  4095, 22242,19570105,  139,    0
  4095, 22242,19570106,    2,    0
  4095, 22242,19570107,    0,    0
  4095, 22242,19570108,    0,    0
  4095, 22242,19570109,    4,    0
  4095, 22242,19570110,    6,    0
  4095, 22242,19570111,   12,    0
  4095, 22242,19570112,   28,    0
  4095, 22242,19570113,   36,    0
  4095, 22242,19570114,    0,    0
  4095, 22242,19570115,    1,    0
  4095, 22242,19570116,    0,    0
  4095, 22242,19570117,    0,    0
  4095, 22242,19570118,   11,    0
  4095, 22242,19570119,    4,    0
  4095, 22242,19570120,   22,    0
  4095, 22242,19570121,  148,    0
  4095, 22242,19570122,    2,    0
  4095, 22242,19570123,    0,    0
  4095, 22242,19570124,    0,    0
  4095, 22242,19570125,    0,    0
  4095, 22242,19570126,   63,    0
  4095, 22242,19570127,   30,    0
  4095, 22242,19570128,    3,    0
  4095, 22242,19570129,    7,    0
  4095, 22242,19570130,    4,    0
  4095, 22242,19570131,  175,    0
  4095, 22242,19570201,   82,    0
  4095, 22242,19570202,    0,    0
  4095, 22242,19570203,    1,    0
  4095, 22242,19570204,    0,    0
  4095, 22242,19570205,   56,    0
  4095, 22242,19570206,   12,    0
  4095, 22242,19570207,   59,    0
  4095, 22242,19570208,   99,    0
  4095, 22242,19570209,    1,    0
  4095, 22242,19570210,    0,    0
  4095, 22242,19570211,   37,    0
  4095, 22242,19570212,   77,    0
  4095, 22242,19570213,   48,    0
  4095, 22242,19570214,   68,    0
  4095, 22242,19570215,   11,    0
