EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HARBURG, GERMANY (STAID: 4191)
Blended and updated with sources:23382 24342 910850 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4191, 24342,19460101,    0,    0
  4191, 24342,19460102,    0,    0
  4191, 24342,19460103,    0,    0
  4191, 24342,19460104,    0,    0
  4191, 24342,19460105,    0,    0
  4191, 24342,19460106,    0,    0
  4191, 24342,19460107,    0,    0
  4191, 24342,19460108,    0,    0
  4191, 24342,19460109,   25,    0
  4191, 24342,19460110,   37,    0
  4191, 24342,19460111,    0,    0
  4191, 24342,19460112,    6,    0
  4191, 24342,19460113,  147,    0
  4191, 24342,19460114,    4,    0
  4191, 24342,19460115,    2,    0
  4191, 24342,19460116,    0,    0
  4191, 24342,19460117,    0,    0
  4191, 24342,19460118,    0,    0
  4191, 24342,19460119,    0,    0
  4191, 24342,19460120,    0,    0
  4191, 24342,19460121,    0,    0
  4191, 24342,19460122,    0,    0
  4191, 24342,19460123,    0,    0
  4191, 24342,19460124,    0,    0
  4191, 24342,19460125,    0,    0
  4191, 24342,19460126,    0,    0
  4191, 24342,19460127,    0,    0
  4191, 24342,19460128,    5,    0
  4191, 24342,19460129,   28,    0
  4191, 24342,19460130,   31,    0
  4191, 24342,19460131,    0,    0
  4191, 24342,19460201,    0,    0
  4191, 24342,19460202,    0,    0
  4191, 24342,19460203,    0,    0
  4191, 24342,19460204,   84,    0
  4191, 24342,19460205,   15,    0
  4191, 24342,19460206,   43,    0
  4191, 24342,19460207,   47,    0
  4191, 24342,19460208,   31,    0
  4191, 24342,19460209,   50,    0
  4191, 24342,19460210,   20,    0
  4191, 24342,19460211,    0,    0
  4191, 24342,19460212,   83,    0
  4191, 24342,19460213,    2,    0
  4191, 24342,19460214,   36,    0
  4191, 24342,19460215,   37,    0
  4191, 24342,19460216,   34,    0
  4191, 24342,19460217,   46,    0
  4191, 24342,19460218,   13,    0
  4191, 24342,19460219,  103,    0
  4191, 24342,19460220,   47,    0
  4191, 24342,19460221,   39,    0
  4191, 24342,19460222,   19,    0
  4191, 24342,19460223,   29,    0
  4191, 24342,19460224,    2,    0
  4191, 24342,19460225,    0,    0
