EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAISACH-GERNLINDEN, GERMANY (STAID: 4382)
Blended and updated with sources:25674 31542 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4382, 25674,19831101,    0,    0
  4382, 25674,19831102,    0,    0
  4382, 25674,19831103,    0,    0
  4382, 25674,19831104,    0,    0
  4382, 25674,19831105,    0,    0
  4382, 25674,19831106,    0,    0
  4382, 25674,19831107,    0,    0
  4382, 25674,19831108,    0,    0
  4382, 25674,19831109,    0,    0
  4382, 25674,19831110,    0,    0
  4382, 25674,19831111,    0,    0
  4382, 25674,19831112,    0,    0
  4382, 25674,19831113,    0,    0
  4382, 25674,19831114,    0,    0
  4382, 25674,19831115,    0,    0
  4382, 25674,19831116,    0,    0
  4382, 25674,19831117,    0,    0
  4382, 25674,19831118,    0,    0
  4382, 25674,19831119,    0,    0
  4382, 25674,19831120,    0,    0
  4382, 25674,19831121,    0,    0
  4382, 25674,19831122,    0,    0
  4382, 25674,19831123,    0,    0
  4382, 25674,19831124,   12,    0
  4382, 25674,19831125,   52,    0
  4382, 25674,19831126,   85,    0
  4382, 25674,19831127,    9,    0
  4382, 25674,19831128,   64,    0
  4382, 25674,19831129,   27,    0
  4382, 25674,19831130,   23,    0
  4382, 25674,19831201,    0,    0
  4382, 25674,19831202,    0,    0
  4382, 25674,19831203,    0,    0
  4382, 25674,19831204,    0,    0
  4382, 25674,19831205,    0,    0
  4382, 25674,19831206,   46,    0
  4382, 25674,19831207,    0,    0
  4382, 25674,19831208,    0,    0
  4382, 25674,19831209,    0,    0
  4382, 25674,19831210,   22,    0
  4382, 25674,19831211,    0,    0
  4382, 25674,19831212,    0,    0
  4382, 25674,19831213,    0,    0
  4382, 25674,19831214,    0,    0
  4382, 25674,19831215,    0,    0
  4382, 25674,19831216,    0,    0
  4382, 25674,19831217,    0,    0
  4382, 25674,19831218,    0,    0
  4382, 25674,19831219,   29,    0
  4382, 25674,19831220,    0,    0
  4382, 25674,19831221,   74,    0
  4382, 25674,19831222,   16,    0
  4382, 25674,19831223,  187,    0
  4382, 25674,19831224,   45,    0
  4382, 25674,19831225,   19,    0
  4382, 25674,19831226,   37,    0
  4382, 25674,19831227,    0,    0
  4382, 25674,19831228,    0,    0
  4382, 25674,19831229,    0,    0
  4382, 25674,19831230,    0,    0
  4382, 25674,19831231,    0,    0
  4382, 25674,19840101,    0,    0
  4382, 25674,19840102,    0,    0
  4382, 25674,19840103,    5,    0
  4382, 25674,19840104,   20,    0
  4382, 25674,19840105,    0,    0
  4382, 25674,19840106,    0,    0
  4382, 25674,19840107,   30,    0
  4382, 25674,19840108,    0,    0
  4382, 25674,19840109,   37,    0
  4382, 25674,19840110,    0,    0
  4382, 25674,19840111,    0,    0
  4382, 25674,19840112,   71,    0
