EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station METTEN, GERMANY (STAID: 4410)
Blended and updated with sources:26010 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4410, 26010,18790101,   52,    0
  4410, 26010,18790102,   15,    0
  4410, 26010,18790103,  111,    0
  4410, 26010,18790104,   51,    0
  4410, 26010,18790105,   11,    0
  4410, 26010,18790106,    0,    0
  4410, 26010,18790107,    0,    0
  4410, 26010,18790108,    0,    0
  4410, 26010,18790109,   30,    0
  4410, 26010,18790110,    9,    0
  4410, 26010,18790111,    2,    0
  4410, 26010,18790112,   16,    0
  4410, 26010,18790113,   19,    0
  4410, 26010,18790114,   32,    0
  4410, 26010,18790115,    0,    0
  4410, 26010,18790116,    0,    0
  4410, 26010,18790117,    0,    0
  4410, 26010,18790118,    0,    0
  4410, 26010,18790119,    6,    0
  4410, 26010,18790120,    0,    0
  4410, 26010,18790121,    0,    0
  4410, 26010,18790122,    0,    0
  4410, 26010,18790123,    0,    0
  4410, 26010,18790124,    0,    0
  4410, 26010,18790125,    0,    0
  4410, 26010,18790126,    0,    0
  4410, 26010,18790127,    0,    0
  4410, 26010,18790128,    0,    0
  4410, 26010,18790129,    0,    0
  4410, 26010,18790130,    0,    0
  4410, 26010,18790131,   18,    0
  4410, 26010,18790201,    0,    0
  4410, 26010,18790202,    0,    0
  4410, 26010,18790203,  130,    0
  4410, 26010,18790204,    4,    0
  4410, 26010,18790205,    2,    0
  4410, 26010,18790206,    0,    0
  4410, 26010,18790207,   43,    0
  4410, 26010,18790208,    0,    0
  4410, 26010,18790209,    8,    0
  4410, 26010,18790210,  132,    0
  4410, 26010,18790211,   80,    0
  4410, 26010,18790212,   13,    0
  4410, 26010,18790213,    0,    0
  4410, 26010,18790214,    0,    0
  4410, 26010,18790215,    0,    0
  4410, 26010,18790216,   20,    0
  4410, 26010,18790217,   59,    0
  4410, 26010,18790218,   29,    0
  4410, 26010,18790219,    7,    0
  4410, 26010,18790220,    7,    0
  4410, 26010,18790221,    1,    0
  4410, 26010,18790222,   36,    0
  4410, 26010,18790223,   25,    0
  4410, 26010,18790224,   14,    0
  4410, 26010,18790225,   32,    0
  4410, 26010,18790226,    9,    0
  4410, 26010,18790227,   12,    0
