EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MENZ, GERMANY (STAID: 4449)
Blended and updated with sources:26478 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4449, 26478,20041001,    0,    0
  4449, 26478,20041002,    0,    0
  4449, 26478,20041003,    0,    0
  4449, 26478,20041004,    0,    0
  4449, 26478,20041005,    0,    0
  4449, 26478,20041006,    6,    0
  4449, 26478,20041007,    0,    0
  4449, 26478,20041008,    0,    0
  4449, 26478,20041009,    0,    0
  4449, 26478,20041010,    0,    0
  4449, 26478,20041011,    0,    0
  4449, 26478,20041012,    0,    0
  4449, 26478,20041013,    0,    0
  4449, 26478,20041014,    0,    0
  4449, 26478,20041015,   33,    0
  4449, 26478,20041016,   36,    0
  4449, 26478,20041017,    0,    0
  4449, 26478,20041018,   61,    0
  4449, 26478,20041019,    0,    0
  4449, 26478,20041020,    2,    0
  4449, 26478,20041021,    1,    0
  4449, 26478,20041022,    0,    0
  4449, 26478,20041023,    8,    0
  4449, 26478,20041024,   26,    0
  4449, 26478,20041025,   11,    0
  4449, 26478,20041026,    0,    0
  4449, 26478,20041027,    0,    0
  4449, 26478,20041028,    2,    0
  4449, 26478,20041029,   88,    0
  4449, 26478,20041030,   11,    0
  4449, 26478,20041031,    1,    0
  4449, 26478,20041101,    0,    0
  4449, 26478,20041102,    0,    0
  4449, 26478,20041103,    0,    0
  4449, 26478,20041104,    1,    0
  4449, 26478,20041105,   26,    0
  4449, 26478,20041106,   13,    0
  4449, 26478,20041107,   38,    0
  4449, 26478,20041108,    0,    0
  4449, 26478,20041109,   42,    0
  4449, 26478,20041110,    0,    0
  4449, 26478,20041111,    0,    0
  4449, 26478,20041112,   32,    0
  4449, 26478,20041113,    0,    0
  4449, 26478,20041114,    0,    0
  4449, 26478,20041115,    2,    0
  4449, 26478,20041116,   56,    0
  4449, 26478,20041117,  137,    0
  4449, 26478,20041118,   41,    0
  4449, 26478,20041119,    3,    0
  4449, 26478,20041120,   29,    0
  4449, 26478,20041121,   10,    0
  4449, 26478,20041122,   81,    0
  4449, 26478,20041123,   24,    0
  4449, 26478,20041124,    0,    0
  4449, 26478,20041125,    0,    0
  4449, 26478,20041126,    9,    0
  4449, 26478,20041127,    5,    0
  4449, 26478,20041128,   30,    0
  4449, 26478,20041129,    0,    0
  4449, 26478,20041130,    0,    0
  4449, 26478,20041201,    0,    0
  4449, 26478,20041202,    0,    0
  4449, 26478,20041203,    0,    0
  4449, 26478,20041204,    0,    0
  4449, 26478,20041205,    1,    0
  4449, 26478,20041206,    0,    0
  4449, 26478,20041207,    0,    0
  4449, 26478,20041208,    0,    0
  4449, 26478,20041209,    0,    0
  4449, 26478,20041210,    0,    0
  4449, 26478,20041211,    1,    0
  4449, 26478,20041212,    0,    0
  4449, 26478,20041213,    0,    0
  4449, 26478,20041214,    0,    0
  4449, 26478,20041215,    6,    0
  4449, 26478,20041216,    9,    0
  4449, 26478,20041217,   20,    0
  4449, 26478,20041218,    2,    0
  4449, 26478,20041219,    5,    0
  4449, 26478,20041220,    0,    0
  4449, 26478,20041221,    0,    0
  4449, 26478,20041222,   18,    0
  4449, 26478,20041223,   76,    0
  4449, 26478,20041224,   69,    0
  4449, 26478,20041225,   25,    0
  4449, 26478,20041226,    2,    0
  4449, 26478,20041227,    5,    0
  4449, 26478,20041228,    9,    0
  4449, 26478,20041229,   13,    0
  4449, 26478,20041230,    1,    0
  4449, 26478,20041231,   51,    0
  4449, 26478,20050101,   18,    0
  4449, 26478,20050102,   65,    0
  4449, 26478,20050103,   52,    0
  4449, 26478,20050104,   24,    0
  4449, 26478,20050105,    5,    0
  4449, 26478,20050106,    3,    0
  4449, 26478,20050107,    0,    0
  4449, 26478,20050108,    0,    0
  4449, 26478,20050109,    0,    0
  4449, 26478,20050110,    0,    0
  4449, 26478,20050111,    0,    0
  4449, 26478,20050112,    2,    0
  4449, 26478,20050113,   14,    0
  4449, 26478,20050114,    0,    0
  4449, 26478,20050115,    0,    0
  4449, 26478,20050116,    0,    0
  4449, 26478,20050117,    3,    0
  4449, 26478,20050118,   34,    0
  4449, 26478,20050119,   43,    0
  4449, 26478,20050120,   97,    0
  4449, 26478,20050121,   17,    0
  4449, 26478,20050122,    0,    0
  4449, 26478,20050123,   16,    0
  4449, 26478,20050124,   49,    0
  4449, 26478,20050125,    0,    0
  4449, 26478,20050126,    0,    0
  4449, 26478,20050127,   24,    0
  4449, 26478,20050128,    0,    0
  4449, 26478,20050129,    3,    0
  4449, 26478,20050130,   16,    0
  4449, 26478,20050131,   24,    0
  4449, 26478,20050201,    0,    0
  4449, 26478,20050202,    1,    0
  4449, 26478,20050203,    0,    0
  4449, 26478,20050204,    0,    0
  4449, 26478,20050205,    0,    0
  4449, 26478,20050206,    0,    0
  4449, 26478,20050207,    0,    0
  4449, 26478,20050208,    0,    0
  4449, 26478,20050209,   25,    0
  4449, 26478,20050210,   37,    0
  4449, 26478,20050211,    0,    0
  4449, 26478,20050212,  155,    0
  4449, 26478,20050213,   31,    0
  4449, 26478,20050214,   11,    0
  4449, 26478,20050215,    1,    0
  4449, 26478,20050216,    0,    0
  4449, 26478,20050217,    2,    0
  4449, 26478,20050218,   13,    0
  4449, 26478,20050219,    1,    0
  4449, 26478,20050220,    1,    0
  4449, 26478,20050221,    0,    0
  4449, 26478,20050222,    2,    0
  4449, 26478,20050223,   85,    0
  4449, 26478,20050224,    7,    0
  4449, 26478,20050225,   17,    0
  4449, 26478,20050226,   16,    0
