EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OFFENBURG, GERMANY (STAID: 4494)
Blended and updated with sources:22770 27018 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4494, 27018,19510101,    0,    0
  4494, 27018,19510102,   20,    0
  4494, 27018,19510103,    0,    0
  4494, 27018,19510104,    6,    0
  4494, 27018,19510105,    0,    0
  4494, 27018,19510106,    0,    0
  4494, 27018,19510107,    0,    0
  4494, 27018,19510108,    0,    0
  4494, 27018,19510109,    0,    0
  4494, 27018,19510110,    0,    0
  4494, 27018,19510111,   34,    0
  4494, 27018,19510112,   31,    0
  4494, 27018,19510113,    0,    0
  4494, 27018,19510114,    0,    0
  4494, 27018,19510115,   71,    0
  4494, 27018,19510116,   12,    0
  4494, 27018,19510117,   20,    0
  4494, 27018,19510118,   12,    0
  4494, 27018,19510119,   50,    0
  4494, 27018,19510120,  149,    0
  4494, 27018,19510121,  121,    0
  4494, 27018,19510122,   12,    0
  4494, 27018,19510123,    0,    0
  4494, 27018,19510124,    0,    0
  4494, 27018,19510125,    6,    0
  4494, 27018,19510126,    8,    0
  4494, 27018,19510127,    0,    0
  4494, 27018,19510128,    0,    0
  4494, 27018,19510129,    0,    0
  4494, 27018,19510130,    0,    0
  4494, 27018,19510131,    3,    0
  4494, 27018,19510201,    0,    0
  4494, 27018,19510202,    0,    0
  4494, 27018,19510203,    0,    0
  4494, 27018,19510204,   30,    0
  4494, 27018,19510205,   95,    0
  4494, 27018,19510206,    0,    0
  4494, 27018,19510207,    0,    0
  4494, 27018,19510208,    0,    0
  4494, 27018,19510209,    8,    0
  4494, 27018,19510210,    0,    0
  4494, 27018,19510211,   34,    0
  4494, 27018,19510212,    0,    0
  4494, 27018,19510213,    0,    0
  4494, 27018,19510214,    0,    0
  4494, 27018,19510215,   20,    0
  4494, 27018,19510216,    0,    0
  4494, 27018,19510217,   50,    0
  4494, 27018,19510218,    0,    0
  4494, 27018,19510219,   65,    0
  4494, 27018,19510220,   42,    0
  4494, 27018,19510221,   90,    0
  4494, 27018,19510222,   42,    0
  4494, 27018,19510223,    3,    0
  4494, 27018,19510224,   11,    0
  4494, 27018,19510225,    0,    0
  4494, 27018,19510226,   40,    0
  4494, 27018,19510227,   20,    0
  4494, 27018,19510228,    0,    0
  4494, 27018,19510301,    3,    0
  4494, 27018,19510302,    9,    0
  4494, 27018,19510303,    0,    0
  4494, 27018,19510304,    0,    0
  4494, 27018,19510305,    0,    0
  4494, 27018,19510306,    0,    0
  4494, 27018,19510307,    0,    0
  4494, 27018,19510308,   26,    0
  4494, 27018,19510309,    4,    0
  4494, 27018,19510310,    0,    0
  4494, 27018,19510311,    2,    0
  4494, 27018,19510312,    0,    0
  4494, 27018,19510313,   80,    0
