EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PIRMASENS, GERMANY (STAID: 4521)
Blended and updated with sources:27342 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4521, 27342,19310101,  183,    0
  4521, 27342,19310102,  157,    0
  4521, 27342,19310103,  159,    0
  4521, 27342,19310104,   36,    0
  4521, 27342,19310105,    0,    0
  4521, 27342,19310106,    0,    0
  4521, 27342,19310107,    0,    0
  4521, 27342,19310108,    0,    0
  4521, 27342,19310109,    0,    0
  4521, 27342,19310110,    0,    0
  4521, 27342,19310111,    0,    0
  4521, 27342,19310112,    0,    0
  4521, 27342,19310113,    0,    0
  4521, 27342,19310114,    7,    0
  4521, 27342,19310115,    0,    0
  4521, 27342,19310116,  186,    0
  4521, 27342,19310117,    0,    0
  4521, 27342,19310118,   43,    0
  4521, 27342,19310119,   82,    0
  4521, 27342,19310120,   39,    0
  4521, 27342,19310121,    0,    0
  4521, 27342,19310122,    0,    0
  4521, 27342,19310123,   55,    0
  4521, 27342,19310124,   11,    0
  4521, 27342,19310125,  106,    0
  4521, 27342,19310126,   97,    0
  4521, 27342,19310127,    0,    0
  4521, 27342,19310128,   83,    0
  4521, 27342,19310129,   48,    0
  4521, 27342,19310130,    0,    0
  4521, 27342,19310131,    0,    0
  4521, 27342,19310201,    0,    0
  4521, 27342,19310202,   27,    0
  4521, 27342,19310203,   36,    0
  4521, 27342,19310204,   13,    0
  4521, 27342,19310205,    5,    0
  4521, 27342,19310206,    2,    0
  4521, 27342,19310207,    0,    0
  4521, 27342,19310208,    0,    0
  4521, 27342,19310209,    0,    0
  4521, 27342,19310210,   15,    0
  4521, 27342,19310211,   62,    0
  4521, 27342,19310212,   18,    0
  4521, 27342,19310213,   12,    0
  4521, 27342,19310214,    0,    0
  4521, 27342,19310215,    9,    0
  4521, 27342,19310216,   79,    0
  4521, 27342,19310217,   58,    0
  4521, 27342,19310218,    0,    0
  4521, 27342,19310219,    1,    0
  4521, 27342,19310220,    0,    0
  4521, 27342,19310221,   33,    0
  4521, 27342,19310222,    0,    0
  4521, 27342,19310223,    0,    0
  4521, 27342,19310224,    0,    0
  4521, 27342,19310225,    9,    0
  4521, 27342,19310226,  173,    0
  4521, 27342,19310227,   34,    0
  4521, 27342,19310228,   81,    0
  4521, 27342,19310301,   35,    0
  4521, 27342,19310302,    0,    0
  4521, 27342,19310303,   79,    0
  4521, 27342,19310304,    5,    0
  4521, 27342,19310305,    0,    0
  4521, 27342,19310306,   10,    0
  4521, 27342,19310307,   32,    0
  4521, 27342,19310308,    4,    0
  4521, 27342,19310309,    0,    0
  4521, 27342,19310310,    3,    0
  4521, 27342,19310311,    0,    0
  4521, 27342,19310312,    0,    0
  4521, 27342,19310313,    0,    0
  4521, 27342,19310314,    0,    0
  4521, 27342,19310315,    0,    0
  4521, 27342,19310316,    0,    0
  4521, 27342,19310317,    0,    0
  4521, 27342,19310318,    0,    0
  4521, 27342,19310319,    0,    0
  4521, 27342,19310320,    0,    0
  4521, 27342,19310321,    9,    0
  4521, 27342,19310322,   20,    0
  4521, 27342,19310323,    0,    0
  4521, 27342,19310324,    1,    0
  4521, 27342,19310325,    0,    0
  4521, 27342,19310326,    0,    0
  4521, 27342,19310327,    0,    0
  4521, 27342,19310328,    0,    0
  4521, 27342,19310329,    0,    0
  4521, 27342,19310330,    0,    0
  4521, 27342,19310331,    0,    0
  4521, 27342,19310401,    0,    0
  4521, 27342,19310402,    1,    0
  4521, 27342,19310403,   12,    0
  4521, 27342,19310404,   80,    0
  4521, 27342,19310405,    3,    0
  4521, 27342,19310406,   65,    0
  4521, 27342,19310407,    0,    0
  4521, 27342,19310408,    0,    0
