EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHESSLITZ, GERMANY (STAID: 4603)
Blended and updated with sources:28326 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4603, 28326,19921201,    0,    0
  4603, 28326,19921202,   40,    0
  4603, 28326,19921203,   10,    0
  4603, 28326,19921204,   35,    0
  4603, 28326,19921205,    0,    0
  4603, 28326,19921206,    0,    0
  4603, 28326,19921207,   37,    0
  4603, 28326,19921208,    2,    0
  4603, 28326,19921209,    0,    0
  4603, 28326,19921210,    3,    0
  4603, 28326,19921211,  122,    0
  4603, 28326,19921212,   70,    0
  4603, 28326,19921213,   15,    1
  4603, 28326,19921214,    0,    1
  4603, 28326,19921215,    0,    1
  4603, 28326,19921216,    0,    1
  4603, 28326,19921217,    0,    1
  4603, 28326,19921218,    0,    1
  4603, 28326,19921219,    0,    1
  4603, 28326,19921220,  121,    0
  4603, 28326,19921221,   33,    0
  4603, 28326,19921222,   15,    0
  4603, 28326,19921223,    2,    1
  4603, 28326,19921224,    0,    1
  4603, 28326,19921225,    0,    1
  4603, 28326,19921226,    0,    1
  4603, 28326,19921227,    0,    1
  4603, 28326,19921228,    0,    1
  4603, 28326,19921229,    0,    1
  4603, 28326,19921230,    0,    1
  4603, 28326,19921231,    0,    1
  4603, 28326,19930101,    0,    1
  4603, 28326,19930102,    0,    1
  4603, 28326,19930103,    0,    1
  4603, 28326,19930104,    0,    1
  4603, 28326,19930105,    0,    1
  4603, 28326,19930106,   54,    0
  4603, 28326,19930107,   41,    0
  4603, 28326,19930108,   10,    0
  4603, 28326,19930109,   16,    0
  4603, 28326,19930110,    7,    0
  4603, 28326,19930111,  119,    0
  4603, 28326,19930112,    9,    0
  4603, 28326,19930113,    0,    0
  4603, 28326,19930114,    0,    0
  4603, 28326,19930115,    2,    0
  4603, 28326,19930116,    0,    0
  4603, 28326,19930117,    0,    0
  4603, 28326,19930118,    5,    0
  4603, 28326,19930119,   12,    0
  4603, 28326,19930120,    2,    0
  4603, 28326,19930121,    6,    0
  4603, 28326,19930122,   56,    0
  4603, 28326,19930123,   27,    0
  4603, 28326,19930124,  105,    0
  4603, 28326,19930125,   28,    0
  4603, 28326,19930126,   53,    0
  4603, 28326,19930127,    0,    0
  4603, 28326,19930128,  129,    0
  4603, 28326,19930129,   14,    1
  4603, 28326,19930130,    0,    1
  4603, 28326,19930131,    0,    1
  4603, 28326,19930201,    0,    1
  4603, 28326,19930202,    0,    1
  4603, 28326,19930203,    0,    1
  4603, 28326,19930204,    0,    1
  4603, 28326,19930205,    0,    1
  4603, 28326,19930206,   10,    1
  4603, 28326,19930207,    0,    1
