EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHLOSSBOCKELHEIM, GERMANY (STAID: 4609)
Blended and updated with sources:28398 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4609, 28398,19540101,    0,    0
  4609, 28398,19540102,    0,    0
  4609, 28398,19540103,   22,    0
  4609, 28398,19540104,    3,    0
  4609, 28398,19540105,    0,    0
  4609, 28398,19540106,   23,    0
  4609, 28398,19540107,   25,    0
  4609, 28398,19540108,    0,    0
  4609, 28398,19540109,   25,    0
  4609, 28398,19540110,   61,    0
  4609, 28398,19540111,   75,    0
  4609, 28398,19540112,    0,    0
  4609, 28398,19540113,  104,    0
  4609, 28398,19540114,    7,    0
  4609, 28398,19540115,   20,    0
  4609, 28398,19540116,    1,    0
  4609, 28398,19540117,    8,    0
  4609, 28398,19540118,    0,    0
  4609, 28398,19540119,    1,    0
  4609, 28398,19540120,   35,    0
  4609, 28398,19540121,   59,    1
  4609, 28398,19540122,    0,    1
  4609, 28398,19540123,    0,    1
  4609, 28398,19540124,    0,    1
  4609, 28398,19540125,    0,    1
  4609, 28398,19540126,    0,    1
  4609, 28398,19540127,    0,    1
  4609, 28398,19540128,    0,    1
  4609, 28398,19540129,    0,    1
  4609, 28398,19540130,    0,    1
  4609, 28398,19540131,    0,    1
  4609, 28398,19540201,    0,    1
  4609, 28398,19540202,    0,    1
  4609, 28398,19540203,    0,    1
  4609, 28398,19540204,    0,    1
  4609, 28398,19540205,    0,    1
  4609, 28398,19540206,    0,    1
  4609, 28398,19540207,   24,    0
  4609, 28398,19540208,    4,    0
  4609, 28398,19540209,    2,    0
  4609, 28398,19540210,   30,    0
  4609, 28398,19540211,    2,    0
  4609, 28398,19540212,    2,    1
  4609, 28398,19540213,    0,    1
  4609, 28398,19540214,    0,    1
  4609, 28398,19540215,    0,    1
  4609, 28398,19540216,    0,    1
  4609, 28398,19540217,    0,    1
  4609, 28398,19540218,    0,    1
  4609, 28398,19540219,    0,    1
  4609, 28398,19540220,    0,    1
  4609, 28398,19540221,    0,    1
  4609, 28398,19540222,    0,    1
  4609, 28398,19540223,    0,    1
  4609, 28398,19540224,    0,    1
  4609, 28398,19540225,   98,    0
  4609, 28398,19540226,    8,    0
  4609, 28398,19540227,   10,    0
  4609, 28398,19540228,   21,    0
  4609, 28398,19540301,    8,    0
  4609, 28398,19540302,    0,    0
  4609, 28398,19540303,   38,    0
  4609, 28398,19540304,    9,    0
  4609, 28398,19540305,   11,    1
  4609, 28398,19540306,    0,    1
  4609, 28398,19540307,    0,    1
  4609, 28398,19540308,    0,    1
  4609, 28398,19540309,    0,    1
  4609, 28398,19540310,    0,    1
  4609, 28398,19540311,    0,    1
  4609, 28398,19540312,    2,    1
