EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SONNEBERG-NEUFANG, GERMANY (STAID: 4655)
Blended and updated with sources:28950 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4655, 28950,19510101,   90,    0
  4655, 28950,19510102,    0,    0
  4655, 28950,19510103,    4,    0
  4655, 28950,19510104,   43,    0
  4655, 28950,19510105,   38,    0
  4655, 28950,19510106,    0,    0
  4655, 28950,19510107,   26,    0
  4655, 28950,19510108,    1,    0
  4655, 28950,19510109,   24,    0
  4655, 28950,19510110,    0,    0
  4655, 28950,19510111,    0,    0
  4655, 28950,19510112,   31,    0
  4655, 28950,19510113,    7,    0
  4655, 28950,19510114,    0,    0
  4655, 28950,19510115,  113,    0
  4655, 28950,19510116,   21,    0
  4655, 28950,19510117,  178,    0
  4655, 28950,19510118,  201,    0
  4655, 28950,19510119,   98,    0
  4655, 28950,19510120,    7,    0
  4655, 28950,19510121,    0,    0
  4655, 28950,19510122,   17,    0
  4655, 28950,19510123,   36,    0
  4655, 28950,19510124,    0,    0
  4655, 28950,19510125,    0,    0
  4655, 28950,19510126,   12,    0
  4655, 28950,19510127,    2,    0
  4655, 28950,19510128,    0,    0
  4655, 28950,19510129,    7,    0
  4655, 28950,19510130,    0,    0
  4655, 28950,19510131,    0,    0
  4655, 28950,19510201,    1,    0
  4655, 28950,19510202,   13,    0
  4655, 28950,19510203,    0,    0
  4655, 28950,19510204,    2,    0
  4655, 28950,19510205,   39,    0
  4655, 28950,19510206,    0,    0
  4655, 28950,19510207,    0,    0
  4655, 28950,19510208,    0,    0
  4655, 28950,19510209,    0,    0
  4655, 28950,19510210,    0,    0
  4655, 28950,19510211,    0,    0
  4655, 28950,19510212,    0,    0
  4655, 28950,19510213,   82,    0
  4655, 28950,19510214,   13,    0
  4655, 28950,19510215,   92,    0
  4655, 28950,19510216,    0,    0
  4655, 28950,19510217,   89,    0
  4655, 28950,19510218,    0,    0
  4655, 28950,19510219,   79,    0
  4655, 28950,19510220,   23,    0
  4655, 28950,19510221,   59,    0
  4655, 28950,19510222,   15,    0
  4655, 28950,19510223,   38,    0
  4655, 28950,19510224,    0,    0
  4655, 28950,19510225,   83,    0
  4655, 28950,19510226,    6,    0
  4655, 28950,19510227,   11,    0
