EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TETEROW, GERMANY (STAID: 4676)
Blended and updated with sources:29202 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4676, 29202,18900301,    3,    0
  4676, 29202,18900302,    5,    0
  4676, 29202,18900303,    0,    0
  4676, 29202,18900304,    0,    0
  4676, 29202,18900305,    8,    0
  4676, 29202,18900306,   10,    0
  4676, 29202,18900307,   35,    0
  4676, 29202,18900308,    8,    0
  4676, 29202,18900309,    2,    0
  4676, 29202,18900310,   12,    0
  4676, 29202,18900311,    4,    0
  4676, 29202,18900312,    0,    0
  4676, 29202,18900313,    0,    0
  4676, 29202,18900314,    0,    0
  4676, 29202,18900315,    0,    0
  4676, 29202,18900316,    0,    0
  4676, 29202,18900317,    0,    0
  4676, 29202,18900318,    0,    0
  4676, 29202,18900319,    0,    0
  4676, 29202,18900320,    8,    0
  4676, 29202,18900321,    0,    0
  4676, 29202,18900322,    0,    0
  4676, 29202,18900323,    4,    0
  4676, 29202,18900324,   31,    0
  4676, 29202,18900325,    4,    0
  4676, 29202,18900326,    9,    0
  4676, 29202,18900327,   57,    0
  4676, 29202,18900328,    0,    0
  4676, 29202,18900329,    0,    0
  4676, 29202,18900330,    1,    0
  4676, 29202,18900331,    0,    0
  4676, 29202,18900401,    0,    0
  4676, 29202,18900402,    0,    0
  4676, 29202,18900403,    0,    0
  4676, 29202,18900404,    0,    0
  4676, 29202,18900405,    0,    0
  4676, 29202,18900406,    0,    0
  4676, 29202,18900407,   19,    0
  4676, 29202,18900408,    3,    0
  4676, 29202,18900409,    0,    0
  4676, 29202,18900410,    3,    0
  4676, 29202,18900411,    0,    0
  4676, 29202,18900412,    0,    0
  4676, 29202,18900413,    5,    0
  4676, 29202,18900414,    0,    0
  4676, 29202,18900415,    0,    0
  4676, 29202,18900416,    0,    0
  4676, 29202,18900417,    0,    0
  4676, 29202,18900418,   87,    0
  4676, 29202,18900419,    7,    0
  4676, 29202,18900420,    5,    0
  4676, 29202,18900421,    4,    0
  4676, 29202,18900422,   46,    0
  4676, 29202,18900423,    4,    0
  4676, 29202,18900424,   37,    0
  4676, 29202,18900425,   36,    0
  4676, 29202,18900426,    0,    0
  4676, 29202,18900427,   80,    0
  4676, 29202,18900428,   12,    0
  4676, 29202,18900429,    0,    0
  4676, 29202,18900430,   26,    0
  4676, 29202,18900501,   19,    0
  4676, 29202,18900502,    3,    0
  4676, 29202,18900503,    7,    0
  4676, 29202,18900504,    0,    0
  4676, 29202,18900505,    0,    0
  4676, 29202,18900506,    0,    0
  4676, 29202,18900507,    0,    0
  4676, 29202,18900508,    0,    0
  4676, 29202,18900509,    0,    0
  4676, 29202,18900510,    0,    0
  4676, 29202,18900511,   22,    0
  4676, 29202,18900512,    0,    0
  4676, 29202,18900513,    0,    0
  4676, 29202,18900514,  201,    0
  4676, 29202,18900515,    0,    0
  4676, 29202,18900516,    0,    0
  4676, 29202,18900517,    0,    0
  4676, 29202,18900518,    0,    0
  4676, 29202,18900519,   75,    0
  4676, 29202,18900520,   10,    0
  4676, 29202,18900521,    0,    0
  4676, 29202,18900522,    0,    0
  4676, 29202,18900523,    0,    0
  4676, 29202,18900524,    0,    0
  4676, 29202,18900525,    0,    0
  4676, 29202,18900526,    0,    0
  4676, 29202,18900527,    0,    0
  4676, 29202,18900528,    0,    0
  4676, 29202,18900529,   13,    0
  4676, 29202,18900530,   51,    0
  4676, 29202,18900531,   18,    0
  4676, 29202,18900601,    1,    0
  4676, 29202,18900602,   15,    0
  4676, 29202,18900603,    0,    0
  4676, 29202,18900604,    0,    0
  4676, 29202,18900605,   61,    0
  4676, 29202,18900606,   41,    0
  4676, 29202,18900607,   38,    0
  4676, 29202,18900608,    0,    0
  4676, 29202,18900609,    0,    0
  4676, 29202,18900610,    0,    0
  4676, 29202,18900611,  103,    0
  4676, 29202,18900612,    5,    0
  4676, 29202,18900613,    0,    0
  4676, 29202,18900614,    0,    0
  4676, 29202,18900615,    0,    0
  4676, 29202,18900616,    0,    0
  4676, 29202,18900617,  122,    0
  4676, 29202,18900618,   18,    0
  4676, 29202,18900619,    3,    0
  4676, 29202,18900620,   15,    0
  4676, 29202,18900621,    2,    0
  4676, 29202,18900622,   44,    0
  4676, 29202,18900623,   65,    0
  4676, 29202,18900624,    0,    0
  4676, 29202,18900625,    0,    0
  4676, 29202,18900626,    4,    0
  4676, 29202,18900627,  206,    0
  4676, 29202,18900628,   12,    0
  4676, 29202,18900629,   26,    0
  4676, 29202,18900630,    0,    0
  4676, 29202,18900701,   90,    0
  4676, 29202,18900702,   32,    0
  4676, 29202,18900703,    0,    0
  4676, 29202,18900704,   13,    0
  4676, 29202,18900705,   57,    0
  4676, 29202,18900706,   30,    0
  4676, 29202,18900707,    7,    0
  4676, 29202,18900708,    5,    0
  4676, 29202,18900709,   18,    0
  4676, 29202,18900710,   26,    0
  4676, 29202,18900711,    7,    0
  4676, 29202,18900712,    0,    0
  4676, 29202,18900713,    0,    0
  4676, 29202,18900714,    0,    0
  4676, 29202,18900715,    7,    0
  4676, 29202,18900716,    2,    0
  4676, 29202,18900717,    4,    0
  4676, 29202,18900718,    4,    0
  4676, 29202,18900719,    0,    0
  4676, 29202,18900720,  169,    0
  4676, 29202,18900721,    0,    0
  4676, 29202,18900722,   91,    0
  4676, 29202,18900723,   35,    0
  4676, 29202,18900724,  111,    0
  4676, 29202,18900725,    7,    0
  4676, 29202,18900726,    0,    0
  4676, 29202,18900727,    0,    0
  4676, 29202,18900728,   25,    0
  4676, 29202,18900729,   60,    0
  4676, 29202,18900730,    0,    0
  4676, 29202,18900731,    2,    0
  4676, 29202,18900801,    0,    0
  4676, 29202,18900802,    0,    0
  4676, 29202,18900803,    0,    0
  4676, 29202,18900804,    0,    0
  4676, 29202,18900805,    0,    0
  4676, 29202,18900806,   42,    0
  4676, 29202,18900807,    0,    0
  4676, 29202,18900808,    0,    0
  4676, 29202,18900809,    0,    0
  4676, 29202,18900810,    0,    0
  4676, 29202,18900811,   32,    0
  4676, 29202,18900812,   51,    0
  4676, 29202,18900813,   13,    0
  4676, 29202,18900814,   47,    0
  4676, 29202,18900815,    0,    0
  4676, 29202,18900816,   81,    0
  4676, 29202,18900817,  161,    0
  4676, 29202,18900818,   34,    0
  4676, 29202,18900819,   23,    0
  4676, 29202,18900820,   73,    0
  4676, 29202,18900821,    4,    0
  4676, 29202,18900822,   24,    0
  4676, 29202,18900823,    6,    0
  4676, 29202,18900824,   24,    0
  4676, 29202,18900825,   32,    0
  4676, 29202,18900826,    4,    0
  4676, 29202,18900827,   72,    0
  4676, 29202,18900828,   18,    0
  4676, 29202,18900829,    0,    0
  4676, 29202,18900830,    5,    0
  4676, 29202,18900831,    0,    0
  4676, 29202,18900901,    0,    0
  4676, 29202,18900902,    0,    0
  4676, 29202,18900903,    0,    0
  4676, 29202,18900904,    0,    0
  4676, 29202,18900905,    0,    0
  4676, 29202,18900906,    0,    0
  4676, 29202,18900907,    0,    0
  4676, 29202,18900908,    0,    0
  4676, 29202,18900909,    0,    0
  4676, 29202,18900910,   13,    0
  4676, 29202,18900911,   67,    0
  4676, 29202,18900912,    0,    0
  4676, 29202,18900913,    0,    0
  4676, 29202,18900914,    5,    0
  4676, 29202,18900915,    2,    0
  4676, 29202,18900916,    0,    0
  4676, 29202,18900917,    0,    0
  4676, 29202,18900918,    0,    0
  4676, 29202,18900919,    0,    0
  4676, 29202,18900920,    0,    0
  4676, 29202,18900921,    0,    0
  4676, 29202,18900922,    0,    0
  4676, 29202,18900923,    0,    0
  4676, 29202,18900924,    0,    0
  4676, 29202,18900925,    7,    0
  4676, 29202,18900926,   52,    0
  4676, 29202,18900927,    1,    0
  4676, 29202,18900928,   38,    0
  4676, 29202,18900929,    0,    0
  4676, 29202,18900930,    0,    0
  4676, 29202,18901001,    9,    0
  4676, 29202,18901002,   14,    0
  4676, 29202,18901003,  140,    0
  4676, 29202,18901004,    0,    0
  4676, 29202,18901005,   36,    0
  4676, 29202,18901006,   39,    0
  4676, 29202,18901007,  140,    0
  4676, 29202,18901008,    6,    0
  4676, 29202,18901009,    1,    0
  4676, 29202,18901010,    1,    0
  4676, 29202,18901011,    0,    0
  4676, 29202,18901012,    0,    0
  4676, 29202,18901013,    0,    0
  4676, 29202,18901014,    0,    0
  4676, 29202,18901015,   11,    0
  4676, 29202,18901016,   35,    0
  4676, 29202,18901017,    0,    0
  4676, 29202,18901018,   58,    0
  4676, 29202,18901019,    0,    0
  4676, 29202,18901020,    0,    0
  4676, 29202,18901021,    1,    0
  4676, 29202,18901022,    0,    0
  4676, 29202,18901023,    4,    0
  4676, 29202,18901024,    9,    0
  4676, 29202,18901025,   76,    0
  4676, 29202,18901026,   29,    0
  4676, 29202,18901027,   25,    0
  4676, 29202,18901028,    0,    0
  4676, 29202,18901029,    6,    0
  4676, 29202,18901030,    3,    0
  4676, 29202,18901031,   16,    0
  4676, 29202,18901101,    3,    0
  4676, 29202,18901102,    2,    0
  4676, 29202,18901103,   15,    0
  4676, 29202,18901104,    6,    0
  4676, 29202,18901105,    0,    0
  4676, 29202,18901106,    0,    0
  4676, 29202,18901107,    0,    0
  4676, 29202,18901108,    1,    0
  4676, 29202,18901109,    0,    0
  4676, 29202,18901110,    1,    0
  4676, 29202,18901111,    0,    0
  4676, 29202,18901112,   26,    0
  4676, 29202,18901113,    0,    0
  4676, 29202,18901114,    0,    0
  4676, 29202,18901115,   15,    0
  4676, 29202,18901116,    0,    0
  4676, 29202,18901117,    0,    0
  4676, 29202,18901118,    0,    0
  4676, 29202,18901119,   28,    0
  4676, 29202,18901120,   14,    0
  4676, 29202,18901121,   50,    0
  4676, 29202,18901122,   97,    0
  4676, 29202,18901123,    6,    0
  4676, 29202,18901124,   56,    0
  4676, 29202,18901125,   39,    0
  4676, 29202,18901126,   11,    0
