EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VOLDAGSEN, GERMANY (STAID: 4716)
Blended and updated with sources:22122 29682 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4716, 29682,19470101,    3,    1
  4716, 29682,19470102,    0,    1
  4716, 29682,19470103,    0,    1
  4716, 29682,19470104,    0,    1
  4716, 29682,19470105,    0,    1
  4716, 29682,19470106,    0,    1
  4716, 29682,19470107,    0,    1
  4716, 29682,19470108,    2,    0
  4716, 29682,19470109,   13,    0
  4716, 29682,19470110,   21,    0
  4716, 29682,19470111,   38,    0
  4716, 29682,19470112,   18,    0
  4716, 29682,19470113,    4,    0
  4716, 29682,19470114,  100,    1
  4716, 29682,19470115,    0,    1
  4716, 29682,19470116,    0,    1
  4716, 29682,19470117,    0,    1
  4716, 29682,19470118,   11,    0
  4716, 29682,19470119,   13,    1
  4716, 29682,19470120,    0,    1
  4716, 29682,19470121,    5,    1
  4716, 29682,19470122,    0,    1
  4716, 29682,19470123,    1,    0
  4716, 29682,19470124,    3,    1
  4716, 29682,19470125,    0,    1
  4716, 29682,19470126,   16,    0
  4716, 29682,19470127,    8,    1
  4716, 29682,19470128,    0,    1
  4716, 29682,19470129,    0,    1
  4716, 29682,19470130,    0,    1
  4716, 29682,19470131,    0,    1
  4716, 29682,19470201,    0,    1
  4716, 29682,19470202,    0,    1
  4716, 29682,19470203,    0,    1
  4716, 29682,19470204,    0,    1
  4716, 29682,19470205,    9,    1
  4716, 29682,19470206,    0,    1
  4716, 29682,19470207,    0,    1
  4716, 29682,19470208,    0,    1
  4716, 29682,19470209,    6,    0
  4716, 29682,19470210,   43,    0
  4716, 29682,19470211,    9,    1
  4716, 29682,19470212,    0,    1
  4716, 29682,19470213,    0,    1
  4716, 29682,19470214,   41,    0
  4716, 29682,19470215,   16,    0
  4716, 29682,19470216,   35,    1
  4716, 29682,19470217,    0,    1
  4716, 29682,19470218,    0,    1
  4716, 29682,19470219,    0,    1
  4716, 29682,19470220,    0,    1
  4716, 29682,19470221,   12,    0
  4716, 29682,19470222,   49,    0
  4716, 29682,19470223,   12,    0
  4716, 29682,19470224,    2,    1
  4716, 29682,19470225,    0,    1
  4716, 29682,19470226,    0,    1
  4716, 29682,19470227,    0,    1
  4716, 29682,19470228,    0,    1
  4716, 29682,19470301,   12,    0
  4716, 29682,19470302,   38,    1
  4716, 29682,19470303,    0,    1
  4716, 29682,19470304,   46,    0
  4716, 29682,19470305,   10,    1
  4716, 29682,19470306,    0,    1
  4716, 29682,19470307,    4,    1
  4716, 29682,19470308,    0,    1
  4716, 29682,19470309,    0,    1
  4716, 29682,19470310,   72,    0
  4716, 29682,19470311,    1,    0
  4716, 29682,19470312,   59,    0
  4716, 29682,19470313,   61,    0
  4716, 29682,19470314,   51,    0
  4716, 29682,19470315,   47,    0
  4716, 29682,19470316,    6,    1
  4716, 29682,19470317,    0,    1
  4716, 29682,19470318,    0,    1
  4716, 29682,19470319,    0,    1
  4716, 29682,19470320,   61,    0
  4716, 29682,19470321,   59,    0
  4716, 29682,19470322,   38,    0
  4716, 29682,19470323,   23,    0
  4716, 29682,19470324,   95,    0
  4716, 29682,19470325,    5,    0
  4716, 29682,19470326,   28,    1
  4716, 29682,19470327,    0,    1
  4716, 29682,19470328,    3,    1
  4716, 29682,19470329,    0,    1
  4716, 29682,19470330,    0,    1
  4716, 29682,19470331,   35,    0
  4716, 29682,19470401,   77,    0
  4716, 29682,19470402,   20,    0
  4716, 29682,19470403,    6,    0
  4716, 29682,19470404,   30,    0
  4716, 29682,19470405,   59,    0
  4716, 29682,19470406,   95,    0
  4716, 29682,19470407,  113,    0
  4716, 29682,19470408,   76,    0
  4716, 29682,19470409,   80,    0
  4716, 29682,19470410,   21,    1
  4716, 29682,19470411,    0,    1
  4716, 29682,19470412,    0,    1
  4716, 29682,19470413,    0,    1
  4716, 29682,19470414,    0,    1
  4716, 29682,19470415,    0,    1
  4716, 29682,19470416,    0,    1
  4716, 29682,19470417,    0,    1
  4716, 29682,19470418,    0,    1
  4716, 29682,19470419,   84,    1
  4716, 29682,19470420,    0,    1
  4716, 29682,19470421,   19,    1
  4716, 29682,19470422,    0,    1
  4716, 29682,19470423,    0,    1
  4716, 29682,19470424,    0,    1
  4716, 29682,19470425,    0,    1
  4716, 29682,19470426,    0,    1
  4716, 29682,19470427,    7,    0
  4716, 29682,19470428,   53,    0
  4716, 29682,19470429,   44,    0
  4716, 29682,19470430,   36,    0
  4716, 29682,19470501,   47,    0
  4716, 29682,19470502,    4,    0
  4716, 29682,19470503,   16,    1
  4716, 29682,19470504,    0,    1
  4716, 29682,19470505,    0,    1
  4716, 29682,19470506,    0,    1
  4716, 29682,19470507,    0,    1
  4716, 29682,19470508,    0,    1
  4716, 29682,19470509,    0,    1
  4716, 29682,19470510,    0,    1
  4716, 29682,19470511,    0,    1
  4716, 29682,19470512,    0,    1
  4716, 29682,19470513,    0,    1
  4716, 29682,19470514,    0,    1
  4716, 29682,19470515,    0,    1
  4716, 29682,19470516,    0,    1
  4716, 29682,19470517,    0,    1
  4716, 29682,19470518,  251,    0
  4716, 29682,19470519,   75,    1
  4716, 29682,19470520,    0,    1
  4716, 29682,19470521,    0,    1
  4716, 29682,19470522,    0,    1
  4716, 29682,19470523,   58,    0
  4716, 29682,19470524,    6,    1
  4716, 29682,19470525,    0,    1
  4716, 29682,19470526,    0,    1
  4716, 29682,19470527,    0,    1
  4716, 29682,19470528,    0,    1
  4716, 29682,19470529,    0,    1
  4716, 29682,19470530,    0,    1
  4716, 29682,19470531,    0,    1
  4716, 29682,19470601,    0,    1
  4716, 29682,19470602,    0,    1
  4716, 29682,19470603,    0,    1
  4716, 29682,19470604,   96,    0
  4716, 29682,19470605,   10,    0
  4716, 29682,19470606,   30,    0
  4716, 29682,19470607,   57,    0
  4716, 29682,19470608,   10,    0
  4716, 29682,19470609,  105,    0
  4716, 29682,19470610,    2,    0
  4716, 29682,19470611,    3,    1
  4716, 29682,19470612,    0,    1
  4716, 29682,19470613,    0,    1
  4716, 29682,19470614,    0,    1
  4716, 29682,19470615,  120,    0
  4716, 29682,19470616,    4,    1
  4716, 29682,19470617,    0,    1
  4716, 29682,19470618,    0,    1
  4716, 29682,19470619,    0,    1
  4716, 29682,19470620,   51,    0
  4716, 29682,19470621,   91,    0
  4716, 29682,19470622,   11,    1
  4716, 29682,19470623,    0,    1
  4716, 29682,19470624,    0,    1
  4716, 29682,19470625,    0,    1
  4716, 29682,19470626,    0,    1
  4716, 29682,19470627,    0,    1
  4716, 29682,19470628,    0,    1
  4716, 29682,19470629,    0,    1
  4716, 29682,19470630,   78,    0
  4716, 29682,19470701,   30,    1
  4716, 29682,19470702,    0,    1
  4716, 29682,19470703,    0,    1
  4716, 29682,19470704,    0,    1
  4716, 29682,19470705,  103,    1
  4716, 29682,19470706,    0,    1
  4716, 29682,19470707,    0,    1
  4716, 29682,19470708,   35,    0
  4716, 29682,19470709,   61,    0
  4716, 29682,19470710,   47,    1
  4716, 29682,19470711,    0,    1
  4716, 29682,19470712,   11,    1
  4716, 29682,19470713,    0,    1
  4716, 29682,19470714,    0,    1
  4716, 29682,19470715,    0,    1
  4716, 29682,19470716,    0,    1
  4716, 29682,19470717,    0,    1
  4716, 29682,19470718,    0,    1
  4716, 29682,19470719,    0,    1
  4716, 29682,19470720,  145,    1
  4716, 29682,19470721,    0,    1
  4716, 29682,19470722,    0,    1
  4716, 29682,19470723,    0,    1
  4716, 29682,19470724,  107,    1
  4716, 29682,19470725,    0,    1
  4716, 29682,19470726,    0,    1
  4716, 29682,19470727,    0,    1
  4716, 29682,19470728,    0,    1
  4716, 29682,19470729,    0,    1
  4716, 29682,19470730,    0,    1
  4716, 29682,19470731,    0,    1
  4716, 29682,19470801,    0,    1
  4716, 29682,19470802,    0,    1
  4716, 29682,19470803,    0,    1
  4716, 29682,19470804,    0,    1
  4716, 29682,19470805,    7,    0
  4716, 29682,19470806,   27,    0
  4716, 29682,19470807,  251,    0
  4716, 29682,19470808,    2,    1
  4716, 29682,19470809,    0,    1
  4716, 29682,19470810,    0,    1
  4716, 29682,19470811,    0,    1
  4716, 29682,19470812,    0,    1
  4716, 29682,19470813,    0,    1
  4716, 29682,19470814,    0,    1
  4716, 29682,19470815,    0,    1
  4716, 29682,19470816,    0,    1
  4716, 29682,19470817,    0,    1
  4716, 29682,19470818,    0,    1
  4716, 29682,19470819,    0,    1
  4716, 29682,19470820,    0,    1
  4716, 29682,19470821,    0,    1
  4716, 29682,19470822,    0,    1
  4716, 29682,19470823,    0,    1
  4716, 29682,19470824,   19,    1
  4716, 29682,19470825,    0,    1
  4716, 29682,19470826,    0,    1
  4716, 29682,19470827,    0,    1
  4716, 29682,19470828,    0,    1
  4716, 29682,19470829,    0,    1
  4716, 29682,19470830,    0,    1
  4716, 29682,19470831,    0,    1
  4716, 29682,19470901,    0,    1
  4716, 29682,19470902,    0,    1
  4716, 29682,19470903,    0,    1
  4716, 29682,19470904,    0,    1
  4716, 29682,19470905,    0,    1
  4716, 29682,19470906,    0,    1
  4716, 29682,19470907,    0,    1
  4716, 29682,19470908,   55,    1
  4716, 29682,19470909,    0,    1
  4716, 29682,19470910,    0,    1
  4716, 29682,19470911,    0,    1
  4716, 29682,19470912,    0,    1
  4716, 29682,19470913,    0,    1
  4716, 29682,19470914,    0,    1
  4716, 29682,19470915,    0,    1
  4716, 29682,19470916,    0,    1
  4716, 29682,19470917,    0,    1
  4716, 29682,19470918,    0,    1
  4716, 29682,19470919,    0,    1
  4716, 29682,19470920,    0,    1
  4716, 29682,19470921,   32,    0
  4716, 29682,19470922,   11,    0
  4716, 29682,19470923,  138,    0
  4716, 29682,19470924,    4,    1
  4716, 29682,19470925,    0,    1
