EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WOLDEGK, GERMANY (STAID: 4782)
Blended and updated with sources:30474 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4782, 30474,19510101,   10,    0
  4782, 30474,19510102,    0,    0
  4782, 30474,19510103,    2,    0
  4782, 30474,19510104,    0,    0
  4782, 30474,19510105,   34,    0
  4782, 30474,19510106,   38,    0
  4782, 30474,19510107,   56,    0
  4782, 30474,19510108,    2,    0
  4782, 30474,19510109,   52,    0
  4782, 30474,19510110,   28,    0
  4782, 30474,19510111,   39,    0
  4782, 30474,19510112,   18,    0
  4782, 30474,19510113,    0,    0
  4782, 30474,19510114,   15,    0
  4782, 30474,19510115,   16,    0
  4782, 30474,19510116,    4,    0
  4782, 30474,19510117,   62,    0
  4782, 30474,19510118,   35,    0
  4782, 30474,19510119,   35,    0
  4782, 30474,19510120,    2,    0
  4782, 30474,19510121,    0,    0
  4782, 30474,19510122,    8,    0
  4782, 30474,19510123,   20,    0
  4782, 30474,19510124,    0,    0
  4782, 30474,19510125,    0,    0
  4782, 30474,19510126,    0,    0
  4782, 30474,19510127,    0,    0
  4782, 30474,19510128,    0,    0
  4782, 30474,19510129,    0,    0
  4782, 30474,19510130,    0,    0
  4782, 30474,19510131,    0,    0
  4782, 30474,19510201,    0,    0
  4782, 30474,19510202,    0,    0
  4782, 30474,19510203,    0,    0
  4782, 30474,19510204,    0,    0
  4782, 30474,19510205,    0,    0
  4782, 30474,19510206,    0,    0
  4782, 30474,19510207,    0,    0
  4782, 30474,19510208,    0,    0
  4782, 30474,19510209,    0,    0
  4782, 30474,19510210,    0,    0
  4782, 30474,19510211,    0,    0
  4782, 30474,19510212,    0,    0
  4782, 30474,19510213,    0,    0
  4782, 30474,19510214,  148,    0
  4782, 30474,19510215,   25,    0
  4782, 30474,19510216,    0,    0
  4782, 30474,19510217,   64,    0
  4782, 30474,19510218,    2,    0
  4782, 30474,19510219,   14,    0
  4782, 30474,19510220,   13,    0
  4782, 30474,19510221,    5,    0
  4782, 30474,19510222,    0,    0
  4782, 30474,19510223,    8,    0
  4782, 30474,19510224,    0,    0
  4782, 30474,19510225,    0,    0
  4782, 30474,19510226,    3,    0
  4782, 30474,19510227,    4,    0
  4782, 30474,19510228,    0,    0
  4782, 30474,19510301,    5,    0
  4782, 30474,19510302,    3,    0
  4782, 30474,19510303,    0,    0
  4782, 30474,19510304,    0,    0
  4782, 30474,19510305,    0,    0
  4782, 30474,19510306,    0,    0
  4782, 30474,19510307,    0,    0
  4782, 30474,19510308,    0,    0
  4782, 30474,19510309,    0,    0
  4782, 30474,19510310,    0,    0
  4782, 30474,19510311,    0,    0
  4782, 30474,19510312,    7,    0
  4782, 30474,19510313,    0,    0
  4782, 30474,19510314,   15,    0
  4782, 30474,19510315,    9,    0
  4782, 30474,19510316,    0,    0
  4782, 30474,19510317,  115,    0
  4782, 30474,19510318,   36,    0
  4782, 30474,19510319,    9,    0
  4782, 30474,19510320,    3,    0
  4782, 30474,19510321,    0,    0
  4782, 30474,19510322,   89,    0
  4782, 30474,19510323,  168,    0
  4782, 30474,19510324,    4,    0
  4782, 30474,19510325,    0,    0
  4782, 30474,19510326,    9,    0
  4782, 30474,19510327,  118,    0
  4782, 30474,19510328,    9,    0
  4782, 30474,19510329,    7,    0
  4782, 30474,19510330,    0,    0
  4782, 30474,19510331,    0,    0
  4782, 30474,19510401,    0,    0
  4782, 30474,19510402,    0,    0
  4782, 30474,19510403,    0,    0
  4782, 30474,19510404,    8,    0
  4782, 30474,19510405,    0,    0
