EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station COSCHEN, GERMANY (STAID: 4840)
Blended and updated with sources:30150 31170 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4840, 30150,19941201,    0,    0
  4840, 30150,19941202,    0,    0
  4840, 30150,19941203,    0,    0
  4840, 30150,19941204,    4,    0
  4840, 30150,19941205,    9,    0
  4840, 30150,19941206,    5,    0
  4840, 30150,19941207,    2,    0
  4840, 30150,19941208,   18,    0
  4840, 30150,19941209,   17,    0
  4840, 30150,19941210,   62,    0
  4840, 30150,19941211,    0,    0
  4840, 30150,19941212,  104,    0
  4840, 30150,19941213,    9,    0
  4840, 30150,19941214,    0,    0
  4840, 30150,19941215,    0,    0
  4840, 30150,19941216,    2,    0
  4840, 30150,19941217,    0,    0
  4840, 30150,19941218,    0,    0
  4840, 30150,19941219,    0,    0
  4840, 30150,19941220,    9,    0
  4840, 30150,19941221,    0,    0
  4840, 30150,19941222,    0,    0
  4840, 30150,19941223,    0,    0
  4840, 30150,19941224,    0,    0
  4840, 30150,19941225,    0,    0
  4840, 30150,19941226,   13,    0
  4840, 30150,19941227,  134,    0
  4840, 30150,19941228,   34,    0
  4840, 30150,19941229,   32,    0
  4840, 30150,19941230,   47,    0
  4840, 30150,19941231,    0,    0
  4840, 30150,19950101,   43,    0
  4840, 30150,19950102,   19,    0
  4840, 30150,19950103,    0,    0
  4840, 30150,19950104,    0,    0
  4840, 30150,19950105,    1,    0
  4840, 30150,19950106,    0,    0
  4840, 30150,19950107,    3,    0
  4840, 30150,19950108,    0,    0
  4840, 30150,19950109,   75,    0
  4840, 30150,19950110,   26,    0
  4840, 30150,19950111,   18,    0
  4840, 30150,19950112,    0,    0
  4840, 30150,19950113,    0,    0
  4840, 30150,19950114,    0,    0
  4840, 30150,19950115,    0,    0
