EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EISENACH, GERMANY (STAID: 4914)
Blended and updated with sources:32058 910540 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4914, 32058,20071101,    4,    0
  4914, 32058,20071102,    9,    0
  4914, 32058,20071103,    7,    0
  4914, 32058,20071104,    0,    0
  4914, 32058,20071105,   47,    0
  4914, 32058,20071106,   46,    0
  4914, 32058,20071107,   40,    0
  4914, 32058,20071108,   73,    0
  4914, 32058,20071109,   45,    0
  4914, 32058,20071110,   82,    0
  4914, 32058,20071111,  115,    0
  4914, 32058,20071112,   80,    0
  4914, 32058,20071113,   35,    0
  4914, 32058,20071114,   34,    0
  4914, 32058,20071115,    1,    0
  4914, 32058,20071116,    2,    0
  4914, 32058,20071117,    0,    0
  4914, 32058,20071118,    0,    0
  4914, 32058,20071119,    0,    0
  4914, 32058,20071120,    0,    0
  4914, 32058,20071121,    0,    0
  4914, 32058,20071122,    2,    0
  4914, 32058,20071123,   48,    0
  4914, 32058,20071124,    1,    0
  4914, 32058,20071125,   45,    0
  4914, 32058,20071126,    3,    0
  4914, 32058,20071127,    5,    0
  4914, 32058,20071128,    0,    0
  4914, 32058,20071129,   20,    0
  4914, 32058,20071130,   45,    0
  4914, 32058,20071201,    9,    0
  4914, 32058,20071202,   86,    0
  4914, 32058,20071203,   18,    0
  4914, 32058,20071204,    7,    0
  4914, 32058,20071205,    1,    0
  4914, 32058,20071206,  102,    0
  4914, 32058,20071207,   28,    0
  4914, 32058,20071208,    3,    0
  4914, 32058,20071209,    8,    0
  4914, 32058,20071210,   21,    0
  4914, 32058,20071211,   28,    0
  4914, 32058,20071212,    0,    0
  4914, 32058,20071213,    4,    0
  4914, 32058,20071214,    0,    0
  4914, 32058,20071215,    0,    0
  4914, 32058,20071216,    0,    0
  4914, 32058,20071217,    0,    0
  4914, 32058,20071218,    0,    0
  4914, 32058,20071219,    0,    0
  4914, 32058,20071220,    0,    0
  4914, 32058,20071221,    0,    0
  4914, 32058,20071222,    0,    0
  4914, 32058,20071223,   13,    0
  4914, 32058,20071224,    0,    0
  4914, 32058,20071225,    0,    0
  4914, 32058,20071226,    5,    0
  4914, 32058,20071227,    0,    0
  4914, 32058,20071228,    0,    0
  4914, 32058,20071229,    4,    0
  4914, 32058,20071230,   12,    0
  4914, 32058,20071231,   13,    0
  4914, 32058,20080101,    1,    0
  4914, 32058,20080102,    0,    0
  4914, 32058,20080103,    0,    0
  4914, 32058,20080104,    0,    0
  4914, 32058,20080105,   40,    0
  4914, 32058,20080106,    7,    0
  4914, 32058,20080107,   14,    0
  4914, 32058,20080108,    0,    0
  4914, 32058,20080109,    9,    0
  4914, 32058,20080110,    0,    0
  4914, 32058,20080111,    0,    0
  4914, 32058,20080112,    3,    0
  4914, 32058,20080113,    0,    0
  4914, 32058,20080114,    0,    0
  4914, 32058,20080115,    9,    0
  4914, 32058,20080116,    0,    0
  4914, 32058,20080117,   39,    0
  4914, 32058,20080118,   26,    0
  4914, 32058,20080119,   18,    0
  4914, 32058,20080120,    0,    0
  4914, 32058,20080121,   48,    0
  4914, 32058,20080122,    9,    0
  4914, 32058,20080123,    0,    0
  4914, 32058,20080124,    9,    0
  4914, 32058,20080125,    0,    0
  4914, 32058,20080126,    7,    0
  4914, 32058,20080127,   73,    0
  4914, 32058,20080128,    0,    0
  4914, 32058,20080129,    0,    0
  4914, 32058,20080130,   18,    0
  4914, 32058,20080131,   18,    0
  4914, 32058,20080201,    8,    0
  4914, 32058,20080202,    6,    0
  4914, 32058,20080203,    0,    0
  4914, 32058,20080204,    0,    0
  4914, 32058,20080205,   26,    0
  4914, 32058,20080206,   42,    0
  4914, 32058,20080207,    0,    0
  4914, 32058,20080208,    0,    0
  4914, 32058,20080209,    0,    0
  4914, 32058,20080210,    0,    0
  4914, 32058,20080211,    0,    0
  4914, 32058,20080212,    0,    0
  4914, 32058,20080213,    0,    0
  4914, 32058,20080214,    0,    0
  4914, 32058,20080215,    0,    0
  4914, 32058,20080216,    0,    0
  4914, 32058,20080217,    0,    0
  4914, 32058,20080218,    0,    0
  4914, 32058,20080219,    0,    0
  4914, 32058,20080220,   19,    0
  4914, 32058,20080221,    1,    0
  4914, 32058,20080222,    0,    0
  4914, 32058,20080223,    0,    0
  4914, 32058,20080224,   18,    0
  4914, 32058,20080225,    8,    0
  4914, 32058,20080226,   10,    0
  4914, 32058,20080227,    0,    0
  4914, 32058,20080228,    3,    0
  4914, 32058,20080229,  141,    0
  4914, 32058,20080301,  104,    0
  4914, 32058,20080302,    8,    0
  4914, 32058,20080303,   20,    0
  4914, 32058,20080304,    5,    0
  4914, 32058,20080305,    0,    0
  4914, 32058,20080306,    0,    0
  4914, 32058,20080307,   10,    0
  4914, 32058,20080308,    0,    0
  4914, 32058,20080309,    0,    0
  4914, 32058,20080310,    0,    0
  4914, 32058,20080311,   76,    0
  4914, 32058,20080312,   33,    0
  4914, 32058,20080313,   41,    0
  4914, 32058,20080314,   10,    0
  4914, 32058,20080315,   28,    0
  4914, 32058,20080316,   59,    0
  4914, 32058,20080317,    4,    0
  4914, 32058,20080318,   44,    0
  4914, 32058,20080319,   28,    0
  4914, 32058,20080320,   44,    0
  4914, 32058,20080321,   71,    0
  4914, 32058,20080322,   50,    0
  4914, 32058,20080323,    3,    0
  4914, 32058,20080324,    0,    0
  4914, 32058,20080325,    9,    0
  4914, 32058,20080326,    2,    0
  4914, 32058,20080327,    4,    0
  4914, 32058,20080328,   19,    0
  4914, 32058,20080329,    0,    0
  4914, 32058,20080330,    0,    0
  4914, 32058,20080331,    0,    0
  4914, 32058,20080401,   38,    0
  4914, 32058,20080402,   37,    0
  4914, 32058,20080403,    7,    0
  4914, 32058,20080404,    5,    0
  4914, 32058,20080405,   83,    0
  4914, 32058,20080406,   17,    0
  4914, 32058,20080407,   24,    0
  4914, 32058,20080408,    0,    0
  4914, 32058,20080409,   96,    0
  4914, 32058,20080410,   10,    0
  4914, 32058,20080411,   83,    0
  4914, 32058,20080412,    0,    0
  4914, 32058,20080413,   51,    0
  4914, 32058,20080414,    3,    0
  4914, 32058,20080415,    1,    0
  4914, 32058,20080416,    0,    0
  4914, 32058,20080417,    0,    0
  4914, 32058,20080418,    0,    0
  4914, 32058,20080419,    1,    0
  4914, 32058,20080420,    0,    0
  4914, 32058,20080421,    2,    0
  4914, 32058,20080422,    0,    0
  4914, 32058,20080423,    0,    0
  4914, 32058,20080424,   19,    0
  4914, 32058,20080425,    9,    0
  4914, 32058,20080426,    0,    0
  4914, 32058,20080427,    0,    0
  4914, 32058,20080428,   66,    0
  4914, 32058,20080429,   26,    0
  4914, 32058,20080430,   15,    0
  4914, 32058,20080501,   14,    0
  4914, 32058,20080502,   24,    0
  4914, 32058,20080503,    0,    0
  4914, 32058,20080504,    0,    0
  4914, 32058,20080505,    0,    0
  4914, 32058,20080506,    0,    0
  4914, 32058,20080507,    0,    0
  4914, 32058,20080508,    0,    0
  4914, 32058,20080509,    0,    0
  4914, 32058,20080510,    0,    0
  4914, 32058,20080511,    0,    0
  4914, 32058,20080512,    0,    0
  4914, 32058,20080513,    0,    0
  4914, 32058,20080514,    0,    0
  4914, 32058,20080515,   37,    0
  4914, 32058,20080516,   29,    0
  4914, 32058,20080517,    4,    0
  4914, 32058,20080518,    0,    0
  4914, 32058,20080519,    0,    0
  4914, 32058,20080520,    0,    0
  4914, 32058,20080521,    0,    0
  4914, 32058,20080522,    7,    0
  4914, 32058,20080523,    1,    0
  4914, 32058,20080524,    0,    0
  4914, 32058,20080525,    1,    0
  4914, 32058,20080526,    1,    0
  4914, 32058,20080527,    0,    0
  4914, 32058,20080528,    0,    0
  4914, 32058,20080529,    0,    0
  4914, 32058,20080530,    0,    0
  4914, 32058,20080531,    1,    0
  4914, 32058,20080601,    0,    0
  4914, 32058,20080602,    4,    0
  4914, 32058,20080603,   42,    0
  4914, 32058,20080604,   19,    0
  4914, 32058,20080605,    0,    0
  4914, 32058,20080606,    0,    0
  4914, 32058,20080607,    0,    0
  4914, 32058,20080608,    0,    0
  4914, 32058,20080609,    0,    0
  4914, 32058,20080610,    0,    0
  4914, 32058,20080611,    0,    0
  4914, 32058,20080612,  132,    0
  4914, 32058,20080613,   80,    0
  4914, 32058,20080614,   17,    0
  4914, 32058,20080615,   28,    0
  4914, 32058,20080616,    0,    0
  4914, 32058,20080617,    0,    0
  4914, 32058,20080618,    0,    0
  4914, 32058,20080619,   25,    0
  4914, 32058,20080620,    1,    0
  4914, 32058,20080621,    6,    0
  4914, 32058,20080622,  102,    0
  4914, 32058,20080623,    0,    0
  4914, 32058,20080624,    0,    0
  4914, 32058,20080625,   67,    0
  4914, 32058,20080626,    0,    0
  4914, 32058,20080627,    3,    0
  4914, 32058,20080628,    0,    0
  4914, 32058,20080629,    0,    0
  4914, 32058,20080630,    0,    0
  4914, 32058,20080701,    0,    0
  4914, 32058,20080702,    0,    0
