EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREIPITZSCH BEI BAD KOSEN, GERMANY (STAID: 4931)
Blended and updated with sources:32262 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4931, 32262,20070401,    0,    0
  4931, 32262,20070402,    0,    0
  4931, 32262,20070403,   14,    0
  4931, 32262,20070404,    0,    0
  4931, 32262,20070405,    0,    0
  4931, 32262,20070406,    0,    0
  4931, 32262,20070407,    0,    0
  4931, 32262,20070408,    0,    0
  4931, 32262,20070409,    0,    0
  4931, 32262,20070410,    0,    0
  4931, 32262,20070411,    0,    0
  4931, 32262,20070412,    0,    0
  4931, 32262,20070413,    0,    0
  4931, 32262,20070414,    0,    0
  4931, 32262,20070415,    0,    0
  4931, 32262,20070416,    0,    0
  4931, 32262,20070417,    0,    0
  4931, 32262,20070418,    0,    0
  4931, 32262,20070419,    0,    0
  4931, 32262,20070420,    0,    0
  4931, 32262,20070421,    0,    0
  4931, 32262,20070422,    0,    0
  4931, 32262,20070423,   12,    0
  4931, 32262,20070424,   16,    0
  4931, 32262,20070425,    0,    0
  4931, 32262,20070426,    0,    0
  4931, 32262,20070427,    0,    0
  4931, 32262,20070428,    0,    0
  4931, 32262,20070429,    0,    0
  4931, 32262,20070430,    0,    0
  4931, 32262,20070501,    0,    0
  4931, 32262,20070502,    0,    0
  4931, 32262,20070503,    0,    0
  4931, 32262,20070504,    0,    0
  4931, 32262,20070505,    0,    0
  4931, 32262,20070506,    0,    0
  4931, 32262,20070507,   98,    0
  4931, 32262,20070508,   26,    0
  4931, 32262,20070509,   10,    0
  4931, 32262,20070510,   26,    0
  4931, 32262,20070511,    8,    0
  4931, 32262,20070512,    6,    0
  4931, 32262,20070513,    4,    0
  4931, 32262,20070514,  119,    0
  4931, 32262,20070515,   82,    0
  4931, 32262,20070516,   42,    0
  4931, 32262,20070517,    0,    0
  4931, 32262,20070518,    0,    0
  4931, 32262,20070519,    0,    0
  4931, 32262,20070520,    0,    0
  4931, 32262,20070521,    0,    0
  4931, 32262,20070522,   19,    0
  4931, 32262,20070523,    0,    0
  4931, 32262,20070524,    0,    0
  4931, 32262,20070525,   64,    0
  4931, 32262,20070526,    0,    0
  4931, 32262,20070527,   67,    0
  4931, 32262,20070528,  300,    0
  4931, 32262,20070529,  250,    0
  4931, 32262,20070530,    0,    0
  4931, 32262,20070531,    0,    0
  4931, 32262,20070601,    1,    0
  4931, 32262,20070602,    0,    0
  4931, 32262,20070603,    1,    0
  4931, 32262,20070604,    0,    0
  4931, 32262,20070605,    0,    0
  4931, 32262,20070606,   84,    0
  4931, 32262,20070607,    0,    0
  4931, 32262,20070608,    0,    0
  4931, 32262,20070609,    0,    0
  4931, 32262,20070610,    0,    0
  4931, 32262,20070611,    0,    0
  4931, 32262,20070612,   90,    0
  4931, 32262,20070613,    0,    0
  4931, 32262,20070614,   17,    0
  4931, 32262,20070615,  319,    0
  4931, 32262,20070616,   45,    0
  4931, 32262,20070617,   43,    0
  4931, 32262,20070618,    2,    0
  4931, 32262,20070619,    0,    0
  4931, 32262,20070620,    0,    0
  4931, 32262,20070621,  176,    0
  4931, 32262,20070622,    7,    0
  4931, 32262,20070623,   10,    0
  4931, 32262,20070624,    0,    0
  4931, 32262,20070625,   58,    0
  4931, 32262,20070626,    4,    0
  4931, 32262,20070627,    1,    0
  4931, 32262,20070628,    4,    0
  4931, 32262,20070629,    2,    0
  4931, 32262,20070630,    0,    0
  4931, 32262,20070701,    0,    0
  4931, 32262,20070702,  155,    0
  4931, 32262,20070703,   63,    0
  4931, 32262,20070704,   13,    0
  4931, 32262,20070705,   12,    0
  4931, 32262,20070706,    2,    0
  4931, 32262,20070707,    0,    0
  4931, 32262,20070708,  106,    0
  4931, 32262,20070709,    8,    0
  4931, 32262,20070710,   39,    0
  4931, 32262,20070711,   22,    0
  4931, 32262,20070712,    0,    0
  4931, 32262,20070713,    1,    0
  4931, 32262,20070714,    0,    0
  4931, 32262,20070715,    0,    0
  4931, 32262,20070716,    0,    0
  4931, 32262,20070717,    3,    0
  4931, 32262,20070718,    0,    0
  4931, 32262,20070719,    1,    0
  4931, 32262,20070720,   36,    0
  4931, 32262,20070721,  271,    0
  4931, 32262,20070722,   62,    0
  4931, 32262,20070723,    7,    0
  4931, 32262,20070724,    0,    0
  4931, 32262,20070725,    0,    0
  4931, 32262,20070726,    0,    0
  4931, 32262,20070727,    0,    0
  4931, 32262,20070728,  153,    0
  4931, 32262,20070729,  127,    0
  4931, 32262,20070730,    3,    0
  4931, 32262,20070731,    0,    0
  4931, 32262,20070801,    0,    0
  4931, 32262,20070802,    0,    0
  4931, 32262,20070803,    0,    0
  4931, 32262,20070804,    0,    0
  4931, 32262,20070805,    0,    0
  4931, 32262,20070806,    0,    0
  4931, 32262,20070807,    0,    0
  4931, 32262,20070808,  428,    0
  4931, 32262,20070809,  132,    0
  4931, 32262,20070810,   12,    0
  4931, 32262,20070811,  127,    0
  4931, 32262,20070812,    0,    0
  4931, 32262,20070813,    0,    0
  4931, 32262,20070814,    5,    0
  4931, 32262,20070815,    3,    0
  4931, 32262,20070816,    3,    0
  4931, 32262,20070817,    0,    0
  4931, 32262,20070818,    0,    0
  4931, 32262,20070819,    0,    0
  4931, 32262,20070820,   24,    0
  4931, 32262,20070821,  109,    0
  4931, 32262,20070822,    0,    0
  4931, 32262,20070823,   23,    0
  4931, 32262,20070824,    0,    0
  4931, 32262,20070825,    0,    0
  4931, 32262,20070826,    0,    0
  4931, 32262,20070827,    0,    0
  4931, 32262,20070828,    0,    0
  4931, 32262,20070829,    0,    0
  4931, 32262,20070830,    0,    0
  4931, 32262,20070831,    8,    0
  4931, 32262,20070901,    0,    0
  4931, 32262,20070902,    0,    0
  4931, 32262,20070903,  167,    0
  4931, 32262,20070904,   41,    0
  4931, 32262,20070905,    0,    0
  4931, 32262,20070906,   12,    0
  4931, 32262,20070907,    9,    0
  4931, 32262,20070908,    7,    0
  4931, 32262,20070909,    0,    0
  4931, 32262,20070910,   77,    0
  4931, 32262,20070911,    3,    0
  4931, 32262,20070912,    0,    0
  4931, 32262,20070913,    0,    0
  4931, 32262,20070914,    0,    0
  4931, 32262,20070915,    0,    0
  4931, 32262,20070916,    0,    0
  4931, 32262,20070917,   22,    0
  4931, 32262,20070918,   49,    0
  4931, 32262,20070919,    0,    0
  4931, 32262,20070920,    0,    0
  4931, 32262,20070921,    0,    0
  4931, 32262,20070922,    0,    0
  4931, 32262,20070923,    0,    0
  4931, 32262,20070924,   27,    0
  4931, 32262,20070925,   15,    0
  4931, 32262,20070926,   47,    0
  4931, 32262,20070927,  274,    0
  4931, 32262,20070928,  606,    0
  4931, 32262,20070929,   19,    0
  4931, 32262,20070930,    0,    0
  4931, 32262,20071001,   16,    0
  4931, 32262,20071002,    2,    0
  4931, 32262,20071003,    0,    0
  4931, 32262,20071004,    0,    0
  4931, 32262,20071005,    0,    0
  4931, 32262,20071006,    0,    0
  4931, 32262,20071007,    0,    0
  4931, 32262,20071008,    0,    0
  4931, 32262,20071009,    0,    0
  4931, 32262,20071010,    0,    0
  4931, 32262,20071011,    0,    0
  4931, 32262,20071012,    0,    0
  4931, 32262,20071013,    0,    0
  4931, 32262,20071014,    0,    0
  4931, 32262,20071015,    0,    0
  4931, 32262,20071016,    0,    0
  4931, 32262,20071017,   12,    0
  4931, 32262,20071018,   15,    0
  4931, 32262,20071019,    9,    0
  4931, 32262,20071020,    4,    0
  4931, 32262,20071021,   20,    0
  4931, 32262,20071022,    0,    0
