EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DESSAU, GERMANY (STAID: 4969)
Blended and updated with sources:32718 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4969, 32718,19770101,   46,    0
  4969, 32718,19770102,    2,    0
  4969, 32718,19770103,    0,    0
  4969, 32718,19770104,    0,    0
  4969, 32718,19770105,    0,    0
  4969, 32718,19770106,   12,    0
  4969, 32718,19770107,    8,    0
  4969, 32718,19770108,   25,    0
  4969, 32718,19770109,   20,    0
  4969, 32718,19770110,   15,    0
  4969, 32718,19770111,   20,    0
  4969, 32718,19770112,  190,    0
  4969, 32718,19770113,    0,    0
  4969, 32718,19770114,    0,    0
  4969, 32718,19770115,    0,    0
  4969, 32718,19770116,    0,    0
  4969, 32718,19770117,    0,    0
  4969, 32718,19770118,    0,    0
  4969, 32718,19770119,    0,    0
  4969, 32718,19770120,    0,    0
  4969, 32718,19770121,    0,    0
  4969, 32718,19770122,   30,    0
  4969, 32718,19770123,    9,    0
  4969, 32718,19770124,   15,    0
  4969, 32718,19770125,   46,    0
  4969, 32718,19770126,    0,    0
  4969, 32718,19770127,   11,    0
  4969, 32718,19770128,    0,    0
  4969, 32718,19770129,    0,    0
  4969, 32718,19770130,    0,    0
  4969, 32718,19770131,    0,    0
  4969, 32718,19770201,    0,    0
  4969, 32718,19770202,    0,    0
  4969, 32718,19770203,    0,    0
  4969, 32718,19770204,    0,    0
  4969, 32718,19770205,   10,    0
  4969, 32718,19770206,   10,    0
  4969, 32718,19770207,   10,    0
  4969, 32718,19770208,   20,    0
  4969, 32718,19770209,   62,    0
  4969, 32718,19770210,    0,    0
  4969, 32718,19770211,    5,    0
  4969, 32718,19770212,    0,    0
  4969, 32718,19770213,    0,    0
  4969, 32718,19770214,    0,    0
  4969, 32718,19770215,    0,    0
  4969, 32718,19770216,    0,    0
  4969, 32718,19770217,   20,    0
  4969, 32718,19770218,   35,    0
  4969, 32718,19770219,   30,    0
  4969, 32718,19770220,   50,    0
  4969, 32718,19770221,    0,    0
  4969, 32718,19770222,    0,    0
  4969, 32718,19770223,    0,    0
  4969, 32718,19770224,    0,    0
  4969, 32718,19770225,   30,    0
  4969, 32718,19770226,    1,    0
  4969, 32718,19770227,   14,    0
  4969, 32718,19770228,    0,    0
  4969, 32718,19770301,    0,    0
  4969, 32718,19770302,   13,    0
  4969, 32718,19770303,   34,    0
  4969, 32718,19770304,   26,    0
  4969, 32718,19770305,    0,    0
  4969, 32718,19770306,    0,    0
  4969, 32718,19770307,    0,    0
  4969, 32718,19770308,    0,    0
  4969, 32718,19770309,    0,    0
  4969, 32718,19770310,    0,    0
  4969, 32718,19770311,    0,    0
  4969, 32718,19770312,   85,    0
  4969, 32718,19770313,   69,    0
  4969, 32718,19770314,    0,    0
  4969, 32718,19770315,    0,    0
  4969, 32718,19770316,    0,    0
  4969, 32718,19770317,    0,    0
  4969, 32718,19770318,   46,    0
  4969, 32718,19770319,   87,    0
  4969, 32718,19770320,   13,    0
  4969, 32718,19770321,    0,    0
  4969, 32718,19770322,    0,    0
  4969, 32718,19770323,    0,    0
  4969, 32718,19770324,    0,    0
  4969, 32718,19770325,    0,    0
  4969, 32718,19770326,   15,    0
  4969, 32718,19770327,   64,    0
  4969, 32718,19770328,   46,    0
  4969, 32718,19770329,    0,    0
  4969, 32718,19770330,    0,    0
  4969, 32718,19770331,    0,    0
  4969, 32718,19770401,   15,    0
  4969, 32718,19770402,    0,    0
  4969, 32718,19770403,   26,    0
  4969, 32718,19770404,    0,    0
  4969, 32718,19770405,    6,    0
  4969, 32718,19770406,   30,    0
  4969, 32718,19770407,   13,    0
  4969, 32718,19770408,    0,    0
  4969, 32718,19770409,   24,    0
  4969, 32718,19770410,   20,    0
  4969, 32718,19770411,   31,    0
  4969, 32718,19770412,   24,    0
  4969, 32718,19770413,   35,    0
  4969, 32718,19770414,   25,    0
  4969, 32718,19770415,   15,    0
  4969, 32718,19770416,    0,    0
  4969, 32718,19770417,    0,    0
  4969, 32718,19770418,    0,    0
  4969, 32718,19770419,    0,    0
  4969, 32718,19770420,    0,    0
  4969, 32718,19770421,    5,    0
  4969, 32718,19770422,   10,    0
  4969, 32718,19770423,   95,    0
  4969, 32718,19770424,    8,    0
  4969, 32718,19770425,    6,    0
  4969, 32718,19770426,    0,    0
  4969, 32718,19770427,    0,    0
  4969, 32718,19770428,    0,    0
  4969, 32718,19770429,    0,    0
  4969, 32718,19770430,  101,    0
  4969, 32718,19770501,    5,    0
  4969, 32718,19770502,    0,    0
  4969, 32718,19770503,    0,    0
  4969, 32718,19770504,    0,    0
  4969, 32718,19770505,   10,    0
  4969, 32718,19770506,    0,    0
  4969, 32718,19770507,    0,    0
  4969, 32718,19770508,    0,    0
  4969, 32718,19770509,    0,    0
  4969, 32718,19770510,    5,    0
  4969, 32718,19770511,    0,    0
  4969, 32718,19770512,   13,    0
  4969, 32718,19770513,    0,    0
  4969, 32718,19770514,    0,    0
  4969, 32718,19770515,    4,    0
  4969, 32718,19770516,   40,    0
  4969, 32718,19770517,    0,    0
  4969, 32718,19770518,    0,    0
  4969, 32718,19770519,  104,    0
  4969, 32718,19770520,  204,    0
  4969, 32718,19770521,    5,    0
  4969, 32718,19770522,    0,    0
  4969, 32718,19770523,    0,    0
  4969, 32718,19770524,    0,    0
  4969, 32718,19770525,    0,    0
  4969, 32718,19770526,    0,    0
  4969, 32718,19770527,    0,    0
  4969, 32718,19770528,    0,    0
  4969, 32718,19770529,    0,    0
  4969, 32718,19770530,    0,    0
  4969, 32718,19770531,    0,    0
  4969, 32718,19770601,    0,    0
  4969, 32718,19770602,   24,    0
  4969, 32718,19770603,   40,    0
  4969, 32718,19770604,   10,    0
  4969, 32718,19770605,    2,    0
  4969, 32718,19770606,    0,    0
  4969, 32718,19770607,   24,    0
  4969, 32718,19770608,   21,    0
  4969, 32718,19770609,    0,    0
  4969, 32718,19770610,    0,    0
  4969, 32718,19770611,    0,    0
  4969, 32718,19770612,    2,    0
  4969, 32718,19770613,    0,    0
  4969, 32718,19770614,  141,    0
  4969, 32718,19770615,   60,    0
  4969, 32718,19770616,    0,    0
  4969, 32718,19770617,    0,    0
  4969, 32718,19770618,    0,    0
  4969, 32718,19770619,  388,    0
  4969, 32718,19770620,    0,    0
  4969, 32718,19770621,    0,    0
  4969, 32718,19770622,    0,    0
  4969, 32718,19770623,    0,    0
  4969, 32718,19770624,    0,    0
  4969, 32718,19770625,   46,    0
  4969, 32718,19770626,    2,    0
  4969, 32718,19770627,    0,    0
  4969, 32718,19770628,    0,    0
  4969, 32718,19770629,   51,    0
  4969, 32718,19770630,    0,    0
  4969, 32718,19770701,    0,    0
  4969, 32718,19770702,    0,    0
  4969, 32718,19770703,    0,    0
  4969, 32718,19770704,    0,    0
  4969, 32718,19770705,    0,    0
  4969, 32718,19770706,    0,    0
  4969, 32718,19770707,    0,    0
  4969, 32718,19770708,   20,    0
  4969, 32718,19770709,   40,    0
  4969, 32718,19770710,  150,    0
  4969, 32718,19770711,    0,    0
  4969, 32718,19770712,    0,    0
  4969, 32718,19770713,    0,    0
  4969, 32718,19770714,    0,    0
  4969, 32718,19770715,    5,    0
  4969, 32718,19770716,    0,    0
  4969, 32718,19770717,    0,    0
  4969, 32718,19770718,   38,    0
  4969, 32718,19770719,    0,    0
  4969, 32718,19770720,   23,    0
  4969, 32718,19770721,    0,    0
  4969, 32718,19770722,   13,    0
  4969, 32718,19770723,    8,    0
  4969, 32718,19770724,   97,    0
  4969, 32718,19770725,   83,    0
  4969, 32718,19770726,   61,    0
  4969, 32718,19770727,   48,    0
  4969, 32718,19770728,   46,    0
  4969, 32718,19770729,    0,    0
  4969, 32718,19770730,    0,    0
  4969, 32718,19770731,    5,    0
  4969, 32718,19770801,    8,    0
  4969, 32718,19770802,    0,    0
  4969, 32718,19770803,    0,    0
  4969, 32718,19770804,   14,    0
  4969, 32718,19770805,    0,    0
  4969, 32718,19770806,    0,    0
  4969, 32718,19770807,   83,    0
  4969, 32718,19770808,    0,    0
  4969, 32718,19770809,    0,    0
  4969, 32718,19770810,   20,    0
  4969, 32718,19770811,  180,    0
  4969, 32718,19770812,  100,    0
  4969, 32718,19770813,   38,    0
  4969, 32718,19770814,   24,    0
  4969, 32718,19770815,    5,    0
  4969, 32718,19770816,    0,    0
  4969, 32718,19770817,    0,    0
  4969, 32718,19770818,   46,    0
  4969, 32718,19770819,   84,    0
  4969, 32718,19770820,   64,    0
  4969, 32718,19770821,   64,    0
  4969, 32718,19770822,    0,    0
  4969, 32718,19770823,    0,    0
  4969, 32718,19770824,    0,    0
  4969, 32718,19770825,    0,    0
  4969, 32718,19770826,  314,    0
  4969, 32718,19770827,    5,    0
  4969, 32718,19770828,    0,    0
  4969, 32718,19770829,    0,    0
  4969, 32718,19770830,    0,    0
  4969, 32718,19770831,  184,    0
  4969, 32718,19770901,    0,    0
  4969, 32718,19770902,    0,    0
  4969, 32718,19770903,    0,    0
  4969, 32718,19770904,    0,    0
  4969, 32718,19770905,    0,    0
  4969, 32718,19770906,    0,    0
  4969, 32718,19770907,    0,    0
  4969, 32718,19770908,  186,    0
  4969, 32718,19770909,   20,    0
  4969, 32718,19770910,   74,    0
  4969, 32718,19770911,    0,    0
  4969, 32718,19770912,    0,    0
  4969, 32718,19770913,    0,    0
  4969, 32718,19770914,    0,    0
  4969, 32718,19770915,   32,    0
  4969, 32718,19770916,    0,    0
  4969, 32718,19770917,    0,    0
  4969, 32718,19770918,    0,    0
  4969, 32718,19770919,    0,    0
  4969, 32718,19770920,    0,    0
  4969, 32718,19770921,   24,    0
  4969, 32718,19770922,   40,    0
  4969, 32718,19770923,   10,    0
  4969, 32718,19770924,    0,    0
  4969, 32718,19770925,    0,    0
  4969, 32718,19770926,    0,    0
  4969, 32718,19770927,    0,    0
  4969, 32718,19770928,    0,    0
  4969, 32718,19770929,    0,    0
  4969, 32718,19770930,    0,    0
  4969, 32718,19771001,   10,    0
  4969, 32718,19771002,   10,    0
  4969, 32718,19771003,   14,    0
  4969, 32718,19771004,    5,    0
  4969, 32718,19771005,   78,    0
  4969, 32718,19771006,    0,    0
  4969, 32718,19771007,    0,    0
  4969, 32718,19771008,    0,    0
  4969, 32718,19771009,    0,    0
  4969, 32718,19771010,   69,    0
  4969, 32718,19771011,    0,    0
  4969, 32718,19771012,    0,    0
  4969, 32718,19771013,    0,    0
  4969, 32718,19771014,    0,    0
  4969, 32718,19771015,    0,    0
  4969, 32718,19771016,    0,    0
  4969, 32718,19771017,    0,    0
  4969, 32718,19771018,    0,    0
  4969, 32718,19771019,    0,    0
  4969, 32718,19771020,    0,    0
  4969, 32718,19771021,    0,    0
  4969, 32718,19771022,    0,    0
  4969, 32718,19771023,    0,    0
  4969, 32718,19771024,    0,    0
  4969, 32718,19771025,    0,    0
  4969, 32718,19771026,    0,    0
  4969, 32718,19771027,    0,    0
  4969, 32718,19771028,    0,    0
  4969, 32718,19771029,    0,    0
  4969, 32718,19771030,    0,    0
  4969, 32718,19771031,   40,    0
  4969, 32718,19771101,  108,    0
  4969, 32718,19771102,  180,    0
  4969, 32718,19771103,    0,    0
  4969, 32718,19771104,   40,    0
  4969, 32718,19771105,    0,    0
  4969, 32718,19771106,    0,    0
  4969, 32718,19771107,    0,    0
  4969, 32718,19771108,    0,    0
  4969, 32718,19771109,   54,    0
  4969, 32718,19771110,   32,    0
  4969, 32718,19771111,    0,    0
  4969, 32718,19771112,   45,    0
  4969, 32718,19771113,    0,    0
  4969, 32718,19771114,   21,    0
  4969, 32718,19771115,    0,    0
  4969, 32718,19771116,    0,    0
  4969, 32718,19771117,    8,    0
  4969, 32718,19771118,   28,    0
  4969, 32718,19771119,    0,    0
  4969, 32718,19771120,    0,    0
  4969, 32718,19771121,    0,    0
  4969, 32718,19771122,   24,    0
  4969, 32718,19771123,    0,    0
  4969, 32718,19771124,   13,    0
  4969, 32718,19771125,   36,    0
  4969, 32718,19771126,    0,    0
  4969, 32718,19771127,    0,    0
  4969, 32718,19771128,    0,    0
  4969, 32718,19771129,    0,    0
  4969, 32718,19771130,   22,    0
  4969, 32718,19771201,    5,    0
  4969, 32718,19771202,    9,    0
  4969, 32718,19771203,    0,    0
  4969, 32718,19771204,    0,    0
  4969, 32718,19771205,    0,    0
  4969, 32718,19771206,    6,    0
  4969, 32718,19771207,    0,    0
  4969, 32718,19771208,    0,    0
  4969, 32718,19771209,    0,    0
  4969, 32718,19771210,    0,    0
  4969, 32718,19771211,   50,    0
  4969, 32718,19771212,  155,    0
  4969, 32718,19771213,    0,    0
  4969, 32718,19771214,    6,    0
  4969, 32718,19771215,    0,    0
  4969, 32718,19771216,    0,    0
  4969, 32718,19771217,    0,    0
  4969, 32718,19771218,    0,    0
  4969, 32718,19771219,    0,    0
  4969, 32718,19771220,    0,    0
  4969, 32718,19771221,    0,    0
  4969, 32718,19771222,    0,    0
  4969, 32718,19771223,    0,    0
  4969, 32718,19771224,   18,    0
  4969, 32718,19771225,   24,    0
  4969, 32718,19771226,    6,    0
  4969, 32718,19771227,   30,    0
  4969, 32718,19771228,    5,    0
  4969, 32718,19771229,   17,    0
  4969, 32718,19771230,   47,    0
  4969, 32718,19771231,   13,    0
  4969, 32718,19780101,    0,    0
  4969, 32718,19780102,    3,    0
  4969, 32718,19780103,    1,    0
  4969, 32718,19780104,   46,    0
  4969, 32718,19780105,   10,    0
  4969, 32718,19780106,    5,    0
  4969, 32718,19780107,    0,    0
  4969, 32718,19780108,    0,    0
  4969, 32718,19780109,    0,    0
  4969, 32718,19780110,    0,    0
  4969, 32718,19780111,    0,    0
  4969, 32718,19780112,    0,    0
  4969, 32718,19780113,    0,    0
  4969, 32718,19780114,    0,    0
  4969, 32718,19780115,    0,    0
  4969, 32718,19780116,    0,    0
  4969, 32718,19780117,   20,    0
  4969, 32718,19780118,    0,    0
  4969, 32718,19780119,    0,    0
  4969, 32718,19780120,    0,    0
  4969, 32718,19780121,    0,    0
  4969, 32718,19780122,    0,    0
  4969, 32718,19780123,    0,    0
  4969, 32718,19780124,    0,    0
  4969, 32718,19780125,    5,    0
  4969, 32718,19780126,    4,    0
  4969, 32718,19780127,    0,    0
  4969, 32718,19780128,    3,    0
  4969, 32718,19780129,   15,    0
  4969, 32718,19780130,    3,    0
  4969, 32718,19780131,    0,    0
  4969, 32718,19780201,    4,    0
  4969, 32718,19780202,    6,    0
  4969, 32718,19780203,    0,    0
  4969, 32718,19780204,    5,    0
  4969, 32718,19780205,    0,    0
  4969, 32718,19780206,    0,    0
  4969, 32718,19780207,   20,    0
  4969, 32718,19780208,   20,    0
  4969, 32718,19780209,   10,    0
  4969, 32718,19780210,    5,    0
  4969, 32718,19780211,    0,    0
  4969, 32718,19780212,    0,    0
  4969, 32718,19780213,    0,    0
  4969, 32718,19780214,   40,    0
  4969, 32718,19780215,    0,    0
  4969, 32718,19780216,    0,    0
  4969, 32718,19780217,    0,    0
  4969, 32718,19780218,    0,    0
  4969, 32718,19780219,    0,    0
  4969, 32718,19780220,    0,    0
  4969, 32718,19780221,    0,    0
  4969, 32718,19780222,    0,    0
  4969, 32718,19780223,    0,    0
  4969, 32718,19780224,   12,    0
  4969, 32718,19780225,    0,    0
  4969, 32718,19780226,    8,    0
  4969, 32718,19780227,    0,    0
  4969, 32718,19780228,    0,    0
  4969, 32718,19780301,    0,    0
  4969, 32718,19780302,   10,    0
  4969, 32718,19780303,    0,    0
  4969, 32718,19780304,   25,    0
  4969, 32718,19780305,    5,    0
  4969, 32718,19780306,    0,    0
  4969, 32718,19780307,    0,    0
  4969, 32718,19780308,   75,    0
  4969, 32718,19780309,    0,    0
  4969, 32718,19780310,    0,    0
  4969, 32718,19780311,    0,    0
  4969, 32718,19780312,   20,    0
  4969, 32718,19780313,   30,    0
  4969, 32718,19780314,    0,    0
  4969, 32718,19780315,    0,    0
  4969, 32718,19780316,   20,    0
  4969, 32718,19780317,   15,    0
  4969, 32718,19780318,   11,    0
  4969, 32718,19780319,   59,    0
  4969, 32718,19780320,   34,    0
  4969, 32718,19780321,    1,    0
  4969, 32718,19780322,    0,    0
  4969, 32718,19780323,   48,    0
  4969, 32718,19780324,   37,    0
  4969, 32718,19780325,   41,    0
  4969, 32718,19780326,   24,    0
  4969, 32718,19780327,   16,    0
