EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ELVERUM - VIER, NORWAY (STAID: 5019)
Blended and updated with sources:33326 33374 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5019, 33326,19670401,-9999,    9
  5019, 33326,19670402,-9999,    9
  5019, 33326,19670403,-9999,    9
  5019, 33326,19670404,-9999,    9
  5019, 33326,19670405,-9999,    9
  5019, 33326,19670406,-9999,    9
  5019, 33326,19670407,-9999,    9
  5019, 33326,19670408,-9999,    9
  5019, 33326,19670409,-9999,    9
  5019, 33326,19670410,-9999,    9
  5019, 33326,19670411,-9999,    9
  5019, 33326,19670412,-9999,    9
  5019, 33326,19670413,-9999,    9
  5019, 33326,19670414,-9999,    9
  5019, 33326,19670415,-9999,    9
  5019, 33326,19670416,-9999,    9
  5019, 33326,19670417,-9999,    9
  5019, 33326,19670418,-9999,    9
  5019, 33326,19670419,-9999,    9
  5019, 33326,19670420,-9999,    9
  5019, 33326,19670421,-9999,    9
  5019, 33326,19670422,-9999,    9
  5019, 33326,19670423,-9999,    9
  5019, 33326,19670424,-9999,    9
  5019, 33326,19670425,-9999,    9
  5019, 33326,19670426,-9999,    9
  5019, 33326,19670427,-9999,    9
  5019, 33326,19670428,-9999,    9
  5019, 33326,19670429,-9999,    9
  5019, 33326,19670430,-9999,    9
  5019, 33326,19670501,-9999,    9
  5019, 33326,19670502,-9999,    9
  5019, 33326,19670503,-9999,    9
  5019, 33326,19670504,-9999,    9
  5019, 33326,19670505,-9999,    9
  5019, 33326,19670506,-9999,    9
  5019, 33326,19670507,-9999,    9
  5019, 33326,19670508,-9999,    9
  5019, 33326,19670509,-9999,    9
  5019, 33326,19670510,-9999,    9
  5019, 33326,19670511,-9999,    9
  5019, 33326,19670512,-9999,    9
  5019, 33326,19670513,-9999,    9
  5019, 33326,19670514,-9999,    9
  5019, 33326,19670515,-9999,    9
  5019, 33326,19670516,-9999,    9
  5019, 33326,19670517,-9999,    9
  5019, 33326,19670518,-9999,    9
  5019, 33326,19670519,-9999,    9
  5019, 33326,19670520,-9999,    9
  5019, 33326,19670521,-9999,    9
  5019, 33326,19670522,-9999,    9
  5019, 33326,19670523,-9999,    9
  5019, 33326,19670524,-9999,    9
  5019, 33326,19670525,-9999,    9
  5019, 33326,19670526,-9999,    9
  5019, 33326,19670527,-9999,    9
  5019, 33326,19670528,-9999,    9
  5019, 33326,19670529,-9999,    9
  5019, 33326,19670530,   70,    0
  5019, 33326,19670531,   70,    0
  5019, 33326,19670601,  100,    0
  5019, 33326,19670602,    0,    0
  5019, 33326,19670603,    9,    0
  5019, 33326,19670604,   59,    0
  5019, 33326,19670605,    0,    0
  5019, 33326,19670606,    0,    0
  5019, 33326,19670607,  169,    0
  5019, 33326,19670608,    3,    0
  5019, 33326,19670609,    0,    0
  5019, 33326,19670610,    0,    0
  5019, 33326,19670611,    0,    0
  5019, 33326,19670612,    0,    0
  5019, 33326,19670613,    0,    0
  5019, 33326,19670614,    0,    0
  5019, 33326,19670615,    0,    0
  5019, 33326,19670616,    0,    0
  5019, 33326,19670617,    0,    0
  5019, 33326,19670618,    0,    0
  5019, 33326,19670619,    0,    0
  5019, 33326,19670620,   22,    0
  5019, 33326,19670621,   31,    0
  5019, 33326,19670622,   26,    0
  5019, 33326,19670623,    0,    0
  5019, 33326,19670624,    0,    0
  5019, 33326,19670625,   12,    0
  5019, 33326,19670626,   93,    0
  5019, 33326,19670627,    0,    0
  5019, 33326,19670628,   45,    0
  5019, 33326,19670629,    0,    0
  5019, 33326,19670630,    0,    0
  5019, 33326,19670701,    0,    0
  5019, 33326,19670702,    0,    0
  5019, 33326,19670703,   52,    0
  5019, 33326,19670704,  102,    0
  5019, 33326,19670705,    0,    0
  5019, 33326,19670706,    0,    0
  5019, 33326,19670707,    0,    0
  5019, 33326,19670708,    1,    0
  5019, 33326,19670709,    0,    0
  5019, 33326,19670710,    0,    0
  5019, 33326,19670711,    0,    0
  5019, 33326,19670712,    0,    0
  5019, 33326,19670713,    0,    0
  5019, 33326,19670714,    3,    0
  5019, 33326,19670715,    0,    0
  5019, 33326,19670716,    0,    0
  5019, 33326,19670717,    0,    0
  5019, 33326,19670718,    0,    0
  5019, 33326,19670719,  122,    0
  5019, 33326,19670720,    0,    0
  5019, 33326,19670721,    0,    0
  5019, 33326,19670722,    0,    0
  5019, 33326,19670723,    0,    0
  5019, 33326,19670724,    0,    0
  5019, 33326,19670725,    1,    0
  5019, 33326,19670726,    0,    0
  5019, 33326,19670727,  102,    0
  5019, 33326,19670728,    1,    0
  5019, 33326,19670729,    0,    0
  5019, 33326,19670730,   74,    0
  5019, 33326,19670731,   19,    0
  5019, 33326,19670801,    0,    0
  5019, 33326,19670802,   75,    0
  5019, 33326,19670803,  109,    0
  5019, 33326,19670804,    0,    0
  5019, 33326,19670805,   16,    0
  5019, 33326,19670806,    0,    0
  5019, 33326,19670807,    0,    0
