EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MATRE KRAFTSTASJON, NORWAY (STAID: 5037)
Blended and updated with sources:33542 102295 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5037,102295,19561201,-9999,    9
  5037,102295,19561202,-9999,    9
  5037,102295,19561203,-9999,    9
  5037,102295,19561204,-9999,    9
  5037,102295,19561205,-9999,    9
  5037,102295,19561206,-9999,    9
  5037,102295,19561207,-9999,    9
  5037,102295,19561208,-9999,    9
  5037,102295,19561209,-9999,    9
  5037,102295,19561210,-9999,    9
  5037,102295,19561211,-9999,    9
  5037,102295,19561212,-9999,    9
  5037,102295,19561213,-9999,    9
  5037,102295,19561214,-9999,    9
  5037,102295,19561215,-9999,    9
  5037,102295,19561216,-9999,    9
  5037,102295,19561217,-9999,    9
  5037,102295,19561218,-9999,    9
  5037,102295,19561219,-9999,    9
  5037,102295,19561220,-9999,    9
  5037,102295,19561221,-9999,    9
  5037,102295,19561222,-9999,    9
  5037,102295,19561223,-9999,    9
  5037,102295,19561224,-9999,    9
  5037,102295,19561225,-9999,    9
  5037,102295,19561226,-9999,    9
  5037,102295,19561227,-9999,    9
  5037,102295,19561228,-9999,    9
  5037,102295,19561229,-9999,    9
  5037,102295,19561230,-9999,    9
  5037,102295,19561231,    0,    0
  5037,102295,19570101,    0,    0
  5037,102295,19570102,    0,    0
  5037,102295,19570103,   32,    0
  5037,102295,19570104,  212,    0
  5037,102295,19570105,  189,    0
  5037,102295,19570106,  148,    0
  5037,102295,19570107,  892,    0
  5037,102295,19570108,  867,    0
  5037,102295,19570109,  221,    0
  5037,102295,19570110,   58,    0
  5037,102295,19570111,  335,    0
  5037,102295,19570112,   20,    0
  5037,102295,19570113,    0,    0
  5037,102295,19570114,   41,    0
  5037,102295,19570115,   13,    0
  5037,102295,19570116,   19,    0
  5037,102295,19570117,   41,    0
  5037,102295,19570118,  108,    0
  5037,102295,19570119,  635,    0
  5037,102295,19570120,  961,    0
  5037,102295,19570121,  120,    0
  5037,102295,19570122,  170,    0
  5037,102295,19570123,    7,    0
  5037,102295,19570124,    1,    0
  5037,102295,19570125,    5,    0
  5037,102295,19570126,  307,    0
  5037,102295,19570127,  175,    0
  5037,102295,19570128,  450,    0
  5037,102295,19570129,   20,    0
  5037,102295,19570130,    0,    0
  5037,102295,19570131,  135,    0
  5037,102295,19570201,  197,    0
  5037,102295,19570202,  130,    0
  5037,102295,19570203,   11,    0
  5037,102295,19570204,  220,    0
  5037,102295,19570205,  250,    0
  5037,102295,19570206,    1,    0
  5037,102295,19570207,    1,    0
  5037,102295,19570208,   21,    0
