EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JORDBERGA, SWEDEN (STAID: 5167)
Blended and updated with sources:37500 37504 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5167, 37500,19450101,    0,    0
  5167, 37500,19450102,   16,    0
  5167, 37500,19450103,    4,    0
  5167, 37500,19450104,    0,    0
  5167, 37500,19450105,    0,    0
  5167, 37500,19450106,    3,    0
  5167, 37500,19450107,   10,    0
  5167, 37500,19450108,    0,    0
  5167, 37500,19450109,   35,    0
  5167, 37500,19450110,   66,    0
  5167, 37500,19450111,    5,    0
  5167, 37500,19450112,    0,    0
  5167, 37500,19450113,    0,    0
  5167, 37500,19450114,    1,    0
  5167, 37500,19450115,    0,    0
  5167, 37500,19450116,    1,    0
  5167, 37500,19450117,    2,    0
  5167, 37500,19450118,   85,    0
  5167, 37500,19450119,    0,    0
  5167, 37500,19450120,    2,    0
  5167, 37500,19450121,    0,    0
  5167, 37500,19450122,    0,    0
  5167, 37500,19450123,    0,    0
  5167, 37500,19450124,    0,    0
  5167, 37500,19450125,   21,    0
  5167, 37500,19450126,  102,    0
  5167, 37500,19450127,  162,    0
  5167, 37500,19450128,   10,    0
  5167, 37500,19450129,    0,    0
  5167, 37500,19450130,    0,    0
  5167, 37500,19450131,   50,    0
  5167, 37500,19450201,   70,    0
  5167, 37500,19450202,   75,    0
  5167, 37500,19450203,    2,    0
  5167, 37500,19450204,    1,    0
  5167, 37500,19450205,   22,    0
  5167, 37500,19450206,    2,    0
  5167, 37500,19450207,   55,    0
  5167, 37500,19450208,    0,    0
  5167, 37500,19450209,   24,    0
  5167, 37500,19450210,   50,    0
  5167, 37500,19450211,    0,    0
  5167, 37500,19450212,    2,    0
  5167, 37500,19450213,  114,    0
  5167, 37500,19450214,   26,    0
  5167, 37500,19450215,    0,    0
  5167, 37500,19450216,    0,    0
  5167, 37500,19450217,    0,    0
  5167, 37500,19450218,    0,    0
  5167, 37500,19450219,    1,    0
  5167, 37500,19450220,   25,    0
  5167, 37500,19450221,    0,    0
  5167, 37500,19450222,    0,    0
