EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HORBY_A, SWEDEN (STAID: 5184)
Blended and updated with sources:37588 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5184, 37588,19950801,    0,    0
  5184, 37588,19950802,    0,    0
  5184, 37588,19950803,    0,    0
  5184, 37588,19950804,    0,    0
  5184, 37588,19950805,    0,    0
  5184, 37588,19950806,    0,    0
  5184, 37588,19950807,    0,    0
  5184, 37588,19950808,    0,    0
  5184, 37588,19950809,    0,    0
  5184, 37588,19950810,    0,    0
  5184, 37588,19950811,    0,    0
  5184, 37588,19950812,    0,    0
  5184, 37588,19950813,    0,    0
  5184, 37588,19950814,    0,    0
  5184, 37588,19950815,    2,    0
  5184, 37588,19950816,    0,    0
  5184, 37588,19950817,    0,    0
  5184, 37588,19950818,    0,    0
  5184, 37588,19950819,    0,    0
  5184, 37588,19950820,    0,    0
  5184, 37588,19950821,    0,    0
  5184, 37588,19950822,    0,    0
  5184, 37588,19950823,  129,    0
  5184, 37588,19950824,    0,    0
  5184, 37588,19950825,   43,    0
  5184, 37588,19950826,    0,    0
  5184, 37588,19950827,    0,    0
  5184, 37588,19950828,    0,    0
  5184, 37588,19950829,    0,    0
  5184, 37588,19950830,    0,    0
  5184, 37588,19950831,    0,    0
  5184, 37588,19950901,    0,    0
  5184, 37588,19950902,   11,    0
  5184, 37588,19950903,  164,    0
  5184, 37588,19950904,  120,    0
  5184, 37588,19950905,    8,    0
  5184, 37588,19950906,    4,    0
  5184, 37588,19950907,    0,    0
  5184, 37588,19950908,    0,    0
  5184, 37588,19950909,    1,    0
  5184, 37588,19950910,   32,    0
  5184, 37588,19950911,   22,    0
  5184, 37588,19950912,    9,    0
  5184, 37588,19950913,   36,    0
  5184, 37588,19950914,  127,    0
  5184, 37588,19950915,   14,    0
  5184, 37588,19950916,   44,    0
  5184, 37588,19950917,    5,    0
  5184, 37588,19950918,   27,    0
  5184, 37588,19950919,    1,    0
  5184, 37588,19950920,    0,    0
  5184, 37588,19950921,    0,    0
  5184, 37588,19950922,    1,    0
  5184, 37588,19950923,    0,    0
  5184, 37588,19950924,    0,    0
  5184, 37588,19950925,   31,    0
  5184, 37588,19950926,   85,    0
  5184, 37588,19950927,   45,    0
  5184, 37588,19950928,  182,    0
  5184, 37588,19950929,   51,    0
  5184, 37588,19950930,    0,    0
  5184, 37588,19951001,    0,    0
  5184, 37588,19951002,    0,    0
  5184, 37588,19951003,    0,    0
  5184, 37588,19951004,    1,    0
  5184, 37588,19951005,   90,    0
  5184, 37588,19951006,    0,    0
  5184, 37588,19951007,    0,    0
  5184, 37588,19951008,    0,    0
  5184, 37588,19951009,    0,    0
  5184, 37588,19951010,    0,    0
  5184, 37588,19951011,    0,    0
  5184, 37588,19951012,    0,    0
  5184, 37588,19951013,    3,    0
  5184, 37588,19951014,    0,    0
  5184, 37588,19951015,    0,    0
  5184, 37588,19951016,    0,    0
  5184, 37588,19951017,    5,    0
  5184, 37588,19951018,    0,    0
  5184, 37588,19951019,   37,    0
  5184, 37588,19951020,    0,    0
  5184, 37588,19951021,    0,    0
  5184, 37588,19951022,    0,    0
  5184, 37588,19951023,    0,    0
  5184, 37588,19951024,    0,    0
