EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASEDA, SWEDEN (STAID: 5259)
Blended and updated with sources:37990 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5259, 37990,19690801,    0,    0
  5259, 37990,19690802,    0,    0
  5259, 37990,19690803,    0,    0
  5259, 37990,19690804,    0,    0
  5259, 37990,19690805,    0,    0
  5259, 37990,19690806,    0,    0
  5259, 37990,19690807,    0,    0
  5259, 37990,19690808,    0,    0
  5259, 37990,19690809,    0,    0
  5259, 37990,19690810,    0,    0
  5259, 37990,19690811,    0,    0
  5259, 37990,19690812,    0,    0
  5259, 37990,19690813,    0,    0
  5259, 37990,19690814,   93,    0
  5259, 37990,19690815,   76,    0
  5259, 37990,19690816,    0,    0
  5259, 37990,19690817,    0,    0
  5259, 37990,19690818,    0,    0
  5259, 37990,19690819,    0,    0
  5259, 37990,19690820,   62,    0
  5259, 37990,19690821,   28,    0
  5259, 37990,19690822,    0,    0
  5259, 37990,19690823,   40,    0
  5259, 37990,19690824,   88,    0
  5259, 37990,19690825,   17,    0
  5259, 37990,19690826,  205,    0
  5259, 37990,19690827,  141,    0
  5259, 37990,19690828,    0,    0
  5259, 37990,19690829,   60,    0
  5259, 37990,19690830,   61,    0
  5259, 37990,19690831,    0,    0
  5259, 37990,19690901,    0,    0
  5259, 37990,19690902,    0,    0
  5259, 37990,19690903,   48,    0
  5259, 37990,19690904,   23,    0
  5259, 37990,19690905,    0,    0
  5259, 37990,19690906,    0,    0
  5259, 37990,19690907,    0,    0
  5259, 37990,19690908,    0,    0
  5259, 37990,19690909,    0,    0
  5259, 37990,19690910,    0,    0
  5259, 37990,19690911,    0,    0
  5259, 37990,19690912,    0,    0
  5259, 37990,19690913,    0,    0
  5259, 37990,19690914,    0,    0
  5259, 37990,19690915,    0,    0
  5259, 37990,19690916,    0,    0
  5259, 37990,19690917,    0,    0
  5259, 37990,19690918,    0,    0
  5259, 37990,19690919,    0,    0
  5259, 37990,19690920,   58,    0
  5259, 37990,19690921,   99,    0
  5259, 37990,19690922,   15,    0
  5259, 37990,19690923,    0,    0
  5259, 37990,19690924,    0,    0
  5259, 37990,19690925,    0,    0
  5259, 37990,19690926,   99,    0
  5259, 37990,19690927,   61,    0
  5259, 37990,19690928,   43,    0
  5259, 37990,19690929,    6,    0
  5259, 37990,19690930,   30,    0
  5259, 37990,19691001,   31,    0
  5259, 37990,19691002,    5,    0
  5259, 37990,19691003,    6,    0
  5259, 37990,19691004,    0,    0
  5259, 37990,19691005,    0,    0
  5259, 37990,19691006,    0,    0
  5259, 37990,19691007,    0,    0
  5259, 37990,19691008,    0,    0
  5259, 37990,19691009,    0,    0
  5259, 37990,19691010,   50,    0
  5259, 37990,19691011,    0,    0
  5259, 37990,19691012,    0,    0
  5259, 37990,19691013,    0,    0
  5259, 37990,19691014,    0,    0
  5259, 37990,19691015,    0,    0
  5259, 37990,19691016,    0,    0
  5259, 37990,19691017,    0,    0
  5259, 37990,19691018,    0,    0
  5259, 37990,19691019,    0,    0
  5259, 37990,19691020,    0,    0
  5259, 37990,19691021,    0,    0
  5259, 37990,19691022,   13,    0
  5259, 37990,19691023,    0,    0
  5259, 37990,19691024,   62,    0
  5259, 37990,19691025,    5,    0
  5259, 37990,19691026,    0,    0
  5259, 37990,19691027,   28,    0
  5259, 37990,19691028,    9,    0
  5259, 37990,19691029,   20,    0
  5259, 37990,19691030,    0,    0
  5259, 37990,19691031,    2,    0
  5259, 37990,19691101,   28,    0
  5259, 37990,19691102,  165,    0
  5259, 37990,19691103,    0,    0
  5259, 37990,19691104,   69,    0
  5259, 37990,19691105,    0,    0
  5259, 37990,19691106,    9,    0
  5259, 37990,19691107,   23,    0
  5259, 37990,19691108,   34,    0
  5259, 37990,19691109,   54,    0
  5259, 37990,19691110,   28,    0
  5259, 37990,19691111,   39,    0
  5259, 37990,19691112,   66,    0
  5259, 37990,19691113,    4,    0
  5259, 37990,19691114,   11,    0
  5259, 37990,19691115,    0,    0
  5259, 37990,19691116,    0,    0
  5259, 37990,19691117,   11,    0
  5259, 37990,19691118,   65,    0
  5259, 37990,19691119,   29,    0
  5259, 37990,19691120,   41,    0
  5259, 37990,19691121,    3,    0
  5259, 37990,19691122,    0,    0
  5259, 37990,19691123,    9,    0
  5259, 37990,19691124,    0,    0
  5259, 37990,19691125,    0,    0
  5259, 37990,19691126,    0,    0
  5259, 37990,19691127,   37,    0
  5259, 37990,19691128,  192,    0
  5259, 37990,19691129,  135,    0
  5259, 37990,19691130,    0,    0
  5259, 37990,19691201,   51,    0
  5259, 37990,19691202,   21,    0
  5259, 37990,19691203,    0,    0
  5259, 37990,19691204,    0,    0
  5259, 37990,19691205,    0,    0
  5259, 37990,19691206,    5,    0
  5259, 37990,19691207,    0,    0
  5259, 37990,19691208,    0,    0
  5259, 37990,19691209,    0,    0
  5259, 37990,19691210,    0,    0
  5259, 37990,19691211,    0,    0
  5259, 37990,19691212,    0,    0
  5259, 37990,19691213,    8,    0
  5259, 37990,19691214,   26,    0
  5259, 37990,19691215,   20,    0
  5259, 37990,19691216,   51,    0
  5259, 37990,19691217,   35,    0
  5259, 37990,19691218,   14,    0
  5259, 37990,19691219,   27,    0
