EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DINGLE, SWEDEN (STAID: 5382)
Blended and updated with sources:38538 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5382, 38538,19450101,    0,    0
  5382, 38538,19450102,    0,    0
  5382, 38538,19450103,    0,    0
  5382, 38538,19450104,    5,    0
  5382, 38538,19450105,    0,    0
  5382, 38538,19450106,   59,    0
  5382, 38538,19450107,   20,    0
  5382, 38538,19450108,   23,    0
  5382, 38538,19450109,   51,    0
  5382, 38538,19450110,   65,    0
  5382, 38538,19450111,    0,    0
  5382, 38538,19450112,    0,    0
  5382, 38538,19450113,    0,    0
  5382, 38538,19450114,    0,    0
  5382, 38538,19450115,    0,    0
  5382, 38538,19450116,   23,    0
  5382, 38538,19450117,    0,    0
  5382, 38538,19450118,   80,    0
  5382, 38538,19450119,   55,    0
  5382, 38538,19450120,   31,    0
  5382, 38538,19450121,   15,    0
  5382, 38538,19450122,    0,    0
  5382, 38538,19450123,    0,    0
  5382, 38538,19450124,    5,    0
  5382, 38538,19450125,   33,    0
  5382, 38538,19450126,    3,    0
  5382, 38538,19450127,    0,    0
  5382, 38538,19450128,    0,    0
  5382, 38538,19450129,    0,    0
  5382, 38538,19450130,    0,    0
  5382, 38538,19450131,   18,    0
  5382, 38538,19450201,   20,    0
  5382, 38538,19450202,   70,    0
  5382, 38538,19450203,    0,    0
  5382, 38538,19450204,    0,    0
  5382, 38538,19450205,    0,    0
  5382, 38538,19450206,    0,    0
  5382, 38538,19450207,  155,    0
  5382, 38538,19450208,    0,    0
  5382, 38538,19450209,    0,    0
  5382, 38538,19450210,   45,    0
  5382, 38538,19450211,    0,    0
  5382, 38538,19450212,    0,    0
  5382, 38538,19450213,   50,    0
  5382, 38538,19450214,    0,    0
  5382, 38538,19450215,    0,    0
  5382, 38538,19450216,    0,    0
  5382, 38538,19450217,    0,    0
  5382, 38538,19450218,   22,    0
  5382, 38538,19450219,    0,    0
  5382, 38538,19450220,   68,    0
  5382, 38538,19450221,    0,    0
  5382, 38538,19450222,    0,    0
  5382, 38538,19450223,    0,    0
  5382, 38538,19450224,   25,    0
  5382, 38538,19450225,    0,    0
  5382, 38538,19450226,    0,    0
  5382, 38538,19450227,    0,    0
  5382, 38538,19450228,    0,    0
  5382, 38538,19450301,    0,    0
  5382, 38538,19450302,    0,    0
  5382, 38538,19450303,    0,    0
  5382, 38538,19450304,    0,    0
  5382, 38538,19450305,    0,    0
  5382, 38538,19450306,    0,    0
  5382, 38538,19450307,    0,    0
  5382, 38538,19450308,    0,    0
  5382, 38538,19450309,    0,    0
  5382, 38538,19450310,    0,    0
  5382, 38538,19450311,    0,    0
  5382, 38538,19450312,    0,    0
  5382, 38538,19450313,    0,    0
  5382, 38538,19450314,    0,    0
  5382, 38538,19450315,    0,    0
  5382, 38538,19450316,   15,    0
  5382, 38538,19450317,    0,    0
  5382, 38538,19450318,    0,    0
  5382, 38538,19450319,  112,    0
  5382, 38538,19450320,  113,    0
  5382, 38538,19450321,    0,    0
  5382, 38538,19450322,    0,    0
  5382, 38538,19450323,    0,    0
  5382, 38538,19450324,    0,    0
  5382, 38538,19450325,    0,    0
  5382, 38538,19450326,    0,    0
  5382, 38538,19450327,    0,    0
  5382, 38538,19450328,    0,    0
  5382, 38538,19450329,   28,    0
  5382, 38538,19450330,   17,    0
  5382, 38538,19450331,  151,    0
  5382, 38538,19450401,    0,    0
  5382, 38538,19450402,    0,    0
  5382, 38538,19450403,    0,    0
  5382, 38538,19450404,    8,    0
  5382, 38538,19450405,    0,    0
  5382, 38538,19450406,    0,    0
  5382, 38538,19450407,    0,    0
  5382, 38538,19450408,    0,    0
  5382, 38538,19450409,    0,    0
  5382, 38538,19450410,    0,    0
  5382, 38538,19450411,    0,    0
  5382, 38538,19450412,    0,    0
  5382, 38538,19450413,    0,    0
  5382, 38538,19450414,    0,    0
  5382, 38538,19450415,    0,    0
  5382, 38538,19450416,    0,    0
  5382, 38538,19450417,    0,    0
  5382, 38538,19450418,    0,    0
  5382, 38538,19450419,    0,    0
  5382, 38538,19450420,   12,    0
  5382, 38538,19450421,    0,    0
  5382, 38538,19450422,    0,    0
  5382, 38538,19450423,    0,    0
  5382, 38538,19450424,    0,    0
  5382, 38538,19450425,    0,    0
  5382, 38538,19450426,   26,    0
  5382, 38538,19450427,  146,    0
  5382, 38538,19450428,   13,    0
  5382, 38538,19450429,   48,    0
  5382, 38538,19450430,  173,    0
  5382, 38538,19450501,   76,    0
  5382, 38538,19450502,  153,    0
  5382, 38538,19450503,  270,    0
  5382, 38538,19450504,    6,    0
  5382, 38538,19450505,    0,    0
  5382, 38538,19450506,    0,    0
  5382, 38538,19450507,    0,    0
  5382, 38538,19450508,    0,    0
  5382, 38538,19450509,   83,    0
  5382, 38538,19450510,   42,    0
  5382, 38538,19450511,    0,    0
  5382, 38538,19450512,    0,    0
  5382, 38538,19450513,    0,    0
  5382, 38538,19450514,   33,    0
  5382, 38538,19450515,    0,    0
  5382, 38538,19450516,   18,    0
  5382, 38538,19450517,   93,    0
  5382, 38538,19450518,    0,    0
  5382, 38538,19450519,    0,    0
  5382, 38538,19450520,    0,    0
  5382, 38538,19450521,    0,    0
  5382, 38538,19450522,   30,    0
  5382, 38538,19450523,    5,    0
  5382, 38538,19450524,   11,    0
  5382, 38538,19450525,    0,    0
  5382, 38538,19450526,    0,    0
  5382, 38538,19450527,   14,    0
  5382, 38538,19450528,    0,    0
  5382, 38538,19450529,  126,    0
