EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORRKOPING KUNSANGEN, SWEDEN (STAID: 5391)
Blended and updated with sources:38568 38570 38576 38580 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5391, 38576,19450101,    6,    0
  5391, 38576,19450102,   21,    0
  5391, 38576,19450103,   17,    0
  5391, 38576,19450104,    1,    0
  5391, 38576,19450105,    0,    0
  5391, 38576,19450106,    2,    0
  5391, 38576,19450107,    9,    0
  5391, 38576,19450108,   19,    0
  5391, 38576,19450109,   29,    0
  5391, 38576,19450110,    4,    0
  5391, 38576,19450111,   16,    0
  5391, 38576,19450112,    2,    0
  5391, 38576,19450113,    0,    0
  5391, 38576,19450114,    0,    0
  5391, 38576,19450115,    0,    0
  5391, 38576,19450116,   58,    0
  5391, 38576,19450117,    0,    0
  5391, 38576,19450118,   61,    0
  5391, 38576,19450119,   18,    0
  5391, 38576,19450120,    0,    0
  5391, 38576,19450121,    0,    0
  5391, 38576,19450122,    7,    0
  5391, 38576,19450123,   33,    0
  5391, 38576,19450124,   66,    0
  5391, 38576,19450125,   14,    0
  5391, 38576,19450126,    1,    0
  5391, 38576,19450127,    1,    0
  5391, 38576,19450128,    0,    0
  5391, 38576,19450129,    0,    0
  5391, 38576,19450130,    0,    0
  5391, 38576,19450131,   17,    0
  5391, 38576,19450201,   50,    0
  5391, 38576,19450202,   56,    0
  5391, 38576,19450203,   12,    0
  5391, 38576,19450204,    0,    0
  5391, 38576,19450205,    0,    0
  5391, 38576,19450206,   21,    0
  5391, 38576,19450207,   38,    0
  5391, 38576,19450208,    2,    0
  5391, 38576,19450209,    0,    0
  5391, 38576,19450210,    0,    0
  5391, 38576,19450211,   64,    0
  5391, 38576,19450212,    0,    0
  5391, 38576,19450213,   40,    0
  5391, 38576,19450214,    1,    0
  5391, 38576,19450215,    0,    0
  5391, 38576,19450216,    0,    0
  5391, 38576,19450217,    0,    0
  5391, 38576,19450218,   65,    0
  5391, 38576,19450219,    1,    0
  5391, 38576,19450220,    5,    0
  5391, 38576,19450221,    4,    0
  5391, 38576,19450222,    0,    0
  5391, 38576,19450223,    0,    0
  5391, 38576,19450224,    0,    0
  5391, 38576,19450225,    4,    0
  5391, 38576,19450226,    0,    0
  5391, 38576,19450227,    0,    0
  5391, 38576,19450228,    0,    0
  5391, 38576,19450301,    0,    0
  5391, 38576,19450302,    0,    0
  5391, 38576,19450303,    0,    0
  5391, 38576,19450304,    0,    0
  5391, 38576,19450305,    5,    0
  5391, 38576,19450306,    0,    0
  5391, 38576,19450307,    0,    0
  5391, 38576,19450308,    0,    0
  5391, 38576,19450309,   18,    0
  5391, 38576,19450310,    0,    0
  5391, 38576,19450311,    1,    0
  5391, 38576,19450312,    0,    0
  5391, 38576,19450313,    0,    0
  5391, 38576,19450314,    0,    0
  5391, 38576,19450315,    0,    0
  5391, 38576,19450316,   46,    0
  5391, 38576,19450317,    0,    0
  5391, 38576,19450318,    0,    0
  5391, 38576,19450319,    0,    0
  5391, 38576,19450320,   54,    0
  5391, 38576,19450321,    0,    0
  5391, 38576,19450322,    0,    0
  5391, 38576,19450323,    0,    0
  5391, 38576,19450324,    0,    0
  5391, 38576,19450325,    0,    0
  5391, 38576,19450326,    0,    0
  5391, 38576,19450327,   33,    0
  5391, 38576,19450328,    0,    0
  5391, 38576,19450329,    0,    0
  5391, 38576,19450330,    1,    0
  5391, 38576,19450331,    5,    0
  5391, 38576,19450401,    0,    0
  5391, 38576,19450402,    0,    0
  5391, 38576,19450403,    0,    0
  5391, 38576,19450404,   66,    0
  5391, 38576,19450405,    0,    0
  5391, 38576,19450406,    0,    0
  5391, 38576,19450407,    0,    0
  5391, 38576,19450408,    0,    0
  5391, 38576,19450409,    0,    0
  5391, 38576,19450410,    0,    0
  5391, 38576,19450411,    0,    0
  5391, 38576,19450412,    0,    0
  5391, 38576,19450413,    0,    0
  5391, 38576,19450414,    0,    0
  5391, 38576,19450415,    0,    0
  5391, 38576,19450416,    0,    0
  5391, 38576,19450417,   10,    0
  5391, 38576,19450418,   32,    0
  5391, 38576,19450419,    0,    0
  5391, 38576,19450420,   46,    0
  5391, 38576,19450421,    0,    0
  5391, 38576,19450422,    4,    0
  5391, 38576,19450423,    0,    0
  5391, 38576,19450424,    0,    0
  5391, 38576,19450425,    4,    0
  5391, 38576,19450426,    0,    0
  5391, 38576,19450427,    0,    0
  5391, 38576,19450428,   30,    0
  5391, 38576,19450429,   48,    0
  5391, 38576,19450430,    0,    0
  5391, 38576,19450501,   77,    0
  5391, 38576,19450502,   56,    0
  5391, 38576,19450503,  296,    0
  5391, 38576,19450504,   23,    0
  5391, 38576,19450505,    0,    0
  5391, 38576,19450506,    0,    0
  5391, 38576,19450507,    6,    0
  5391, 38576,19450508,    0,    0
  5391, 38576,19450509,    0,    0
  5391, 38576,19450510,   65,    0
  5391, 38576,19450511,    0,    0
  5391, 38576,19450512,    0,    0
  5391, 38576,19450513,    0,    0
  5391, 38576,19450514,    2,    0
  5391, 38576,19450515,    0,    0
  5391, 38576,19450516,    0,    0
  5391, 38576,19450517,   43,    0
  5391, 38576,19450518,    0,    0
  5391, 38576,19450519,    0,    0
  5391, 38576,19450520,    0,    0
  5391, 38576,19450521,    0,    0
  5391, 38576,19450522,    0,    0
  5391, 38576,19450523,   10,    0
  5391, 38576,19450524,   39,    0
  5391, 38576,19450525,    0,    0
  5391, 38576,19450526,    0,    0
  5391, 38576,19450527,    0,    0
  5391, 38576,19450528,    0,    0
  5391, 38576,19450529,    0,    0
  5391, 38576,19450530,   38,    0
  5391, 38576,19450531,   42,    0
  5391, 38576,19450601,    0,    0
  5391, 38576,19450602,    0,    0
  5391, 38576,19450603,    0,    0
  5391, 38576,19450604,   14,    0
  5391, 38576,19450605,    6,    0
  5391, 38576,19450606,  101,    0
  5391, 38576,19450607,    0,    0
  5391, 38576,19450608,    0,    0
  5391, 38576,19450609,    0,    0
  5391, 38576,19450610,  108,    0
  5391, 38576,19450611,    0,    0
  5391, 38576,19450612,   83,    0
  5391, 38576,19450613,    0,    0
